RGI,Guggenheim S&P 500 Equal Weight Industrials ETF,NASDAQ
49.82,49.54,49.82,49.44
49.54,49.54,49.54,49.54
49.56,49.60,49.66,49.41
49.03,48.71,49.19,48.71
49.34,49.34,49.34,49.34
50.11,50.00,50.11,49.70
50.39,49.99,50.39,49.78
50.56,50.38,50.56,50.38
50.07,50.07,50.07,50.07
49.55,49.23,49.55,49.11
49.82,49.38,49.82,49.15
49.54,49.54,49.54,49.54
49.80,49.80,49.80,49.80
49.94,50.19,50.23,49.94
50.43,50.04,50.43,49.84
51.08,51.08,51.08,51.08
51.50,51.42,51.50,51.28
51.35,51.21,51.35,51.02
51.21,50.60,51.21,50.60
50.61,50.76,50.77,50.61
50.58,50.72,50.72,50.47
50.41,50.03,50.41,49.90
50.17,50.36,50.62,50.17
49.90,49.27,49.90,49.11
49.39,49.31,49.46,49.31
50.42,50.36,50.44,50.35
50.23,50.47,50.47,50.23
50.38,50.33,50.38,49.90
49.79,49.78,49.85,49.77
51.02,51.02,51.02,51.02
50.65,50.65,50.65,50.65
49.97,50.57,50.64,49.97
50.01,50.50,50.56,50.01
51.41,51.69,51.69,51.41
51.52,52.48,52.55,51.52
52.39,52.64,52.64,52.27
52.32,52.61,52.69,52.30
52.99,53.00,53.16,52.94
52.95,52.74,52.95,52.74
53.32,52.97,53.32,52.85
53.22,53.39,53.39,53.22
53.71,53.39,53.73,53.39
53.61,53.60,53.80,53.52
53.86,53.63,53.92,53.61
53.49,53.99,54.01,53.49
53.65,53.81,53.85,53.65
53.78,53.78,53.78,53.78
53.93,54.09,54.14,53.93
54.31,54.19,54.31,54.14
54.13,54.09,54.14,54.01
54.04,54.16,54.16,54.04
54.10,54.05,54.10,54.03
54.28,54.20,54.28,54.20
54.15,54.15,54.15,54.13
54.02,54.21,54.21,54.02
54.76,54.72,54.83,54.69
54.81,54.29,54.81,54.13
54.30,54.68,54.68,54.30
54.46,54.54,54.58,54.46
54.75,54.65,54.90,54.36
54.49,54.78,54.78,54.41
55.07,54.81,55.07,54.69
55.36,55.50,55.62,55.36
55.70,55.45,55.70,55.45
55.55,55.82,55.82,55.42
55.88,56.24,56.24,55.88
56.40,55.44,56.40,55.44
55.35,55.38,55.47,55.25
55.89,55.42,55.89,55.39
55.83,55.91,55.93,55.83
55.95,55.81,55.95,55.36
56.51,56.42,56.51,56.30
56.52,56.57,56.61,56.44
56.53,55.40,56.53,55.33
55.93,55.90,56.15,55.80
56.37,56.70,56.79,56.31
56.57,56.43,56.70,56.35
56.36,56.50,56.54,56.22
56.40,56.80,56.80,56.39
57.42,57.40,57.50,57.32
57.40,57.66,57.67,57.40
57.55,57.37,57.65,57.33
57.54,57.73,57.87,57.00
58.00,58.19,58.27,57.96
58.58,57.93,58.58,57.92
57.75,57.68,57.75,57.63
58.08,58.04,58.08,57.87
57.91,58.31,58.33,57.81
58.35,58.34,58.40,58.30
57.58,56.62,57.62,56.62
56.51,55.59,56.55,55.02
56.12,55.87,56.12,55.49
56.20,56.38,56.40,55.06
56.68,56.36,56.82,56.36
56.67,55.62,56.67,55.43
55.81,55.73,55.93,55.40
56.26,57.13,57.23,56.26
56.34,56.32,56.40,56.23
56.24,56.03,56.24,55.76
55.99,56.95,56.95,55.94
56.67,56.84,56.85,56.67
56.28,55.95,56.28,55.72
55.99,56.52,56.52,55.62
56.00,56.00,56.07,55.70
54.91,56.04,56.04,54.31
55.17,54.79,55.17,54.79
55.22,55.47,55.47,55.22
55.91,55.72,56.06,55.59
56.72,56.65,56.86,56.65
56.56,56.43,56.56,56.36
56.00,56.70,56.77,56.00
56.73,57.22,57.22,56.73
57.44,57.41,57.58,57.37
57.48,57.28,57.48,57.28
57.33,57.62,57.62,57.30
57.93,58.01,58.03,57.93
57.84,58.28,58.30,57.84
58.50,58.77,58.97,58.50
58.74,58.77,58.78,58.49
58.74,58.66,59.01,58.63
58.95,58.76,58.95,58.46
58.86,58.52,58.90,58.45
58.66,57.88,58.66,57.83
57.87,57.77,58.07,57.63
57.25,57.44,57.47,57.19
57.44,57.19,57.64,56.88
56.85,57.16,57.16,56.58
57.31,57.47,57.47,57.31
56.54,56.64,56.73,56.43
56.84,57.08,57.13,56.84
57.89,58.09,58.26,57.89
58.25,58.18,58.33,58.15
58.64,58.08,58.64,57.99
58.66,58.99,59.14,58.66
58.87,58.95,58.96,58.60
59.01,59.08,59.08,58.92
59.32,59.27,59.41,59.16
59.23,59.30,59.44,59.18
59.00,58.81,59.00,58.57
58.94,58.25,58.94,57.97
58.06,57.74,58.37,57.73
58.59,58.38,58.92,58.38
58.74,58.56,58.74,58.56
59.29,59.15,59.29,59.15
59.15,58.55,59.15,58.44
58.33,58.58,58.70,58.33
57.99,58.16,58.21,57.99
58.26,57.99,58.26,57.99
57.62,57.19,57.65,56.98
57.31,57.94,57.94,57.31
58.22,58.30,58.43,58.00
58.13,57.87,58.13,57.87
56.95,56.92,56.95,56.79
57.01,56.90,57.01,56.90
56.43,57.23,57.33,56.43
56.95,57.31,57.31,56.95
57.51,57.75,57.75,57.51
57.80,58.05,58.05,57.72
56.93,56.71,57.02,56.71
56.36,56.50,56.50,56.15
55.99,55.86,56.17,55.73
55.86,55.31,55.86,55.31
55.52,55.37,55.61,55.37
55.00,54.66,55.00,54.66
54.87,55.19,55.19,54.79
54.76,54.33,54.76,54.14
54.60,54.21,54.60,54.00
54.64,55.21,55.44,54.64
54.62,54.44,54.93,54.22
54.66,54.52,54.66,54.31
54.87,54.70,54.87,54.58
54.54,55.01,55.01,54.54
