BPT,BP Prudhoe Bay Royalty Trust Common Stock,NASDAQ
83.99,85.00,85.00,83.22
84.87,85.82,85.82,84.74
85.99,86.37,87.02,85.59
86.49,86.70,86.93,85.60
86.70,87.75,88.27,86.32
89.23,88.48,90.00,88.01
88.48,88.50,89.21,88.00
84.87,85.55,85.61,83.75
86.00,86.65,86.66,85.60
86.08,85.87,86.65,85.50
85.91,86.33,86.50,85.00
86.50,85.84,88.20,85.25
86.20,85.27,87.25,85.00
84.96,82.77,85.03,82.58
82.77,84.44,84.65,82.57
84.40,84.01,85.65,83.75
85.29,82.35,85.29,81.51
83.38,81.91,83.45,81.62
83.50,81.51,83.50,81.43
82.65,83.74,83.78,81.96
84.00,86.85,86.85,83.75
87.00,86.30,87.45,85.71
85.06,83.54,85.89,83.24
83.32,82.31,84.40,80.45
83.51,82.71,83.59,82.31
83.13,82.83,83.45,82.61
83.00,83.74,83.92,82.44
84.86,85.94,86.32,84.20
86.62,87.41,87.41,84.61
87.50,87.65,88.25,87.09
88.00,87.62,88.25,87.60
88.04,88.61,88.88,87.62
88.89,88.83,88.99,88.00
89.49,88.93,89.49,88.36
88.77,88.46,88.90,87.78
88.60,88.52,89.33,88.33
89.29,89.22,89.36,87.81
89.39,89.38,90.00,89.20
90.45,90.19,90.45,89.37
91.47,92.00,92.57,90.44
92.50,92.49,93.79,92.25
93.50,91.42,93.50,91.12
91.53,93.63,93.84,91.53
94.09,94.29,94.45,93.01
94.00,93.87,94.26,93.51
93.87,94.71,95.49,93.78
94.37,95.30,95.30,94.37
95.60,96.50,97.42,95.43
96.67,96.28,98.75,95.49
97.00,97.16,97.25,96.47
98.00,97.88,98.30,97.30
98.00,95.78,98.25,95.75
96.61,85.05,96.61,85.05
86.79,91.65,91.95,86.37
94.10,94.90,95.31,91.88
95.49,93.42,95.49,93.00
93.63,93.78,95.25,93.63
94.03,93.31,96.85,92.76
97.99,97.59,97.99,95.04
97.54,97.50,98.32,97.01
98.30,98.74,98.79,97.80
99.05,99.96,100.00,98.51
101.00,104.00,105.00,100.60
104.00,105.08,105.09,101.75
103.95,101.90,104.84,101.18
101.01,102.62,103.18,98.00
103.00,104.99,104.99,103.00
105.89,104.97,105.89,104.50
101.42,102.19,102.50,99.87
102.46,102.16,103.44,101.44
102.16,101.32,102.49,101.30
100.04,99.97,100.79,98.92
98.05,99.64,100.25,98.00
100.65,101.93,102.65,100.02
102.92,102.34,102.92,101.06
101.96,101.64,102.00,100.72
101.78,102.88,102.92,100.76
101.40,101.74,102.61,101.40
101.00,99.80,101.52,99.68
100.11,100.89,101.12,99.73
101.90,99.28,101.90,99.00
98.86,98.60,99.41,94.00
95.39,96.22,97.00,91.74
94.10,96.26,96.78,93.05
94.43,93.92,95.90,93.40
93.90,93.39,96.20,85.01
95.00,93.41,95.00,90.50
98.60,97.78,98.60,95.15
97.67,98.29,99.00,96.89
99.99,100.37,100.84,98.76
101.16,99.76,101.16,99.10
99.33,97.53,99.33,96.12
96.51,95.25,97.50,93.55
95.58,95.35,98.00,95.05
95.00,93.30,95.18,91.10
91.11,89.35,92.45,88.23
88.30,90.43,90.95,86.50
90.43,90.16,91.00,88.55
87.98,89.49,89.60,87.23
90.84,90.45,92.09,90.26
93.10,93.45,94.50,92.38
93.03,92.59,93.90,92.50
91.00,89.74,93.00,89.56
89.79,91.92,92.19,88.73
92.11,94.09,94.37,91.91
92.36,92.14,95.42,91.84
92.60,92.00,93.80,91.69
92.24,92.99,93.31,91.50
93.47,92.61,94.66,92.24
94.20,94.47,94.61,92.38
93.20,94.49,94.80,93.20
95.00,94.53,95.97,94.26
95.50,94.85,95.68,94.02
94.10,93.72,94.98,93.60
93.31,91.39,93.58,90.58
91.58,91.44,92.19,90.70
92.04,91.90,92.99,91.61
92.10,91.14,92.56,91.00
91.00,90.98,91.62,90.50
90.52,89.69,91.24,89.53
89.75,90.44,91.11,89.30
90.26,90.03,90.49,89.75
89.01,88.63,89.87,88.00
89.00,89.15,90.16,88.60
89.50,88.86,89.50,86.79
89.29,89.66,90.14,88.91
90.30,90.54,91.88,90.14
90.50,93.24,93.24,90.50
93.31,94.25,94.85,93.25
94.88,96.19,96.45,93.82
96.50,96.44,96.50,95.15
94.50,92.93,95.10,92.68
93.00,91.70,93.00,91.50
91.36,91.37,92.92,90.00
90.41,91.10,92.26,90.37
91.25,91.16,92.31,90.16
91.10,91.22,92.10,90.58
92.50,92.72,92.74,91.16
92.76,93.36,94.00,92.76
93.89,94.48,94.50,92.89
94.48,95.11,95.15,94.00
95.24,93.90,95.50,93.77
93.52,93.42,94.32,92.75
95.75,93.92,95.75,92.68
93.68,95.33,95.87,93.01
95.90,94.85,96.00,94.61
95.86,95.28,96.00,94.68
94.86,95.94,96.45,94.86
95.40,95.53,96.41,94.99
95.01,95.68,95.83,94.66
96.00,95.65,96.30,95.25
94.48,95.70,96.00,94.48
95.23,92.98,95.25,92.60
92.60,93.36,93.98,91.46
93.51,93.56,94.00,93.50
93.32,93.72,93.85,92.77
94.10,94.14,94.48,93.87
94.20,94.40,94.49,93.55
93.95,93.43,94.27,93.03
93.42,93.49,93.71,92.75
93.74,94.24,94.54,93.74
94.10,93.73,94.10,93.12
93.50,92.55,93.50,92.05
92.56,93.21,93.90,92.55
93.46,93.97,94.46,92.86
93.92,93.43,94.16,93.26
92.91,93.40,93.95,92.60
94.20,94.48,95.41,93.78
94.82,94.54,95.02,94.24
95.00,95.04,95.10,94.45
94.47,95.00,95.20,94.47
95.00,95.48,95.69,95.00
95.50,95.22,95.97,95.18
95.52,96.40,96.47,95.52
97.00,96.99,97.33,96.80
97.30,97.16,97.66,96.82
97.00,97.24,97.94,96.58
97.20,97.62,97.96,96.85
98.00,97.63,98.00,97.27
98.00,98.83,99.68,97.23
99.33,99.21,99.49,98.50
99.60,99.53,100.39,99.34
99.70,100.72,101.05,99.35
100.75,101.62,101.67,100.75
102.00,102.49,102.99,101.22
102.52,101.68,102.52,100.75
102.24,101.88,102.49,101.43
102.10,103.35,103.59,101.75
103.45,104.75,104.90,103.44
104.74,103.53,104.74,102.38
103.60,104.11,104.50,103.17
104.19,105.25,105.26,104.19
105.45,105.05,105.50,104.45
105.40,106.02,106.48,105.15
106.43,107.75,108.33,106.19
108.00,109.14,109.58,106.75
106.86,105.03,106.99,104.72
105.31,105.30,106.39,104.80
104.99,103.15,106.00,102.83
103.10,103.53,104.16,102.64
103.43,100.51,103.43,100.16
101.67,101.89,102.00,100.50
103.00,102.52,103.00,101.89
102.65,102.31,102.95,102.05
102.52,102.62,103.50,102.26
103.00,102.75,103.42,101.99
102.55,102.60,102.75,101.55
102.31,102.47,102.88,101.75
102.11,102.81,102.95,101.82
102.92,103.34,104.20,102.92
103.37,104.79,104.95,103.37
105.00,104.53,105.00,103.85
107.88,106.74,107.88,104.79
106.96,107.72,107.90,106.34
107.48,107.93,108.36,107.46
108.00,107.96,109.00,107.55
108.39,108.95,109.10,107.61
108.95,109.15,109.22,108.46
108.80,106.40,108.88,106.25
106.75,107.38,108.00,106.75
107.26,105.39,107.26,103.97
105.12,105.47,105.81,104.98
106.02,106.92,107.88,106.02
107.49,107.49,107.79,106.34
107.49,107.38,107.89,106.36
107.12,106.62,107.12,106.22
106.72,107.55,107.84,106.72
107.45,107.37,107.82,107.25
107.75,109.20,109.54,107.00
108.85,110.33,111.60,108.00
110.62,111.95,113.04,110.62
112.30,114.32,116.40,112.10
114.15,113.79,115.50,113.29
113.89,114.10,114.20,113.05
114.42,115.06,115.45,114.10
115.56,116.53,116.98,113.98
116.99,118.84,118.96,116.75
119.49,120.04,121.59,119.09
120.42,121.45,123.46,120.42
121.99,122.07,123.49,121.60
122.00,122.15,123.36,122.00
122.40,116.43,122.98,107.00
116.96,115.50,117.37,114.41
115.22,118.58,118.62,115.18
118.86,122.29,122.76,118.86
122.90,121.58,122.90,120.80
121.95,122.44,122.97,121.30
122.41,122.64,123.00,121.51
123.00,125.58,125.63,122.65
125.64,127.58,129.23,125.64
127.69,126.57,129.41,126.53
126.66,126.54,127.64,125.55
127.02,129.16,129.98,127.02
129.32,126.67,130.95,126.41
126.71,130.00,130.00,126.03
130.31,128.15,130.38,127.24
128.32,128.75,130.38,127.56
126.78,128.30,128.80,125.05
128.62,130.60,131.49,128.62
128.25,127.49,130.00,127.30
127.28,126.43,128.42,124.58
126.07,124.58,126.29,123.07
124.51,126.83,127.32,124.51
126.78,125.48,127.13,124.91
125.50,122.91,125.80,120.26
124.02,123.21,124.50,123.11
123.00,120.66,124.35,120.33
118.61,109.81,119.28,100.76
109.49,113.44,114.44,107.05
114.16,113.06,114.84,112.76
112.86,114.15,114.37,110.75
114.46,117.93,118.00,114.19
118.31,112.18,118.75,111.52
111.14,113.80,114.16,111.00
113.87,114.04,114.50,113.22
113.66,110.52,114.73,110.50
110.30,105.59,111.02,104.10
105.53,105.11,105.53,102.09
105.00,105.53,105.95,104.45
105.52,105.35,106.00,104.50
105.80,107.05,107.39,104.82
107.22,108.25,108.45,106.78
108.75,109.18,109.78,108.15
109.42,110.89,111.43,109.42
111.03,111.11,112.00,109.74
111.65,111.33,111.92,110.17
112.60,114.01,114.36,111.56
114.34,113.96,117.50,113.96
114.11,113.54,115.62,113.00
113.45,113.90,114.00,113.00
114.01,114.09,114.80,113.60
114.00,113.50,115.00,113.23
113.85,113.60,114.49,113.53
114.06,114.35,114.65,113.73
113.96,115.74,116.48,113.80
116.12,114.52,117.30,114.50
114.66,114.28,114.76,113.58
114.50,114.17,115.64,114.00
113.50,110.62,114.01,110.00
110.34,110.89,111.37,108.21
110.70,111.68,111.86,110.13
109.98,110.81,111.66,107.50
111.00,112.01,113.31,110.94
112.18,115.77,116.00,112.18
115.79,116.14,116.50,114.85
117.00,116.55,117.47,116.33
117.00,117.10,117.20,116.40
117.28,118.04,118.39,117.01
118.48,118.53,119.02,117.75
118.99,119.40,120.00,118.75
119.87,118.59,120.00,118.36
118.33,117.66,118.44,116.63
