ITA,iShares U.S. Aerospace & Defense ETF,NASDAQ
51.69,52.25,52.26,51.40
52.31,52.55,52.58,52.06
52.43,53.02,53.08,52.40
52.97,53.16,53.29,52.61
53.13,53.46,53.46,52.97
53.66,53.88,53.88,53.38
53.50,53.38,53.65,53.12
53.53,54.05,54.12,53.49
53.98,54.41,54.48,53.78
54.42,53.75,54.42,53.37
53.87,54.20,54.37,53.59
54.26,53.46,54.42,52.89
53.50,52.26,53.58,52.21
52.10,51.34,52.46,51.34
51.93,51.44,51.93,51.21
51.37,51.35,51.69,50.90
51.21,51.88,51.91,50.96
52.00,51.21,52.00,50.67
51.37,50.73,51.46,50.56
50.78,51.41,51.43,50.68
51.42,52.29,52.35,51.42
52.07,52.26,52.44,52.01
51.73,50.52,52.01,50.50
50.39,50.10,50.68,49.04
50.11,49.76,50.36,49.76
50.35,50.55,50.85,50.02
50.45,50.50,50.71,50.16
50.34,51.02,51.03,49.84
50.34,50.66,50.73,50.12
51.00,51.44,51.45,50.87
51.60,51.96,51.97,51.40
52.00,52.78,52.78,51.94
52.65,53.10,53.41,52.58
53.23,53.35,53.59,52.97
53.27,52.57,53.37,52.55
52.82,53.12,53.18,52.77
52.39,53.07,53.07,52.04
53.14,53.43,53.47,53.13
53.56,54.39,54.50,53.45
54.64,54.84,54.97,54.51
54.97,54.70,55.05,54.61
54.87,55.08,55.08,54.69
55.41,55.96,56.00,55.37
56.06,55.72,56.08,55.65
55.66,56.25,56.49,55.47
56.29,56.84,56.97,56.29
56.63,57.04,57.05,56.15
57.29,56.76,57.29,56.40
57.07,56.71,57.07,56.33
56.93,56.94,57.00,56.14
57.01,57.07,58.00,56.77
57.12,57.13,57.26,56.98
57.46,57.46,57.80,57.13
56.15,57.68,57.73,56.15
57.73,58.11,58.16,57.67
58.05,57.86,58.19,57.75
58.32,57.73,58.45,57.72
57.90,57.92,58.34,57.74
58.22,58.39,58.50,58.14
58.55,58.32,58.65,57.95
58.14,57.84,58.33,57.70
58.29,58.09,58.47,57.68
58.29,58.27,58.49,58.00
58.05,57.91,58.17,57.84
57.83,57.77,58.00,57.51
57.62,57.69,57.82,57.34
57.78,58.10,58.12,57.56
58.18,58.25,58.45,58.04
58.13,58.09,58.17,57.57
58.01,58.41,58.41,57.91
58.36,58.65,58.79,58.27
58.50,58.03,58.61,57.53
57.76,58.06,58.09,57.48
58.53,58.70,58.74,58.23
58.71,59.66,59.75,58.70
59.65,60.65,60.68,59.24
60.73,60.57,60.73,60.00
60.56,60.36,60.86,60.31
60.12,59.13,60.39,59.02
59.33,59.32,59.41,58.75
59.53,60.31,60.35,59.50
60.42,58.92,60.52,58.92
59.14,60.33,60.35,59.14
59.59,58.49,59.59,58.12
58.05,57.96,58.43,57.66
57.61,56.06,58.16,25.91
55.49,54.46,56.02,53.92
55.46,57.02,57.46,55.46
56.18,57.36,58.09,56.18
57.74,58.68,58.75,57.74
58.52,58.26,58.95,57.99
57.87,56.87,57.96,56.30
57.14,56.82,57.28,55.71
57.24,56.13,57.44,55.98
55.80,55.34,56.04,54.59
54.10,52.49,54.18,52.33
51.59,53.56,53.67,50.00
53.09,52.72,53.69,52.72
50.71,52.35,52.35,50.52
52.84,52.41,53.63,52.33
53.59,54.11,54.11,53.30
54.24,53.57,54.24,53.33
52.69,52.36,53.80,52.34
52.55,53.47,53.47,52.17
53.47,53.72,54.04,53.22
52.75,51.40,52.99,51.22
51.43,49.90,51.68,49.90
49.90,50.15,50.30,49.42
50.65,50.21,51.26,50.13
51.00,51.73,51.73,50.84
51.29,52.01,52.02,51.29
52.44,52.30,53.16,52.21
52.40,53.67,53.74,52.40
52.99,53.73,53.93,52.99
53.87,53.80,53.89,53.16
53.83,54.07,54.15,53.71
54.67,53.97,54.82,53.67
53.84,52.92,54.35,52.90
53.22,53.00,53.36,52.45
52.61,52.00,53.03,52.00
52.13,52.47,52.56,51.63
52.50,52.28,53.03,52.20
51.51,50.04,51.51,49.86
50.15,49.70,50.70,49.60
49.66,49.26,49.66,48.69
49.30,49.08,49.49,48.70
49.63,48.90,49.75,48.50
48.94,50.52,50.57,48.94
50.92,51.33,51.36,50.79
51.25,51.45,51.46,50.99
51.26,50.70,51.30,50.50
51.44,51.71,51.84,51.40
51.43,51.87,52.17,51.43
51.94,51.68,52.24,51.00
50.99,49.83,50.99,49.75
49.95,50.18,50.26,49.60
49.46,50.72,50.78,49.14
51.14,50.79,51.49,50.43
51.33,52.39,52.62,51.33
51.99,53.25,53.32,51.99
53.46,54.22,54.22,53.32
54.41,53.68,54.81,53.65
53.48,53.44,53.85,53.35
53.81,53.45,53.91,53.07
53.30,53.40,53.60,52.63
54.18,54.27,54.39,53.71
54.11,54.07,54.54,53.96
54.19,54.45,54.54,54.17
54.19,54.31,54.47,54.07
53.71,53.95,54.26,53.28
54.25,54.38,54.41,54.06
53.31,53.67,54.01,53.14
52.59,51.62,52.59,51.39
50.44,51.10,51.35,50.44
50.94,51.04,51.44,50.92
50.44,51.01,51.20,50.44
51.41,52.12,52.54,51.37
52.02,52.43,52.52,51.66
52.11,51.18,52.11,50.93
50.78,50.94,51.00,50.38
50.85,49.94,51.29,49.94
