GXC,SPDR S&P China ETF,NASDAQ
72.51,73.85,73.85,72.51
74.85,75.30,75.35,74.71
75.57,75.69,75.79,75.33
74.83,75.05,75.15,74.47
74.74,75.18,75.18,74.35
75.50,75.38,75.65,75.00
74.39,73.88,74.39,73.28
73.14,73.77,73.77,72.83
73.26,73.15,73.36,72.85
72.59,72.25,73.24,71.99
73.00,73.85,73.85,72.74
71.66,71.65,71.91,71.00
70.62,68.91,70.62,68.73
69.01,67.63,69.15,67.47
68.72,68.52,68.90,68.08
67.52,66.65,67.52,66.24
66.00,66.14,66.28,65.05
66.86,65.97,66.93,65.50
66.69,65.59,67.00,65.51
66.50,67.45,67.55,66.40
67.26,68.28,68.50,67.15
68.82,68.57,69.00,68.24
67.35,65.36,67.35,65.36
64.81,64.72,64.90,63.15
64.28,63.77,64.85,63.77
65.04,65.42,66.19,64.63
66.05,66.11,66.50,65.22
66.63,67.62,67.70,66.30
66.61,66.89,66.98,66.04
67.49,68.08,68.20,67.07
68.65,68.15,68.66,67.90
67.83,68.53,68.65,67.69
67.21,67.38,67.67,66.91
67.83,67.63,68.00,67.45
67.91,67.00,68.08,66.70
67.72,68.22,68.35,67.65
66.67,67.62,67.81,66.50
68.06,68.57,68.76,67.77
69.57,69.94,70.21,69.55
70.70,70.38,70.91,70.20
70.43,70.26,70.99,70.21
69.73,69.38,69.80,69.12
70.53,71.13,71.13,70.19
71.39,71.63,71.85,71.39
71.49,71.99,72.43,71.49
71.88,72.41,72.73,71.88
71.95,72.44,72.47,71.50
72.38,71.97,72.38,71.64
71.28,71.32,71.57,70.99
71.25,71.61,71.68,70.92
72.28,72.39,72.81,72.19
72.32,72.23,72.32,71.79
71.53,71.53,72.36,71.36
70.66,71.60,71.66,70.52
71.29,71.44,71.61,70.99
70.99,70.69,70.99,70.31
70.69,69.80,70.95,69.63
70.80,71.06,71.50,70.43
71.40,71.98,72.13,71.40
72.49,72.67,72.96,72.33
72.21,72.03,72.55,71.89
73.20,73.94,73.94,73.20
74.42,74.82,75.05,74.08
74.48,74.97,74.97,74.32
75.03,74.69,75.06,74.10
74.63,75.14,75.44,74.05
75.60,76.14,76.14,75.55
75.08,75.20,75.39,75.02
74.59,74.86,74.86,74.07
75.11,75.66,75.71,74.96
74.90,75.15,75.41,74.90
73.81,72.61,73.81,72.11
71.69,72.00,72.20,71.17
73.15,73.22,73.25,72.63
72.78,72.27,72.78,71.78
71.80,72.62,72.75,71.48
72.19,72.77,72.91,72.03
72.94,72.89,73.31,72.87
71.75,70.37,72.04,70.10
71.07,71.06,71.25,70.25
71.00,71.73,71.93,71.00
72.13,71.23,72.17,70.99
71.23,71.69,71.85,70.82
70.25,68.99,70.25,68.53
68.15,68.07,69.07,67.46
67.51,65.14,67.81,44.00
66.05,65.60,66.94,60.00
66.59,69.30,69.31,66.59
68.30,68.43,69.31,66.98
68.25,68.98,69.19,68.25
68.94,68.51,69.34,68.45
68.11,67.46,68.11,66.57
67.00,66.96,67.25,65.51
67.87,66.20,67.92,65.81
65.45,65.63,66.08,64.60
63.74,62.82,64.63,62.69
61.85,65.13,65.17,61.70
65.90,65.64,66.49,65.40
62.88,64.98,64.98,62.55
65.32,64.84,66.38,64.58
65.84,68.28,68.31,65.84
68.16,67.35,68.19,66.59
