UCC,ProShares Ultra Consumer Services,NASDAQ
33.93,34.15,34.24,33.93
34.00,34.27,34.27,33.70
34.27,34.12,34.32,34.06
34.14,34.39,34.47,34.14
34.13,34.57,34.57,34.13
34.60,34.45,34.61,34.29
34.08,33.76,34.09,33.76
34.07,34.65,34.65,34.07
34.54,34.63,34.63,34.43
34.01,33.84,34.01,33.70
34.00,34.64,34.68,33.98
34.17,34.09,34.24,33.68
34.61,33.47,34.61,33.47
32.96,32.43,33.00,32.43
32.90,32.29,32.90,32.29
32.60,32.60,33.06,32.60
32.09,32.58,32.68,32.09
32.99,32.16,32.99,31.93
32.50,31.93,33.06,31.93
32.59,32.71,32.71,32.16
32.89,33.14,33.14,32.87
33.14,33.14,33.14,33.14
32.31,31.80,32.31,31.80
31.50,31.13,31.51,30.36
31.56,31.09,31.78,30.49
31.52,32.04,32.04,31.36
31.78,31.67,31.82,31.58
31.61,32.17,32.31,31.48
31.49,32.20,32.21,31.49
32.89,33.29,33.35,32.81
33.78,33.95,33.95,33.50
33.85,34.14,34.18,33.64
34.40,34.45,34.55,34.04
34.48,34.56,34.65,34.38
34.05,34.21,34.21,33.84
34.15,34.60,35.46,34.15
32.86,34.90,34.90,32.86
34.76,34.93,34.93,34.76
35.60,35.94,36.04,35.36
36.42,35.90,37.45,35.90
36.24,35.96,36.24,35.68
36.22,36.35,36.38,36.07
37.07,37.46,37.46,36.64
37.55,37.57,37.97,37.41
37.12,37.56,37.90,37.12
37.99,37.90,37.99,37.50
38.15,38.02,38.15,37.50
37.54,38.37,38.42,37.54
38.56,38.49,38.56,38.00
39.32,39.15,39.32,37.83
39.37,39.25,39.56,39.22
39.27,39.41,39.44,39.22
38.80,38.80,39.49,38.63
39.15,39.84,39.99,38.54
40.12,40.21,40.21,39.56
40.39,39.80,40.39,39.56
40.58,40.43,40.87,40.43
40.57,40.65,41.04,40.34
41.19,40.82,41.19,40.72
40.76,41.03,41.35,40.72
40.85,40.62,40.89,40.04
41.19,41.03,41.28,40.66
41.79,41.90,41.94,41.03
41.86,42.14,42.19,41.86
42.30,41.68,42.30,41.33
41.38,42.34,42.50,41.38
42.51,42.97,42.97,42.16
43.28,42.93,43.28,42.83
42.90,43.37,43.38,42.87
43.57,44.20,44.27,43.36
43.92,44.36,44.47,43.92
44.26,43.24,44.27,42.99
42.92,43.36,43.51,41.22
43.99,44.13,44.22,43.60
44.37,44.35,47.71,43.83
43.96,45.52,45.62,43.64
45.81,45.95,45.95,45.10
46.00,46.20,46.45,45.95
46.20,43.65,46.20,43.65
43.72,43.91,44.28,42.31
44.22,45.07,45.28,44.22
45.18,43.67,45.52,43.56
43.90,44.96,45.21,43.90
44.03,42.89,44.03,42.58
41.82,42.33,43.28,41.65
41.53,39.63,42.08,35.31
39.86,37.95,39.86,36.63
38.00,41.15,42.39,38.00
40.99,41.28,42.03,39.87
41.83,42.29,42.38,41.23
42.32,40.98,42.41,40.91
40.70,39.78,40.70,39.22
39.44,40.31,40.37,38.87
40.90,39.27,41.09,39.00
38.80,38.67,38.99,37.59
36.97,35.87,37.56,35.87
34.95,36.84,37.18,34.72
36.69,37.08,37.20,36.69
36.08,36.80,36.84,34.16
37.66,36.73,38.00,36.48
38.29,38.77,38.77,37.89
39.06,38.20,39.06,37.80
37.44,37.06,38.44,37.06
37.47,37.68,37.87,37.41
38.59,39.04,39.29,38.45
38.04,36.28,38.04,36.00
35.97,34.88,35.97,34.88
34.88,34.94,35.07,34.12
35.86,36.33,36.59,35.86
36.77,37.33,37.33,36.52
36.68,37.54,37.54,36.51
38.38,37.72,38.63,37.72
38.37,39.24,39.24,38.29
39.00,38.66,39.04,38.47
39.15,38.13,39.15,37.90
38.42,38.23,38.60,38.23
39.62,37.33,39.62,37.09
37.59,35.91,37.59,35.89
36.02,35.94,36.07,35.50
35.37,34.46,35.44,34.29
34.33,34.62,34.68,34.02
34.23,34.29,34.45,34.00
33.27,31.92,33.27,31.52
32.12,31.15,32.33,31.11
30.92,31.42,31.51,30.05
31.33,31.02,31.40,30.46
31.96,30.67,32.10,30.47
31.70,32.32,32.33,31.62
32.80,32.25,33.03,32.23
32.83,33.29,33.40,32.83
33.69,33.54,33.72,33.32
34.21,35.00,35.19,34.21
