INVE,Identiv,NASDAQ
2.26,2.26,2.28,2.20
2.33,2.49,2.88,2.25
2.38,2.35,2.41,2.35
2.35,2.37,2.37,2.35
2.39,2.27,2.39,2.26
2.35,2.37,2.37,2.35
2.35,2.28,2.35,2.28
2.29,2.30,2.38,2.25
2.26,2.26,2.26,2.26
2.30,2.07,2.30,2.07
2.08,2.10,2.15,2.08
2.10,2.10,2.10,2.10
1.92,2.09,2.09,1.92
2.05,1.92,2.07,1.92
1.90,1.63,1.92,1.63
1.78,1.91,2.02,1.78
1.95,1.87,1.95,1.87
1.92,1.88,2.05,1.88
1.91,2.05,2.05,1.87
2.05,1.76,2.05,1.76
1.87,2.03,2.14,1.83
2.09,2.08,2.09,2.04
2.02,1.90,2.02,1.90
1.91,1.95,1.95,1.77
1.91,1.91,1.91,1.91
1.90,1.80,1.90,1.80
1.90,1.80,1.90,1.80
1.89,1.90,2.00,1.85
1.90,1.90,1.90,1.90
1.91,1.88,1.91,1.76
1.80,1.79,1.83,1.75
1.77,1.60,1.77,1.60
1.29,1.45,1.61,1.29
1.50,1.66,1.67,1.50
1.63,1.55,1.68,1.55
1.52,1.62,1.62,1.50
1.63,1.67,1.67,1.50
1.53,1.65,1.65,1.53
1.65,1.65,1.65,1.65
1.70,1.61,1.75,1.56
1.61,1.61,1.61,1.61
1.57,1.57,1.57,1.57
1.70,1.75,1.77,1.69
1.75,1.65,1.75,1.65
1.65,1.74,1.74,1.65
1.70,1.67,1.72,1.55
1.65,1.56,1.74,1.56
1.65,1.84,1.90,1.65
1.84,1.84,1.84,1.75
1.84,1.80,1.84,1.58
1.80,1.87,1.90,1.79
1.87,1.85,1.95,1.85
1.94,1.95,1.95,1.90
1.94,1.85,1.95,1.82
1.88,1.95,1.95,1.87
1.93,1.87,1.95,1.87
1.85,1.80,1.90,1.80
1.81,1.90,1.90,1.80
1.89,1.84,1.92,1.84
1.84,1.86,1.88,1.80
1.86,1.90,1.90,1.82
1.89,1.80,1.90,1.80
1.86,1.92,1.92,1.81
1.90,1.84,1.90,1.84
1.84,1.87,1.87,1.80
1.85,1.81,1.85,1.81
1.82,1.90,1.90,1.75
1.90,1.86,1.90,1.82
1.85,1.75,1.85,1.75
1.76,1.90,1.90,1.76
1.80,1.75,1.85,1.75
1.75,1.79,1.84,1.75
1.71,1.71,1.78,1.71
1.71,1.72,1.72,1.71
1.71,1.72,1.75,1.71
1.71,1.79,1.79,1.70
1.77,1.74,1.78,1.74
1.79,1.79,1.79,1.74
1.76,1.73,1.79,1.73
1.73,1.75,1.75,1.73
1.75,1.78,1.78,1.74
1.68,1.55,1.78,1.29
1.57,1.72,1.72,1.57
1.72,1.75,1.75,1.67
1.65,1.67,1.74,1.65
1.69,1.68,1.70,1.60
1.68,1.66,1.75,1.66
1.71,1.69,1.74,1.69
1.70,1.80,1.80,1.70
1.75,1.77,1.80,1.75
1.78,1.78,1.78,1.70
1.67,1.72,1.74,1.67
1.74,1.78,1.78,1.71
1.79,1.90,1.90,1.73
1.80,1.64,1.80,1.64
1.65,1.80,1.80,1.65
1.77,1.73,1.77,1.73
1.75,1.73,1.75,1.73
1.71,1.80,1.80,1.68
1.80,1.70,1.80,1.65
1.70,1.67,1.70,1.65
1.70,1.70,1.70,1.65
1.70,1.70,1.70,1.67
1.70,1.60,1.70,1.60
1.62,1.75,1.75,1.62
1.70,1.61,1.70,1.61
1.61,1.60,1.75,1.60
1.70,1.69,1.70,1.60
1.70,1.65,1.70,1.65
1.65,1.66,1.66,1.65
1.68,1.76,1.76,1.66
1.70,1.66,1.70,1.66
1.70,1.69,1.70,1.66
1.67,1.67,1.67,1.64
1.68,1.69,1.69,1.67
1.69,1.61,1.69,1.61
1.63,1.63,1.64,1.63
1.66,1.70,1.70,1.63
1.70,1.67,1.70,1.66
1.67,1.69,1.69,1.67
1.70,1.68,1.70,1.68
1.68,1.67,1.70,1.67
1.64,1.63,1.64,1.63
1.63,1.60,1.65,1.60
1.61,1.70,1.70,1.60
1.66,1.62,1.70,1.62
1.62,1.62,1.62,1.62
1.64,1.65,1.65,1.62
1.65,1.65,1.66,1.62
1.64,1.62,1.64,1.61
1.60,1.60,1.61,1.60
1.60,1.57,1.60,1.57
1.57,1.60,1.60,1.57
1.60,1.60,1.60,1.52
1.60,1.60,1.60,1.60
1.54,1.54,1.54,1.54
1.59,1.55,1.59,1.55
1.96,1.58,1.96,1.51
1.58,1.55,1.58,1.55
1.53,1.52,1.59,1.52
1.59,1.60,1.60,1.55
1.60,1.58,1.60,1.55
1.57,1.53,1.57,1.52
1.58,1.59,1.59,1.58
1.60,1.60,1.60,1.58
1.60,1.54,1.60,1.50
1.54,1.60,1.60,1.50
1.52,1.51,1.52,1.51
1.50,1.54,1.59,1.50
1.54,1.54,1.54,1.54
1.50,1.56,1.56,1.50
1.58,1.58,1.58,1.58
1.53,1.51,1.53,1.49
1.51,1.51,1.51,1.51
1.50,1.40,1.51,1.40
1.40,1.52,1.52,1.40
1.52,1.45,1.52,1.45
1.45,1.47,1.47,1.40
1.50,1.54,1.54,1.45
1.54,1.60,1.60,1.54
1.53,1.50,1.59,1.50
1.50,1.59,1.59,1.45
1.58,1.50,1.58,1.50
1.50,1.56,1.57,1.50
1.59,1.60,1.60,1.58
1.58,1.86,1.86,1.55
1.70,1.51,1.70,1.51
1.55,1.64,1.65,1.55
1.70,1.71,1.71,1.53
1.71,1.57,1.75,1.56
1.57,1.58,1.62,1.55
1.57,1.60,1.62,1.57
1.57,1.55,1.62,1.55
1.55,1.62,1.64,1.55
1.65,1.65,1.65,1.52
1.60,1.60,1.65,1.59
1.61,1.64,1.69,1.60
1.57,1.59,1.60,1.57
1.67,1.50,1.67,1.50
1.56,1.62,1.62,1.56
1.62,1.60,1.65,1.60
1.60,1.69,1.69,1.60
1.69,1.63,1.69,1.60
1.63,1.60,1.63,1.60
1.60,1.62,1.62,1.60
1.64,1.62,1.67,1.62
1.62,1.84,1.85,1.62
1.85,1.80,1.85,1.75
1.84,1.82,1.84,1.80
1.81,1.93,2.11,1.81
1.99,1.90,1.99,1.90
1.98,1.90,1.98,1.87
1.87,1.92,2.00,1.85
1.95,2.07,2.07,1.90
2.02,1.95,2.05,1.92
2.00,2.10,2.10,2.00
2.07,2.12,2.30,2.07
2.21,2.25,2.37,2.12
2.25,2.16,2.30,2.11
2.16,2.22,2.30,2.16
2.21,2.17,2.21,2.17
2.22,2.18,2.23,2.14
2.24,2.19,2.24,2.14
2.13,2.11,2.13,2.07
2.11,2.15,2.22,2.08
2.20,2.14,2.20,2.14
2.09,2.12,2.20,2.09
2.15,2.20,2.20,2.15
2.21,2.22,2.22,2.21
2.25,2.34,2.34,2.24
2.34,2.20,2.34,2.20
2.21,2.30,2.30,2.21
2.30,2.31,2.44,2.30
2.38,2.60,2.67,2.38
2.61,2.65,2.65,2.60
2.65,2.64,2.69,2.55
2.60,2.55,2.60,2.50
2.55,2.50,2.55,2.50
2.50,2.40,2.50,2.36
2.40,2.32,2.43,2.32
2.35,2.35,2.44,2.31
2.32,2.29,2.39,2.26
2.25,2.25,2.32,2.25
2.30,2.28,2.30,2.22
2.44,2.42,2.46,2.25
2.42,2.40,2.45,2.39
2.33,2.35,2.38,2.33
2.27,2.29,2.35,2.27
2.49,2.34,2.49,2.29
2.29,2.36,2.39,2.28
2.30,2.29,2.36,2.29
2.35,2.33,2.38,2.31
2.32,2.34,2.34,2.30
2.27,2.24,2.34,2.24
2.23,2.22,2.27,2.22
2.23,2.36,2.39,2.23
2.39,2.31,2.39,2.23
2.25,2.24,2.33,2.22
2.23,2.25,2.26,2.22
2.23,2.23,2.26,2.22
2.22,2.24,2.24,2.22
2.40,2.32,2.40,2.24
2.32,2.30,2.32,2.26
2.27,2.15,2.27,2.13
2.25,2.25,2.29,2.19
2.29,2.26,2.29,2.22
2.20,2.31,2.41,2.20
2.36,2.38,2.40,2.31
2.40,2.40,2.45,2.40
2.40,2.37,2.43,2.37
2.35,2.35,2.37,2.35
2.41,2.52,2.52,2.41
2.50,2.41,2.50,2.41
2.42,2.45,2.47,2.40
2.43,2.37,2.44,2.37
2.40,2.43,2.43,2.40
2.43,2.37,2.43,2.37
2.39,2.43,2.43,2.37
2.43,2.35,2.43,2.35
2.26,2.34,2.34,2.26
2.28,2.31,2.39,2.27
2.32,2.35,2.35,2.30
2.30,2.35,2.35,2.28
2.31,2.30,2.31,2.30
2.29,2.28,2.30,2.28
2.28,2.28,2.28,2.28
2.27,2.24,2.28,2.23
2.27,2.35,2.51,2.27
2.35,2.94,3.00,2.35
2.76,2.70,2.89,2.63
2.70,2.55,2.70,2.55
2.61,2.55,2.68,2.55
2.58,2.60,2.69,2.56
2.58,2.57,2.63,2.56
2.52,2.36,2.60,2.35
2.39,2.41,2.44,2.39
2.35,2.38,2.46,2.35
2.39,2.44,2.50,2.39
2.48,2.47,2.54,2.47
2.41,2.51,2.59,2.41
2.50,2.45,2.50,2.42
2.46,2.46,2.46,2.41
2.49,2.49,2.49,2.46
2.45,2.46,2.55,2.40
2.38,2.49,2.50,2.38
2.50,2.58,2.59,2.41
2.59,2.80,2.95,2.53
2.85,2.69,2.85,2.55
2.66,2.63,2.69,2.63
2.63,2.63,2.72,2.63
2.67,2.63,2.69,2.61
2.69,2.63,2.69,2.51
2.63,2.67,2.69,2.61
2.68,3.19,3.55,2.61
3.13,3.20,3.35,2.92
3.20,3.09,3.20,2.92
3.02,3.00,3.24,2.97
3.04,2.98,3.05,2.95
2.97,2.70,2.98,2.66
2.70,2.76,2.83,2.70
2.78,2.74,2.78,2.53
2.52,2.60,2.61,2.37
2.53,2.49,2.53,2.37
2.69,2.68,2.69,2.59
2.65,2.55,2.68,2.55
2.57,2.68,2.68,2.57
2.64,2.74,2.75,2.61
2.75,2.64,2.75,2.62
2.67,2.64,2.72,2.64
2.67,2.79,2.80,2.58
2.76,2.68,2.76,2.62
2.69,2.60,2.71,2.59
2.65,2.60,2.65,2.55
2.56,2.61,2.65,2.56
2.60,2.66,2.67,2.58
2.62,2.58,2.76,2.56
2.61,2.63,2.65,2.57
2.60,2.70,2.70,2.60
2.62,2.70,2.70,2.62
2.69,2.68,2.69,2.67
2.64,2.66,2.69,2.64
2.96,5.69,5.90,2.96
4.46,3.63,4.73,3.62
3.55,3.45,4.08,3.40
3.48,3.36,3.59,3.33
3.95,3.74,4.15,3.64
3.65,3.33,3.66,3.27
3.43,3.67,3.68,3.26
3.55,3.48,3.72,3.37
3.51,3.49,3.59,3.33
3.66,3.57,3.90,3.56
3.63,3.55,3.64,3.42
3.55,3.56,3.79,3.50
3.52,3.46,3.60,3.41
3.46,3.64,3.75,3.33
3.51,3.52,3.73,3.41
3.52,3.06,3.58,3.03
3.13,3.10,3.27,2.92
3.15,2.92,3.16,2.92
3.03,3.29,3.31,2.89
3.22,3.28,3.28,3.08
3.28,3.12,3.28,3.08
3.10,3.09,3.14,3.00
3.17,2.89,3.17,2.88
2.90,2.88,3.03,2.84
2.88,2.81,2.90,2.71
2.82,2.87,2.92,2.81
2.90,2.91,3.01,2.85
2.88,3.04,3.09,2.86
3.45,2.94,3.79,2.94
2.55,2.35,2.61,2.35
2.43,2.45,2.51,2.38
2.50,2.38,2.53,2.37
2.45,2.50,2.55,2.37
2.55,2.46,2.55,2.43
2.47,2.44,2.52,2.41
2.44,2.47,2.65,2.39
2.46,2.21,2.49,2.18
2.38,2.36,2.44,2.32
2.39,2.37,2.44,2.31
2.36,2.24,2.38,2.20
2.25,2.22,2.30,2.21
2.24,2.40,2.42,2.22
2.41,2.49,2.55,2.35
2.52,2.43,2.52,2.40
2.41,2.39,2.42,2.33
2.38,2.31,2.38,2.26
2.33,2.33,2.35,2.25
2.33,2.30,2.40,2.29
2.31,2.35,2.40,2.29
2.45,2.39,2.45,2.35
2.28,2.33,2.38,2.28
2.35,2.44,2.47,2.34
2.50,2.46,2.59,2.36
2.45,2.46,2.50,2.40
2.45,2.39,2.45,2.36
2.40,2.32,2.44,2.27
2.33,2.35,2.42,2.31
2.35,2.45,2.45,2.35
2.41,2.44,2.47,2.38
2.45,2.42,2.59,2.38
2.40,2.43,2.47,2.39
2.40,2.38,2.52,2.36
2.32,2.23,2.39,2.21
2.24,2.16,2.30,2.12
2.18,2.00,2.24,1.98
2.00,2.01,2.07,1.94
2.03,1.94,2.04,1.83
1.93,2.06,2.06,1.93
2.08,2.10,2.14,2.04
2.09,2.11,2.15,2.04
2.17,2.11,2.17,2.08
2.09,2.07,2.11,2.06
2.06,2.09,2.16,2.03
2.07,2.03,2.07,2.00
2.01,2.07,2.14,2.01
2.13,2.12,2.20,2.08
