VBR,Vanguard Small-Cap Value ETF - DNQ,NASDAQ
55.25,55.52,55.66,54.88
55.40,55.46,55.66,55.16
55.46,55.55,55.71,55.40
55.56,56.04,56.09,55.15
55.90,56.24,56.24,55.79
56.42,56.21,56.64,55.95
55.87,55.55,55.97,55.29
55.74,56.21,56.31,55.31
56.04,56.39,56.51,55.93
56.45,55.72,56.45,55.37
55.97,56.59,56.65,55.74
56.08,56.06,56.27,55.40
56.08,55.09,56.37,54.96
54.98,53.98,55.16,53.90
54.24,54.22,54.38,53.75
53.95,53.76,54.44,53.67
53.58,54.20,54.25,53.26
54.33,53.38,54.34,52.84
53.62,52.85,54.13,52.68
53.00,53.45,53.48,52.94
53.60,54.15,54.18,53.38
53.88,53.72,54.11,53.34
53.32,51.95,53.41,51.95
52.04,52.20,52.20,51.00
52.07,51.65,52.50,51.65
52.27,52.32,52.64,51.72
52.25,52.31,52.60,51.72
52.22,53.11,53.14,51.90
52.63,53.40,53.44,52.44
53.97,54.51,54.51,53.61
54.80,54.86,54.97,54.49
54.83,55.42,55.42,54.83
55.18,55.66,55.79,55.17
55.90,55.83,55.98,55.65
55.68,55.16,55.86,55.13
55.35,55.73,55.86,55.28
54.98,55.81,55.83,54.62
55.81,55.50,55.87,55.26
55.94,56.56,56.66,55.86
56.83,56.98,57.23,56.76
57.24,57.15,57.58,57.02
57.31,57.39,57.45,57.08
57.64,58.41,58.47,57.52
58.47,58.60,58.72,58.34
58.39,58.76,59.11,58.36
58.77,59.16,59.40,58.70
58.85,59.30,59.40,58.64
59.54,59.37,59.64,58.99
59.29,59.29,59.44,58.79
59.50,59.88,59.88,59.21
60.07,60.32,60.59,60.07
60.35,60.24,60.62,60.13
59.62,59.62,60.42,59.37
59.22,60.33,60.38,59.04
60.38,60.90,60.92,60.01
60.58,60.41,60.80,60.40
60.87,60.02,61.19,59.98
60.34,60.04,60.61,59.75
60.30,60.37,60.44,60.05
60.40,60.40,60.75,60.10
60.25,60.02,60.76,60.02
60.53,60.62,60.72,60.06
60.83,61.71,61.71,60.70
61.50,62.25,62.29,61.43
62.14,62.07,62.39,61.65
61.83,62.09,62.24,61.47
62.16,62.52,62.52,61.83
62.62,62.67,62.77,62.42
62.57,62.95,62.96,62.21
63.30,64.12,64.12,63.23
64.12,64.21,64.38,63.99
64.00,63.29,64.19,62.87
63.00,63.11,63.56,62.23
63.42,64.07,64.08,63.26
64.14,64.59,64.67,63.98
64.00,65.31,65.35,63.69
65.36,66.05,66.08,65.10
66.08,65.74,66.40,65.73
65.49,64.05,65.92,63.95
64.46,64.22,64.66,63.98
64.76,65.66,65.66,64.46
65.73,63.76,65.74,63.74
64.07,65.03,65.06,64.05
64.18,63.00,64.18,62.65
62.52,62.18,63.07,61.68
61.78,59.91,62.41,32.47
59.18,58.32,60.13,57.58
61.47,61.56,62.00,60.52
60.93,61.92,62.73,60.66
62.20,63.52,63.55,62.13
63.40,62.93,63.76,62.61
62.43,61.59,62.44,60.93
62.02,61.61,62.47,60.00
62.45,60.45,62.54,60.22
60.13,59.79,60.83,58.83
58.20,56.73,58.46,56.67
55.69,57.65,57.97,55.42
57.24,56.83,57.94,56.80
55.43,56.84,56.84,54.65
56.96,56.90,58.19,56.74
58.39,59.39,59.39,57.86
59.37,58.69,59.38,58.34
58.28,56.83,58.71,56.83
57.25,58.23,58.28,56.73
58.40,58.72,58.89,58.01
57.38,55.80,57.72,55.66
56.03,54.61,56.32,54.61
54.73,54.85,55.15,53.67
55.20,54.88,56.21,54.63
55.70,56.76,56.77,55.70
56.20,57.50,57.50,56.01
58.25,57.84,58.80,57.63
58.23,59.24,59.37,58.08
58.88,58.95,59.44,58.64
59.34,58.89,59.48,58.29
59.22,58.94,59.32,58.60
60.00,58.48,60.00,58.15
58.55,57.16,59.09,57.11
56.97,57.03,57.54,56.36
56.60,55.97,56.97,55.92
56.19,56.97,57.10,55.77
57.06,56.59,57.42,56.42
55.62,54.60,55.81,54.29
54.36,53.90,55.27,53.75
53.89,53.51,54.18,52.27
53.72,52.99,53.89,52.68
53.71,52.34,54.29,52.07
52.42,54.26,54.34,52.41
54.84,55.06,55.18,54.35
55.08,55.91,55.91,55.00
55.73,55.39,56.10,54.89
56.15,57.18,57.38,56.06
57.04,56.84,57.20,56.44
57.01,56.54,57.01,55.70
56.15,54.54,56.15,54.46
54.69,54.82,54.89,53.81
54.07,55.71,55.77,53.86
56.08,54.82,56.24,54.69
55.51,56.69,56.85,55.51
56.46,57.79,58.87,56.28
58.04,59.02,59.05,57.71
59.51,58.79,59.64,58.62
58.77,57.90,58.89,57.70
58.42,57.92,58.70,57.00
57.27,57.92,58.34,56.94
58.79,59.08,59.17,58.55
58.76,58.41,59.16,58.06
58.84,58.99,59.14,58.60
58.36,58.41,58.89,58.35
57.60,58.15,58.35,57.16
58.52,58.80,58.91,58.23
58.16,57.83,58.41,57.45
56.64,55.65,56.64,55.55
54.71,55.38,55.55,54.30
55.09,54.87,55.36,54.84
54.44,55.13,55.45,54.29
55.64,56.08,56.49,55.51
56.08,56.31,56.70,55.49
56.10,54.87,56.16,54.71
54.72,54.81,54.84,54.05
55.14,54.11,55.36,54.10
53.19,53.57,54.04,52.79
53.09,54.19,54.32,52.87
54.39,53.78,54.83,53.70
54.37,55.13,55.17,53.33
54.92,53.94,55.04,53.93
53.88,54.06,54.51,53.54
54.90,56.01,56.01,54.75
55.92,56.56,56.66,55.83
57.36,57.49,57.67,56.98
57.25,56.42,57.30,56.33
56.56,56.71,57.13,56.56
57.46,56.84,57.49,56.48
56.98,56.95,57.29,56.74
57.69,58.14,58.30,57.53
58.06,58.01,58.43,57.73
57.90,58.26,58.40,57.47
58.10,57.86,58.24,57.51
58.30,58.03,58.30,57.44
58.19,59.40,59.48,57.91
59.42,58.97,59.64,58.90
58.73,58.33,59.17,58.00
57.83,57.54,58.64,57.45
58.27,59.30,59.32,58.27
59.33,59.09,59.41,58.91
59.25,59.64,59.70,58.23
59.43,59.69,59.90,59.29
60.09,59.70,60.53,59.30
60.19,59.94,60.27,59.48
59.76,59.24,60.12,58.90
59.80,60.71,60.79,59.50
60.62,60.65,60.86,60.38
61.03,60.46,61.03,60.09
60.48,61.17,61.39,60.25
61.18,61.17,61.53,61.00
61.12,61.33,61.52,60.46
61.79,62.16,62.58,61.49
62.12,62.07,62.39,61.55
62.48,61.81,62.60,61.54
61.94,62.42,62.47,61.81
61.66,61.39,62.40,61.04
61.64,62.12,62.47,61.61
62.56,61.98,62.87,61.33
62.25,62.18,62.32,61.93
62.54,62.35,63.00,62.28
62.09,62.24,62.64,61.75
61.77,61.97,62.07,61.31
62.53,61.76,62.65,61.51
61.62,61.85,62.09,61.59
62.19,61.63,62.53,61.16
62.28,62.58,62.65,61.97
62.74,62.76,62.83,62.00
63.95,64.40,64.43,63.66
64.45,64.85,65.13,64.36
64.69,64.67,64.79,64.17
64.87,63.74,64.87,63.44
63.76,64.36,64.36,63.30
63.69,64.13,64.32,63.62
63.59,63.13,64.02,63.00
63.50,63.17,63.80,63.17
62.64,61.92,63.23,61.49
62.11,62.12,62.27,61.86
62.90,63.07,63.36,62.89
62.93,63.31,63.40,62.61
63.15,63.50,63.59,62.70
62.76,62.85,62.95,62.47
63.46,64.11,64.12,63.45
63.87,63.82,64.06,63.68
63.38,63.72,63.83,62.74
63.10,63.26,63.62,62.94
64.32,64.60,64.66,64.28
64.68,65.39,65.45,64.65
65.13,65.75,65.93,65.04
65.66,65.92,66.09,65.58
66.72,66.22,66.73,66.14
66.39,66.26,66.60,66.07
66.62,66.47,66.70,66.24
66.56,67.17,67.26,66.45
67.50,66.96,67.51,66.95
67.23,66.92,67.34,66.82
66.94,66.50,67.38,66.45
66.64,66.97,67.18,66.40
66.94,67.10,67.20,66.68
67.29,67.32,67.62,67.06
67.63,68.05,68.10,67.57
68.23,68.35,68.59,68.17
68.52,68.25,68.60,68.19
66.88,67.22,67.28,66.62
67.35,67.14,67.40,66.86
67.20,67.29,67.40,67.17
67.30,67.26,67.52,67.26
67.11,66.86,67.36,66.84
67.45,67.97,68.27,67.41
68.18,67.07,68.18,66.53
66.96,67.63,67.65,66.86
67.64,67.35,67.74,67.19
67.47,67.01,67.77,66.33
66.76,67.25,67.45,66.16
67.52,67.51,67.73,67.18
68.05,68.06,68.15,67.77
68.04,67.98,68.28,67.76
67.90,68.52,68.64,67.88
68.49,68.78,68.78,68.10
68.72,67.32,68.78,67.19
67.19,66.85,67.49,66.64
67.21,66.56,67.30,66.52
66.59,67.15,67.38,66.59
66.93,67.40,67.40,66.67
67.55,68.11,68.35,67.30
68.17,68.48,68.62,68.02
68.44,66.92,68.50,66.85
67.16,67.26,67.67,66.83
67.85,68.63,68.79,67.74
68.58,68.30,68.87,68.25
68.34,68.48,68.60,67.67
68.50,68.55,68.59,68.10
68.64,69.19,69.46,68.58
69.29,69.59,69.59,69.06
69.61,69.35,69.68,69.13
69.06,69.52,69.59,69.03
69.26,70.23,70.24,69.25
70.24,70.47,70.54,70.21
70.22,70.18,70.52,70.10
70.29,70.80,70.86,70.29
70.67,71.30,71.41,70.67
71.45,71.32,71.52,71.07
70.82,69.66,70.99,69.55
69.65,68.58,69.81,68.13
68.55,68.73,69.08,68.00
69.02,70.15,70.15,68.99
70.55,70.42,70.67,70.00
70.76,69.12,70.76,68.93
68.99,69.29,69.78,68.78
69.90,70.68,70.82,69.90
70.74,70.23,70.74,69.67
70.40,69.29,70.52,68.85
69.34,70.34,70.66,69.06
70.24,70.25,70.56,69.95
69.47,68.66,69.47,68.55
68.31,68.83,69.17,67.96
68.22,68.45,68.75,67.85
67.01,67.89,68.35,66.32
67.67,67.10,68.15,66.72
68.01,67.42,68.02,67.32
68.19,68.08,68.28,67.90
69.06,69.49,69.51,68.88
69.63,69.18,69.74,69.04
69.07,69.07,69.28,68.29
69.49,69.54,69.69,68.89
69.84,70.04,70.73,69.61
70.36,69.81,70.43,69.78
69.83,70.32,70.39,69.48
70.51,71.10,71.21,70.16
71.02,71.45,71.47,71.02
71.87,71.88,72.17,71.66
71.94,71.96,72.18,71.84
71.87,72.26,72.67,71.80
72.68,72.52,72.80,72.26
72.70,72.20,72.84,72.02
72.47,71.45,72.58,71.16
71.37,70.80,71.60,70.59
70.40,70.07,70.70,70.00
70.50,69.95,70.52,69.58
69.51,70.24,70.25,69.36
70.29,70.88,70.88,70.04
69.94,69.86,70.00,69.35
70.15,69.93,70.30,69.61
71.05,71.09,71.22,70.78
71.48,71.46,71.52,70.99
71.43,71.52,71.59,71.10
71.68,72.28,72.55,71.63
72.31,72.72,72.76,72.18
72.66,73.03,73.03,72.64
73.04,73.12,73.29,72.78
73.43,72.57,73.50,72.51
72.46,71.93,72.70,71.51
72.00,71.16,72.00,70.85
70.79,70.91,71.62,70.50
71.57,70.93,71.82,70.72
70.93,71.58,71.66,70.80
72.00,72.57,72.57,71.89
72.46,71.53,72.46,71.19
71.11,72.00,72.15,70.85
72.05,71.05,72.24,70.88
70.59,70.39,71.33,70.29
69.79,70.00,70.25,69.58
70.14,70.85,70.90,69.98
71.34,71.10,71.36,70.56
70.94,70.50,70.94,70.19
69.38,69.34,69.72,69.20
69.44,69.07,69.72,68.95
68.90,69.60,69.82,68.81
69.40,70.28,70.34,69.29
70.54,70.75,70.93,70.51
71.45,71.57,71.57,70.90
71.51,69.56,71.59,69.49
69.68,69.42,69.94,69.12
68.44,68.57,69.17,68.35
68.39,67.66,68.61,67.63
68.07,67.92,68.42,67.92
67.70,67.40,67.97,67.34
67.55,67.69,67.98,67.28
67.35,66.64,67.38,66.38
66.87,66.55,67.04,66.18
67.15,67.87,68.08,67.15
67.27,66.77,67.59,66.49
66.84,66.90,67.40,66.30
67.49,67.13,67.65,66.91
66.97,67.76,67.96,66.97
68.27,68.85,68.96,68.22
68.55,68.49,69.20,68.46
67.76,68.24,68.43,67.00
68.46,67.81,68.57,67.60
67.79,68.21,68.37,67.68
68.48,69.07,69.07,68.39
69.33,69.54,69.65,68.93
69.75,70.08,70.26,69.61
70.11,71.20,71.33,70.09
71.18,71.21,71.35,70.80
71.14,71.57,71.62,70.94
72.23,72.56,72.72,72.02
71.69,72.05,72.09,71.46
71.12,70.62,71.40,70.46
70.21,70.37,71.05,70.21
70.80,70.72,71.50,70.55
70.92,69.72,71.14,69.61
70.02,70.06,70.13,69.39
69.75,69.06,69.86,68.64
69.60,70.36,70.41,69.60
70.46,70.46,70.57,70.13
70.73,71.22,71.37,70.62
71.16,71.17,71.27,70.71
70.32,70.52,71.05,70.16
70.29,69.96,70.48,69.88
69.51,68.19,69.52,68.07
68.10,67.80,68.74,67.73
66.98,67.75,68.05,66.57
68.72,67.46,69.20,66.84
67.04,65.45,67.63,65.33
65.31,65.55,65.55,63.80
64.62,61.82,64.72,61.82
62.45,60.77,62.54,59.52
58.71,55.60,60.00,55.60
57.17,59.36,59.46,54.80
57.63,56.63,58.97,56.50
56.94,59.45,60.35,56.61
60.01,59.56,60.50,59.12
60.19,61.34,61.41,60.19
60.44,60.55,61.30,59.98
60.99,60.53,61.35,60.06
58.55,57.42,58.74,56.94
56.08,56.33,58.04,56.08
57.99,56.22,57.99,55.92
56.43,58.46,58.49,56.06
58.38,59.39,59.59,58.09
59.99,58.01,60.26,57.73
57.70,59.15,59.35,56.85
60.09,61.90,61.92,60.07
61.45,62.04,62.43,61.01
62.51,62.20,63.04,61.68
62.20,60.77,62.78,60.55
59.35,58.69,59.89,58.51
56.57,58.38,58.45,56.57
59.38,60.73,60.76,59.16
60.35,59.67,60.91,59.48
59.05,58.12,59.38,57.62
57.12,58.51,58.51,57.12
58.86,59.42,59.58,58.51
59.87,60.36,61.10,58.81
60.97,61.25,61.28,60.33
61.44,61.37,61.83,60.90
60.11,60.25,60.72,59.70
60.49,59.44,61.03,59.44
59.42,57.07,59.57,57.07
55.29,55.44,56.48,54.51
55.35,56.02,56.26,55.07
56.59,57.17,57.23,55.53
58.43,58.16,59.51,57.79
58.19,56.08,58.33,56.04
57.31,57.26,57.54,55.78
56.26,55.58,57.00,55.58
55.10,52.70,55.98,52.70
52.24,55.62,55.66,51.93
55.75,56.50,56.81,55.03
56.34,57.83,57.92,56.01
58.16,56.40,58.18,56.29
57.50,58.77,58.78,57.50
58.32,58.91,59.13,58.16
59.47,59.79,60.49,59.38
59.39,59.55,59.92,58.69
60.26,60.66,60.88,59.73
60.13,58.91,60.29,58.76
59.04,60.74,61.20,58.33
60.68,59.92,61.02,59.60
59.89,60.13,60.19,58.69
60.81,61.46,61.53,60.58
61.75,63.29,63.41,61.70
62.88,61.72,62.88,61.51
62.61,62.57,62.91,61.08
64.70,65.67,66.13,64.25
65.44,65.28,65.83,65.01
64.40,63.60,64.74,63.58
61.41,61.38,62.78,61.00
62.39,62.76,62.97,61.77
63.59,64.33,64.43,62.25
63.53,63.89,64.12,63.09
63.90,64.07,64.30,62.76
64.46,64.84,64.95,63.26
63.06,61.93,63.46,61.87
62.90,62.43,63.02,61.99
63.18,63.95,64.18,63.12
63.66,62.95,63.66,62.60
62.56,63.60,63.86,62.29
62.85,62.65,63.98,62.65
62.60,61.53,62.95,61.39
61.90,61.92,62.14,61.47
60.87,60.66,61.05,60.23
60.51,60.16,60.74,59.83
59.46,58.40,59.57,58.30
58.06,57.92,58.90,57.92
59.91,60.11,60.40,59.63
60.24,60.11,60.49,59.79
62.49,63.51,63.51,62.21
63.31,63.00,63.78,62.94
63.59,63.22,64.21,63.19
64.37,64.04,64.68,63.61
64.20,64.08,64.51,63.59
63.75,64.24,64.46,62.88
63.63,62.15,63.70,62.09
62.38,63.84,64.16,62.15
63.11,62.87,63.11,62.20
63.41,61.79,63.67,61.44
61.13,61.01,61.65,60.85
61.90,61.75,61.94,61.24
62.10,62.15,62.94,61.81
62.71,61.05,62.90,60.89
62.27,63.35,63.42,62.27
63.11,63.83,64.04,62.83
64.05,64.42,64.77,64.05
63.20,63.33,63.42,63.00
63.16,63.43,63.76,62.92
63.42,62.28,63.48,62.21
62.62,63.07,63.18,62.43
63.11,62.67,63.31,62.67
64.06,63.72,64.44,63.56
63.46,63.49,63.74,63.06
63.04,63.89,64.11,62.50
63.95,63.85,64.27,63.31
64.09,64.07,64.17,63.55
64.87,64.98,65.14,64.82
64.73,65.26,65.32,64.65
65.46,65.44,65.50,64.71
64.88,64.93,65.04,64.50
65.52,64.93,65.72,64.80
64.96,66.00,66.01,64.75
66.37,66.38,66.49,65.97
66.44,66.62,66.71,66.22
66.56,66.55,67.11,66.17
66.24,66.85,66.98,65.86
66.81,67.47,67.63,66.55
67.82,67.19,68.00,66.92
66.98,67.67,67.73,66.97
67.08,67.15,67.41,66.65
67.53,67.04,67.71,66.69
67.62,68.42,68.50,67.54
68.68,68.62,68.94,68.38
69.66,69.96,70.12,69.48
69.69,69.73,69.89,69.46
69.67,69.81,70.06,69.34
70.00,69.92,70.32,69.43
70.14,69.77,70.14,69.28
69.16,68.88,69.19,68.72
69.65,69.59,69.69,69.11
69.36,69.27,69.43,68.80
69.69,68.79,69.71,68.65
68.91,70.14,70.18,68.91
70.42,70.23,70.53,70.14
70.45,69.90,70.45,69.55
69.65,69.21,69.99,69.15
69.25,69.97,70.00,68.91
70.12,69.80,70.16,69.71
69.24,69.77,70.00,68.76
69.82,69.52,70.04,69.22
69.72,68.75,70.08,68.73
69.00,69.07,69.68,69.00
69.06,68.27,69.19,67.97
68.12,68.23,68.34,67.68
67.49,66.95,67.69,66.75
67.16,67.58,67.65,67.01
68.00,68.32,68.42,67.45
68.33,69.16,69.58,68.29
69.22,68.94,69.31,68.74
69.45,70.45,70.46,69.33
70.42,69.93,70.61,69.70
69.92,70.62,70.70,69.65
70.76,70.60,70.77,70.36
70.46,71.09,71.57,70.46
70.49,70.52,70.76,70.24
70.66,70.35,70.75,70.22
69.62,69.52,69.80,69.13
69.59,70.12,70.15,69.00
70.89,71.20,71.27,70.80
71.28,70.84,71.50,70.84
70.79,70.59,70.97,70.00
70.14,70.47,70.62,69.62
70.95,70.38,70.95,70.13
70.16,71.03,71.16,70.03
71.02,70.75,71.16,70.38
70.00,69.73,70.13,69.37
69.54,69.36,69.80,69.27
68.18,68.34,68.57,68.01
68.20,66.80,68.29,66.72
67.44,67.66,67.71,67.23
67.69,68.79,68.94,67.63
68.56,67.71,68.65,67.69
68.08,68.09,68.47,67.43
68.68,69.11,69.54,68.61
68.68,68.48,68.80,68.23
68.48,68.25,69.04,67.82
68.51,68.69,69.18,68.51
67.62,67.79,67.82,67.20
67.75,68.40,68.54,67.70
69.33,69.32,69.66,68.95
69.23,69.84,69.99,69.18
70.06,70.35,70.43,69.40
70.26,69.68,70.35,69.61
69.72,69.78,70.82,69.60
69.23,69.85,69.91,69.05
69.79,69.03,69.84,68.78
68.58,67.90,68.63,67.70
67.65,68.03,68.26,67.55
67.50,68.11,68.17,67.18
67.22,67.65,68.01,67.00
68.19,67.87,68.39,67.65
67.16,67.70,68.25,67.16
67.10,66.88,67.39,66.73
66.93,66.63,67.21,66.46
66.93,66.11,67.17,66.02
66.12,64.55,66.22,64.55
64.68,63.87,64.89,63.76
64.02,65.15,65.15,63.72
65.22,64.99,65.70,64.70
64.49,65.39,65.53,63.97
65.41,65.67,65.68,64.84
65.63,65.60,65.86,65.38
66.06,66.53,66.66,65.86
65.97,65.29,65.97,65.22
65.35,65.28,65.67,64.46
63.86,63.44,64.24,63.40
63.58,63.09,63.74,62.59
62.83,63.78,63.87,62.70
64.25,65.33,65.38,64.23
66.38,65.08,66.39,65.08
64.88,65.73,65.83,64.59
66.43,64.36,66.54,64.35
64.58,65.13,65.13,64.15
64.99,64.50,65.46,64.23
64.50,65.20,65.33,64.46
65.28,65.85,65.92,65.13
65.44,65.94,66.18,65.32
66.18,66.93,67.23,66.14
66.86,66.86,67.39,66.62
66.77,65.33,66.93,65.24
65.65,65.97,66.11,65.46
65.06,64.96,65.21,64.71
65.11,65.24,65.47,64.63
65.30,66.20,66.26,65.28
65.72,66.51,66.51,65.40
67.89,68.20,68.20,67.39
68.38,68.78,68.81,67.99
68.90,69.61,69.68,68.84
69.65,69.59,69.84,69.25
68.97,69.06,69.20,68.83
68.97,68.74,69.00,68.48
69.16,68.15,69.27,67.83
68.20,68.08,68.31,67.71
67.59,67.75,68.01,67.04
68.06,68.73,68.86,67.95
68.61,68.57,68.82,68.35
68.92,68.84,69.02,68.01
68.68,69.14,69.41,68.68
69.37,68.77,69.41,68.64
68.32,68.08,68.39,68.03
67.00,67.19,67.43,66.75
67.40,66.38,67.43,66.03
66.68,66.33,66.84,66.17
67.37,66.94,67.42,66.63
67.37,68.28,68.50,66.95
68.39,68.14,68.59,67.94
67.99,67.91,68.40,67.80
68.27,67.10,68.46,67.09
66.57,66.76,67.13,66.34
67.95,68.18,68.45,67.49
68.21,68.50,68.83,68.18
68.98,68.97,69.43,68.81
68.67,69.09,69.25,68.67
69.08,69.32,69.46,69.03
69.07,69.20,69.27,68.85
68.98,69.05,69.15,68.45
69.45,68.86,69.48,68.72
68.76,69.35,69.35,68.76
69.27,69.90,70.06,69.10
70.06,70.33,70.42,69.87
70.12,70.22,70.33,69.89
70.59,70.28,71.15,70.14
70.18,69.95,70.33,69.69
69.85,69.46,69.85,69.31
69.30,69.64,69.85,69.13
69.91,69.67,70.04,69.55
69.72,69.97,70.13,69.60
70.18,70.22,70.43,69.88
69.97,69.68,69.97,69.46
70.17,69.94,70.17,69.46
69.93,70.64,70.77,69.45
70.61,70.58,70.78,70.40
71.00,71.81,72.00,71.00
71.98,72.37,72.50,71.91
72.25,72.13,72.54,72.11
72.16,72.39,72.65,72.10
72.74,72.79,72.79,72.32
72.80,73.56,74.05,72.53
73.86,74.55,74.78,73.86
74.17,73.81,74.33,73.61
73.71,73.55,73.71,73.31
73.63,73.53,73.81,73.34
73.13,73.19,73.30,72.78
73.74,73.31,73.91,73.31
73.13,73.20,73.60,73.00
73.63,72.11,73.63,72.11
72.25,71.75,72.31,71.61
72.11,72.38,72.56,71.76
72.12,71.90,72.28,71.75
72.26,72.00,72.61,71.66
72.36,72.19,72.50,71.86
72.28,72.11,72.61,71.86
72.45,72.76,72.80,71.95
73.04,72.76,73.55,72.59
72.37,72.48,72.67,72.31
72.48,71.77,72.59,71.69
71.80,71.64,71.89,71.40
72.11,72.01,72.43,71.92
71.99,71.32,72.07,71.20
71.52,71.69,71.72,71.02
72.11,72.17,72.24,71.93
72.28,72.95,72.99,72.19
72.91,72.87,73.21,72.78
72.30,71.73,72.40,71.42
71.55,71.69,71.81,71.25
71.05,71.26,71.39,70.53
71.62,71.11,71.62,70.95
71.62,71.31,71.85,70.79
71.30,71.04,71.67,70.63
71.04,71.40,71.40,70.84
71.60,72.43,72.55,71.50
72.83,71.68,72.83,71.68
71.67,71.94,72.07,71.35
72.29,72.63,72.80,72.28
71.78,70.78,71.92,70.56
70.75,69.96,70.98,69.96
69.63,69.91,70.42,69.53
70.18,69.73,70.19,69.65
69.38,69.33,70.07,69.30
69.48,67.95,69.48,67.83
67.77,67.66,68.22,67.26
67.63,68.27,68.35,67.18
69.10,69.64,69.64,69.00
69.60,69.84,69.89,69.21
70.03,70.10,70.14,69.75
70.34,70.88,70.88,70.34
70.69,71.11,71.11,70.51
71.05,71.01,71.47,70.91
70.74,71.39,71.39,70.12
71.91,72.05,72.12,71.62
72.15,72.12,72.18,71.82
72.48,72.01,72.48,71.78
71.97,72.05,72.21,71.56
72.33,72.13,72.41,71.62
72.15,72.30,72.37,72.00
72.56,72.42,72.61,72.15
72.49,72.80,72.84,72.34
73.14,73.29,73.45,73.02
73.50,73.02,73.62,72.86
73.03,72.59,73.20,72.39
72.47,72.51,72.83,72.33
72.80,73.40,73.40,72.65
73.60,74.37,74.41,73.43
74.48,74.48,74.88,74.38
74.57,75.04,75.08,74.43
73.87,74.61,74.64,73.87
74.32,72.39,74.32,72.33
72.55,71.99,72.58,71.99
71.99,71.90,72.18,71.07
71.55,71.37,72.01,71.30
71.47,72.65,72.72,71.26
74.65,74.72,74.82,74.07
74.77,74.86,75.19,74.59
75.13,75.38,75.52,74.83
75.12,75.03,75.20,74.91
74.97,74.82,75.13,74.60
75.04,75.01,75.18,74.94
75.38,75.22,75.43,74.93
75.19,75.09,75.23,74.82
74.98,75.22,75.34,74.96
74.84,75.50,75.58,74.80
75.35,75.36,75.52,75.16
75.76,76.01,76.16,75.65
76.07,76.24,76.30,75.87
76.30,76.91,76.91,76.29
76.92,76.75,76.93,76.71
76.83,76.90,77.28,76.66
77.34,77.21,77.34,76.86
77.49,77.42,77.56,76.92
77.49,77.57,77.60,77.32
77.18,76.91,77.53,76.72
76.82,77.34,77.43,76.75
77.87,78.03,78.23,77.68
77.63,77.17,77.81,77.03
77.58,77.76,77.92,77.45
77.40,78.18,78.18,77.30
78.18,78.03,78.23,77.54
78.18,78.57,78.61,78.18
78.60,78.62,78.63,78.30
78.71,79.10,79.13,78.65
79.24,79.40,79.48,79.10
79.22,79.65,79.76,79.22
79.61,79.68,79.84,79.50
79.84,80.34,80.34,79.84
80.40,78.93,80.40,78.85
78.76,78.15,78.83,77.79
78.55,78.99,78.99,78.48
79.56,77.34,79.58,77.34
77.71,77.77,77.96,77.20
77.72,78.61,78.92,77.72
78.63,78.59,79.18,78.47
78.27,78.70,78.84,77.59
78.63,78.92,78.99,78.26
79.40,79.79,79.93,79.30
80.08,79.97,80.09,79.73
80.04,80.30,80.30,79.94
80.96,80.90,80.96,80.40
80.75,81.03,81.05,80.62
80.84,80.80,81.08,80.61
80.89,81.14,81.26,80.70
81.36,81.93,81.97,81.31
81.90,82.01,82.11,81.68
81.31,81.66,81.96,81.04
81.85,81.45,82.01,80.88
81.91,82.06,82.11,81.73
81.54,81.48,82.02,81.30
81.79,81.65,81.88,81.54
81.95,81.66,82.32,81.25
82.01,82.05,82.17,81.72
81.56,82.13,82.17,81.26
82.10,82.15,82.37,81.85
