MSTX,Mast Therapeutics,NASDAQ
0.39,0.28,0.39,0.26
0.30,0.29,0.31,0.27
0.30,0.33,0.33,0.27
0.32,0.30,0.32,0.29
0.30,0.34,0.36,0.29
0.38,0.45,0.49,0.36
0.47,0.47,0.52,0.43
0.47,0.46,0.49,0.44
0.41,0.40,0.43,0.37
0.34,0.31,0.36,0.30
0.31,0.33,0.35,0.31
0.34,0.33,0.34,0.31
0.33,0.32,0.34,0.31
0.31,0.30,0.33,0.29
0.31,0.29,0.31,0.26
0.27,0.29,0.31,0.26
0.30,0.30,0.32,0.29
0.31,0.28,0.31,0.28
0.29,0.28,0.29,0.27
0.29,0.28,0.29,0.27
0.27,0.32,0.33,0.27
0.33,0.34,0.36,0.33
0.34,0.32,0.35,0.31
0.33,0.31,0.33,0.29
0.31,0.30,0.31,0.29
0.30,0.31,0.32,0.29
0.31,0.29,0.32,0.29
0.31,0.30,0.31,0.29
0.29,0.31,0.31,0.29
0.30,0.30,0.31,0.30
0.31,0.29,0.31,0.29
0.29,0.33,0.35,0.29
0.32,0.31,0.32,0.30
0.31,0.31,0.32,0.30
0.31,0.31,0.31,0.30
0.31,0.30,0.31,0.30
0.30,0.30,0.31,0.29
0.29,0.29,0.31,0.29
0.18,0.20,0.24,0.16
0.20,0.20,0.20,0.18
0.20,0.21,0.23,0.19
0.23,0.22,0.24,0.21
0.23,0.22,0.24,0.21
0.22,0.22,0.23,0.22
0.22,0.22,0.22,0.21
0.22,0.21,0.22,0.21
0.22,0.21,0.22,0.20
0.26,0.24,0.27,0.23
0.23,0.23,0.25,0.23
0.23,0.24,0.25,0.23
0.24,0.24,0.24,0.23
0.23,0.23,0.24,0.22
0.25,0.25,0.25,0.22
0.23,0.23,0.24,0.22
0.23,0.23,0.24,0.22
0.22,0.22,0.23,0.22
0.23,0.23,0.23,0.22
0.24,0.23,0.24,0.22
0.23,0.22,0.23,0.22
0.22,0.22,0.23,0.22
0.22,0.22,0.22,0.22
0.22,0.23,0.23,0.22
0.23,0.23,0.24,0.23
0.23,0.24,0.24,0.23
0.24,0.25,0.26,0.24
0.25,0.24,0.26,0.24
0.24,0.23,0.24,0.23
0.23,0.23,0.24,0.23
0.23,0.24,0.24,0.23
0.25,0.26,0.27,0.24
0.27,0.27,0.29,0.27
0.23,0.21,0.24,0.20
0.21,0.20,0.22,0.19
0.20,0.19,0.20,0.19
0.20,0.20,0.20,0.20
0.20,0.20,0.21,0.20
0.20,0.19,0.20,0.19
4.30,4.16,4.40,4.06
3.79,3.75,4.02,3.00
3.73,3.60,3.80,3.55
3.60,3.60,3.69,3.45
3.60,3.64,3.71,3.32
3.00,2.83,3.01,2.75
2.80,2.69,2.90,2.65
2.88,2.56,2.88,2.50
2.60,2.30,2.64,2.25
2.37,2.30,2.41,2.19
2.39,2.30,2.48,2.30
2.31,2.41,2.65,2.30
2.38,2.43,2.47,2.35
2.46,2.45,2.54,2.38
2.36,2.39,2.50,2.30
2.31,2.27,2.40,2.26
2.25,2.19,2.32,2.13
2.27,2.14,2.27,2.01
2.04,1.99,2.04,1.88
1.93,1.89,2.03,1.83
1.90,1.97,2.08,1.85
1.90,1.92,1.96,1.83
1.86,1.86,2.00,1.85
1.88,1.93,1.95,1.88
1.89,2.23,2.44,1.89
2.25,2.21,2.49,2.20
2.32,2.30,2.34,2.04
2.26,2.20,2.26,2.11
2.10,2.10,2.13,2.04
2.02,1.94,2.22,1.94
1.94,1.79,1.95,1.77
1.85,1.86,1.89,1.79
2.02,1.90,2.16,1.88
1.93,1.91,1.97,1.85
1.96,1.95,1.96,1.84
1.96,1.91,1.96,1.87
1.87,1.86,1.93,1.86
1.84,1.83,1.88,1.82
1.86,1.97,1.98,1.82
1.94,1.88,1.97,1.88
1.82,1.82,1.89,1.82
1.87,1.85,1.87,1.80
1.83,1.82,1.84,1.77
1.81,1.73,1.81,1.70
1.84,1.72,1.84,1.70
1.66,1.61,1.72,1.61
1.70,1.63,1.79,1.60
1.65,1.57,1.67,1.50
1.59,1.53,1.60,1.53
1.55,1.53,1.63,1.51
1.50,1.54,1.63,1.50
1.58,1.61,1.64,1.54
1.68,1.64,1.70,1.60
1.65,1.78,1.80,1.65
1.75,1.98,2.04,1.75
1.98,1.91,2.01,1.82
1.94,1.89,1.94,1.80
1.91,1.82,1.91,1.80
1.81,1.81,1.81,1.75
1.77,1.73,1.78,1.70
1.72,1.74,1.79,1.72
1.87,1.78,1.87,1.75
1.79,1.81,1.87,1.78
1.91,1.90,1.91,1.83
1.93,1.90,1.96,1.90
1.93,1.83,1.93,1.82
1.88,1.84,1.88,1.81
1.85,2.00,2.00,1.83
1.97,2.09,2.17,1.96
2.13,2.01,2.13,1.96
2.04,2.11,2.20,2.00
2.12,2.04,2.15,2.02
2.03,1.98,2.04,1.94
1.99,2.03,2.07,1.96
2.03,2.00,2.08,1.99
2.04,1.95,2.04,1.93
1.98,1.87,1.99,1.80
1.84,1.84,1.89,1.84
2.35,1.87,2.35,1.81
1.90,1.87,1.90,1.86
1.85,1.88,1.90,1.85
1.90,1.82,1.90,1.81
1.82,1.83,1.85,1.80
1.84,1.80,1.84,1.77
1.80,1.77,1.80,1.75
1.75,1.86,1.90,1.73
1.87,1.80,1.87,1.80
1.81,1.81,1.83,1.80
1.80,1.80,1.85,1.78
1.80,1.75,1.81,1.75
1.76,1.80,1.82,1.76
1.81,1.82,1.84,1.80
1.83,1.82,1.84,1.80
1.84,1.81,1.87,1.80
1.83,1.84,1.86,1.81
1.86,1.84,1.86,1.80
1.94,2.00,2.11,1.94
2.06,2.00,2.06,1.99
2.06,2.04,2.14,2.00
2.05,2.03,2.06,1.99
2.05,2.05,2.06,2.01
2.07,1.98,2.10,1.95
1.97,2.04,2.04,1.97
2.02,2.00,2.10,1.97
1.98,1.95,2.00,1.93
1.95,1.94,1.98,1.93
1.95,1.97,1.99,1.94
1.97,1.95,1.99,1.95
1.91,2.04,2.04,1.90
2.00,2.00,2.04,1.98
1.98,2.04,2.04,1.98
2.05,2.04,2.06,1.98
2.05,2.13,2.24,2.02
2.17,2.02,2.17,2.02
2.09,2.11,2.11,2.05
2.12,2.09,2.13,2.08
2.10,2.17,2.17,2.10
2.17,2.15,2.17,2.09
2.15,2.14,2.16,2.10
2.12,2.11,2.14,2.10
2.12,2.09,2.15,2.08
2.11,2.08,2.12,2.06
2.07,2.07,2.09,2.07
2.06,2.07,2.09,2.03
2.01,2.07,2.09,2.01
2.10,2.09,2.15,2.07
2.08,2.10,2.12,2.08
2.13,2.07,2.14,2.07
2.07,2.12,2.13,2.06
2.12,2.09,2.13,2.08
2.10,2.10,2.12,2.08
2.09,2.10,2.12,2.08
2.10,2.11,2.15,2.10
2.13,2.14,2.15,2.09
2.15,2.07,2.23,2.03
2.11,2.12,2.15,2.07
2.12,2.07,2.15,1.93
2.07,2.10,2.10,2.02
2.04,2.05,2.11,2.04
2.09,2.07,2.09,2.02
2.07,2.06,2.07,2.05
2.03,2.07,2.09,2.02
2.08,2.09,2.09,2.06
2.05,2.04,2.08,1.98
2.01,2.04,2.05,1.98
2.04,2.02,2.05,2.01
2.00,2.00,2.01,1.98
1.99,1.99,2.04,1.99
1.96,2.00,2.02,1.96
2.00,1.98,2.02,1.98
1.98,2.00,2.00,1.97
1.96,1.98,1.99,1.91
1.96,1.98,2.00,1.93
1.97,1.93,1.98,1.93
1.93,1.99,1.99,1.91
2.04,2.37,2.42,2.01
2.47,2.59,2.91,2.44
2.70,2.60,2.72,2.53
2.60,2.44,2.61,2.44
2.50,2.52,2.52,2.42
2.57,2.64,2.71,2.57
2.66,2.56,2.70,2.52
2.59,2.38,2.60,2.38
2.50,2.56,2.65,2.46
2.63,2.59,2.65,2.52
2.65,2.57,2.65,2.55
2.58,2.83,2.88,2.57
2.97,2.99,3.20,2.92
3.00,2.92,3.00,2.81
2.89,2.87,3.07,2.86
2.98,2.97,3.02,2.90
2.92,2.80,2.97,2.76
2.87,2.61,2.87,2.53
2.64,2.67,2.76,2.52
2.67,2.61,2.69,2.59
2.61,2.72,2.72,2.60
2.70,2.68,2.73,2.60
2.69,2.67,2.70,2.62
3.40,2.93,3.45,2.92
2.60,2.53,2.60,2.43
2.51,2.50,2.57,2.44
2.57,2.49,2.57,2.45
2.48,2.47,2.52,2.45
2.50,2.55,2.63,2.45
2.53,2.51,2.58,2.48
2.51,2.49,2.53,2.45
2.57,2.38,2.57,2.38
2.38,2.29,2.39,2.24
2.26,2.26,2.30,2.21
2.25,2.25,2.29,2.21
2.25,2.19,2.25,2.16
2.28,2.36,2.37,2.24
2.34,2.37,2.45,2.33
2.41,2.29,2.41,2.25
2.29,2.31,2.32,2.22
2.30,2.29,2.30,2.23
2.30,2.28,2.31,2.25
2.29,2.22,2.31,2.22
2.22,2.19,2.24,2.19
2.20,2.22,2.22,2.19
2.22,2.26,2.29,2.22
2.26,2.16,2.28,2.13
2.17,2.09,2.21,2.09
2.10,2.16,2.20,2.08
2.19,2.21,2.25,2.14
2.21,2.08,2.38,1.85
2.08,2.19,2.24,2.08
2.20,2.16,2.25,2.16
2.16,2.17,2.20,2.15
2.18,2.11,2.19,2.05
2.10,2.04,2.12,2.03
2.05,2.07,2.09,2.04
2.07,2.16,2.20,2.07
2.13,2.11,2.17,2.11
2.11,2.07,2.15,2.07
2.08,2.08,2.10,2.04
2.08,2.11,2.12,2.06
2.10,2.07,2.10,2.06
2.13,2.07,2.13,2.05
2.06,2.07,2.09,2.05
2.08,2.06,2.11,2.06
2.05,2.07,2.09,2.05
2.08,2.08,2.08,2.04
2.05,2.04,2.09,2.04
1.95,2.01,2.06,1.95
2.01,1.96,2.05,1.91
1.97,1.97,2.02,1.94
2.00,1.98,2.02,1.97
2.01,2.01,2.05,2.00
2.03,2.09,2.09,2.00
2.07,2.09,2.13,2.04
2.09,2.13,2.14,2.08
2.13,2.12,2.15,2.07
2.11,2.08,2.13,2.05
2.10,2.02,2.10,2.00
2.00,2.07,2.07,2.00
2.07,2.10,2.10,2.02
2.11,2.11,2.12,2.08
2.10,2.13,2.13,2.09
2.11,2.11,2.13,2.09
2.12,2.20,2.20,2.11
2.20,2.32,2.34,2.17
2.32,2.34,2.36,2.27
2.35,2.23,2.35,2.22
2.20,2.19,2.30,2.13
2.15,2.19,2.23,2.15
2.19,2.17,2.20,2.15
2.19,2.20,2.20,2.14
2.20,2.22,2.23,2.15
2.23,2.26,2.30,2.20
2.29,2.36,2.40,2.26
2.36,2.36,2.38,2.32
2.36,2.55,2.55,2.35
2.55,2.55,2.63,2.45
2.55,2.59,2.59,2.53
2.58,2.65,2.74,2.56
2.67,2.59,2.72,2.56
2.57,2.65,2.68,2.54
2.61,2.60,2.69,2.60
2.52,2.59,2.63,2.47
2.59,2.58,2.65,2.55
2.60,2.57,2.60,2.53
2.55,2.58,2.60,2.54
2.58,2.60,2.60,2.55
2.56,2.57,2.71,2.56
2.57,2.62,2.62,2.55
2.62,2.58,2.62,2.56
2.54,2.48,2.54,2.46
2.47,2.43,2.47,2.40
2.40,2.40,2.45,2.35
2.40,2.44,2.45,2.40
2.45,2.37,2.45,2.37
2.30,2.34,2.35,2.29
2.34,2.40,2.48,2.29
2.40,2.46,2.47,2.40
2.44,2.47,2.49,2.42
2.46,2.49,2.49,2.45
2.49,2.52,2.55,2.49
2.52,2.45,2.54,2.45
2.44,2.45,2.50,2.41
2.41,2.46,2.52,2.41
2.45,2.41,2.53,2.41
2.45,2.40,2.45,2.40
2.39,2.36,2.40,2.34
2.36,2.40,2.42,2.33
2.39,2.39,2.41,2.35
2.39,2.30,2.39,2.30
2.32,2.36,2.40,2.32
2.34,2.35,2.36,2.28
2.38,2.35,2.40,2.30
2.37,2.37,2.38,2.31
2.42,2.66,2.70,2.40
2.67,2.79,2.89,2.60
2.81,2.87,2.97,2.81
2.90,2.89,2.92,2.81
2.92,2.85,2.92,2.78
2.83,2.86,2.87,2.79
2.92,3.09,3.14,2.87
3.16,3.10,3.25,3.00
3.16,3.01,3.16,3.01
3.05,3.00,3.08,2.95
3.10,3.17,3.18,3.04
3.19,3.26,3.30,3.16
3.32,3.41,3.45,3.28
3.34,3.56,3.65,3.29
3.65,3.80,3.86,3.64
3.83,3.91,4.21,3.80
4.00,3.79,4.00,3.66
3.91,3.52,3.91,3.38
3.25,3.33,3.42,3.20
3.34,3.22,3.38,3.12
3.28,3.49,3.60,3.25
3.54,3.44,3.54,3.37
3.47,3.44,3.65,3.44
3.58,3.42,3.58,3.35
3.42,3.20,3.42,3.20
3.31,3.14,3.31,3.12
3.10,2.94,3.13,2.90
2.92,2.88,3.06,2.73
2.82,2.95,3.04,2.78
3.05,3.00,3.14,2.95
2.95,2.87,3.02,2.85
2.90,2.88,2.92,2.66
2.78,2.50,2.83,2.29
2.50,2.46,2.52,1.78
2.18,2.09,2.38,2.05
2.13,2.54,2.72,2.13
1.14,1.06,1.15,0.96
1.08,1.11,1.23,1.06
1.17,1.06,1.17,1.04
1.08,1.11,1.11,1.06
1.14,1.11,1.18,1.09
1.13,1.11,1.15,1.09
1.07,1.00,1.09,0.95
0.99,0.97,1.02,0.95
0.98,0.92,1.00,0.86
0.90,0.89,0.94,0.81
0.89,0.87,0.90,0.86
0.86,0.90,0.95,0.86
0.87,0.88,0.91,0.87
0.88,0.91,0.93,0.88
0.91,1.04,1.08,0.91
1.09,1.15,1.21,1.08
1.13,1.00,1.15,0.98
0.98,0.95,0.99,0.91
0.98,0.93,0.98,0.91
0.96,0.95,0.96,0.92
1.00,0.92,1.00,0.92
0.95,1.06,1.11,0.93
1.08,1.22,1.25,1.06
1.31,1.31,1.40,1.28
1.30,1.13,1.31,1.13
1.18,1.18,1.21,1.11
1.21,1.18,1.21,1.10
1.16,1.17,1.17,1.13
1.16,1.11,1.18,1.10
1.10,1.02,1.14,1.02
1.01,1.04,1.04,0.97
1.04,1.06,1.08,1.00
1.06,1.00,1.06,0.95
0.99,1.02,1.03,0.98
1.02,0.98,1.03,0.97
0.99,0.94,1.00,0.91
0.93,0.92,0.94,0.91
0.89,0.88,0.92,0.84
0.92,0.86,0.92,0.81
0.87,0.84,0.87,0.81
0.83,0.91,0.92,0.83
0.92,0.92,0.99,0.92
0.95,0.96,0.98,0.94
0.97,0.93,0.97,0.90
0.94,0.99,0.99,0.93
0.99,1.02,1.04,0.97
0.97,1.04,1.04,0.97
1.04,1.04,1.09,1.00
