ZIONW,Zions Bancorporation - Warrants 05/21/2020,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
7.80,7.80,8.15,7.58
7.70,8.10,8.39,7.55
8.10,7.81,8.10,7.81
7.32,7.90,7.90,7.30
8.23,8.35,8.53,8.10
8.42,8.84,8.85,8.42
8.65,8.41,8.65,8.17
8.49,7.93,8.59,7.88
7.82,8.20,8.20,7.82
8.20,8.00,8.35,7.95
7.78,7.46,7.78,7.40
7.31,7.00,7.35,7.00
6.97,7.61,7.61,6.84
7.29,7.64,7.77,7.25
7.89,8.09,8.09,7.79
7.85,8.00,8.00,7.80
8.39,8.08,8.80,8.00
8.23,8.50,8.61,8.04
8.72,8.50,8.72,8.40
8.40,8.20,8.40,8.00
8.15,8.15,8.34,8.11
8.20,8.15,8.68,8.13
8.15,8.15,8.15,8.15
8.24,8.00,8.49,7.88
7.60,7.66,7.75,7.60
7.98,8.27,8.50,7.75
8.12,8.22,8.47,8.00
7.57,7.17,7.57,7.08
7.63,7.00,7.63,6.95
7.00,6.98,7.25,6.45
6.79,6.50,6.80,6.30
6.75,6.48,6.93,6.40
6.52,7.40,7.40,6.52
7.50,7.39,7.50,7.10
7.50,7.68,7.80,7.50
7.67,7.70,7.80,7.60
8.00,8.25,8.58,8.00
8.04,7.85,8.04,7.70
7.66,7.70,7.70,7.38
7.63,7.14,7.63,6.78
6.91,6.90,6.98,6.65
6.40,5.65,6.40,5.54
5.70,5.70,6.07,5.60
5.95,6.10,6.10,5.94
5.83,6.18,6.18,5.76
6.40,6.61,6.61,6.40
6.63,6.66,7.15,6.52
6.80,6.65,6.81,6.45
6.80,6.97,7.25,6.80
6.57,7.05,7.05,6.57
7.40,7.35,7.45,7.09
7.36,7.46,7.46,7.36
7.21,7.21,7.21,7.21
7.21,7.21,7.21,7.21
6.93,6.52,6.93,6.51
6.65,6.76,6.90,6.52
6.61,6.67,6.70,6.50
6.45,5.96,6.45,5.87
5.99,5.91,6.01,5.91
5.90,5.85,5.90,5.85
5.95,5.65,5.95,5.50
5.75,5.80,5.90,5.75
5.67,5.71,5.76,5.58
5.60,5.25,5.60,5.21
5.20,5.02,5.20,5.02
5.04,5.04,5.04,5.04
5.00,4.78,5.00,4.75
4.75,4.85,4.99,4.64
4.93,5.01,5.06,4.85
4.92,5.10,5.13,4.83
4.93,4.85,5.05,4.85
4.78,4.80,5.00,4.76
4.99,5.14,5.16,4.97
5.44,5.50,5.50,5.44
5.74,5.85,5.90,5.72
5.59,5.62,5.65,5.55
5.61,5.65,5.75,5.58
6.00,5.90,6.00,5.75
5.70,5.60,5.70,5.60
6.20,6.45,6.45,6.18
6.45,6.45,6.45,6.45
6.10,6.29,6.30,6.10
6.00,6.21,6.21,6.00
6.53,6.41,6.76,6.41
6.50,6.68,6.68,6.35
6.73,6.72,6.74,6.59
6.19,5.42,6.19,5.35
5.36,5.19,5.54,5.19
5.45,5.50,5.51,5.31
5.50,5.47,5.58,5.44
5.35,5.50,5.50,5.35
5.50,5.67,5.67,5.50
5.88,5.89,6.05,5.82
5.86,5.92,5.92,5.75
5.83,5.76,5.90,5.72
5.84,6.04,6.25,5.84
6.29,6.20,6.30,6.14
6.15,6.08,6.20,6.08
6.11,6.21,6.21,6.04
6.10,6.10,6.10,6.10
5.98,6.27,6.38,5.95
6.26,6.15,6.50,6.15
6.15,5.80,6.15,5.67
5.92,5.64,5.94,5.55
6.00,5.86,6.00,5.86
6.18,6.00,6.46,6.00
5.95,5.84,5.95,5.77
6.13,5.70,6.13,5.70
5.86,5.77,5.86,5.72
5.52,5.56,5.60,5.52
5.56,5.49,5.56,5.49
5.47,5.45,5.54,5.35
5.53,5.30,5.53,5.20
5.35,5.35,5.35,5.35
5.29,5.10,5.29,4.81
5.14,4.96,5.16,4.96
5.06,5.30,5.30,5.06
5.54,5.65,5.65,5.52
5.64,6.05,6.20,5.64
6.05,5.98,6.05,5.90
5.92,5.85,5.92,5.85
5.85,6.00,6.12,5.53
5.99,5.99,6.05,5.99
5.96,5.84,5.96,5.73
5.94,5.88,6.15,5.86
5.82,5.65,5.82,5.48
5.57,5.56,5.57,5.45
5.64,5.52,5.83,5.52
5.48,5.40,5.48,5.23
5.40,5.24,5.40,5.04
5.00,4.90,5.09,4.90
5.01,4.86,5.01,4.78
4.90,4.90,4.95,4.90
4.93,4.81,4.97,4.75
4.76,4.95,5.00,4.53
5.05,5.13,5.13,4.97
5.53,5.60,5.60,5.50
5.60,5.60,5.60,5.60
5.89,5.89,5.89,5.89
6.12,5.75,6.32,5.75
6.10,6.31,6.45,6.08
6.57,6.85,6.90,6.45
6.77,6.80,6.84,6.59
6.75,6.72,6.75,6.64
6.61,6.66,6.66,6.61
6.49,6.41,6.51,6.40
6.00,6.43,6.50,6.00
6.71,6.68,6.73,6.48
6.62,6.59,6.67,6.56
6.64,6.70,6.80,6.64
6.90,7.00,7.25,6.90
7.19,7.22,7.29,7.07
7.38,7.40,7.40,7.25
7.40,7.57,7.57,7.39
7.34,7.50,7.50,7.34
7.42,7.36,7.42,7.36
7.37,7.36,7.45,7.35
7.78,7.90,8.16,7.73
7.96,7.85,7.96,7.65
7.55,7.80,7.96,7.55
7.83,7.67,7.86,7.65
7.65,7.54,7.65,7.49
7.54,7.54,7.54,7.54
7.35,7.45,7.66,7.31
7.49,7.52,7.52,7.49
7.24,7.27,7.48,7.15
7.26,7.67,7.67,7.24
7.60,7.56,7.60,7.56
7.53,7.25,7.59,7.22
7.04,7.25,7.25,7.04
7.60,7.60,7.60,7.60
7.25,7.35,7.35,7.23
7.39,7.10,7.40,6.90
6.79,6.90,6.90,6.79
6.90,7.25,7.25,6.90
7.12,7.15,7.34,7.12
7.14,7.14,7.14,7.14
7.40,7.45,7.45,7.40
7.45,7.45,7.45,7.45
7.25,7.34,7.40,7.25
7.55,7.55,7.55,7.55
7.49,7.92,7.95,7.49
8.00,8.10,8.10,8.00
8.11,8.06,8.11,7.90
7.71,7.65,7.71,7.65
7.33,7.95,7.95,7.33
7.95,7.95,7.95,7.95
7.84,7.72,7.84,7.68
7.74,7.79,7.79,7.74
7.70,7.53,7.70,7.53
7.52,7.52,7.52,7.52
7.25,6.95,7.25,6.75
6.89,7.10,7.11,6.89
7.10,7.10,7.10,7.10
7.10,7.10,7.10,7.10
6.90,6.90,6.90,6.90
6.74,6.82,6.83,6.74
6.70,6.70,6.70,6.70
6.71,6.85,6.85,6.70
7.02,6.70,7.02,6.55
6.75,6.65,6.75,6.55
6.78,7.09,7.10,6.78
7.12,7.22,7.30,6.99
6.81,6.95,7.05,6.81
6.85,7.14,7.14,6.85
6.91,6.95,6.95,6.88
6.69,6.76,6.76,6.61
6.67,6.47,6.67,6.47
6.54,6.55,6.55,6.54
6.69,6.70,6.70,6.69
6.70,6.70,6.70,6.70
6.79,7.10,7.14,6.79
6.96,6.81,6.96,6.71
6.81,6.81,6.81,6.81
6.90,7.12,7.12,6.90
6.95,6.85,6.95,6.85
6.85,6.85,6.85,6.85
6.99,7.02,7.02,6.99
7.02,7.02,7.02,7.02
7.01,7.03,7.12,7.01
7.46,7.45,7.46,7.45
7.45,7.45,7.45,7.45
7.59,7.71,7.82,7.59
7.48,7.62,7.62,7.48
7.62,7.62,7.62,7.62
7.54,7.54,7.55,7.51
7.39,7.51,7.64,7.39
7.38,7.18,7.38,7.13
6.97,6.96,6.97,6.89
6.88,6.72,6.91,6.70
6.95,6.60,6.95,6.60
7.41,7.06,7.78,7.03
7.02,6.90,7.02,6.90
6.91,6.92,7.01,6.91
7.01,7.18,7.30,7.01
7.40,7.46,7.46,7.36
7.39,7.48,7.48,7.35
7.34,7.54,7.54,7.30
7.40,7.41,7.41,7.40
7.41,7.35,7.41,7.35
7.40,7.34,7.48,7.30
7.25,7.25,7.25,7.25
7.32,7.03,7.32,7.03
7.19,6.97,7.19,6.97
6.95,7.00,7.05,6.90
7.16,7.20,7.25,7.16
7.20,7.30,7.30,7.20
7.06,7.06,7.06,7.06
6.65,6.58,6.65,6.58
6.68,6.75,6.75,6.68
6.75,6.75,6.75,6.75
7.05,6.97,7.05,6.90
6.83,7.00,7.03,6.83
6.70,6.62,6.80,6.62
6.60,6.52,6.64,6.50
6.46,6.55,6.55,6.40
6.33,6.54,6.55,6.32
6.33,6.54,6.54,6.25
6.60,6.84,6.90,6.60
6.74,6.90,6.90,6.74
6.46,6.48,6.48,6.35
6.32,6.48,6.54,6.32
6.45,6.50,6.62,6.45
6.08,5.95,6.12,5.95
5.95,5.95,5.95,5.95
