AET,Aetna Inc. Common Stock,NASDAQ
32.06,33.00,33.08,31.87
32.94,32.53,33.10,32.26
32.50,32.40,32.75,32.25
31.91,33.43,33.55,31.75
33.34,32.70,33.37,32.54
32.77,32.74,33.20,32.60
32.63,30.61,32.76,30.31
30.50,30.75,31.09,29.62
30.43,31.41,31.44,30.41
31.25,31.36,32.01,30.95
32.30,32.66,33.25,32.20
33.10,32.48,33.65,32.05
32.58,31.88,32.77,31.55
31.68,31.30,32.31,31.17
31.73,30.97,31.79,30.85
30.84,30.50,30.84,30.17
30.28,30.43,31.08,30.06
30.56,30.36,31.05,30.10
30.54,29.97,30.54,29.79
30.09,29.77,30.40,29.25
29.71,30.28,30.38,29.50
30.12,30.33,30.48,29.54
30.11,29.23,30.23,29.17
28.78,29.61,30.38,28.75
30.09,29.20,30.33,29.17
29.57,28.97,29.70,28.00
28.83,28.65,29.07,27.94
28.65,28.85,28.90,28.30
28.55,28.63,28.70,28.12
28.89,28.75,29.00,28.14
28.86,29.61,30.00,28.83
29.16,29.74,29.90,29.15
29.43,28.93,29.64,28.86
28.68,29.35,29.91,28.60
29.14,28.98,29.25,28.59
29.05,29.56,29.59,28.75
29.26,29.97,30.01,28.96
30.02,29.99,30.49,29.76
30.09,30.32,30.86,29.87
30.38,31.03,31.14,30.09
30.95,31.28,31.73,30.86
31.21,30.65,31.33,30.13
30.78,31.38,31.45,30.61
31.36,31.22,31.48,31.12
31.63,31.23,31.63,31.14
31.12,31.65,31.88,31.07
31.50,32.69,32.77,31.40
32.87,31.84,33.04,31.68
31.69,31.62,31.74,31.02
31.71,31.95,31.98,31.29
32.01,31.74,32.09,31.53
31.74,33.24,33.34,31.12
33.93,34.46,34.94,33.31
34.57,34.64,35.24,34.01
34.73,34.99,35.06,34.40
34.82,34.41,35.15,34.41
34.56,34.79,35.15,34.39
34.71,34.32,34.88,33.92
34.35,34.92,35.02,34.27
34.97,35.38,35.62,34.86
35.27,35.11,35.43,34.79
35.33,34.93,35.49,34.58
35.09,35.17,35.53,35.00
35.02,35.11,35.96,34.96
34.97,34.30,35.05,34.21
34.28,33.67,34.39,33.42
33.23,33.03,33.58,32.40
33.12,32.92,33.27,32.87
32.76,32.35,32.84,32.17
32.29,31.89,32.43,31.64
31.88,31.42,32.17,31.26
31.32,31.40,31.77,30.70
31.41,31.94,32.38,31.34
32.13,31.97,32.34,31.34
31.99,31.08,32.26,30.94
30.99,30.75,31.02,30.47
30.68,30.96,31.02,30.41
31.21,30.13,31.34,30.00
29.96,30.01,30.75,29.78
30.11,30.50,30.74,29.81
31.23,31.24,31.82,30.75
31.04,29.55,31.14,29.48
29.68,29.67,30.01,29.29
29.36,28.90,29.38,28.70
28.72,29.22,29.51,28.54
29.09,28.76,29.86,27.38
28.62,28.29,28.76,27.52
28.97,29.46,29.85,28.60
29.10,29.61,29.88,28.89
29.63,30.51,30.55,29.51
30.44,30.27,30.78,30.17
30.03,29.78,30.26,29.40
29.76,29.89,29.98,29.20
29.89,29.84,30.41,29.71
29.68,29.98,30.16,29.42
29.28,29.05,29.68,29.04
28.46,28.74,29.28,28.35
28.56,28.59,29.12,28.19
27.86,28.29,28.32,27.63
28.50,28.57,29.26,28.46
29.17,29.21,29.22,28.67
29.10,29.16,29.54,28.90
28.91,28.79,29.48,28.73
28.90,29.61,29.63,28.75
29.67,30.42,30.43,29.63
29.99,30.21,31.20,29.91
30.37,29.47,30.72,29.31
29.51,29.42,30.01,29.13
29.50,28.81,29.81,28.75
29.11,28.85,29.20,28.67
28.61,28.62,29.06,28.09
28.79,29.28,29.67,28.79
29.45,29.59,29.69,29.26
29.36,29.32,29.75,29.26
29.77,30.63,30.68,29.65
30.51,30.43,30.63,30.24
30.78,29.91,30.97,29.78
29.88,29.20,30.19,29.16
29.21,28.93,29.30,28.80
28.79,28.66,29.05,28.52
27.99,28.47,28.87,27.99
28.66,28.04,28.76,28.00
27.81,26.90,27.81,26.73
26.83,26.38,26.94,26.26
26.29,25.99,26.30,25.00
26.06,26.25,26.46,25.97
26.62,26.49,26.79,26.25
26.58,27.17,27.22,26.50
27.35,27.64,27.71,27.28
27.78,27.63,27.79,27.30
26.83,27.21,27.24,26.44
27.41,27.75,27.95,27.22
27.51,27.76,28.06,27.37
27.80,28.22,28.28,27.77
28.05,27.16,28.21,27.11
27.33,27.66,27.84,27.24
27.26,27.70,27.83,27.18
27.82,27.31,27.95,27.14
27.69,28.27,28.40,27.41
28.20,28.15,28.44,27.96
28.13,28.58,28.74,28.12
28.63,28.36,28.91,28.19
28.14,27.55,28.14,26.95
27.88,27.49,28.00,27.17
27.18,27.85,28.09,27.03
28.26,28.50,28.58,27.94
28.46,28.45,29.10,28.29
28.47,28.94,29.03,28.40
28.78,29.42,29.42,28.62
29.06,30.07,30.20,29.06
30.11,29.74,30.39,29.73
29.47,29.67,29.83,29.28
29.36,28.28,29.36,27.89
28.08,28.10,28.42,27.87
27.99,28.14,28.26,27.80
27.80,27.86,27.99,27.55
28.10,28.11,28.35,27.80
28.05,28.34,28.60,27.75
28.21,27.25,28.22,27.23
27.09,27.11,27.36,26.98
27.23,27.15,27.52,27.11
26.87,26.69,27.02,26.50
26.53,27.05,27.22,26.45
27.12,26.86,27.36,26.77
27.00,27.33,27.38,26.49
27.32,26.85,27.49,26.85
26.64,26.72,27.20,26.42
27.05,27.92,27.94,26.92
28.05,28.41,28.41,27.67
28.65,28.76,28.92,28.58
28.64,28.57,28.84,28.36
28.55,29.07,29.08,28.55
29.40,29.46,29.79,29.29
29.55,29.93,30.09,29.24
30.17,30.44,30.69,30.15
30.30,30.50,30.70,30.14
30.37,30.35,30.50,29.86
30.30,30.30,30.46,30.01
30.53,29.71,30.60,29.56
29.89,30.53,30.65,29.82
30.51,31.05,31.44,30.47
30.90,30.79,31.06,30.68
30.55,30.63,30.98,30.40
30.95,30.94,31.04,30.79
30.89,30.81,31.12,30.81
30.98,31.26,31.30,30.79
31.05,31.17,31.21,30.71
31.33,31.61,31.84,31.28
31.61,31.20,31.70,30.79
31.09,30.50,31.22,30.42
30.75,31.06,31.11,30.52
30.97,30.38,31.25,30.17
30.47,30.68,30.88,30.38
30.71,30.69,31.04,30.40
30.68,30.90,31.08,30.62
30.75,31.01,31.14,30.53
31.24,31.67,31.97,31.00
31.62,31.58,32.41,31.40
31.86,31.74,32.06,31.54
31.70,31.99,32.00,31.44
31.53,30.90,31.65,30.73
31.09,31.33,31.62,31.04
31.38,31.39,31.50,31.01
31.39,31.20,31.56,31.08
31.56,31.27,31.79,31.22
31.06,30.78,31.06,30.61
30.53,30.18,30.78,30.10
30.40,30.35,30.65,30.08
30.36,29.86,30.72,29.82
30.02,29.81,30.34,29.64
30.09,29.97,30.66,29.96
30.07,30.84,31.50,29.56
31.19,30.88,31.24,30.61
31.06,31.03,31.39,30.72
30.97,31.26,31.37,30.91
31.19,31.45,31.69,31.17
31.31,31.91,31.91,30.71
31.66,31.83,31.87,31.32
31.57,31.62,32.00,31.45
31.68,30.93,31.73,30.93
30.76,30.37,30.76,30.28
30.28,30.34,30.51,30.14
30.16,30.15,30.59,29.87
30.20,30.64,30.67,30.00
32.00,30.94,32.02,30.78
30.57,30.29,30.68,30.26
30.38,30.33,30.85,30.26
30.07,30.12,30.48,29.98
29.89,30.16,30.30,29.54
29.92,29.62,30.15,29.61
30.01,29.94,30.36,29.84
29.84,30.50,30.61,29.84
30.45,30.62,30.74,30.21
30.57,30.30,30.67,30.29
30.48,30.17,30.54,30.17
30.26,29.98,30.35,29.98
30.13,30.29,30.39,29.80
30.34,30.61,30.63,30.31
30.67,30.92,31.37,30.59
30.88,30.75,31.17,30.71
30.70,30.38,31.05,30.36
30.44,30.22,30.61,30.20
30.21,30.37,30.44,29.94
30.48,30.30,30.50,30.10
30.34,30.19,30.91,30.14
30.20,30.73,30.77,30.12
30.66,30.87,31.09,30.60
30.71,30.74,30.86,30.60
30.76,30.41,30.77,30.36
30.41,30.47,30.58,30.36
30.48,30.42,30.58,30.35
30.41,30.51,30.71,30.36
30.67,31.04,31.14,30.60
31.10,31.20,31.27,30.95
31.09,31.50,31.60,31.08
31.50,32.09,32.42,31.50
32.19,32.16,32.49,31.90
32.09,32.22,32.46,32.04
32.31,32.70,32.71,32.20
32.90,32.81,32.93,32.49
32.73,32.80,32.84,32.46
32.74,33.89,33.96,32.64
33.74,34.16,34.17,33.67
34.08,33.19,34.08,33.03
33.17,33.02,33.24,32.74
33.20,33.28,33.46,33.11
33.11,33.04,33.51,32.91
32.82,33.50,33.66,32.80
33.52,33.48,33.84,33.29
33.50,34.12,34.28,33.31
34.07,32.95,34.10,32.93
33.13,32.94,33.35,32.83
33.16,33.80,33.85,33.14
33.60,33.40,33.71,33.32
33.40,33.27,33.64,32.53
37.75,37.42,38.10,35.93
37.88,36.87,38.06,36.69
37.01,37.64,38.10,36.85
37.42,37.32,37.87,37.25
37.15,37.46,37.52,36.96
37.34,37.65,37.97,37.25
37.54,37.43,37.64,37.06
37.32,37.16,37.54,36.72
37.32,37.98,38.18,37.09
37.80,38.36,38.45,37.53
38.35,38.29,38.64,38.11
37.76,37.27,38.25,37.23
37.25,37.05,37.65,36.71
36.97,37.93,38.02,36.89
38.00,37.33,38.30,37.20
37.59,37.36,37.86,37.21
37.55,37.34,37.89,37.31
37.34,37.69,38.07,37.26
37.93,38.87,39.23,37.93
38.84,38.34,39.06,37.91
38.45,37.64,38.76,37.36
