CVO,Cenveo Inc Common Stock,NASDAQ
72.08,73.68,74.72,71.12
73.52,71.36,73.92,70.64
71.04,69.76,72.00,69.44
69.92,71.60,71.60,68.56
71.04,70.56,71.12,69.12
70.88,70.64,71.28,69.28
69.84,65.68,70.32,65.20
66.24,69.28,69.84,65.28
69.12,71.12,72.32,67.84
71.44,72.16,73.68,70.64
72.56,72.80,73.68,71.76
71.76,70.72,72.24,69.28
70.80,67.52,71.12,66.72
67.20,64.40,67.84,64.00
65.04,63.60,65.12,62.72
62.40,62.08,64.00,61.36
61.44,64.64,65.00,61.04
65.12,60.96,65.76,60.08
61.20,57.76,63.28,57.44
58.32,57.76,58.56,54.64
57.76,57.12,57.76,55.60
56.72,57.04,57.92,54.80
56.16,51.92,56.24,51.92
52.32,54.96,55.20,50.00
55.12,54.56,55.44,53.20
55.60,53.68,55.92,52.40
53.20,53.60,53.92,50.72
53.20,56.24,56.32,52.72
55.60,57.44,57.76,54.96
58.24,59.44,59.52,57.20
59.92,60.08,60.88,58.64
59.84,61.76,61.84,59.44
61.68,62.16,63.04,60.08
62.24,60.32,62.72,60.00
60.32,59.04,62.32,58.72
59.44,60.64,61.12,58.96
59.36,61.36,61.76,59.04
61.60,59.68,61.76,59.20
60.32,60.08,61.68,59.36
60.40,63.36,63.76,60.24
63.60,66.72,67.68,63.36
67.04,67.92,72.00,65.36
68.88,73.28,73.60,67.76
73.04,73.20,74.00,71.44
72.24,72.80,75.20,70.80
72.56,73.60,74.56,71.52
72.72,74.40,74.56,72.40
75.04,71.76,75.04,70.96
71.36,71.36,71.68,70.00
71.52,73.44,74.56,71.28
73.84,75.28,75.84,73.36
75.92,74.48,76.64,73.92
74.96,71.84,74.96,71.60
71.28,73.76,73.84,70.24
73.92,74.32,74.64,72.00
73.92,72.00,74.40,71.52
73.04,70.24,74.24,70.16
70.80,70.72,72.72,69.44
71.28,71.44,71.92,70.56
71.76,70.16,72.48,69.60
70.00,69.28,71.84,69.12
69.68,71.84,72.56,69.44
72.64,74.48,74.48,71.52
76.72,77.76,79.20,76.72
78.00,78.88,78.96,76.96
78.72,78.96,79.12,77.84
78.72,78.00,79.44,77.76
78.72,79.20,79.96,78.00
79.12,77.92,79.12,77.52
78.72,77.36,78.96,76.96
77.12,77.12,78.32,76.40
77.04,72.32,77.64,72.24
72.08,71.52,73.52,68.00
72.00,70.24,72.32,69.60
70.72,73.68,74.88,70.41
72.40,70.64,73.52,70.16
70.56,72.32,72.40,69.04
72.56,70.56,74.16,70.24
70.24,68.32,71.92,68.00
69.20,69.76,69.92,68.16
70.32,71.84,72.72,70.00
71.60,68.56,72.48,68.24
