PRFZ,PowerShares FTSE RAFI US 1500 Small-Mid Portfolio,NASDAQ
51.05,51.47,51.60,51.05
51.57,51.65,51.90,51.31
51.66,51.61,51.96,51.60
51.72,52.13,52.15,51.34
52.11,52.53,52.53,52.08
52.91,52.61,52.91,52.36
52.28,51.78,52.32,51.53
51.96,52.46,52.52,51.44
52.37,52.76,52.81,52.19
52.70,52.11,52.76,51.58
52.41,53.12,53.12,52.41
52.47,52.26,52.57,51.66
52.36,51.36,52.63,51.32
51.31,50.25,51.45,50.12
50.50,50.42,50.60,50.00
50.29,49.99,50.57,49.89
49.73,50.33,50.45,49.50
50.44,49.55,50.44,49.04
49.64,49.07,50.29,48.75
49.24,49.63,49.69,49.09
49.75,50.38,50.45,49.60
50.20,49.96,50.30,49.64
49.74,48.11,49.74,48.09
48.10,48.06,48.10,47.07
47.85,47.64,48.47,47.59
48.24,48.34,48.53,47.74
48.38,48.49,48.55,47.80
48.29,49.30,49.36,48.29
48.96,49.87,49.94,48.94
50.44,51.10,51.10,50.15
51.32,51.47,51.64,51.13
51.50,51.93,51.96,51.42
51.82,52.08,52.28,51.74
52.28,52.08,52.34,52.04
51.97,51.31,52.08,51.15
51.65,51.83,52.05,51.52
51.70,51.87,51.89,50.83
51.96,51.64,51.96,51.35
52.01,52.88,52.95,52.01
53.30,53.51,53.69,53.30
53.72,53.79,54.12,53.60
53.91,54.13,54.14,53.75
54.42,55.30,55.34,54.32
55.35,55.68,55.83,55.34
55.43,55.74,56.29,55.35
55.87,56.46,56.72,55.87
56.19,56.66,56.71,55.91
56.89,56.51,56.89,56.29
56.64,56.32,56.64,55.85
56.43,56.70,56.70,56.12
56.99,57.18,57.45,56.99
57.14,56.76,57.96,56.69
55.20,55.20,57.12,55.20
54.55,55.84,55.89,54.00
56.00,56.55,56.60,55.79
56.24,56.05,56.46,56.05
56.38,55.65,56.82,55.63
55.92,55.73,56.25,55.50
55.90,55.97,56.12,55.82
56.08,56.06,56.38,55.81
55.92,55.76,56.47,55.75
56.31,56.22,56.43,55.76
56.47,57.46,57.46,56.32
57.26,57.92,58.04,57.26
57.90,57.92,58.16,57.66
57.74,57.96,58.08,57.30
57.88,58.18,58.19,57.88
58.27,58.48,58.62,58.18
58.43,58.73,58.75,58.11
58.99,60.09,60.09,58.99
60.13,60.44,60.53,60.10
60.30,59.64,60.36,59.19
59.20,59.16,59.76,58.50
59.67,60.15,60.15,59.43
60.26,60.61,60.69,60.11
60.05,61.46,61.46,59.78
61.52,62.19,62.19,61.26
62.25,62.00,62.57,61.96
61.68,60.44,62.20,60.38
60.81,60.43,60.90,60.26
60.92,61.75,61.75,60.81
61.75,59.75,61.75,59.75
60.17,61.04,61.06,60.17
60.27,59.11,60.27,58.85
58.74,58.18,58.99,57.69
57.75,56.28,58.22,26.02
55.63,54.35,56.19,53.87
61.99,57.47,61.99,56.28
57.05,57.93,58.59,56.77
58.10,59.57,59.63,58.10
59.50,59.01,59.91,58.74
58.65,57.75,58.65,57.18
58.24,57.91,58.53,56.41
58.58,56.80,58.69,56.60
56.36,55.94,56.97,55.23
54.67,52.98,54.70,52.98
52.05,53.74,54.14,51.67
53.67,53.00,54.01,52.91
51.78,52.96,52.96,51.02
53.31,53.08,54.25,52.91
54.39,55.47,55.47,54.09
55.49,54.93,55.71,54.49
54.59,52.99,54.83,52.99
53.35,54.25,54.25,52.81
54.51,54.93,55.05,54.14
53.83,52.10,53.95,52.08
52.71,50.83,52.71,50.83
50.88,50.55,51.07,49.75
50.92,50.48,51.76,50.44
51.51,52.33,52.33,51.38
51.94,53.21,53.21,51.79
54.14,53.42,54.26,53.34
53.78,54.77,54.96,53.73
54.61,54.54,55.00,54.22
54.99,54.60,55.06,54.06
54.79,54.50,55.09,54.40
55.70,53.99,55.70,53.71
54.44,52.83,54.49,52.83
53.13,52.65,53.13,52.13
52.24,51.81,52.67,51.75
52.26,52.76,52.76,51.75
52.91,52.46,53.23,52.30
51.95,50.39,51.95,50.11
50.48,49.83,50.96,49.72
49.79,49.43,49.87,48.24
49.82,48.94,49.82,48.71
49.72,48.15,50.01,47.91
48.35,49.87,49.87,48.35
50.41,50.60,50.73,49.88
50.68,51.47,51.48,50.61
51.47,50.99,51.71,50.62
51.81,52.68,52.81,51.70
52.73,52.65,53.05,52.32
52.87,52.31,52.93,51.59
51.90,50.24,52.02,50.24
50.50,50.44,50.89,49.48
50.32,51.34,51.34,49.70
51.73,50.42,51.73,50.31
51.02,52.22,52.22,51.02
52.06,53.41,53.41,52.06
53.53,54.61,54.62,53.42
55.29,54.29,55.29,54.27
54.45,53.42,54.45,53.28
54.18,53.52,54.20,52.75
52.48,53.54,53.80,52.42
54.74,54.45,54.82,53.98
54.05,53.92,54.58,53.57
54.37,54.56,54.57,54.22
54.27,54.04,54.40,53.93
53.31,53.60,53.83,52.72
54.20,54.30,54.42,53.75
53.75,53.35,53.78,52.80
52.02,51.14,52.02,51.00
49.90,50.87,51.06,49.68
50.39,50.20,50.73,50.20
49.96,50.54,50.83,49.96
51.36,51.44,51.90,50.87
51.26,51.68,52.10,50.96
51.36,50.34,51.57,50.24
50.16,50.24,50.26,49.53
50.57,49.50,50.94,49.50
48.82,49.02,49.32,48.29
48.61,49.50,49.66,48.14
49.82,49.15,50.24,49.04
49.79,50.70,50.70,49.47
50.65,49.62,50.67,49.62
49.42,49.52,50.01,49.17
50.58,51.40,51.40,50.27
51.28,52.01,52.04,51.27
52.70,52.94,53.04,52.41
52.59,51.89,52.59,51.89
52.08,52.25,52.59,52.07
52.96,52.25,52.96,51.95
52.59,52.48,52.68,52.25
52.95,53.71,53.91,52.95
53.71,53.55,53.97,53.31
53.50,53.80,53.83,53.05
53.68,53.32,53.68,53.05
53.53,53.43,53.77,52.86
53.58,54.87,55.04,53.39
55.04,54.61,55.23,54.53
54.50,53.86,54.58,53.49
53.41,53.30,54.27,53.15
54.22,55.03,55.04,54.01
55.04,54.94,55.23,54.72
55.19,55.52,55.52,54.35
55.46,55.59,55.73,55.18
56.13,55.46,56.17,55.01
55.98,55.65,56.13,55.35
55.72,55.04,55.82,54.68
55.41,56.52,56.57,55.33
56.47,56.43,56.71,56.17
56.90,56.33,56.90,55.89
56.33,57.12,57.33,56.16
57.17,57.13,57.48,56.94
57.01,57.23,57.35,56.23
57.63,58.03,58.53,57.44
57.93,57.96,58.41,57.62
58.36,57.91,58.56,57.50
58.18,58.22,58.37,57.79
57.39,57.13,58.17,56.83
57.51,57.66,57.97,57.16
58.20,57.40,58.39,56.79
59.72,57.70,59.72,57.41
58.19,57.99,58.61,57.99
57.76,57.99,58.29,57.46
57.74,57.62,57.87,57.06
58.03,57.57,58.10,57.22
57.30,57.61,57.85,57.30
57.88,57.27,58.22,56.87
57.96,58.36,58.36,57.68
58.63,58.48,58.63,57.85
59.44,60.05,60.06,59.44
60.30,60.46,60.62,60.23
60.17,60.42,60.55,60.07
60.82,59.58,60.82,59.47
59.90,60.39,60.39,59.30
59.96,60.32,60.42,59.69
59.82,59.23,59.93,59.07
59.65,59.19,59.78,59.19
58.64,57.86,58.72,57.65
58.23,58.26,58.33,58.15
58.97,59.27,59.58,58.97
59.25,59.58,59.63,58.92
59.16,59.85,59.90,58.94
59.13,59.18,59.18,58.73
59.93,60.38,60.40,59.76
60.08,60.24,60.43,59.99
60.19,60.24,60.56,59.23
59.77,59.83,60.07,59.47
60.77,61.06,61.20,60.77
61.42,61.76,61.86,61.08
61.54,62.40,62.40,61.47
62.18,62.72,62.84,62.18
63.60,62.99,63.60,62.97
63.23,63.03,63.36,62.95
63.54,63.32,63.54,63.07
63.77,64.09,64.18,63.31
64.76,63.70,64.76,63.70
64.23,63.65,64.23,63.49
63.65,63.38,64.23,63.30
63.33,64.06,64.17,63.33
64.12,63.88,64.12,63.55
64.32,64.01,64.38,63.79
64.40,64.76,64.87,64.36
65.07,64.92,65.07,64.77
65.27,64.86,65.27,64.76
65.07,65.03,65.07,64.40
65.15,64.87,65.15,64.66
65.06,64.98,65.08,64.90
65.16,64.97,65.22,64.97
64.87,64.47,64.95,64.47
65.24,65.62,65.90,64.94
66.04,64.72,66.04,64.00
64.70,65.34,65.37,64.55
65.43,65.12,65.53,64.85
65.64,64.86,65.64,63.93
64.40,65.04,65.43,64.20
65.50,65.32,65.59,64.98
66.11,65.96,66.15,65.62
66.09,65.84,66.18,65.68
65.86,66.38,66.47,65.75
66.48,66.32,66.48,65.81
66.50,64.76,66.50,64.65
64.71,64.02,64.71,63.80
64.69,63.67,64.69,63.67
63.67,64.34,64.51,63.67
64.25,64.34,64.34,63.68
64.61,65.54,65.55,64.31
65.63,65.80,65.89,65.20
65.81,64.28,65.81,64.00
64.61,64.53,64.90,63.96
64.81,65.99,66.14,64.81
65.84,65.74,66.12,65.69
65.73,65.84,66.01,65.17
65.92,66.07,66.25,65.70
66.29,66.90,67.19,66.29
66.83,67.29,67.29,66.70
67.07,67.07,67.44,66.86
66.79,67.32,67.45,66.67
67.35,68.19,68.22,67.18
68.42,68.62,68.62,68.19
68.68,68.17,68.68,68.00
68.48,68.67,68.82,68.36
68.66,69.22,69.32,68.55
69.54,69.33,69.61,69.01
68.74,67.40,68.87,67.34
67.27,66.13,67.58,65.62
66.15,66.57,66.87,65.84
66.91,68.12,68.12,66.91
68.44,68.33,68.72,67.78
68.56,66.85,68.60,66.77
66.76,67.20,67.47,66.64
67.83,68.63,68.78,67.83
68.79,68.41,68.79,67.77
68.79,67.26,68.79,66.63
67.29,68.39,68.57,66.87
68.41,68.02,68.41,67.93
67.00,66.34,67.12,66.15
66.00,66.64,66.76,65.90
65.93,66.06,66.46,65.52
65.00,65.46,65.84,63.18
65.28,64.67,65.33,64.46
65.30,65.00,65.44,64.98
