JKG,iShares Morningstar Mid-Cap ETF,NASDAQ
68.90,69.00,69.13,68.89
69.10,69.35,69.35,69.08
69.44,69.77,69.81,69.44
69.84,70.28,70.28,69.55
70.20,70.67,70.67,70.20
71.06,70.70,71.06,70.34
70.16,69.72,70.16,69.43
69.90,70.56,70.56,69.51
70.37,70.64,70.71,70.37
69.96,69.76,69.96,69.60
69.91,70.72,70.76,69.80
69.74,70.03,70.03,69.44
69.99,68.81,70.07,68.81
68.72,67.25,68.72,67.17
68.01,67.45,68.01,67.40
67.36,67.26,67.83,66.98
67.13,66.73,67.13,66.49
67.49,66.64,67.69,66.06
66.67,65.45,67.00,65.35
65.59,66.64,66.64,65.59
66.83,67.82,67.91,66.79
67.46,67.42,67.80,67.31
66.69,65.08,66.69,65.08
65.09,65.16,65.20,63.74
65.62,64.91,65.73,64.91
65.64,65.71,66.17,65.57
65.18,65.72,65.84,64.91
65.52,66.50,66.51,65.51
65.78,66.72,66.72,65.61
67.41,68.00,68.07,67.40
68.45,68.29,68.57,68.11
68.43,68.97,69.09,68.43
69.00,69.23,69.45,68.75
69.54,69.35,69.63,69.17
68.92,68.19,68.92,68.10
68.37,68.64,68.66,68.14
67.66,68.71,68.71,67.34
68.85,69.02,69.07,68.40
70.04,70.09,70.10,69.97
70.45,70.34,70.58,70.23
70.59,70.40,70.91,70.40
70.61,70.72,70.74,70.44
71.09,71.75,71.84,71.09
71.85,71.90,71.98,71.75
71.61,71.85,72.17,71.55
72.32,72.04,72.32,72.04
72.02,72.43,72.50,71.86
72.67,72.49,72.73,72.40
72.44,72.40,72.44,71.93
72.45,73.04,73.09,72.45
73.63,73.88,74.11,73.43
73.78,73.51,73.80,73.34
72.70,72.70,73.70,72.70
72.16,73.75,73.75,72.16
73.85,74.33,74.33,73.58
74.02,73.80,74.09,73.79
73.88,73.50,74.17,73.50
73.21,73.10,73.50,73.08
73.46,73.74,73.78,73.46
73.57,73.77,73.84,73.55
73.53,73.85,73.86,73.53
73.97,74.01,74.31,73.59
74.28,75.05,75.05,74.28
74.76,75.34,75.40,74.76
75.25,74.61,75.25,74.46
73.96,74.75,74.80,73.96
74.85,75.46,75.46,74.85
75.56,75.52,75.79,75.52
75.51,75.74,75.74,75.51
76.14,76.69,76.69,76.14
76.58,76.80,76.83,76.53
76.23,75.41,76.31,75.18
75.29,75.35,75.35,74.47
75.79,76.31,76.31,75.76
76.40,76.46,76.46,76.06
76.06,77.57,77.57,75.67
77.68,78.49,78.49,77.68
78.60,78.27,78.75,78.27
77.97,76.01,78.04,76.01
76.41,76.72,76.72,76.34
77.72,78.11,78.11,77.67
77.86,76.35,77.86,76.32
76.59,77.61,77.71,76.59
76.57,75.38,76.57,75.11
74.61,74.49,75.02,74.05
74.13,72.19,74.69,62.77
71.68,70.33,72.44,69.36
73.87,74.20,74.38,73.41
73.32,74.10,74.80,73.32
74.54,75.68,75.73,74.54
75.58,74.91,75.80,74.58
73.35,72.52,73.38,72.47
73.13,73.11,73.29,71.79
73.68,71.76,73.99,71.70
71.42,71.19,71.71,70.00
69.59,68.70,69.59,68.38
67.20,69.36,69.67,66.40
69.41,68.63,69.75,68.63
67.08,68.82,68.82,66.27
69.45,68.86,70.43,68.86
70.41,71.35,71.35,70.41
71.61,71.30,71.61,70.81
69.84,69.14,70.63,69.14
69.45,70.73,70.73,69.45
70.89,71.34,71.43,70.83
69.88,68.37,70.15,68.37
68.64,67.04,68.74,66.89
66.63,67.36,67.37,66.01
67.99,68.18,69.25,67.99
69.38,70.01,70.01,68.94
69.44,70.54,70.54,69.44
71.32,70.85,71.94,70.85
71.67,72.87,72.87,71.67
72.82,72.92,72.92,72.65
73.11,72.41,73.11,71.82
72.90,72.30,72.90,72.23
73.30,72.10,73.30,72.10
71.93,70.78,71.93,70.78
70.02,70.44,70.44,69.51
69.19,68.77,69.58,68.77
68.95,69.23,69.53,68.59
69.43,69.43,69.43,69.43
68.01,66.57,68.01,66.18
67.08,66.17,67.32,66.02
65.97,65.83,66.08,64.43
66.32,65.50,66.32,64.95
66.36,64.90,66.82,64.87
65.30,66.94,66.95,65.30
67.92,67.87,67.92,67.56
68.20,68.96,68.96,68.20
68.94,68.86,69.30,68.48
69.72,70.49,70.49,69.72
70.24,69.89,70.34,69.78
70.42,70.30,70.42,69.26
69.71,68.03,69.71,67.88
68.24,68.24,68.24,67.67
67.67,69.61,69.61,67.67
69.69,68.74,69.81,68.74
69.61,70.44,70.59,69.61
70.65,71.33,71.34,70.57
71.65,72.34,72.42,71.33
72.76,72.06,72.76,72.00
71.83,71.34,72.02,71.24
71.91,71.40,71.91,70.48
70.08,71.42,71.42,70.08
72.45,72.87,72.87,72.45
72.35,72.44,72.66,72.21
72.71,72.96,72.96,72.35
72.51,72.81,72.84,72.37
71.91,72.41,72.57,71.63
