CBRL,Cracker Barrel Old Country Store,NASDAQ
38.48,37.76,38.55,37.57
37.60,37.51,37.93,37.17
37.55,36.72,37.68,36.55
36.63,37.77,37.86,36.60
37.65,37.74,38.07,36.90
37.76,37.53,37.93,37.15
37.19,37.14,37.83,36.96
37.15,37.95,38.13,36.88
37.74,38.47,38.77,37.66
38.66,38.72,38.79,38.09
38.71,39.25,39.44,38.59
38.88,40.61,40.78,38.71
40.65,40.59,41.57,40.56
40.44,40.28,40.96,40.14
40.70,39.57,40.70,39.39
39.34,39.37,39.83,39.16
39.21,39.17,39.47,38.85
38.50,37.81,38.83,37.54
38.01,36.96,38.35,36.93
37.03,37.95,38.23,37.03
38.10,37.74,38.38,37.65
37.52,37.61,37.92,37.30
37.30,37.03,37.55,36.88
36.99,36.74,37.28,36.18
36.83,36.53,37.25,36.45
36.87,37.64,37.79,36.72
37.48,37.75,37.75,37.18
37.68,38.62,38.71,37.33
38.17,38.58,38.67,37.96
38.95,39.12,39.25,38.62
39.12,39.44,39.47,38.83
39.53,39.96,40.00,39.46
39.99,39.86,40.22,39.53
40.00,39.86,40.22,39.38
41.20,42.35,43.15,41.20
42.61,43.57,43.68,42.61
43.30,43.60,44.00,42.91
43.50,43.68,44.25,43.30
43.76,44.28,44.28,43.68
44.13,44.39,44.62,44.09
44.32,44.35,44.50,43.91
44.08,43.89,44.50,43.81
44.22,44.50,44.50,43.22
44.05,44.62,44.93,43.90
44.07,44.61,45.62,44.07
44.54,45.46,45.50,44.54
45.16,45.73,45.97,44.94
45.80,45.79,46.00,45.41
45.92,46.30,46.42,45.60
46.40,46.64,46.65,46.08
46.60,47.09,47.37,46.47
47.00,47.11,47.51,46.74
47.32,47.19,47.50,46.77
47.01,47.21,47.54,46.74
47.01,47.50,47.54,46.82
47.23,46.83,47.38,46.82
46.96,46.45,47.35,46.43
46.46,45.90,46.87,45.70
46.22,45.95,46.56,45.62
46.11,45.99,46.35,45.95
46.25,46.38,46.73,45.98
N/A,N/A,N/A,N/A
47.18,47.96,47.98,46.89
47.92,48.45,48.66,47.63
48.60,49.93,50.70,48.27
49.94,50.04,50.18,49.58
50.18,50.14,50.34,49.66
50.15,50.43,50.67,50.00
50.46,50.93,50.99,50.31
50.99,52.39,52.39,50.82
52.19,51.84,52.89,51.80
51.73,51.25,52.33,51.11
51.23,51.56,52.16,50.82
51.49,52.14,52.16,51.00
51.90,52.34,52.34,51.58
51.80,52.78,53.43,51.67
52.78,52.15,52.83,51.93
52.32,52.02,52.32,51.88
51.99,51.02,52.82,50.94
50.97,50.74,51.54,49.80
50.91,51.67,51.71,50.72
51.67,49.37,51.81,49.37
49.37,51.41,51.49,49.37
50.86,49.38,50.98,49.15
49.10,49.39,50.21,48.50
49.10,47.44,49.89,46.16
47.43,46.58,48.34,46.26
48.48,49.20,49.27,48.34
48.73,50.01,50.49,48.10
50.27,51.10,51.24,49.87
50.82,51.15,51.50,50.26
50.92,51.39,51.93,50.41
51.41,51.43,51.99,50.14
51.69,50.43,52.60,50.23
50.21,50.34,50.98,49.66
49.21,48.52,49.98,48.34
47.80,48.83,49.52,47.00
48.94,50.01,50.36,48.28
49.14,47.80,49.14,46.75
48.66,48.87,49.62,48.35
49.94,50.59,50.60,49.07
50.47,49.83,50.86,49.59
49.29,48.64,49.63,48.02
48.95,49.91,49.91,48.26
49.90,50.12,50.63,49.70
49.05,48.75,49.47,48.49
48.83,46.79,49.03,46.77
46.92,47.13,47.83,45.90
47.41,48.12,48.97,47.33
48.79,48.34,48.93,47.27
47.69,49.05,49.15,47.31
49.48,49.65,50.39,48.69
49.80,50.79,50.97,49.68
50.23,50.62,50.99,50.10
50.57,50.64,50.95,50.19
50.90,50.49,50.98,50.18
50.98,49.10,51.00,49.00
49.11,47.72,49.77,47.62
47.77,48.12,48.72,47.36
47.98,47.45,48.04,47.28
47.64,47.40,48.17,46.85
47.43,47.62,48.30,47.04
46.92,46.10,47.19,45.82
46.24,46.56,47.09,45.94
46.62,47.04,47.35,45.27
47.36,46.31,47.39,46.26
46.91,45.61,47.34,45.35
45.95,46.38,46.58,45.26
46.93,47.50,47.52,46.41
47.56,47.97,48.01,47.09
47.88,47.80,48.16,47.23
48.23,49.40,49.63,48.23
48.97,49.65,49.87,48.69
49.81,49.52,49.89,48.95
49.17,47.03,49.24,46.90
47.07,46.75,47.40,46.12
46.11,48.15,48.23,46.06
48.47,46.95,48.47,46.91
47.64,48.34,48.45,47.59
48.00,49.00,49.42,47.88
49.29,50.06,50.20,49.07
50.25,49.73,50.61,49.67
49.56,48.94,50.32,48.76
49.19,48.90,49.55,48.16
48.01,48.98,49.23,47.68
49.78,49.11,50.12,48.68
48.72,48.25,49.06,47.76
48.36,48.84,49.09,48.36
48.63,48.31,48.95,48.01
47.80,48.11,48.29,47.24
48.29,48.71,48.75,48.20
48.36,48.25,48.79,48.01
47.44,47.10,47.83,46.99
46.73,47.05,47.35,46.28
46.76,45.64,46.90,45.61
45.32,45.85,46.24,45.16
46.18,45.89,46.36,45.85
45.94,46.19,46.96,45.47
45.97,45.87,46.37,45.13
45.63,45.94,46.06,45.31
46.19,45.17,46.49,45.12
44.69,44.42,44.84,43.65
44.05,44.44,44.84,43.90
44.55,44.49,45.37,44.00
44.94,45.20,45.33,44.02
44.93,44.39,45.46,44.34
44.33,44.61,44.94,43.85
45.31,45.69,45.89,45.01
45.87,46.66,46.79,45.50
47.44,47.27,47.80,46.78
47.37,48.30,48.59,47.16
48.15,47.79,48.62,47.70
48.00,47.25,48.71,46.96
47.46,47.99,48.01,47.13
48.30,48.59,48.69,48.09
49.37,49.94,51.53,49.16
49.85,50.45,50.79,49.55
50.45,50.45,50.86,50.00
51.00,50.43,51.00,49.96
50.50,50.96,51.88,50.26
50.74,50.26,51.22,49.90
49.97,50.02,50.40,49.69
49.56,49.42,50.51,49.36
50.04,50.54,50.66,49.99
50.40,50.18,50.66,50.03
50.18,50.98,51.07,49.72
50.71,50.57,51.23,50.36
50.80,50.76,51.31,50.00
51.35,51.01,51.35,50.35
51.07,51.12,51.69,50.47
51.51,52.48,52.61,51.48
52.24,51.50,52.73,51.28
51.88,51.86,52.14,51.55
52.01,52.22,52.40,51.67
52.33,52.20,52.62,52.01
52.68,52.05,52.68,51.70
51.56,51.95,52.24,51.56
52.04,52.00,52.16,51.72
52.38,52.69,52.95,51.82
52.90,53.21,53.31,52.86
52.51,52.64,53.47,52.40
53.03,52.50,53.07,52.29
52.83,52.36,53.05,51.73
52.53,53.58,53.76,52.37
53.95,54.34,54.58,53.75
53.90,54.08,54.39,53.66
53.59,53.45,53.75,53.03
53.87,53.75,53.98,53.64
53.33,53.89,54.17,53.33
54.04,54.23,54.66,53.78
54.50,54.82,54.97,54.42
54.82,55.00,55.00,54.32
55.02,55.14,55.36,54.82
55.22,55.47,55.74,55.13
55.25,55.17,55.59,54.80
55.17,54.57,55.27,54.35
54.60,55.08,55.08,54.31
54.43,55.43,55.90,54.28
55.26,54.94,55.49,54.66
55.05,55.39,55.78,55.00
55.06,54.41,55.50,53.71
54.44,54.81,55.16,54.39
55.41,54.62,55.86,54.58
54.71,56.09,56.24,54.20
56.09,57.77,57.79,56.00
55.80,55.04,55.80,53.57
55.88,54.19,56.61,53.63
53.92,53.89,54.23,53.54
53.82,54.08,54.22,53.15
53.75,52.66,53.81,52.50
53.68,53.51,53.73,52.73
53.49,53.69,53.91,52.86
53.44,53.70,53.84,53.12
53.86,54.08,54.10,53.20
54.50,54.92,55.36,54.29
55.12,54.87,55.28,54.54
55.23,54.66,55.29,54.30
54.65,54.92,55.05,54.46
54.98,53.80,54.98,53.76
53.85,54.25,54.47,53.38
54.45,54.61,55.12,54.25
55.39,56.12,56.17,54.67
56.10,56.44,56.83,55.14
56.76,57.02,57.25,56.34
57.05,56.70,57.08,56.53
56.86,56.48,56.91,56.18
56.40,56.53,56.73,56.33
56.40,56.41,56.76,56.00
56.61,55.99,56.61,55.96
56.16,55.89,56.43,55.87
55.95,55.92,56.20,55.73
55.77,54.77,55.88,54.76
55.24,54.88,55.53,54.86
55.22,54.48,55.42,53.75
54.23,54.49,54.76,54.12
54.16,54.58,55.08,54.16
54.83,54.50,55.17,53.79
54.20,54.56,54.68,53.72
54.63,54.45,54.71,53.96
54.95,53.07,54.98,53.02
53.00,53.86,53.86,53.00
53.89,53.88,54.03,53.51
53.53,53.74,53.88,53.03
53.54,52.75,53.54,52.31
52.37,52.94,54.49,52.34
53.44,52.03,53.51,52.02
51.90,52.36,52.53,51.66
52.12,52.44,52.50,50.98
52.37,51.62,52.45,51.35
51.92,51.88,52.31,51.43
51.95,50.31,52.07,50.27
50.69,51.48,51.48,50.23
51.61,51.38,51.70,50.82
51.07,51.20,51.55,50.84
51.33,51.94,51.99,51.10
51.94,52.52,52.76,51.72
52.64,52.17,52.98,52.08
52.06,52.51,52.53,51.51
52.70,52.68,53.11,52.40
52.50,52.59,52.76,52.30
52.42,52.31,52.54,52.00
52.09,52.62,52.70,51.96
52.63,52.60,53.05,52.39
52.09,52.50,52.97,52.08
52.25,52.37,52.61,52.16
52.45,53.34,53.54,52.22
51.96,49.88,52.35,49.79
49.78,49.19,50.14,48.21
49.19,49.33,49.48,48.58
49.39,50.06,50.25,49.39
50.71,49.84,51.02,49.60
49.92,48.03,49.92,47.87
48.07,48.31,49.42,48.07
48.49,48.79,49.59,48.49
48.53,47.72,49.35,47.54
47.75,47.97,48.50,47.34
47.66,48.67,49.14,47.64
48.42,49.18,49.48,48.42
48.21,48.57,49.04,48.07
48.48,49.58,50.14,48.20
49.19,48.49,49.93,48.46
47.62,49.08,49.34,47.48
49.08,48.27,49.22,48.23
49.03,47.45,49.27,47.41
47.85,48.03,48.19,47.53
48.33,48.46,48.75,48.17
48.58,48.13,48.80,48.05
48.01,48.70,48.84,47.63
48.85,49.17,49.36,48.60
49.25,48.99,49.99,48.98
49.12,48.38,49.26,48.27
48.44,48.41,48.79,48.05
48.63,48.90,49.25,48.60
48.95,49.14,49.35,48.64
49.31,49.23,49.34,48.43
49.45,49.03,49.61,48.94
48.90,49.51,50.00,48.78
49.75,49.58,49.90,48.84
49.53,48.45,49.55,48.26
48.67,47.73,48.76,47.48
47.76,47.47,48.01,47.01
47.15,48.62,49.14,47.15
48.44,48.15,48.76,47.94
47.85,48.80,48.82,47.67
49.88,50.13,50.37,49.57
49.61,49.91,50.16,49.27
50.00,50.54,50.55,49.82
51.00,51.00,51.13,50.67
51.39,50.68,51.39,50.32
50.44,50.61,50.69,50.03
50.60,50.55,50.80,50.25
50.42,50.84,51.19,50.42
50.60,51.09,51.14,50.49
51.09,51.23,51.54,51.03
51.29,50.28,51.47,49.92
50.27,49.93,50.39,49.56
50.13,50.43,50.71,49.67
50.40,51.64,52.37,50.07
51.96,51.59,52.52,51.21
51.46,50.94,51.75,50.83
51.13,51.66,51.77,50.88
51.47,51.71,51.94,51.29
51.61,53.40,53.53,51.43
53.49,52.68,53.49,52.57
52.40,51.97,52.65,51.96
51.59,51.98,52.39,51.51
52.02,52.31,52.35,51.71
52.50,53.05,53.13,52.01
52.80,52.80,53.07,52.13
52.01,53.15,53.86,51.45
49.76,46.48,49.77,46.42
46.47,46.43,47.26,46.03
46.28,47.50,47.70,46.11
47.61,47.60,47.73,47.18
47.66,47.38,48.14,47.30
47.19,46.25,47.38,46.25
45.43,45.18,45.84,44.79
44.63,44.22,45.45,44.02
44.72,44.43,45.58,43.79
44.60,44.67,45.42,44.22
44.30,44.47,44.98,44.17
44.54,44.44,44.63,44.10
43.05,44.21,44.47,42.79
44.30,44.68,44.89,44.21
46.13,47.01,48.33,46.13
46.55,46.58,47.06,46.14
46.61,47.50,47.90,46.43
47.76,47.60,48.27,47.55
47.44,48.00,48.55,47.16
48.18,47.95,48.55,47.25
