SOHU,Sohu.com Inc. - Common Stock,NASDAQ
57.65,59.23,59.26,57.54
59.10,59.78,60.56,59.06
60.00,59.68,60.74,59.50
59.58,58.57,59.78,57.88
58.65,59.20,59.65,58.62
59.01,58.95,59.76,58.75
58.54,58.13,58.75,57.62
60.60,58.90,61.00,58.50
58.85,60.40,61.00,58.74
60.07,59.21,60.50,59.13
59.30,62.02,62.12,59.11
61.75,61.32,61.75,60.25
61.32,60.32,62.35,60.18
59.68,56.00,59.68,55.79
56.90,56.25,57.34,56.01
55.60,54.80,55.62,53.90
54.39,54.37,55.34,53.05
54.39,52.40,54.52,50.88
52.62,50.35,52.90,49.92
46.97,50.22,50.79,46.62
50.03,51.16,51.22,49.00
50.93,51.59,52.72,50.76
51.54,48.85,51.54,48.78
48.75,49.51,49.60,48.15
49.68,48.66,50.53,48.55
49.02,48.35,49.21,48.17
48.57,48.04,49.09,47.52
48.29,48.25,48.77,47.51
47.81,48.26,48.27,47.13
48.48,49.43,49.75,47.90
49.77,49.39,49.82,48.83
49.39,50.37,50.53,48.74
50.24,50.39,50.42,49.78
50.40,49.84,51.41,49.71
49.95,48.48,49.95,48.00
48.57,49.20,49.24,47.75
48.29,49.06,49.11,47.90
48.92,51.21,51.65,48.92
51.34,51.20,51.81,50.70
51.20,50.31,51.44,50.12
50.50,50.01,50.80,49.40
50.00,50.81,51.25,49.60
51.12,51.96,51.96,50.55
52.13,53.47,53.71,51.95
53.28,55.12,55.67,52.47
54.75,54.55,55.38,54.33
54.21,54.43,54.67,53.44
54.52,54.62,55.20,53.38
54.41,54.17,55.97,53.52
54.20,52.66,54.52,52.44
52.96,53.36,53.66,52.37
53.25,54.52,54.72,53.20
54.90,54.27,55.36,54.05
54.26,54.76,54.88,53.90
55.13,54.19,55.73,53.86
54.28,53.18,54.39,52.69
53.25,53.66,55.23,53.13
54.17,53.71,54.60,53.26
53.74,54.28,54.59,53.45
54.76,55.94,56.10,54.70
55.56,54.60,56.31,54.37
54.13,53.80,55.19,53.59
54.05,54.07,54.44,53.55
53.58,54.48,54.85,53.54
54.23,54.04,54.43,53.68
53.67,53.60,53.98,53.20
53.89,54.01,54.39,53.84
54.00,53.88,54.28,53.61
53.96,53.07,53.96,52.80
53.40,53.08,53.59,52.78
52.78,52.98,53.56,52.78
52.68,50.29,52.74,50.05
50.39,49.76,51.24,49.10
49.90,51.52,51.66,49.86
51.46,52.02,52.23,50.94
51.34,51.76,51.96,50.64
51.60,53.02,53.86,51.52
52.53,51.82,53.80,51.53
51.18,49.54,51.39,48.34
49.89,48.40,50.00,48.25
49.17,48.47,49.70,48.02
48.33,48.15,49.38,48.15
48.22,48.49,48.93,48.22
48.22,46.32,48.23,46.10
46.16,46.29,46.90,45.41
46.21,45.31,47.96,43.33
45.43,44.19,46.07,43.67
45.20,45.77,46.88,45.20
45.48,46.16,46.84,44.97
46.53,47.35,47.59,46.18
47.00,46.98,48.20,46.79
46.75,45.93,46.84,45.25
45.76,44.89,45.76,43.71
45.09,45.32,46.39,45.07
45.00,44.30,45.18,43.53
42.99,43.26,44.45,42.10
42.34,43.20,44.05,42.29
43.44,43.47,44.05,42.97
42.08,43.09,43.13,41.02
43.65,43.52,44.58,43.14
44.54,45.16,45.20,44.39
44.93,44.20,45.03,43.78
44.26,43.23,44.80,43.23
43.27,44.00,44.00,42.91
44.08,46.10,46.36,44.01
45.25,44.27,45.77,43.90
44.37,42.49,44.52,42.40
42.50,42.64,43.06,41.89
42.77,42.64,43.75,42.40
43.43,43.90,44.00,43.22
43.32,43.82,44.11,43.18
44.35,43.53,44.57,43.29
43.64,43.98,44.17,43.51
43.50,43.68,44.39,43.50
43.83,43.73,43.84,43.02
43.97,44.03,44.21,43.57
44.83,44.54,46.69,44.43
43.65,43.03,44.31,42.76
42.95,42.81,43.69,42.57
42.54,41.86,42.81,41.57
41.87,42.02,42.70,41.46
42.10,41.54,42.43,41.29
40.99,40.88,41.19,40.05
41.04,41.09,41.66,40.35
41.00,40.79,41.59,40.09
40.77,40.68,41.25,40.39
41.49,41.00,41.85,40.71
40.86,41.99,41.99,40.86
42.34,40.98,42.44,40.73
40.70,41.25,41.28,40.55
40.86,41.41,42.27,40.76
41.78,42.51,42.72,41.59
42.72,42.99,43.21,42.39
42.94,42.85,42.99,41.66
42.49,41.72,42.56,41.67
41.92,42.13,42.60,41.60
41.73,42.57,42.66,41.36
42.78,42.50,43.30,42.24
43.27,44.00,44.32,42.58
43.83,45.04,45.15,43.46
46.02,46.09,47.54,45.44
46.42,47.60,47.90,46.38
48.00,47.67,48.77,47.54
48.07,47.55,48.10,46.95
47.68,47.02,47.74,46.62
47.50,47.77,48.24,47.24
47.46,47.51,47.95,47.34
47.66,47.95,48.08,47.66
47.98,48.46,48.70,47.72
48.05,49.02,49.35,47.63
49.67,50.56,51.88,49.53
50.01,49.11,50.17,49.04
48.50,47.35,48.53,47.26
46.52,47.90,48.10,46.26
47.92,46.46,47.95,46.42
46.30,46.37,46.71,45.91
46.71,47.00,47.38,46.14
47.15,47.54,47.65,46.62
47.61,47.93,48.24,47.61
47.98,47.74,47.98,47.55
47.75,47.48,47.80,46.62
47.01,47.06,47.29,45.81
46.74,47.25,47.36,46.24
47.72,48.39,48.91,47.41
48.83,49.22,49.31,47.58
49.00,48.05,49.24,48.02
47.99,48.47,48.67,47.48
48.90,50.13,50.36,48.84
50.05,50.86,50.96,49.98
51.50,51.91,51.95,51.04
51.50,50.35,52.26,50.26
50.06,50.47,51.46,50.06
50.75,53.28,53.43,50.75
53.15,52.77,53.31,52.20
52.99,53.58,53.70,52.31
53.18,53.71,53.85,53.01
53.67,55.11,55.25,53.14
54.79,54.67,54.97,54.15
54.81,54.12,55.00,53.94
54.52,55.60,55.78,54.26
55.60,59.55,59.89,55.41
58.66,58.17,58.76,57.56
58.14,59.95,61.12,58.01
60.25,60.35,60.76,60.02
60.07,60.08,60.40,59.45
59.74,59.51,60.99,58.25
58.94,58.59,59.41,58.25
58.75,57.62,59.17,56.61
57.78,57.73,57.78,56.95
57.56,58.50,58.87,57.31
58.93,60.12,60.41,58.30
58.72,58.52,59.39,58.02
58.55,58.64,58.97,58.15
58.81,59.16,59.35,57.86
59.12,59.24,60.30,58.54
59.15,59.42,59.73,57.77
59.69,59.24,59.98,58.99
58.81,58.45,59.14,58.03
58.87,61.59,61.81,58.05
61.81,61.59,62.49,61.25
60.81,59.16,60.81,58.60
59.14,60.25,60.50,59.05
60.83,62.50,62.70,60.38
62.53,65.76,66.90,61.94
69.70,74.93,76.91,68.70
74.50,73.83,74.95,72.65
72.76,72.57,74.07,71.87
72.63,72.97,73.75,71.94
72.82,74.50,75.76,72.70
75.85,73.66,75.85,72.80
74.03,75.46,75.48,73.75
75.53,74.81,75.75,73.75
75.79,74.34,75.86,73.20
74.05,74.05,74.63,73.52
74.01,80.32,80.94,73.93
79.21,75.69,79.21,74.82
75.22,77.41,78.50,74.26
76.37,77.51,77.72,75.00
