COYN,COPsync,NASDAQ
4.30,4.50,4.50,4.25
4.25,4.50,4.50,4.00
4.00,5.00,5.00,4.00
4.00,4.25,5.50,4.00
4.25,5.00,5.50,4.25
5.00,5.00,5.00,5.00
4.75,4.25,5.00,4.25
4.75,4.75,4.75,4.26
5.00,4.50,5.00,4.38
4.75,4.50,4.75,4.50
4.55,4.50,4.55,4.50
4.50,4.25,4.50,4.00
4.50,4.25,4.50,4.00
4.00,4.00,4.30,4.00
4.00,4.50,4.50,3.50
4.00,4.00,4.00,3.50
3.50,3.65,4.10,3.25
3.90,4.00,4.00,3.75
4.00,3.75,4.25,3.75
4.25,4.00,4.50,4.00
3.50,4.00,4.00,3.50
3.75,3.50,4.75,3.50
3.50,3.50,3.50,3.50
4.00,4.00,4.00,4.00
3.75,3.50,3.75,3.50
3.30,4.00,4.00,3.25
4.00,4.00,4.00,3.44
4.00,4.00,4.25,3.50
4.00,4.00,4.00,4.00
4.50,3.75,4.50,3.55
4.00,3.75,4.00,3.75
3.75,3.75,3.75,3.75
3.75,3.35,3.75,3.00
3.75,3.50,3.75,3.50
3.50,3.50,3.60,3.45
3.50,3.50,4.00,3.50
3.75,4.00,4.00,3.45
4.00,3.75,4.00,3.75
3.75,4.00,4.00,3.65
3.75,4.00,4.15,3.72
4.00,3.85,4.00,3.85
3.90,3.90,3.90,3.85
3.85,3.75,3.85,3.75
3.90,3.90,3.90,3.90
4.00,4.00,4.00,3.85
4.00,3.88,4.00,3.88
3.85,3.85,3.88,3.85
4.00,4.25,4.25,3.90
4.50,4.50,4.50,4.00
4.00,4.00,4.25,4.00
4.00,4.10,4.10,4.00
4.10,4.10,4.10,4.10
5.25,4.45,5.25,4.10
4.30,4.30,5.00,4.30
4.75,4.30,5.00,4.25
4.35,5.00,5.00,4.35
5.00,4.55,5.00,4.50
4.85,4.50,4.85,4.50
4.65,4.25,4.65,4.25
4.30,4.60,4.60,4.30
4.55,4.30,4.55,4.30
N/A,N/A,N/A,N/A
4.25,4.20,4.25,4.20
4.20,4.50,4.50,4.20
4.35,4.30,4.35,4.25
4.25,4.25,4.35,4.25
4.20,4.35,4.35,4.20
4.35,4.25,4.35,4.25
4.30,4.30,4.30,4.10
4.25,4.20,4.25,4.00
