ELON,Echelon Corporation - Common Stock,NASDAQ
117.70,117.60,119.40,116.90
118.60,116.10,119.50,115.70
115.90,119.70,120.90,115.40
119.80,117.80,120.80,117.50
117.40,118.10,120.00,115.10
119.20,117.60,119.20,115.40
117.20,114.60,117.90,114.10
114.90,117.70,119.00,113.20
117.40,116.70,119.10,116.20
116.10,108.50,116.10,108.40
108.30,109.00,110.10,108.00
108.00,106.90,109.40,103.10
106.60,99.90,107.30,99.50
98.20,96.40,98.50,93.30
97.60,95.80,98.15,95.30
95.70,93.90,95.70,92.00
94.00,97.30,98.00,92.93
97.50,89.10,97.90,88.80
89.70,84.90,91.10,84.80
85.10,84.70,87.00,84.20
85.20,89.80,90.50,84.60
90.00,87.00,91.10,84.92
86.20,82.20,86.20,81.60
82.60,79.60,82.60,78.00
79.30,79.00,82.40,77.90
80.60,80.10,82.00,79.20
80.00,79.90,81.20,77.80
68.60,81.20,81.50,68.50
79.90,82.20,82.30,79.10
82.50,79.50,83.70,78.70
80.00,81.50,82.80,80.00
81.70,84.50,84.90,79.90
84.50,83.90,84.50,81.50
84.10,83.40,84.50,81.60
83.40,82.10,83.40,81.50
82.10,83.00,84.00,82.10
81.50,82.00,82.30,80.30
81.80,82.20,82.70,80.44
82.50,82.10,82.90,80.70
82.20,83.80,84.60,81.80
84.50,86.80,89.30,84.20
86.60,86.80,88.00,85.30
87.90,90.40,90.80,86.30
90.70,89.20,91.50,88.50
88.60,90.30,90.80,87.60
90.00,91.80,92.00,90.00
90.90,94.30,94.40,90.90
94.30,90.50,94.80,90.20
90.60,88.20,90.80,88.00
88.10,92.40,92.90,87.10
92.90,93.00,94.50,91.20
93.00,93.30,93.60,91.50
89.80,87.50,95.40,87.20
86.90,91.52,92.00,86.40
92.10,94.30,94.70,90.50
93.40,91.70,95.70,91.40
92.20,92.00,94.80,91.70
92.70,90.80,93.20,90.40
92.30,91.70,93.60,91.00
91.60,92.00,92.90,88.70
91.20,89.70,91.80,89.20
N/A,N/A,N/A,N/A
85.70,88.80,88.80,85.70
88.00,87.30,88.70,86.90
86.90,88.20,88.90,86.30
87.50,85.80,88.00,85.60
85.50,83.30,85.90,83.00
82.80,85.60,85.70,82.50
85.00,84.20,85.80,83.50
84.80,83.50,85.00,82.40
83.80,85.50,85.60,82.40
85.40,86.60,88.90,84.26
86.30,87.50,88.70,85.50
88.20,90.60,90.90,88.20
90.70,100.00,100.50,90.70
99.00,102.80,103.20,98.00
101.80,106.10,107.30,100.00
106.30,104.40,107.50,104.30
103.70,98.60,105.20,98.40
98.00,97.70,99.20,95.40
98.10,100.60,101.40,97.80
100.90,94.55,101.50,94.50
95.60,98.40,98.70,94.50
96.20,92.00,98.90,91.30
90.60,94.00,94.50,88.90
94.70,93.00,95.70,82.50
91.90,82.50,91.90,81.00
87.40,85.60,88.50,84.30
84.10,86.50,88.10,82.50
86.50,90.90,92.00,85.60
90.10,91.40,93.70,90.10
90.60,88.10,91.60,87.20
89.00,88.40,91.20,86.30
89.90,86.90,92.30,85.60
86.30,84.70,86.70,82.10
81.60,80.30,85.10,80.00
78.90,79.90,82.50,76.00
80.20,79.40,81.70,79.20
76.70,78.60,79.40,76.50
78.90,82.00,87.00,78.80
85.10,87.30,87.30,84.40
86.90,85.10,86.90,83.40
83.90,82.80,85.50,82.00
84.10,85.70,85.70,81.10
85.40,86.50,86.80,83.50
83.60,80.30,84.60,80.00
80.40,75.10,81.10,75.10
75.30,74.30,76.00,72.00
75.40,72.00,75.40,71.10
74.00,78.20,78.40,73.30
76.80,80.20,80.20,76.80
81.50,78.40,82.00,78.40
79.10,81.80,82.00,78.60
80.40,78.00,80.40,77.50
78.30,76.30,78.60,74.90
76.50,75.30,77.20,74.80
76.50,70.70,76.50,70.40
71.20,70.80,73.14,70.70
70.90,72.40,73.50,70.30
71.60,72.50,74.20,71.20
73.10,74.20,74.90,71.80
74.60,73.70,75.60,72.50
71.90,71.20,72.75,70.20
71.30,73.30,74.80,71.30
73.10,73.60,75.40,71.70
74.10,72.00,74.10,72.00
74.00,74.60,76.50,73.50
75.40,74.60,75.80,73.60
75.50,74.50,75.50,72.50
74.50,74.10,75.00,72.70
73.50,72.10,74.70,71.50
73.20,75.70,76.50,72.20
75.50,74.20,76.60,73.20
74.50,73.30,75.20,70.90
72.40,70.90,72.50,70.20
71.00,71.60,72.60,70.00
70.50,71.70,71.90,69.00
72.60,70.40,73.40,70.20
72.00,73.70,73.70,71.30
73.00,75.90,76.00,72.40
76.00,76.30,76.80,73.90
76.80,77.60,78.50,76.60
77.10,76.20,78.20,76.00
76.70,75.40,77.30,73.10
74.30,75.90,77.00,72.40
77.40,75.90,78.00,75.50
75.30,75.30,77.70,74.31
75.60,79.70,81.40,75.60
79.10,79.20,80.00,79.00
77.80,78.30,81.40,76.45
79.20,79.00,79.50,77.30
77.70,76.80,79.10,75.90
74.90,73.50,74.90,72.50
72.10,71.80,72.10,70.80
