IHF,iShares U.S. Health Care Providers ETF,NASDAQ
49.12,49.65,49.67,48.90
49.68,49.43,49.90,49.30
49.36,49.38,49.65,49.21
49.30,50.48,50.50,49.30
50.51,50.74,51.09,50.16
50.85,50.71,51.58,50.61
50.53,49.88,50.56,49.69
50.09,50.80,50.87,49.90
50.77,51.61,51.61,50.77
51.58,51.21,51.82,50.85
51.80,52.23,52.40,51.68
52.56,51.38,52.56,51.03
51.52,50.02,51.60,49.96
49.90,49.41,50.48,49.26
49.63,49.42,49.68,49.19
49.21,48.99,49.38,48.83
48.84,49.20,49.46,48.51
49.31,48.80,49.82,48.58
48.88,48.45,49.15,48.37
48.62,48.81,48.86,47.77
48.90,49.67,49.76,48.64
49.55,49.01,49.55,48.79
48.62,47.78,48.79,47.74
47.57,47.48,47.68,46.55
47.38,47.29,47.91,47.16
47.71,47.83,48.04,47.04
47.72,47.63,47.92,47.00
47.50,48.16,48.22,47.38
47.68,47.75,47.82,47.39
48.27,48.03,48.27,47.37
48.18,48.72,49.24,48.18
48.77,48.93,49.16,48.72
48.63,48.78,48.85,48.46
48.86,49.13,49.32,48.58
48.83,48.27,48.83,48.05
48.46,48.57,48.60,47.97
48.29,48.98,49.00,48.22
49.00,49.27,49.58,48.96
49.40,49.81,50.13,49.40
49.76,50.13,50.37,49.72
50.27,50.15,50.47,50.10
50.10,49.85,50.12,49.34
50.00,50.54,50.58,50.00
50.54,50.20,50.59,50.14
50.25,49.93,50.28,49.90
49.88,50.26,50.45,49.88
50.08,50.99,51.06,50.08
51.23,50.62,51.23,50.53
50.59,50.78,50.79,50.06
50.91,51.21,51.22,50.53
51.40,51.27,51.45,50.91
51.23,52.13,52.24,50.86
52.71,52.71,52.99,52.28
52.85,53.20,53.57,52.85
53.29,53.00,53.29,52.58
52.83,52.30,52.93,52.30
52.65,52.32,52.68,52.15
52.01,51.92,52.50,51.89
52.36,52.40,52.43,52.11
52.49,52.60,52.72,52.41
52.45,52.17,52.53,52.02
52.37,52.65,52.73,52.35
52.81,52.73,52.96,52.58
52.59,52.88,53.09,52.59
52.72,52.35,52.86,52.11
52.32,52.21,52.32,51.59
52.19,52.00,52.19,51.64
52.11,52.02,52.11,51.89
51.92,51.70,51.97,51.20
51.78,51.14,51.78,50.95
50.91,50.95,51.24,50.61
50.84,50.98,51.28,50.48
50.72,51.86,52.18,50.72
52.24,52.41,52.41,51.46
52.40,51.76,52.42,51.53
51.46,51.60,51.60,51.07
51.69,51.92,51.92,51.45
51.90,50.90,52.14,50.82
50.74,50.54,51.52,50.45
50.77,50.81,51.02,50.17
51.14,51.84,52.02,51.14
51.84,50.10,51.84,50.09
50.16,50.27,50.45,49.63
49.81,49.47,49.89,49.29
48.89,49.68,49.93,48.89
49.36,48.76,50.30,25.00
47.80,47.65,48.37,47.16
48.65,49.33,51.08,48.65
48.95,49.48,49.88,48.93
49.27,50.32,50.41,49.27
50.11,50.06,50.50,49.90
49.61,49.56,49.88,48.97
49.58,49.83,50.03,49.00
50.24,49.61,50.45,49.47
49.27,49.59,49.77,49.15
48.68,47.74,48.88,47.74
46.91,47.75,48.13,46.75
47.71,47.83,48.40,47.46
46.50,47.43,47.47,46.49
48.14,47.77,48.54,47.75
48.66,49.12,49.12,48.28
48.74,48.84,49.22,48.59
48.42,48.15,49.20,48.15
48.44,49.44,49.46,48.08
49.73,50.26,50.27,49.63
49.31,48.92,50.51,48.87
49.13,48.83,49.95,48.57
48.88,48.52,49.12,48.04
48.80,48.35,49.15,48.17
48.88,49.34,49.34,48.63
48.77,49.58,49.81,48.77
50.00,49.88,50.33,49.86
50.15,50.46,50.49,50.10
50.22,50.47,50.62,50.22
50.66,50.66,50.71,50.31
50.74,50.21,50.74,50.18
50.79,49.74,50.79,49.58
49.84,48.79,50.10,48.72
48.82,48.56,48.93,48.33
48.51,47.88,48.56,47.82
47.83,48.05,48.42,47.76
48.25,47.63,48.27,47.63
47.33,46.28,47.33,46.12
46.17,45.91,46.54,45.85
45.53,44.97,45.53,43.96
45.13,44.71,45.13,44.48
44.89,44.77,45.47,44.50
44.79,45.47,45.55,44.78
45.93,46.02,46.16,45.73
45.91,46.28,46.31,45.91
45.97,46.26,46.31,45.93
46.77,46.76,46.91,46.32
46.77,47.00,47.15,46.38
47.15,47.33,47.38,46.68
47.20,46.16,47.20,46.11
46.30,46.16,46.47,45.98
45.59,46.33,46.33,45.49
46.62,45.13,46.62,45.13
45.67,44.74,45.67,44.62
44.54,44.81,45.02,44.52
44.83,45.70,45.72,44.81
45.97,45.43,46.12,45.39
45.37,44.37,45.37,44.31
44.91,44.42,45.02,44.12
43.98,44.94,45.13,43.78
45.59,45.70,45.77,45.44
45.55,46.12,46.52,45.55
46.25,46.81,46.91,46.25
46.50,47.06,47.17,46.50
46.57,47.27,47.32,46.54
47.50,47.32,47.61,47.30
46.83,47.14,47.39,46.78
46.43,45.47,46.43,45.37
44.88,45.69,45.82,44.88
45.45,45.63,45.76,45.25
45.33,45.46,45.54,45.02
45.80,45.99,46.22,45.55
45.94,45.99,46.25,45.62
45.77,44.88,45.77,44.75
44.80,44.76,44.90,44.40
44.90,44.63,45.34,44.62
44.08,44.01,44.30,43.74
43.72,44.89,45.04,43.62
45.07,44.37,45.23,44.32
44.72,44.93,44.93,43.78
44.74,44.16,44.94,44.16
44.00,43.69,44.29,43.62
44.25,44.97,44.97,44.12
45.09,45.32,45.33,44.77
45.75,46.07,46.07,45.55
45.76,45.80,45.98,45.54
45.89,46.06,46.21,45.75
46.48,46.80,46.86,46.46
46.84,47.22,47.29,46.71
47.46,47.45,47.78,47.31
47.31,47.37,47.60,46.92
47.28,47.67,47.75,47.20
47.63,47.29,47.63,47.24
47.61,47.22,47.61,47.20
47.33,48.30,48.34,47.33
48.24,48.42,48.85,48.14
48.57,48.56,48.59,48.00
48.14,48.46,48.95,48.14
48.93,48.95,49.00,48.72
49.00,48.65,49.10,48.58
48.77,48.96,49.04,48.41
48.62,49.01,49.23,48.62
49.38,49.32,49.72,49.06
49.29,49.24,49.49,48.80
49.12,48.43,49.33,48.37
48.96,49.31,49.39,48.83
49.39,48.61,49.39,48.51
48.83,48.99,49.20,48.80
49.02,49.31,49.40,48.86
49.37,49.58,49.76,49.27
49.27,49.72,49.75,49.19
49.80,50.20,50.38,49.79
50.11,50.06,50.67,49.78
50.36,50.33,50.43,49.95
50.38,50.71,50.73,50.32
50.09,49.43,50.09,49.21
49.86,50.12,50.30,49.81
50.00,49.81,50.06,49.39
49.99,50.49,50.51,49.91
50.79,50.71,51.14,50.67
50.27,50.47,50.52,50.22
50.16,49.86,50.33,49.52
50.05,49.99,50.23,49.83
49.77,50.10,50.22,49.77
50.22,49.95,50.50,49.66
50.56,51.59,51.62,50.56
51.54,51.45,51.86,50.90
51.99,52.16,52.16,51.62
52.20,52.30,52.38,52.08
52.07,52.69,52.69,52.07
52.75,52.26,52.82,52.15
52.26,52.66,52.68,51.66
52.39,53.00,53.00,52.35
52.76,52.27,52.81,52.10
52.44,51.88,52.44,51.87
51.43,50.96,51.65,50.80
50.99,51.22,51.27,50.76
51.50,51.71,52.05,51.15
51.64,52.04,52.20,51.60
52.26,52.51,52.55,52.05
51.99,51.71,51.99,51.65
52.14,52.02,52.25,51.85
51.88,51.63,51.88,51.63
51.16,51.79,51.89,50.94
51.23,51.40,51.81,51.12
52.32,52.54,52.73,52.32
52.75,53.16,53.16,52.67
52.89,53.01,53.06,52.55
52.88,52.56,53.09,52.55
52.77,52.48,52.90,52.47
52.51,52.59,52.75,52.47
52.75,52.61,52.92,52.48
52.92,53.52,53.75,52.92
53.81,53.25,54.03,53.25
53.87,53.75,53.90,53.66
53.60,53.32,53.90,53.27
53.34,53.59,53.71,53.07
53.45,53.69,53.71,53.40
53.76,53.68,53.77,53.54
54.00,53.90,54.18,53.87
53.88,54.12,54.13,53.88
54.30,53.99,54.30,53.91
