LRAD,LRAD Corporation - Common Stock,NASDAQ
1.53,1.42,1.53,1.38
1.40,1.39,1.42,1.38
1.44,1.42,1.45,1.32
1.55,1.53,1.64,1.50
1.57,1.53,1.57,1.50
1.50,1.49,1.55,1.46
1.48,1.45,1.50,1.45
1.43,1.45,1.50,1.42
1.48,1.45,1.50,1.44
1.43,1.45,1.46,1.41
1.45,1.32,1.49,1.32
1.37,1.39,1.41,1.32
1.41,1.41,1.41,1.37
1.41,1.40,1.43,1.39
1.39,1.37,1.42,1.35
1.36,1.40,1.42,1.36
1.36,1.40,1.41,1.36
1.40,1.36,1.40,1.35
1.39,1.38,1.40,1.37
1.39,1.45,1.45,1.37
1.44,1.54,1.54,1.42
1.64,1.85,1.99,1.60
1.80,1.74,1.82,1.63
1.75,1.73,1.75,1.65
1.74,1.61,1.75,1.53
1.64,1.56,1.64,1.56
1.56,1.56,1.59,1.53
1.55,1.53,1.59,1.51
1.54,1.60,1.60,1.52
1.64,1.59,1.70,1.55
1.59,1.64,1.64,1.55
1.64,1.66,1.68,1.64
1.66,1.69,1.71,1.66
1.72,1.68,1.72,1.60
1.69,1.67,1.70,1.65
1.71,1.65,1.71,1.64
1.62,1.66,1.72,1.61
1.63,1.74,1.75,1.63
1.75,1.67,1.75,1.67
1.71,1.72,1.75,1.66
1.75,1.73,1.75,1.69
1.71,1.72,1.73,1.67
1.69,1.74,1.74,1.67
1.79,1.75,1.80,1.70
1.76,1.76,1.77,1.75
1.78,1.78,1.83,1.71
1.80,1.73,1.80,1.70
1.70,1.73,1.75,1.66
1.73,1.74,1.75,1.66
1.75,1.75,1.75,1.69
1.72,1.68,1.75,1.66
1.72,1.66,1.72,1.65
1.66,1.65,1.66,1.50
1.60,1.55,1.64,1.51
1.55,1.58,1.60,1.55
1.58,1.59,1.60,1.57
1.80,1.57,1.84,1.56
1.54,1.45,1.60,1.38
1.50,1.40,1.53,1.40
1.40,1.44,1.50,1.40
1.45,1.54,1.54,1.38
1.55,1.40,1.55,1.36
1.47,1.46,1.49,1.40
1.48,1.52,1.53,1.46
1.55,1.60,1.62,1.52
1.61,1.62,1.65,1.59
1.59,1.73,1.73,1.52
1.78,1.68,1.78,1.61
1.64,1.69,1.70,1.63
1.67,1.68,1.71,1.61
1.68,1.67,1.73,1.66
1.70,1.68,1.70,1.60
1.70,1.63,1.72,1.61
1.67,1.67,1.70,1.63
1.66,1.69,1.70,1.66
1.69,1.69,1.70,1.67
1.65,1.64,1.69,1.61
1.64,1.66,1.69,1.64
1.68,1.69,1.72,1.64
1.66,1.67,1.70,1.63
1.67,1.67,1.70,1.60
1.69,1.65,1.75,1.65
1.66,1.70,1.73,1.66
1.77,1.73,1.77,1.65
1.60,1.57,1.70,1.53
1.57,1.58,1.68,1.45
1.54,1.57,1.65,1.50
1.57,1.62,1.69,1.50
1.56,1.60,1.62,1.46
1.56,1.57,1.61,1.56
1.57,1.65,1.68,1.57
1.62,1.64,1.67,1.60
1.61,1.69,1.73,1.61
1.67,1.68,1.68,1.62
1.69,1.62,1.69,1.55
1.60,1.55,1.60,1.51
1.51,1.55,1.58,1.50
1.62,1.49,1.62,1.40
1.44,1.40,1.45,1.35
1.43,1.44,1.50,1.42
1.46,1.44,1.47,1.37
1.40,1.35,1.50,1.35
1.38,1.37,1.43,1.35
1.36,1.43,1.47,1.36
1.46,1.47,1.49,1.41
1.40,1.41,1.41,1.35
1.42,1.38,1.42,1.35
1.39,1.27,1.40,1.21
1.25,1.28,1.30,1.19
1.26,1.30,1.30,1.26
1.28,1.32,1.33,1.26
1.31,1.29,1.31,1.24
1.29,1.24,1.29,1.19
1.23,1.23,1.28,1.21
1.23,1.27,1.29,1.23
1.22,1.28,1.30,1.22
1.24,1.24,1.29,1.24
1.24,1.23,1.26,1.20
1.25,1.28,1.30,1.23
1.31,1.20,1.31,1.20
1.20,1.16,1.20,1.16
1.20,1.16,1.31,1.15
1.20,1.18,1.20,1.15
1.15,1.25,1.29,1.07
1.25,1.25,1.25,1.15
1.16,1.20,1.23,1.15
1.18,1.16,1.24,1.12
1.14,1.17,1.18,1.14
1.20,1.22,1.25,1.08
1.25,1.20,1.25,1.15
1.20,1.22,1.22,1.16
1.22,1.24,1.24,1.19
1.20,1.24,1.24,1.18
1.20,1.22,1.22,1.15
1.20,1.20,1.21,1.14
1.17,1.20,1.20,1.15
1.13,1.19,1.19,1.12
1.19,1.15,1.19,1.14
1.17,1.15,1.17,1.11
1.15,1.13,1.18,1.10
1.15,1.06,1.16,0.86
1.06,1.08,1.08,1.05
1.08,1.09,1.09,1.05
1.09,1.09,1.09,1.06
1.09,1.01,1.09,0.95
1.01,1.00,1.04,0.99
1.00,1.00,1.04,1.00
1.07,1.05,1.09,1.01
1.09,1.09,1.09,1.04
1.09,1.06,1.11,1.03
1.05,1.06,1.06,1.01
1.03,1.06,1.09,1.03
1.00,1.05,1.05,1.00
1.00,1.04,1.04,0.96
0.99,1.02,1.05,0.99
1.00,1.00,1.00,0.98
0.98,1.00,1.00,0.98
1.00,1.00,1.00,1.00
1.00,1.03,1.04,0.98
0.99,1.03,1.04,0.99
1.01,0.99,1.02,0.99
0.99,1.02,1.04,0.95
0.99,0.98,1.02,0.96
1.00,0.98,1.04,0.98
0.96,0.91,0.96,0.71
0.83,0.89,0.90,0.83
1.00,0.96,1.00,0.89
0.97,0.97,1.00,0.95
1.01,0.99,1.01,0.97
0.93,0.96,0.99,0.92
0.97,0.89,0.97,0.89
0.90,0.88,0.95,0.80
0.85,0.88,0.89,0.82
0.85,0.88,0.88,0.85
0.82,0.88,0.90,0.82
0.85,0.88,0.91,0.84
0.84,0.89,0.96,0.84
0.91,0.95,0.95,0.90
0.95,1.00,1.00,0.95
0.96,0.96,0.98,0.94
0.92,0.89,0.92,0.89
0.89,0.88,0.96,0.87
0.86,0.86,0.92,0.81
0.84,0.84,0.86,0.82
0.85,0.89,0.90,0.85
0.95,1.08,1.22,0.93
1.50,1.51,1.94,1.43
1.55,1.57,1.58,1.40
1.25,1.45,1.49,1.25
1.45,1.41,1.45,1.36
1.44,1.36,1.44,1.32
1.49,1.59,1.59,1.47
1.59,1.75,1.78,1.50
1.85,1.88,1.94,1.76
1.88,2.08,2.10,1.84
1.98,2.05,2.10,1.91
2.09,2.12,2.18,1.98
2.13,2.08,2.22,1.93
2.04,2.09,2.12,1.98
2.20,2.10,2.20,2.06
2.10,2.01,2.10,1.90
1.97,2.01,2.04,1.96
1.95,1.92,2.00,1.90
1.91,2.04,2.04,1.86
2.01,1.97,2.03,1.96
1.94,1.98,2.00,1.91
1.95,2.04,2.10,1.92
2.03,2.00,2.07,1.98
1.93,2.00,2.08,1.93
2.00,2.25,2.25,1.99
2.25,2.46,2.52,2.24
2.42,2.39,2.42,2.31
2.36,2.42,2.50,2.27
2.38,2.57,2.65,2.27
2.53,2.73,2.78,2.52
2.85,2.40,3.10,2.35
2.37,2.45,2.56,2.37
2.41,2.38,2.41,2.25
2.34,2.07,2.40,1.95
2.07,2.10,2.18,2.07
2.07,2.14,2.18,2.05
2.18,2.16,2.23,2.10
2.16,2.44,2.45,2.16
2.40,2.44,2.45,2.37
2.47,2.56,2.60,2.43
2.59,2.51,2.59,2.42
2.56,2.55,2.64,2.46
2.55,2.71,3.00,2.54
2.66,2.61,2.81,2.61
2.57,2.59,2.61,2.55
2.66,2.64,2.66,2.58
2.70,2.81,2.81,2.65
2.85,2.63,2.85,2.51
2.60,2.63,2.64,2.55
2.60,2.62,2.65,2.51
2.57,2.56,2.59,2.50
2.60,2.57,2.64,2.53
2.53,2.55,2.57,2.53
2.51,2.55,2.57,2.47
2.60,2.49,2.60,2.43
2.45,2.37,2.50,2.33
2.32,2.35,2.36,2.31
2.32,2.59,2.59,2.32
2.60,2.64,2.70,2.51
2.73,2.62,2.73,2.61
2.66,2.33,2.68,2.26
2.48,2.47,2.54,2.36
2.47,2.48,2.59,2.40
2.44,2.52,2.52,2.40
2.50,2.53,2.59,2.50
2.58,2.55,2.64,2.53
2.54,2.69,2.69,2.54
2.75,2.75,2.75,2.57
2.66,2.67,2.71,2.62
2.68,2.65,2.68,2.61
2.63,2.60,2.64,2.51
2.64,2.61,2.70,2.50
2.63,2.74,2.81,2.59
2.72,2.55,2.73,2.45
2.55,2.51,2.57,2.41
2.50,2.52,2.52,2.46
2.51,2.38,2.51,2.35
2.35,2.31,2.47,2.26
2.31,2.22,2.31,2.20
2.24,2.17,2.36,2.17
2.29,2.12,2.29,2.12
2.11,2.05,2.15,2.05
2.05,2.20,2.30,2.04
2.22,2.27,2.27,2.20
2.30,2.20,2.30,2.12
2.20,2.19,2.25,2.13
2.25,2.22,2.26,2.19
2.20,2.23,2.26,2.20
2.22,2.38,2.44,2.22
2.10,2.13,2.17,2.03
2.15,2.04,2.15,2.00
2.04,2.01,2.12,2.00
2.13,2.19,2.20,2.05
2.18,2.35,2.38,2.18
2.25,2.22,2.45,2.20
2.22,2.18,2.22,2.15
2.16,2.14,2.19,2.09
2.15,2.11,2.21,2.08
2.11,2.14,2.15,2.11
2.19,2.26,2.26,2.13
2.22,2.15,2.24,2.13
2.17,2.10,2.19,2.08
2.14,2.11,2.17,2.06
2.10,2.12,2.16,2.09
2.15,2.11,2.15,2.05
2.11,2.17,2.19,2.08
2.14,2.17,2.18,2.13
1.91,2.20,2.20,1.91
2.18,2.28,2.36,2.18
2.31,2.38,2.38,2.22
2.42,2.36,2.47,2.35
2.40,2.35,2.46,2.25
2.31,2.46,2.47,2.30
2.40,2.34,2.47,2.31
2.30,2.42,2.45,2.30
2.40,2.37,2.50,2.30
2.17,2.34,2.38,2.17
2.30,2.39,2.60,2.28
2.35,2.51,2.54,2.35
2.48,2.59,2.59,2.47
2.57,2.58,2.63,2.51
2.54,2.58,2.63,2.52
2.56,2.60,2.62,2.56
2.56,2.59,2.65,2.56
2.56,2.60,2.63,2.56
2.60,2.60,2.60,2.54
2.60,2.58,2.60,2.55
2.58,2.68,2.69,2.54
2.65,2.79,2.82,2.63
2.79,2.83,2.90,2.66
2.86,2.79,2.86,2.73
2.76,2.79,2.80,2.71
3.07,2.95,3.12,2.83
2.90,2.88,2.94,2.75
2.96,2.79,2.96,2.75
2.78,2.73,2.78,2.64
2.68,2.70,2.75,2.67
2.71,2.70,2.79,2.68
2.68,2.75,2.75,2.63
2.71,2.77,2.77,2.70
2.74,2.70,2.74,2.64
2.67,2.64,2.73,2.62
2.63,2.69,2.72,2.63
2.65,2.70,2.70,2.58
2.70,2.68,2.73,2.67
2.64,2.63,2.69,2.60
2.63,2.71,2.71,2.61
2.68,2.65,2.70,2.59
2.59,2.70,2.74,2.59
2.69,2.75,2.75,2.65
2.77,2.68,2.77,2.65
2.75,2.59,2.75,2.56
2.61,2.49,2.74,2.37
2.49,2.47,2.54,2.41
2.41,2.30,2.53,2.25
2.30,2.33,2.33,2.25
2.35,2.31,2.35,2.27
2.34,2.29,2.35,2.24
2.29,2.19,2.33,2.15
2.51,2.64,2.75,2.43
2.58,2.72,2.80,2.54
2.77,2.66,2.77,2.60
2.70,2.71,2.76,2.66
2.73,2.75,2.78,2.70
2.77,2.90,3.04,2.76
2.95,2.80,3.00,2.75
2.84,2.90,2.90,2.81
2.93,2.85,3.00,2.85
2.89,2.84,2.93,2.64
2.90,2.78,2.90,2.73
2.81,2.78,2.86,2.74
2.76,2.80,2.88,2.72
2.73,2.71,2.80,2.65
2.70,2.54,2.71,2.53
2.51,2.48,2.59,2.45
2.51,2.41,2.52,2.35
2.45,2.40,2.46,2.38
2.41,2.44,2.45,2.40
2.47,2.55,2.60,2.47
2.60,2.54,2.60,2.50
2.55,2.45,2.55,2.40
2.49,2.40,2.56,2.40
2.40,2.54,2.54,2.40
2.55,2.58,2.60,2.55
2.60,2.71,2.80,2.58
2.74,2.78,2.85,2.74
2.76,2.75,2.76,2.68
2.73,2.73,2.85,2.68
2.77,2.78,2.82,2.75
2.82,2.85,2.88,2.80
2.80,2.72,2.84,2.65
2.76,2.72,2.85,2.62
2.75,2.73,2.86,2.73
2.77,2.74,2.83,2.71
2.77,2.72,2.77,2.66
2.74,2.71,2.80,2.70
2.70,2.66,2.71,2.66
2.66,2.50,2.66,2.31
2.50,2.53,2.55,2.42
2.53,2.65,2.76,2.53
2.65,2.68,2.70,2.52
2.65,2.58,2.68,2.58
2.61,2.68,2.70,2.60
2.68,2.77,2.82,2.68
2.80,2.80,2.87,2.77
2.85,2.70,2.85,2.56
2.73,3.00,3.15,2.72
3.02,3.10,3.25,2.95
3.14,3.24,3.30,3.10
3.30,3.00,3.36,3.00
2.97,2.86,3.05,2.85
2.85,2.88,3.04,2.80
3.04,3.15,3.30,3.00
3.18,3.13,3.21,3.05
3.13,3.08,3.13,3.03
3.08,2.57,3.10,2.40
2.61,2.41,2.65,2.25
2.27,2.28,2.35,2.21
2.43,2.53,2.65,2.27
2.22,2.29,2.36,2.22
2.34,2.45,2.46,2.34
2.45,2.53,2.55,2.45
2.58,2.45,2.58,2.45
2.46,2.37,2.47,2.35
2.40,2.43,2.45,2.36
2.33,2.28,2.40,2.28
2.27,2.27,2.33,2.25
2.30,2.19,2.35,2.15
2.26,2.36,2.38,2.20
2.38,2.43,2.45,2.32
2.42,2.28,2.42,2.21
2.30,2.21,2.32,2.16
2.23,2.39,2.40,2.23
2.38,2.33,2.38,2.19
2.33,2.25,2.37,2.22
2.23,2.25,2.27,2.21
2.21,2.16,2.35,2.15
1.87,1.90,2.03,1.80
1.92,1.94,2.03,1.84
1.91,1.90,1.93,1.85
1.88,1.78,1.88,1.73
1.73,1.76,1.76,1.68
1.73,1.70,1.74,1.65
1.70,1.66,1.74,1.58
1.67,1.75,1.77,1.64
1.74,1.74,1.75,1.69
1.68,1.72,1.74,1.66
1.73,1.67,1.73,1.64
1.68,1.70,1.71,1.68
1.68,1.67,1.72,1.58
1.66,1.74,1.76,1.65
1.77,1.73,1.77,1.68
1.76,1.78,1.80,1.69
1.74,1.75,1.81,1.69
1.79,1.87,1.87,1.78
1.82,1.85,1.88,1.77
1.80,1.75,1.80,1.65
1.71,1.70,1.76,1.65
1.72,1.72,1.77,1.62
1.73,1.85,1.89,1.73
1.85,1.85,1.85,1.82
1.85,1.93,1.97,1.82
1.90,1.87,1.90,1.82
1.89,1.98,1.98,1.89
1.98,2.01,2.05,1.95
2.05,2.06,2.08,1.95
2.04,2.00,2.06,1.97
2.02,1.95,2.02,1.87
1.91,1.94,1.99,1.90
1.91,1.88,1.94,1.85
1.85,1.90,1.93,1.81
1.90,1.94,1.95,1.86
1.91,1.94,1.94,1.90
1.97,1.92,1.97,1.84
1.96,1.90,1.97,1.82
1.85,1.94,1.95,1.85
1.91,1.93,1.94,1.87
1.90,1.87,1.90,1.83
1.89,1.95,1.95,1.79
1.95,1.88,1.95,1.80
1.90,1.91,1.91,1.84
1.94,2.00,2.12,1.89
1.97,1.99,2.00,1.92
1.94,1.97,2.05,1.92
2.02,1.90,2.02,1.88
1.88,1.88,1.93,1.84
1.85,1.93,1.93,1.80
1.93,1.85,1.93,1.85
1.85,1.94,1.94,1.75
1.89,1.90,1.93,1.85
1.91,1.85,1.92,1.79
1.79,1.88,1.89,1.76
1.84,1.80,1.85,1.77
1.81,1.79,1.81,1.75
1.79,1.78,1.79,1.73
1.78,1.70,1.78,1.67
1.66,1.75,1.79,1.58
1.80,1.78,1.86,1.65
1.75,1.71,1.76,1.67
1.71,1.80,1.80,1.71
1.85,1.80,1.85,1.76
1.84,1.75,1.84,1.70
1.71,1.69,1.75,1.69
1.68,1.68,1.74,1.63
