APDN,Applied DNA Sciences Inc - Common Stock,NASDAQ
3.00,2.70,3.06,2.52
2.94,2.87,3.00,2.64
2.64,2.58,2.87,2.58
2.70,2.58,2.70,2.58
2.70,2.58,2.70,2.52
2.58,2.58,2.70,2.52
2.58,2.70,2.70,2.58
2.70,2.70,3.00,2.16
2.70,2.58,2.70,2.52
2.70,2.59,2.82,2.46
2.59,2.70,2.70,2.43
2.52,2.58,2.82,2.52
2.49,2.49,2.70,2.49
2.41,2.46,2.46,2.40
2.55,2.58,2.82,2.55
2.88,2.41,2.88,2.40
2.41,2.40,2.64,2.04
1.86,2.70,3.06,1.86
2.64,2.64,2.76,2.46
2.40,2.40,2.76,2.28
2.10,2.40,2.40,2.10
2.11,2.22,2.40,2.11
2.22,2.28,2.69,2.22
2.40,2.28,2.40,2.28
2.10,2.40,2.40,2.10
2.40,2.25,2.88,2.22
2.22,2.34,2.34,2.22
nan,2.28,nan,nan
2.28,2.28,2.28,2.28
2.16,2.10,2.28,2.10
2.10,2.52,2.52,2.10
2.52,2.40,2.52,2.22
2.40,2.46,2.52,2.22
2.52,2.70,2.70,2.40
2.88,2.70,3.00,2.52
2.70,2.70,2.82,2.52
2.82,2.70,2.82,2.70
2.70,4.20,4.50,2.70
4.32,4.26,5.40,4.20
4.05,3.84,4.62,3.06
3.84,3.30,3.90,3.18
3.30,3.18,3.66,3.18
3.30,3.54,3.60,3.30
3.54,3.54,3.54,3.30
3.60,3.30,3.60,3.30
3.30,3.07,4.19,3.07
3.07,3.12,3.30,3.06
nan,3.12,nan,nan
3.12,3.06,3.30,3.06
3.01,3.00,3.30,3.00
3.00,3.32,3.48,3.00
3.12,3.36,3.36,3.12
3.24,3.36,3.36,3.12
3.60,3.78,3.84,3.30
5.28,4.47,5.28,4.00
4.74,4.50,4.74,4.01
4.71,4.26,4.71,3.72
4.44,4.38,4.44,3.90
4.37,4.14,4.44,4.08
4.08,4.08,4.26,4.08
4.26,4.38,4.50,4.20
5.34,4.56,5.34,4.20
nan,4.50,nan,nan
5.40,4.80,5.40,4.68
4.80,4.92,5.40,4.80
4.92,4.81,4.92,4.50
4.92,4.80,5.04,4.50
4.80,4.50,4.98,4.50
4.50,4.74,4.98,4.50
4.56,4.59,4.74,4.50
4.80,4.56,4.80,4.50
4.21,4.38,4.98,4.20
4.50,4.50,5.10,4.44
4.98,4.92,4.98,4.80
4.21,4.80,4.92,3.90
4.80,4.80,4.92,4.80
4.92,4.80,4.98,4.56
4.50,4.98,4.98,4.50
4.80,4.86,4.98,4.80
4.80,4.98,4.98,4.80
5.10,5.10,5.10,4.98
5.10,5.35,5.40,5.10
5.40,5.28,5.40,4.87
5.28,4.92,5.40,4.80
4.21,5.10,5.25,4.21
4.56,4.80,5.37,4.56
nan,4.80,nan,nan
4.98,4.68,4.98,4.50
4.68,4.32,4.80,4.20
4.20,4.74,4.80,4.20
4.74,4.38,4.80,4.20
nan,3.90,nan,nan
4.14,3.60,4.14,3.60
3.60,3.60,4.14,3.12
3.60,3.36,3.60,3.30
3.36,3.72,4.20,3.36
3.72,3.90,4.14,3.30
3.90,3.66,4.02,3.42
3.42,3.60,4.02,3.42
3.60,3.90,3.90,3.54
3.90,3.60,4.14,3.48
4.35,4.20,4.50,3.90
4.98,3.90,4.98,3.42
3.96,3.84,3.96,3.60
3.60,3.72,4.02,3.36
3.48,3.66,3.78,3.00
3.30,3.60,3.84,3.30
3.48,3.60,4.20,3.48
3.90,3.96,4.08,3.60
3.96,3.60,4.14,3.60
3.60,3.72,3.72,3.60
3.66,3.60,3.84,3.48
nan,3.54,nan,nan
3.42,3.54,3.60,3.42
3.48,3.42,3.66,3.42
3.42,3.48,3.60,3.42
3.48,3.48,3.60,3.30
3.54,3.60,3.72,3.33
3.60,3.54,3.60,3.48
4.09,4.14,4.20,3.60
4.14,3.60,4.14,3.60
4.08,3.60,4.08,3.60
3.61,3.60,3.90,3.06
3.60,3.48,3.60,3.48
3.60,3.30,3.60,3.12
3.30,3.42,3.60,3.30
3.60,3.48,3.60,3.30
3.60,3.30,3.72,3.06
3.06,3.60,3.60,3.06
nan,3.48,nan,nan
3.78,3.30,3.78,3.12
3.30,3.78,3.84,3.18
3.78,3.78,3.78,3.42
3.60,3.54,3.78,3.36
3.60,3.48,3.60,2.40
3.48,3.30,3.48,3.12
3.30,3.30,3.54,3.00
3.30,3.42,3.72,3.12
3.96,4.08,4.26,3.66
4.38,3.90,4.74,3.66
3.90,3.84,4.14,3.60
3.60,3.48,3.90,3.42
3.48,3.48,3.60,3.36
3.49,3.48,3.60,3.36
3.36,3.60,3.60,3.30
3.30,3.30,3.60,3.30
3.54,3.30,3.60,3.30
3.30,3.36,3.60,3.30
3.60,3.41,3.60,3.36
3.60,3.60,3.60,3.36
3.60,3.48,3.69,3.42
3.66,3.48,3.69,3.31
3.60,3.35,3.60,3.31
3.35,3.32,3.60,3.31
3.32,3.35,3.60,3.31
3.31,3.42,3.66,3.24
3.18,3.57,3.60,3.18
3.59,3.48,3.69,3.48
3.48,3.48,3.60,3.48
3.42,3.54,3.54,3.24
3.30,3.48,3.54,3.19
3.42,3.25,3.54,3.25
3.25,3.60,3.75,3.25
3.75,3.42,3.75,3.42
3.36,3.47,3.59,3.19
2.99,3.24,3.48,2.99
3.30,3.24,3.30,3.24
3.41,3.06,3.41,3.06
3.00,3.30,3.57,3.00
3.30,3.42,3.42,3.30
3.48,3.54,3.54,3.30
3.54,3.47,3.54,3.30
3.42,3.48,3.54,3.42
3.59,3.75,3.75,3.48
3.75,3.60,3.78,3.60
3.60,3.60,3.66,3.48
3.60,3.60,3.60,3.42
3.60,3.59,3.60,3.42
nan,3.60,nan,nan
3.96,3.60,3.96,3.51
3.51,3.48,3.60,3.48
3.60,3.54,3.63,3.48
3.48,3.60,3.60,3.42
3.60,3.51,3.63,3.51
3.51,3.60,3.60,3.51
3.60,3.48,3.60,3.30
3.51,3.51,3.54,3.36
3.54,3.49,3.66,3.48
3.60,3.69,3.69,3.48
3.69,4.86,4.92,3.61
4.62,4.71,5.07,4.26
4.74,5.39,5.40,4.50
5.39,5.40,6.00,5.10
4.80,5.28,5.70,4.80
5.64,4.80,5.64,4.20
4.80,4.80,4.80,4.50
4.80,4.50,4.80,4.21
4.50,4.50,4.50,4.32
4.74,3.82,5.40,3.60
4.08,3.60,4.20,3.60
3.66,4.02,4.20,3.66
3.90,4.14,4.14,3.78
4.16,3.96,4.20,3.90
3.90,4.02,4.16,3.90
4.02,4.32,4.80,4.02
4.80,4.95,5.10,4.02
5.40,4.80,5.40,3.90
5.10,4.68,5.10,4.50
4.68,4.50,4.80,4.38
4.50,4.50,4.50,4.39
4.50,4.68,4.80,4.50
4.68,4.26,4.68,4.26
4.26,4.26,4.50,4.21
4.21,4.20,4.50,4.20
4.20,3.90,4.32,3.90
3.90,4.20,4.20,3.90
3.90,4.20,4.74,3.90
4.17,3.91,4.17,3.91
4.17,4.20,4.20,3.91
4.20,4.20,4.20,3.91
4.20,4.20,4.50,4.20
4.20,4.20,4.20,3.91
3.91,4.02,4.20,3.91
3.90,4.02,4.20,3.90
4.17,4.08,4.17,4.02
4.08,4.08,4.16,4.08
4.14,4.08,4.14,4.08
4.08,3.96,4.14,3.62
3.62,3.66,3.78,3.62
3.63,4.08,4.08,3.63
3.90,4.14,4.14,3.62
4.08,3.62,4.08,3.62
3.66,3.62,4.08,3.62
3.66,3.60,4.02,3.60
3.72,3.78,3.90,3.60
3.90,3.60,3.90,3.60
3.60,3.42,3.60,3.42
