AMCN,AirMedia Group Inc - American Depositary Shares,NASDAQ
7.79,8.20,8.20,7.55
8.15,8.43,8.58,8.15
8.50,8.55,8.65,8.42
8.47,8.42,8.50,8.38
8.35,8.53,8.56,8.30
8.45,8.46,8.65,8.43
8.54,8.55,8.61,8.37
8.50,8.58,8.63,8.41
8.51,8.50,8.52,8.46
8.44,8.50,8.57,8.20
8.58,8.56,8.60,8.34
8.50,8.50,8.59,8.46
8.45,8.50,8.58,8.40
8.46,8.56,8.72,8.40
8.55,8.49,8.65,8.36
8.42,8.66,8.90,8.29
8.59,8.67,8.72,8.48
8.68,8.54,8.68,8.36
8.39,7.77,8.52,7.64
7.75,7.85,7.98,7.71
7.90,7.94,8.01,7.76
8.00,7.95,8.06,7.85
7.99,8.00,8.04,7.88
8.00,7.93,8.00,7.76
7.95,7.88,7.99,7.70
7.90,7.84,7.93,7.73
7.81,7.73,7.85,7.68
7.77,7.62,7.78,7.50
7.63,7.62,7.63,7.46
7.61,7.61,7.71,7.52
7.59,7.49,7.67,7.40
7.49,7.22,7.52,7.19
7.19,7.01,7.23,6.97
7.00,6.60,7.06,6.52
6.68,6.32,6.79,6.16
6.33,6.62,6.66,6.33
6.60,6.75,6.79,6.54
6.80,6.56,6.93,6.50
6.54,6.74,6.77,6.52
6.74,6.70,6.83,6.67
6.56,7.76,7.98,6.47
7.55,7.16,7.56,7.02
7.13,7.22,7.44,7.13
7.24,7.21,7.31,7.15
7.22,7.36,7.42,7.21
7.40,7.22,7.40,7.07
7.27,7.17,7.38,7.15
7.15,7.18,7.23,7.07
7.04,7.01,7.09,6.89
7.04,6.92,7.09,6.83
6.85,6.75,6.92,6.69
6.71,6.30,6.71,6.28
6.27,6.01,6.38,5.94
6.00,6.14,6.36,6.00
6.14,6.06,6.19,5.92
6.00,5.83,6.04,5.79
5.83,5.81,6.06,5.71
5.79,5.86,5.93,5.62
5.95,5.87,6.00,5.77
5.95,6.05,6.06,5.74
6.07,6.25,6.33,6.00
N/A,N/A,N/A,N/A
6.44,6.35,6.44,6.35
6.25,6.22,6.25,6.10
6.10,6.10,6.21,6.03
6.04,6.06,6.10,6.01
6.06,6.01,6.09,6.00
6.09,6.02,6.15,5.97
6.05,6.10,6.15,5.98
6.06,6.04,6.09,5.98
6.00,6.27,6.32,6.00
6.23,6.24,6.26,6.00
6.20,6.00,6.20,5.92
6.05,6.20,6.25,6.02
