JKD,iShares Morningstar Large-Cap ETF,NASDAQ
64.51,64.80,64.94,64.28
64.65,64.79,64.95,64.61
64.76,64.80,64.89,64.66
64.66,64.95,64.95,64.54
64.69,65.16,65.19,64.68
65.30,65.38,65.38,65.01
64.84,64.84,65.21,64.75
65.09,65.50,65.56,64.91
65.37,65.73,65.75,65.37
65.65,65.01,65.65,64.79
65.04,65.76,65.77,64.95
65.31,65.13,65.31,64.66
65.15,63.96,65.26,63.96
63.69,62.81,63.94,62.81
63.24,63.27,63.48,63.00
62.91,62.88,63.48,62.86
62.73,63.07,63.11,62.26
63.37,62.81,63.49,62.34
62.83,62.19,63.19,62.13
62.44,62.93,62.95,62.44
63.03,63.62,63.66,62.85
63.33,63.57,63.65,63.28
62.98,61.58,62.98,61.58
61.51,61.63,61.68,60.71
61.45,61.44,61.87,61.37
61.83,62.04,62.41,61.60
61.93,61.96,62.13,61.46
61.92,62.65,62.65,61.79
61.99,62.30,62.52,61.94
63.10,63.58,63.58,62.99
63.74,63.89,63.92,63.69
63.89,64.30,64.34,63.89
64.09,64.42,64.64,64.06
64.65,64.32,64.66,64.22
64.08,63.74,64.34,63.50
63.88,64.14,64.20,63.88
63.19,63.85,63.96,63.09
64.02,63.96,64.05,63.63
64.07,64.47,64.52,64.07
64.67,64.63,64.93,64.63
64.79,64.66,65.04,64.66
64.79,64.92,64.95,64.75
65.29,65.69,65.69,65.29
65.71,65.51,65.83,65.51
65.27,65.61,65.85,65.27
65.56,65.78,65.89,65.55
65.61,65.97,65.97,65.41
66.29,66.03,66.29,65.97
66.00,66.09,66.12,65.83
66.27,66.65,66.65,66.23
66.72,66.95,67.10,66.72
66.80,66.97,67.02,66.67
66.76,66.76,67.14,66.53
66.34,67.07,67.19,66.34
67.23,67.69,67.69,67.10
67.43,67.14,67.44,67.14
67.27,66.90,67.54,66.88
66.97,66.84,67.19,66.70
67.14,67.20,67.26,67.06
67.22,67.34,67.43,67.16
67.11,67.11,67.40,67.00
67.61,67.68,67.80,67.49
67.91,68.10,68.15,67.70
67.84,68.09,68.20,67.84
67.92,67.64,68.02,67.52
67.41,67.88,67.91,67.41
67.89,68.25,68.25,67.89
68.30,68.34,68.41,68.30
68.19,68.37,68.46,67.99
68.54,69.09,69.09,68.54
68.96,69.21,69.24,68.96
68.95,68.64,69.15,68.21
68.38,68.85,68.85,68.15
69.12,69.20,69.27,68.95
69.15,69.09,69.21,68.77
68.69,69.34,69.37,68.31
69.21,69.67,69.67,69.05
69.61,69.55,69.92,69.50
69.14,67.91,69.42,67.89
68.24,68.19,68.55,67.80
68.79,68.98,69.15,68.71
69.02,68.21,69.02,68.20
68.28,68.99,69.17,68.28
68.29,67.57,68.29,67.33
67.10,67.15,67.43,66.82
66.79,64.93,67.06,25.91
64.51,64.17,65.21,63.24
65.16,66.67,66.93,65.16
65.97,66.66,67.36,65.97
66.89,67.58,67.69,66.77
67.48,66.81,67.66,66.81
66.28,65.67,66.28,65.18
65.80,65.70,65.95,64.68
66.15,65.05,66.29,64.85
64.67,64.56,64.96,63.83
63.31,62.30,63.48,62.30
61.24,62.83,63.09,60.86
62.85,62.12,63.01,62.12
60.63,62.10,62.10,60.39
62.30,61.63,62.80,61.53
62.64,63.28,63.28,62.63
63.43,62.86,63.43,62.54
62.02,61.90,62.90,61.90
61.94,63.26,63.26,61.94
63.56,63.55,63.67,63.00
62.55,61.41,62.59,61.25
61.63,60.87,61.81,60.84
60.71,61.37,61.37,60.31
61.60,60.83,62.14,60.83
62.00,62.68,62.68,61.98
62.05,62.78,62.78,62.05
63.21,63.07,63.64,63.04
63.46,64.25,64.25,63.28
63.82,64.10,64.32,63.80
63.72,64.26,64.26,63.67
64.23,64.18,64.42,64.11
64.98,64.08,64.98,63.91
64.13,63.05,64.24,63.05
62.69,62.90,63.16,62.42
62.45,61.68,62.45,61.68
61.92,61.88,62.18,61.45
61.91,61.83,62.10,61.68
60.88,60.06,61.00,59.70
59.86,59.37,60.30,59.27
59.35,59.21,59.49,58.48
59.50,58.90,59.50,58.67
59.69,59.13,59.95,58.67
59.19,61.14,61.20,59.19
61.55,61.72,61.74,61.16
61.70,62.13,62.13,61.64
61.84,62.14,62.19,61.66
62.77,63.23,63.44,62.77
62.92,63.08,63.32,62.81
63.11,63.35,63.35,62.49
62.80,61.49,62.88,61.45
61.64,61.75,61.84,61.26
60.82,62.31,62.32,60.74
62.67,61.43,62.67,61.23
62.01,62.77,63.02,62.01
62.62,63.21,63.28,62.53
63.31,63.92,63.92,63.27
64.20,63.83,64.20,63.68
63.68,63.39,63.70,63.31
63.83,63.10,63.83,62.62
62.50,63.17,63.43,62.40
64.23,64.50,64.56,63.94
64.20,64.11,64.32,64.01
64.41,64.56,64.61,64.21
64.23,64.48,64.50,64.12
63.72,64.21,64.25,63.52
64.55,64.46,64.60,64.25
63.90,64.07,64.34,63.69
63.12,62.38,63.12,62.38
61.52,62.12,62.24,61.52
61.96,61.93,62.20,61.93
61.62,61.88,62.02,61.37
62.36,62.55,62.98,62.20
62.47,62.73,62.99,62.29
62.32,61.58,62.32,61.49
61.27,61.38,61.46,61.00
61.63,61.11,61.84,61.11
60.40,60.42,60.65,59.83
59.87,60.25,60.35,59.68
60.52,60.14,60.66,59.94
60.32,60.81,60.84,59.63
60.63,60.02,60.81,59.98
59.72,59.95,60.25,59.58
60.72,61.66,61.76,60.72
61.88,62.31,62.32,61.88
62.90,63.25,63.25,62.76
62.91,62.45,62.91,62.44
62.53,62.61,62.84,62.53
63.36,63.08,63.40,62.84
63.04,63.29,63.33,63.01
63.89,63.99,64.05,63.67
63.83,63.90,64.18,63.68
63.65,64.16,64.21,63.49
63.94,64.05,64.05,63.79
64.35,63.95,64.35,63.90
64.18,64.93,65.02,64.09
64.97,64.90,65.26,64.77
64.78,64.52,64.98,64.41
64.02,63.90,64.47,63.90
64.30,64.84,64.91,64.30
