UNF,Unifirst Corporation Common Stock,NASDAQ
48.80,49.11,49.42,48.62
48.93,48.37,49.27,48.31
49.67,50.58,52.40,49.67
52.99,52.69,53.49,51.80
52.83,54.47,54.54,52.81
54.90,54.42,55.38,54.41
54.42,54.44,54.85,54.22
54.70,54.15,54.85,54.06
54.24,53.83,54.58,53.67
53.58,53.20,53.93,52.50
53.46,53.18,53.80,53.07
52.99,52.36,53.02,52.07
52.41,51.39,53.09,51.30
51.13,50.60,51.39,50.41
50.97,51.80,52.23,50.28
51.78,51.55,52.41,51.47
51.61,52.34,52.66,51.50
52.28,50.45,52.28,50.45
50.76,50.24,51.22,50.24
50.41,50.65,50.89,50.08
50.81,50.68,51.26,49.63
50.62,50.74,51.28,50.45
50.53,50.67,51.15,50.41
50.63,51.12,51.55,50.41
51.21,50.46,51.33,50.25
50.91,50.99,51.20,50.27
51.04,51.27,51.99,50.80
50.99,51.96,51.99,50.99
51.60,52.10,52.10,51.25
52.48,52.10,52.48,51.38
52.40,52.14,52.40,51.60
52.00,53.16,53.18,51.74
53.15,53.93,54.11,53.05
54.25,53.90,54.25,53.66
53.98,53.40,54.18,53.30
53.40,53.14,54.16,53.03
52.43,53.28,53.34,52.11
53.16,52.56,53.40,52.51
52.74,53.60,53.62,52.63
53.80,53.84,54.99,53.66
54.10,53.59,54.26,53.30
53.87,53.16,53.87,53.04
53.52,54.46,54.61,53.28
54.35,54.96,54.99,54.35
54.94,54.61,55.18,54.45
54.17,54.88,55.16,54.07
54.53,54.21,54.70,54.02
54.25,54.79,54.96,54.23
54.57,54.12,54.57,53.69
54.35,53.91,54.35,53.51
54.15,54.01,54.15,53.26
53.91,54.12,54.57,53.91
54.34,54.34,54.44,54.06
54.08,55.28,55.72,53.92
55.21,55.74,55.79,54.71
55.67,54.32,55.67,54.26
54.81,53.77,54.81,53.69
53.80,53.61,53.84,53.00
53.60,53.46,53.95,53.45
53.40,53.53,54.20,53.05
52.96,51.50,52.98,51.30
51.68,51.50,51.98,50.96
51.90,51.39,51.90,51.08
51.31,51.73,52.06,50.86
51.87,51.66,51.87,51.27
51.51,51.09,51.77,51.04
51.21,51.69,51.71,50.81
51.57,51.67,51.68,51.31
51.41,51.60,51.68,51.29
51.69,52.32,52.34,51.56
52.43,51.94,52.43,51.88
51.92,51.78,52.32,51.40
51.74,51.25,51.99,51.11
51.37,51.24,51.50,51.05
51.27,51.15,51.59,50.85
50.97,51.30,51.61,50.85
51.42,51.00,51.55,50.91
50.95,50.81,51.11,50.76
50.76,49.92,51.02,49.84
50.05,49.83,50.50,49.80
50.23,50.50,50.84,49.52
50.43,48.87,51.12,48.85
48.83,48.61,49.57,48.44
48.22,47.93,48.48,47.39
47.94,47.89,48.05,47.53
47.87,46.05,48.13,45.73
46.05,45.27,46.39,45.27
46.64,46.95,46.98,46.25
46.15,47.40,47.66,46.15
47.46,48.16,48.28,46.66
48.02,48.05,48.38,47.72
47.61,47.76,47.91,47.21
48.09,47.17,49.15,46.88
47.78,47.34,47.90,46.95
47.10,48.25,48.48,47.10
47.34,45.64,47.58,45.61
45.24,45.75,46.10,45.13
45.71,44.97,46.13,44.95
44.32,44.25,44.43,43.47
44.67,45.02,45.64,44.48
45.96,45.80,45.96,45.45
46.03,45.00,46.03,44.74
44.54,44.75,45.42,44.06
45.17,45.13,45.40,44.79
45.10,45.07,45.39,44.90
44.50,43.88,44.75,43.59
44.01,41.85,44.01,41.73
41.93,40.92,41.93,40.48
41.14,40.03,41.23,39.81
40.80,40.96,41.03,40.33
40.42,42.00,42.03,40.18
42.50,41.70,42.58,41.48
42.12,42.54,42.66,41.61
42.06,42.48,42.85,42.00
42.39,42.36,42.51,41.61
42.49,42.51,42.85,42.30
43.10,41.97,43.15,41.72
42.15,41.01,42.37,40.92
40.80,41.08,41.41,40.59
40.85,40.98,41.27,40.66
41.03,41.84,41.97,40.73
41.91,41.72,42.27,41.57
41.20,41.03,41.62,40.57
41.85,44.02,44.37,41.74
44.02,43.39,44.04,41.89
43.79,43.33,43.96,43.20
43.75,42.16,44.35,42.01
42.42,43.35,43.54,41.94
43.59,44.53,44.59,43.59
44.54,44.63,45.08,44.07
44.50,44.75,45.15,44.25
45.20,45.92,46.19,45.01
45.76,45.64,46.02,45.31
45.63,44.02,45.93,43.95
43.61,42.33,43.87,42.29
42.58,43.10,43.27,42.03
42.54,44.00,44.22,42.50
44.00,42.78,44.00,42.62
43.25,44.00,44.57,43.25
43.72,43.98,44.09,43.44
43.97,43.98,44.05,43.76
44.00,43.95,44.00,43.61
43.81,43.54,43.99,43.47
43.95,43.41,44.00,43.03
43.11,43.96,44.04,42.74
44.44,43.97,44.59,43.67
43.79,43.66,44.12,43.37
43.74,44.00,44.16,43.44
43.61,43.66,44.20,43.60
43.24,43.56,43.65,42.46
43.90,44.27,44.35,43.60
43.86,43.13,43.86,42.84
42.33,41.24,42.33,41.12
41.02,41.64,41.88,40.78
41.44,40.38,41.44,40.35
40.38,40.74,41.17,40.30
41.23,41.42,41.81,41.16
41.31,41.19,41.73,40.96
41.24,39.74,41.24,39.66
39.51,39.96,40.10,38.90
40.07,39.02,40.24,38.90
38.64,38.56,39.01,38.25
38.43,39.53,39.64,38.14
39.68,39.72,39.81,39.09
39.86,40.47,40.60,39.42
40.19,39.46,40.79,39.37
39.57,39.26,40.08,38.99
39.84,41.00,41.00,39.53
40.74,41.24,41.69,40.60
41.72,41.98,42.25,41.59
41.60,40.86,41.80,40.60
40.85,41.00,41.46,40.74
41.38,41.81,41.89,41.35
42.06,42.38,42.77,41.83
42.88,43.28,43.44,42.42
43.30,43.36,43.61,42.80
43.09,43.47,43.57,42.93
43.35,43.13,43.44,43.00
43.53,42.72,43.57,42.53
42.78,44.44,44.53,42.56
44.29,44.39,44.96,43.62
44.29,44.16,44.60,43.82
43.75,42.83,44.33,42.79
43.20,44.28,44.34,42.96
44.40,44.01,44.40,43.37
44.24,45.25,45.30,43.58
44.98,44.71,45.67,44.58
44.88,44.15,45.10,44.07
44.63,44.21,44.82,43.91
44.22,42.91,44.22,42.72
43.46,44.93,45.07,43.23
44.71,44.42,44.86,43.93
44.78,45.12,45.63,44.59
45.26,45.91,46.16,44.38
46.00,45.83,46.24,45.82
45.84,45.62,46.11,45.17
45.80,46.73,47.14,45.78
46.60,46.79,46.79,46.17
47.48,46.92,47.48,46.03
47.17,46.94,47.36,46.41
48.40,46.08,48.40,45.76
46.08,45.09,46.08,44.47
45.12,45.41,45.83,44.84
45.41,45.39,45.67,45.28
45.56,45.66,46.24,45.56
45.56,45.57,46.12,45.48
45.38,46.29,46.47,45.31
46.75,45.95,46.75,45.34
45.91,46.03,46.31,45.88
45.99,46.49,46.90,45.90
46.95,48.06,48.09,46.80
48.03,47.52,48.15,47.03
48.21,49.67,49.89,48.21
49.94,49.40,50.22,49.03
49.08,49.70,49.75,48.90
49.80,49.26,49.94,49.03
49.25,50.03,50.08,49.00
49.53,49.87,50.20,49.29
49.36,49.38,49.93,49.33
49.51,50.06,50.53,49.51
49.60,48.40,49.73,48.30
48.63,48.13,48.63,48.11
48.74,48.86,49.44,48.45
48.93,49.55,49.68,48.76
49.48,49.88,50.22,49.24
48.87,49.10,49.80,48.80
49.59,52.14,52.23,49.51
