VIA,Viacom Inc. - Class A Common Stock,NASDAQ
31.92,31.70,32.00,31.55
31.72,31.65,31.72,31.30
31.45,31.60,31.99,31.45
31.65,32.02,32.51,31.20
32.00,31.73,32.00,31.50
31.80,31.90,31.97,31.53
31.65,31.16,31.79,30.91
31.17,31.40,31.47,31.10
31.47,31.72,31.74,31.42
31.66,31.26,31.66,30.86
31.47,32.51,32.62,31.35
32.48,32.52,32.57,32.07
32.52,32.11,32.92,31.97
31.79,31.31,31.83,31.21
31.36,31.06,31.64,30.98
30.78,31.12,31.49,30.78
31.15,31.06,31.41,30.80
31.10,30.83,31.30,30.49
31.09,30.81,31.49,30.74
30.99,31.07,31.27,30.87
31.07,31.43,31.48,31.00
31.35,32.04,32.61,31.35
31.65,30.84,31.65,30.83
31.17,30.16,31.17,29.61
30.24,29.70,30.27,29.65
30.08,30.49,30.73,29.96
30.49,30.26,30.60,29.94
30.90,30.04,30.90,29.85
30.29,30.66,30.81,30.05
30.80,31.15,31.15,30.58
31.15,31.47,31.62,31.00
31.14,31.56,31.56,30.92
31.60,31.58,31.66,31.30
31.96,31.53,31.96,31.34
31.60,31.12,31.60,30.97
31.36,31.30,31.53,30.88
30.88,31.44,31.53,30.67
31.37,31.54,31.74,31.33
31.83,31.55,31.83,29.61
31.95,31.65,31.95,31.54
31.65,31.50,31.83,31.50
31.70,31.69,31.75,31.45
31.78,32.23,32.45,31.55
32.26,32.30,32.53,32.21
32.02,32.68,32.95,32.00
32.66,33.09,33.26,32.47
33.12,33.21,33.23,32.82
33.29,33.36,33.44,33.22
33.18,32.99,33.29,32.69
33.10,33.38,33.45,32.86
33.51,33.32,33.81,33.18
33.43,33.51,33.67,33.10
33.69,33.69,34.11,33.54
33.78,34.15,34.25,33.52
34.01,34.65,34.65,34.01
34.59,34.91,34.97,34.39
34.90,35.44,35.71,34.90
35.40,35.45,35.98,35.04
35.99,35.88,36.10,35.76
35.88,36.13,36.73,35.57
35.88,36.68,37.25,35.88
37.07,36.96,37.21,36.66
37.45,37.72,37.88,36.94
38.17,37.84,38.32,37.47
37.93,38.04,38.12,37.53
38.33,38.42,38.72,38.05
38.56,39.77,40.30,38.43
41.79,39.10,41.79,38.90
38.92,39.06,39.50,38.88
38.98,39.49,39.54,38.75
39.32,39.65,39.65,39.14
39.34,38.58,39.70,38.42
38.47,38.42,38.75,37.84
38.73,39.33,39.41,38.63
39.25,39.46,39.62,39.10
39.45,39.90,40.04,38.94
39.76,40.09,40.13,39.56
40.14,40.13,40.66,40.07
