IDXX,IDEXX Laboratories,NASDAQ
53.70,54.08,54.35,53.43
53.76,54.17,54.17,53.55
54.03,54.30,54.74,54.03
54.07,56.36,56.65,53.94
56.42,55.91,56.90,55.81
56.03,57.77,57.91,56.03
57.70,57.68,57.77,57.18
57.64,59.15,59.31,57.64
59.20,59.63,59.95,59.20
59.50,59.10,59.63,58.53
59.01,59.35,59.75,58.60
59.12,59.07,59.51,58.47
58.97,58.36,59.09,58.25
58.46,57.19,58.55,57.06
57.68,56.75,57.68,56.46
56.75,56.92,57.10,56.60
56.63,56.70,57.06,56.18
56.59,57.97,58.02,56.04
56.82,52.49,58.10,52.49
52.75,49.93,53.30,49.03
50.11,50.92,51.18,49.52
50.75,50.88,50.96,50.34
50.46,50.49,51.11,50.10
50.36,50.05,50.83,49.26
49.60,49.99,50.26,49.25
49.91,50.56,50.63,49.75
50.70,50.41,51.00,49.93
50.55,52.00,52.14,50.26
51.32,53.31,53.43,51.32
53.04,53.58,53.58,52.56
53.54,53.63,54.37,53.16
53.78,53.89,54.19,53.29
53.70,52.95,54.15,52.90
52.91,52.69,53.19,52.50
52.65,52.50,53.62,52.40
52.75,53.05,53.20,52.68
52.70,52.50,53.45,52.07
52.37,52.80,53.47,52.34
52.92,54.22,54.32,52.15
54.07,55.42,55.60,53.98
55.55,55.90,56.20,55.45
56.04,55.44,56.55,55.33
55.45,56.45,56.50,55.20
56.56,56.57,56.70,56.08
56.40,56.15,56.70,56.00
56.00,55.95,56.53,55.76
55.58,55.87,56.02,55.30
55.85,56.26,56.26,55.01
55.79,56.62,56.64,55.79
56.70,56.51,57.26,56.34
56.73,56.75,56.89,56.54
56.53,57.57,57.57,56.53
57.91,57.85,58.08,57.20
57.47,58.76,59.02,57.43
58.63,59.16,59.21,58.40
59.14,57.31,59.29,57.31
57.74,57.23,58.26,57.23
57.23,55.88,57.40,55.74
56.00,57.55,57.73,55.26
57.50,57.65,58.06,57.29
57.52,57.55,57.92,57.36
57.87,58.07,58.37,57.60
58.01,57.95,58.22,57.62
57.60,57.67,57.93,57.59
58.11,58.17,58.60,57.92
58.17,58.34,58.52,57.31
58.25,59.00,59.00,58.15
58.86,59.45,59.51,58.86
59.49,59.50,59.50,59.04
59.50,59.94,59.99,59.14
59.81,60.87,60.87,59.65
60.54,60.31,61.31,60.22
60.21,59.92,60.80,59.75
60.24,60.09,60.24,59.70
60.18,59.74,60.21,59.60
59.47,60.40,60.57,58.51
60.61,66.86,68.57,60.42
66.63,66.35,66.68,65.54
66.33,66.12,67.08,65.69
66.24,65.66,67.00,65.56
66.15,66.26,66.96,65.89
66.48,66.14,67.24,66.03
66.49,67.15,67.20,66.16
66.35,66.25,66.80,65.77
65.93,65.74,67.46,65.23
65.33,63.88,66.04,61.01
64.03,61.57,64.03,61.43
63.00,64.66,64.93,62.99
64.02,65.54,66.94,63.30
65.37,66.65,66.83,65.37
66.30,66.58,67.00,66.03
66.11,64.56,66.53,63.99
64.94,64.68,65.88,63.13
65.44,63.85,65.44,63.69
63.49,63.66,64.11,63.00
62.37,60.53,62.80,60.53
60.69,62.02,62.35,60.12
61.71,61.07,62.50,61.06
59.76,60.67,60.79,58.57
60.71,60.49,62.07,60.08
61.52,62.21,62.79,61.24
61.96,63.24,63.66,61.96
63.23,62.31,63.85,62.20
62.70,64.25,64.27,61.89
64.03,64.34,64.88,63.27
63.42,62.18,64.60,62.00
62.35,60.87,63.11,60.72
60.86,61.29,61.45,60.15
61.77,62.18,62.76,61.60
63.00,63.72,63.87,62.21
62.92,64.59,64.72,62.92
64.70,64.15,65.25,64.00
64.26,64.61,64.81,63.22
64.12,64.70,65.06,64.12
64.61,65.03,65.22,64.57
64.94,64.85,65.39,64.01
65.37,64.85,66.02,64.57
64.76,63.41,65.80,63.24
