CP,Canadian Pacific Railway Limited Common Stock,NASDAQ
54.76,54.32,55.02,54.03
54.66,54.76,55.09,54.13
54.85,54.30,55.09,54.28
54.07,54.08,54.53,53.52
54.14,55.40,55.49,54.14
55.60,54.98,55.74,54.59
54.56,54.61,54.70,53.77
54.52,54.77,54.92,54.05
54.67,53.85,54.97,53.76
53.97,52.93,53.99,52.56
52.40,51.87,52.40,51.29
51.17,50.09,51.17,49.68
50.32,51.20,51.85,50.22
51.23,50.67,52.22,50.43
51.30,50.85,51.30,50.21
50.46,50.78,51.40,49.92
50.38,51.02,51.14,50.03
51.91,49.47,52.43,49.32
49.47,47.00,49.58,46.77
47.55,48.11,48.15,47.16
48.33,48.73,48.98,48.21
48.68,48.30,49.05,48.06
47.90,47.07,48.01,46.95
47.10,46.92,47.47,46.29
46.94,46.24,47.00,46.13
46.69,47.42,48.04,46.69
47.56,47.93,48.32,47.33
48.33,49.07,49.09,47.97
48.45,48.84,48.97,48.32
49.38,48.94,49.38,48.57
49.12,49.11,49.50,48.75
49.01,49.09,49.33,48.70
48.67,49.77,49.85,48.59
49.99,49.88,50.39,49.64
49.89,48.83,49.96,48.50
49.03,48.54,49.17,48.30
47.95,48.10,48.22,47.19
47.91,48.18,48.29,47.45
48.71,50.13,50.23,48.29
50.51,51.08,51.26,50.51
51.67,53.14,53.31,51.37
53.03,53.41,53.49,52.65
53.71,55.04,55.26,53.65
55.41,54.19,55.41,54.03
54.07,54.76,55.00,53.85
54.57,54.52,54.86,54.21
53.94,54.90,55.09,53.94
55.38,55.13,55.60,54.84
55.13,55.05,55.26,54.49
55.42,55.58,55.64,54.85
55.59,55.43,55.91,55.22
55.23,54.87,55.57,54.74
54.99,54.24,55.15,54.03
53.78,54.44,54.59,53.54
54.71,54.14,54.71,53.73
53.36,53.37,53.82,53.20
53.87,54.50,55.04,53.87
54.61,54.23,54.69,53.91
54.65,55.50,55.76,54.04
55.87,55.88,56.65,55.65
55.85,56.24,56.32,55.34
56.59,57.21,57.30,56.56
57.62,57.94,58.34,57.35
57.97,56.70,58.00,56.48
56.53,56.36,56.59,55.43
56.22,57.44,57.56,55.75
57.41,57.51,57.98,57.15
57.51,57.09,57.53,56.65
57.30,57.82,58.16,56.63
58.36,58.69,59.17,58.36
58.45,58.84,59.82,58.45
58.58,57.67,58.72,56.75
57.28,58.26,58.40,57.28
58.96,59.06,60.00,58.96
59.12,59.49,59.68,59.00
59.26,59.37,59.47,58.31
59.08,59.52,59.80,59.01
59.14,59.43,59.78,59.12
58.98,57.29,59.17,57.18
58.86,59.56,60.74,58.74
59.92,60.35,61.38,59.92
