IHE,iShares U.S. Pharmaceutical ETF,NASDAQ
58.02,58.56,59.04,57.96
58.66,58.13,58.66,57.95
58.19,58.21,58.30,58.06
58.23,58.22,58.32,57.96
58.32,57.90,58.32,57.65
58.45,58.67,58.67,58.27
58.64,58.26,58.70,58.11
58.51,59.21,59.30,58.46
59.22,59.71,59.75,59.20
59.85,59.12,59.85,58.84
59.26,60.61,60.61,59.23
60.47,60.44,60.80,59.81
60.58,59.06,60.60,59.02
58.81,57.90,59.12,57.90
58.52,57.92,58.52,57.92
57.85,58.05,58.31,57.58
57.96,58.34,58.37,57.76
58.54,57.69,58.54,57.60
57.81,57.25,57.99,57.25
57.53,57.49,57.54,57.16
57.63,58.66,58.66,57.40
58.31,58.34,58.54,58.02
57.93,56.48,57.93,56.47
56.40,56.50,56.50,55.28
56.52,56.22,56.81,56.19
56.74,56.62,57.06,56.31
57.59,56.42,57.59,55.95
56.22,57.02,57.04,56.19
56.30,57.15,57.15,56.28
57.67,57.58,57.67,57.10
57.92,57.80,58.68,57.64
57.54,57.17,57.54,56.95
56.92,57.19,57.26,56.80
57.41,57.24,57.43,56.90
57.28,56.51,57.30,56.48
56.89,57.35,57.38,56.86
56.73,57.51,57.53,56.73
57.55,57.76,57.83,57.39
57.89,58.27,58.28,57.89
58.56,58.79,58.91,58.41
58.22,57.79,58.24,57.68
57.99,57.79,57.99,57.66
57.97,58.45,58.45,57.97
58.52,58.24,58.52,58.22
58.06,58.42,58.47,58.06
58.49,58.80,58.90,58.49
58.58,59.19,59.19,58.55
59.42,59.11,59.42,58.78
59.15,59.47,59.49,58.99
59.35,59.67,59.69,59.29
59.70,59.73,59.94,59.65
59.62,59.74,59.79,59.48
59.37,59.37,59.90,59.22
59.42,60.20,60.39,58.65
60.35,60.96,60.98,60.26
60.74,60.45,60.85,60.45
60.74,59.81,60.74,59.78
59.94,59.44,59.94,59.29
59.55,59.99,60.01,59.55
60.17,60.00,60.17,59.80
59.69,59.71,60.16,59.69
60.22,59.98,60.27,59.79
60.20,60.22,60.44,59.93
59.95,60.10,60.29,59.93
60.08,59.85,60.08,59.51
59.57,59.60,59.69,59.30
59.83,59.79,59.86,59.53
59.71,59.81,59.91,59.71
59.65,59.92,59.97,59.54
59.83,60.14,60.14,59.70
60.00,60.39,60.44,60.00
60.16,59.82,60.40,59.50
59.57,59.93,59.97,59.50
60.02,60.36,60.36,59.93
60.45,59.54,60.45,59.23
59.24,58.76,59.24,58.31
58.66,59.34,59.37,58.50
59.46,58.95,59.55,58.95
58.68,57.99,59.20,57.93
58.13,58.22,58.37,57.84
58.52,59.27,59.39,58.44
59.25,58.86,59.77,58.86
59.18,59.45,59.67,59.04
59.16,59.36,59.79,59.16
58.76,59.20,59.26,58.63
59.06,57.28,75.00,30.08
56.76,56.23,57.34,55.67
58.45,57.77,58.55,57.36
57.26,58.19,58.71,56.90
58.19,58.79,58.79,58.18
58.70,57.97,58.70,57.89
57.60,56.72,57.60,56.41
56.70,56.82,57.11,55.92
57.07,56.35,57.37,56.33
56.04,56.23,56.58,55.76
54.98,54.25,55.35,54.25
53.25,54.40,54.61,53.20
54.43,54.20,54.75,54.19
53.20,54.09,54.09,52.49
54.59,54.25,55.23,54.12
55.23,55.41,55.42,54.90
55.00,55.52,55.86,55.00
54.90,54.55,55.66,54.52
54.80,55.58,55.58,54.48
55.89,56.24,56.24,55.71
55.51,54.30,55.70,54.28
54.87,54.07,55.16,54.07
54.18,53.89,54.18,53.26
54.09,53.97,54.70,53.79
54.76,55.27,55.31,54.62
55.12,56.07,56.07,55.12
56.46,56.11,56.70,56.11
56.33,57.15,57.16,56.33
56.94,57.09,57.24,56.82
57.19,57.12,57.19,56.50
57.30,56.93,57.30,56.73
57.49,56.49,57.49,56.39
56.70,56.23,57.29,56.20
56.32,55.97,56.32,55.76
55.59,55.48,55.81,55.33
55.35,56.20,56.20,55.24
56.19,56.18,56.53,55.82
55.39,54.99,55.52,54.73
54.71,54.72,55.33,54.55
54.63,54.03,54.63,53.16
54.34,54.31,54.70,53.97
54.36,54.22,55.05,53.93
54.34,55.49,55.53,54.04
56.00,56.14,56.21,55.65
56.05,56.42,56.42,56.05
56.10,56.11,56.18,55.89
56.65,56.91,57.04,56.65
56.78,56.79,56.89,56.40
56.87,56.71,57.16,56.51
56.28,55.37,56.51,55.29
55.40,55.54,55.67,55.31
54.81,55.52,55.55,54.47
55.90,54.95,55.90,54.85
55.82,55.74,56.01,55.54
55.50,55.80,55.80,55.29
55.84,56.68,56.69,55.84
56.69,56.74,56.98,56.48
56.32,55.66,56.32,55.63
55.97,55.52,56.11,55.00
55.00,55.77,55.95,54.93
56.57,56.79,56.90,56.53
57.12,57.29,57.63,56.83
57.42,57.84,57.84,57.17
57.47,57.73,57.87,57.42
57.21,57.99,57.99,57.01
58.07,58.59,58.63,58.06
58.14,58.61,58.94,58.14
57.63,57.02,57.63,56.94
56.09,57.39,57.53,56.09
57.23,56.99,57.23,56.90
56.58,57.14,57.27,56.58
57.30,57.87,58.11,57.26
57.78,57.95,58.33,57.61
57.75,57.00,57.75,56.79
56.79,56.95,57.05,56.56
57.21,56.95,57.67,56.95
56.30,56.20,56.54,55.93
55.92,56.64,56.80,55.80
56.94,56.33,56.94,56.19
56.50,56.98,57.03,55.98
56.90,56.12,56.94,56.12
55.95,55.96,56.44,55.82
56.71,57.38,57.38,56.66
57.70,57.87,57.88,57.43
58.42,58.39,58.42,57.97
57.95,58.03,58.29,57.95
58.41,58.49,58.73,58.41
59.08,59.26,59.26,58.90
59.20,59.62,59.66,59.18
60.00,59.85,60.00,59.68
59.71,60.00,60.17,59.71
59.78,60.50,60.50,59.78
60.28,60.27,60.63,60.00
60.41,60.35,60.60,60.01
60.49,61.35,61.36,60.40
61.30,61.10,61.35,61.01
61.29,60.99,61.37,60.82
60.31,60.50,61.08,60.14
61.16,61.44,61.52,60.97
61.64,61.24,61.64,61.19
61.41,61.74,61.80,61.10
62.13,61.48,62.13,61.36
61.83,61.22,61.83,60.99
61.59,61.20,61.59,60.83
61.00,60.70,61.31,60.55
61.45,62.02,62.11,61.29
61.87,61.93,62.11,61.77
62.20,62.16,62.32,61.95
62.08,62.42,62.60,62.05
62.45,62.41,62.63,62.41
62.50,63.46,63.46,62.50
63.71,64.01,64.24,63.66
64.03,63.94,64.14,63.76
64.00,64.06,64.20,63.92
64.14,64.36,64.36,64.05
63.59,63.12,63.89,63.00
63.38,63.43,63.63,62.73
63.59,63.40,63.94,62.91
63.03,63.31,63.70,63.03
63.70,63.56,64.01,63.56
63.33,63.43,63.54,63.24
63.10,63.29,63.42,62.76
63.62,63.50,63.62,63.21
63.31,63.36,63.52,63.21
63.65,63.12,63.93,62.89
63.63,63.49,63.75,63.49
63.65,63.42,63.65,63.17
63.97,64.02,64.22,63.79
63.96,63.37,63.96,63.13
63.21,62.84,63.21,62.84
62.96,62.29,62.96,62.22
62.62,62.42,62.62,61.87
62.07,62.24,62.34,62.06
62.14,61.67,62.14,61.65
62.00,61.90,62.23,61.90
