MORN,Morningstar,NASDAQ
48.47,48.32,48.88,47.99
48.42,48.89,48.89,48.09
49.00,48.86,49.59,48.67
48.83,49.04,49.17,48.14
48.87,49.04,49.18,48.31
49.44,48.42,49.44,48.02
48.36,49.52,49.78,48.34
49.43,49.96,50.14,48.59
49.61,49.22,49.99,49.22
49.41,48.66,49.68,48.27
48.37,48.81,48.81,48.04
48.36,48.56,48.62,47.75
48.42,47.89,48.85,47.89
47.75,47.61,48.33,47.56
47.75,46.46,47.91,46.23
46.24,46.50,46.72,46.17
46.49,47.06,47.06,46.21
47.08,47.16,47.35,46.34
47.14,47.26,47.64,46.85
47.27,47.24,47.27,46.65
47.14,47.32,47.32,46.27
46.94,46.98,47.36,46.79
46.95,45.78,47.49,45.70
45.72,45.81,46.00,44.58
45.65,45.24,45.65,45.00
45.25,45.28,45.50,44.65
44.97,45.01,45.04,44.38
44.77,45.75,45.77,44.67
45.57,45.19,45.57,45.01
45.28,45.11,45.30,44.79
45.04,45.08,45.50,44.90
45.00,44.59,45.24,44.38
44.38,44.50,45.04,43.01
44.39,44.33,44.77,43.91
44.60,44.35,44.80,44.27
44.60,44.70,45.05,44.33
44.50,44.49,44.61,43.91
44.38,44.05,44.69,43.11
44.43,45.50,45.54,44.27
45.75,46.11,46.17,45.00
45.92,45.63,46.10,45.54
45.79,46.78,46.98,45.40
47.58,47.33,47.58,47.12
47.93,48.44,48.44,47.51
48.58,48.89,49.36,48.36
48.79,49.18,49.24,48.75
49.26,49.11,49.31,49.00
49.50,49.33,49.68,49.02
49.56,49.03,49.74,48.85
49.41,48.89,49.41,48.76
48.80,48.52,49.04,48.36
48.71,48.45,48.71,48.24
49.02,49.02,49.03,48.10
48.67,48.95,49.00,48.61
49.21,49.44,49.45,48.64
49.03,49.17,49.19,48.70
49.09,49.13,49.35,48.96
49.07,48.98,49.33,48.86
48.91,49.10,49.43,48.75
48.91,48.89,49.45,48.86
48.60,48.09,48.69,48.00
47.50,47.76,48.47,47.10
48.02,47.65,48.65,47.53
47.65,47.90,48.28,47.65
47.68,47.16,47.79,46.91
47.28,47.31,47.50,46.84
47.41,47.23,47.50,47.02
47.47,47.47,47.73,47.00
47.50,47.50,47.60,47.24
47.57,47.79,47.79,47.20
47.60,47.61,47.84,46.84
47.60,47.82,48.15,47.52
47.73,48.38,48.49,47.65
48.50,49.32,49.32,48.02
49.07,49.70,49.93,49.07
49.16,50.29,50.30,49.06
49.98,50.65,50.91,49.63
50.33,49.85,50.86,49.67
49.98,49.46,49.99,49.08
48.28,48.73,48.88,48.08
48.58,48.07,48.85,47.75
48.19,47.01,48.19,46.81
46.99,47.56,47.56,46.64
47.00,47.96,48.00,46.16
47.34,47.77,48.35,47.10
47.74,47.25,49.73,46.02
47.15,46.90,47.47,46.34
48.36,48.38,49.73,47.81
47.62,48.25,48.59,47.42
48.09,48.39,48.39,47.84
48.45,47.97,48.84,47.57
47.64,47.84,48.11,46.93
47.45,48.50,48.76,47.25
48.67,48.28,49.17,48.28
47.90,47.00,47.92,46.91
46.39,46.23,46.76,45.67
45.63,46.73,46.95,45.63
46.65,46.52,46.93,46.08
45.90,46.77,47.15,45.19
46.80,47.81,48.50,45.72
48.20,48.87,48.88,48.00
48.75,48.80,49.24,48.41
48.37,47.64,48.59,47.50
47.54,47.80,48.04,47.34
47.52,47.73,48.00,47.35
47.57,47.26,47.77,47.06
47.08,46.75,47.44,46.62
46.69,46.37,46.88,45.90
46.36,45.33,46.82,45.10
45.58,46.09,46.43,45.45
45.76,46.15,46.35,45.43
46.22,45.92,46.63,45.68
46.11,46.18,46.43,45.74
45.84,46.05,46.30,45.10
46.11,46.00,46.34,45.67
46.21,46.39,46.56,45.99
46.90,45.60,46.97,45.51
45.60,45.09,46.00,45.08
45.01,45.23,45.48,44.79
45.08,45.12,45.42,44.53
45.24,44.78,45.47,44.50
44.61,44.41,45.29,43.94
43.98,42.93,43.98,42.87
42.90,42.52,43.22,42.42
42.56,42.48,42.78,41.88
42.45,42.75,43.15,42.11
42.90,42.45,43.71,42.25
41.39,43.09,43.10,41.39
43.20,43.90,44.00,43.04
43.75,43.89,44.00,43.40
43.59,43.68,44.05,43.43
43.84,44.58,44.60,43.48
44.72,44.80,45.01,44.40
44.86,45.15,45.34,44.61
45.07,44.50,45.25,44.18
44.73,44.67,44.91,44.03
44.33,44.67,44.78,43.84
44.83,44.13,44.89,44.04
44.60,45.18,45.35,44.52
45.11,45.54,45.69,44.92
45.86,46.02,46.03,45.32
46.02,45.75,46.45,45.35
45.63,44.86,45.92,44.85
44.61,45.02,45.50,44.55
44.75,45.10,45.73,44.46
45.37,46.50,46.79,45.15
46.20,45.87,46.73,45.83
45.85,45.74,46.17,45.58
45.34,45.66,45.83,45.23
45.38,45.25,45.61,45.10
45.13,45.92,46.06,45.13
45.58,44.71,45.74,44.71
44.09,43.11,44.53,43.04
42.65,42.81,43.50,42.64
42.56,42.77,42.98,42.43
42.51,42.57,42.79,42.31
42.59,42.89,42.93,42.24
42.77,42.85,43.10,42.42
42.78,41.75,42.86,41.68
41.58,41.74,42.06,41.10
41.71,41.45,42.03,41.42
40.91,41.38,41.91,40.41
41.09,41.04,41.50,40.58
41.04,40.95,41.74,40.77
41.06,41.38,41.38,40.53
41.33,40.55,41.38,40.53
40.39,40.45,41.00,40.31
40.62,41.04,41.41,40.61
40.96,40.96,41.10,40.54
41.00,41.53,41.65,40.34
41.35,40.29,41.81,40.26
40.28,40.13,41.28,39.61
40.19,40.89,40.94,40.19
40.84,40.80,40.97,40.26
40.99,41.17,41.22,40.81
41.18,40.61,41.23,40.42
40.26,40.38,40.56,39.86
40.23,40.71,40.79,40.16
41.07,41.42,41.73,41.07
41.68,42.08,42.26,41.62
42.17,41.89,42.36,41.65
41.83,41.79,42.04,41.55
41.79,41.67,42.35,41.60
42.15,43.08,43.10,41.99
43.20,43.38,43.53,42.60
43.24,43.52,43.65,42.98
43.33,44.27,44.44,43.33
44.39,44.56,44.83,44.13
44.77,45.03,45.08,44.41
45.00,44.48,45.25,44.38
44.80,45.29,45.47,44.76
45.17,45.57,45.88,44.99
45.64,45.75,45.82,45.35
45.75,46.34,46.42,45.54
46.29,46.61,46.77,46.10
46.50,46.77,46.84,45.99
47.00,47.05,47.37,46.59
46.92,47.20,47.47,46.68
47.52,47.63,47.77,47.26
47.39,47.60,47.97,47.25
47.07,46.77,47.40,46.18
46.79,48.09,48.12,46.79
48.13,48.50,48.67,47.64
48.55,48.16,48.70,47.90
48.32,48.42,48.73,48.21
48.12,48.24,48.50,48.03
47.64,47.95,48.05,47.50
46.57,48.62,49.07,45.55
48.46,48.82,49.12,47.76
48.76,48.21,48.92,47.94
48.45,49.33,49.47,48.44
49.00,49.27,49.31,48.53
49.51,49.39,49.73,48.97
49.35,49.55,49.62,48.96
49.18,49.22,49.77,48.74
49.37,49.07,49.88,48.82
48.95,50.61,50.68,48.61
50.00,49.87,50.60,49.37
49.40,49.12,49.74,49.01
49.15,49.41,49.62,48.93
49.05,48.88,49.50,48.55
48.96,49.05,49.28,48.69
49.29,50.08,50.26,49.29
49.86,50.51,50.95,49.78
50.11,49.87,50.54,49.87
49.24,48.96,49.48,48.92
49.10,49.89,50.00,49.10
49.42,49.94,50.33,49.01
49.50,50.32,50.36,49.50
49.70,50.41,50.46,49.68
50.68,50.25,51.28,50.00
50.00,51.18,51.19,50.00
50.66,51.56,51.62,50.66
51.25,51.39,51.60,51.07
51.55,52.15,52.28,51.39
52.19,51.88,52.62,51.65
51.84,52.15,52.42,51.52
52.04,52.67,52.84,51.93
52.51,52.38,52.92,52.31
52.16,52.19,52.47,51.79
52.00,51.87,52.54,51.60
51.74,52.19,52.49,51.52
52.16,52.47,52.81,51.85
52.22,52.30,52.42,51.82
52.34,52.87,52.90,52.09
52.81,53.42,53.77,52.75
53.50,53.18,53.50,52.56
52.96,52.88,53.00,52.23
52.80,52.78,53.05,51.72
52.67,53.96,54.09,52.67
53.78,53.93,54.00,53.35
53.70,53.08,53.92,53.01
53.21,53.69,54.00,53.21
53.51,52.72,54.37,52.52
52.51,54.50,54.55,51.85
54.55,54.25,54.55,53.27
54.13,53.28,54.54,52.87
52.62,53.26,53.50,52.07
53.26,53.29,53.73,52.89
53.44,53.26,53.44,52.55
53.07,53.78,53.78,52.73
53.58,54.60,54.75,53.58
54.38,55.55,56.33,53.99
55.73,54.72,55.73,54.64
54.55,54.04,54.97,53.90
54.10,53.53,54.12,53.31
53.37,54.19,54.28,53.37
53.84,53.46,54.23,53.28
53.42,53.99,54.35,53.00
53.90,53.72,54.11,53.08
53.54,52.80,53.84,52.75
52.83,53.42,53.83,52.16
