CVM,Cel-Sci Corporation Common Stock ($0.001 Par Value),NASDAQ
0.92,0.92,0.95,0.90
0.92,0.91,0.94,0.90
0.91,0.91,0.94,0.91
0.90,0.93,0.93,0.90
0.93,0.90,0.93,0.90
0.93,1.03,1.12,0.91
1.04,0.99,1.05,0.98
1.01,0.95,1.01,0.95
1.00,0.93,1.00,0.93
0.92,0.94,0.95,0.92
0.93,0.91,0.97,0.90
0.90,0.87,0.93,0.87
0.86,0.80,0.87,0.78
0.80,0.78,0.85,0.77
0.75,0.70,0.79,0.69
0.70,0.75,0.76,0.66
0.75,0.69,0.76,0.68
0.69,0.71,0.77,0.69
0.69,0.69,0.74,0.69
0.66,0.68,0.70,0.66
0.68,0.69,0.70,0.68
0.70,0.68,0.70,0.68
0.70,0.65,0.70,0.62
0.64,0.64,0.65,0.60
0.65,0.66,0.67,0.61
0.67,0.65,0.67,0.64
0.61,0.59,0.64,0.58
0.55,0.54,0.55,0.50
0.53,0.63,0.63,0.53
0.61,0.60,0.61,0.55
0.64,0.71,0.82,0.63
0.72,0.64,0.72,0.64
0.65,0.66,0.66,0.63
0.67,0.71,0.81,0.66
0.71,0.68,0.71,0.67
0.65,0.66,0.71,0.65
0.65,0.63,0.67,0.63
0.63,0.68,0.68,0.63
0.67,0.64,0.67,0.64
0.64,0.66,0.67,0.62
0.63,0.64,0.67,0.63
0.65,0.64,0.65,0.61
0.63,0.64,0.66,0.62
0.65,0.65,0.66,0.62
0.64,0.74,0.74,0.63
0.74,0.70,0.74,0.68
0.70,0.74,0.74,0.67
0.69,0.72,0.73,0.69
0.73,0.70,0.73,0.69
0.68,0.69,0.72,0.68
0.69,0.69,0.70,0.66
0.70,0.69,0.70,0.68
0.69,0.69,0.69,0.65
0.71,0.66,0.71,0.65
0.74,0.67,0.74,0.65
0.65,0.69,0.69,0.65
0.69,0.66,0.69,0.65
0.66,0.65,0.69,0.64
0.65,0.69,0.69,0.64
0.67,0.67,0.69,0.64
0.65,0.65,0.67,0.64
0.64,0.63,0.66,0.62
0.62,0.67,0.67,0.62
0.65,0.65,0.66,0.64
0.63,0.67,0.67,0.62
0.65,0.63,0.66,0.63
0.64,0.63,0.65,0.63
0.63,0.63,0.65,0.63
0.72,0.69,0.74,0.66
0.70,0.69,0.70,0.67
0.67,0.67,0.69,0.65
0.67,0.69,0.69,0.64
0.66,0.65,0.67,0.64
0.65,0.64,0.67,0.64
0.67,0.65,0.67,0.64
0.65,0.64,0.65,0.64
0.63,0.63,0.65,0.62
0.65,0.66,0.66,0.63
0.64,0.64,0.65,0.63
0.65,0.64,0.67,0.63
0.68,0.67,0.68,0.63
0.67,0.71,0.76,0.66
0.72,0.68,0.74,0.67
0.67,0.64,0.67,0.64
0.64,0.67,0.73,0.62
0.67,0.63,0.70,0.63
0.64,0.61,0.65,0.60
0.60,0.64,0.66,0.60
0.67,0.64,0.67,0.63
0.65,0.64,0.66,0.62
0.64,0.64,0.65,0.63
0.63,0.65,0.66,0.63
0.67,0.63,0.67,0.62
0.65,0.62,0.65,0.62
0.62,0.57,0.63,0.55
0.57,0.54,0.57,0.53
0.53,0.56,0.58,0.52
0.55,0.56,0.62,0.55
0.55,0.54,0.63,0.53
0.63,0.48,0.63,0.48
0.52,0.54,0.54,0.50
0.53,0.53,0.55,0.52
0.53,0.51,0.53,0.49
0.50,0.51,0.52,0.49
0.51,0.52,0.53,0.50
0.55,0.51,0.55,0.51
0.50,0.48,0.51,0.48
0.48,0.47,0.49,0.45
0.47,0.48,0.48,0.47
0.47,0.48,0.51,0.47
0.49,0.49,0.50,0.48
0.50,0.51,0.52,0.49
0.51,0.53,0.53,0.51
0.52,0.52,0.55,0.51
0.51,0.54,0.54,0.51
0.54,0.53,0.55,0.51
0.52,0.51,0.54,0.50
0.52,0.52,0.53,0.49
0.52,0.52,0.54,0.50
0.51,0.50,0.51,0.48
0.50,0.51,0.52,0.49
0.54,0.50,0.54,0.50
0.50,0.48,0.50,0.47
0.48,0.49,0.50,0.48
0.50,0.48,0.50,0.46
0.49,0.48,0.49,0.46
0.47,0.45,0.49,0.45
0.45,0.46,0.48,0.45
0.43,0.48,0.48,0.43
0.48,0.49,0.49,0.46
0.49,0.50,0.53,0.47
0.49,0.54,0.55,0.49
0.53,0.55,0.58,0.52
0.56,0.54,0.57,0.53
0.54,0.53,0.55,0.53
0.53,0.49,0.53,0.47
0.49,0.48,0.50,0.47
0.48,0.48,0.50,0.48
0.46,0.51,0.51,0.46
0.50,0.52,0.52,0.49
0.55,0.51,0.55,0.51
0.52,0.51,0.53,0.51
0.52,0.51,0.53,0.51
0.53,0.51,0.53,0.50
0.52,0.51,0.52,0.49
0.50,0.50,0.53,0.49
0.50,0.49,0.52,0.48
0.50,0.54,0.55,0.48
0.52,0.53,0.55,0.52
0.54,0.51,0.54,0.51
0.53,0.51,0.54,0.50
0.51,0.53,0.53,0.51
0.52,0.50,0.53,0.50
0.51,0.51,0.51,0.49
0.51,0.50,0.52,0.50
0.50,0.50,0.52,0.50
0.52,0.50,0.54,0.49
0.52,0.51,0.52,0.50
0.51,0.50,0.51,0.49
0.50,0.49,0.51,0.49
0.50,0.50,0.51,0.49
0.50,0.50,0.50,0.49
0.48,0.50,0.50,0.48
0.48,0.49,0.50,0.48
0.49,0.49,0.50,0.49
0.49,0.49,0.50,0.49
0.49,0.49,0.49,0.48
0.49,0.49,0.50,0.48
0.50,0.50,0.50,0.49
0.50,0.50,0.51,0.49
0.51,0.49,0.51,0.49
0.51,0.49,0.51,0.49
0.49,0.50,0.50,0.49
0.50,0.50,0.50,0.49
0.50,0.55,0.58,0.50
0.54,0.54,0.56,0.54
0.54,0.55,0.56,0.51
0.56,0.54,0.56,0.53
0.54,0.55,0.55,0.53
0.56,0.55,0.56,0.54
0.56,0.62,0.68,0.55
