ERS,Empire Resources,NASDAQ
1.50,1.56,1.64,1.50
1.60,1.46,1.60,1.46
1.42,1.41,1.42,1.41
1.35,1.50,1.50,1.35
1.40,1.40,1.40,1.40
1.45,1.42,1.45,1.42
1.58,1.57,1.58,1.48
1.51,1.56,1.64,1.51
1.57,1.51,1.57,1.51
1.42,1.42,1.42,1.42
nan,1.42,nan,nan
1.45,1.45,1.45,1.45
1.45,1.43,1.45,1.43
1.50,1.42,1.50,1.42
1.42,1.60,1.65,1.42
1.64,1.64,1.64,1.64
1.44,1.44,1.44,1.44
1.45,1.45,1.45,1.45
1.45,1.44,1.45,1.44
1.42,1.45,1.45,1.42
1.42,1.60,1.60,1.41
1.50,1.50,1.50,1.50
1.42,1.32,1.42,1.30
1.35,1.38,1.38,1.35
1.35,1.35,1.40,1.35
1.38,1.37,1.38,1.37
1.37,1.37,1.37,1.37
nan,1.37,nan,nan
nan,1.37,nan,nan
1.37,1.38,1.38,1.37
1.38,1.38,1.38,1.38
1.38,1.36,1.38,1.36
1.31,1.40,1.40,1.30
1.38,1.35,1.38,1.35
1.34,1.34,1.34,1.34
1.31,1.31,1.31,1.31
1.35,1.30,1.35,1.30
1.35,1.34,1.35,1.34
1.35,1.32,1.35,1.32
1.33,1.35,1.35,1.33
1.33,1.34,1.36,1.25
1.34,1.34,1.34,1.34
1.34,1.40,1.40,1.34
1.42,1.37,1.42,1.37
1.37,1.40,1.45,1.35
1.40,1.39,1.40,1.39
1.39,1.39,1.39,1.39
1.39,1.39,1.45,1.39
1.39,1.44,1.45,1.39
1.43,1.43,1.43,1.43
1.43,1.43,1.44,1.43
1.43,1.45,1.45,1.43
1.45,1.39,1.45,1.39
nan,1.39,nan,nan
1.39,1.39,1.39,1.39
1.41,1.45,1.45,1.41
1.49,1.60,1.60,1.49
1.50,1.60,1.60,1.50
1.50,1.60,1.65,1.50
1.60,1.68,1.68,1.60
1.38,1.63,1.68,1.38
N/A,N/A,N/A,N/A
1.63,1.65,1.65,1.63
1.65,1.50,1.65,1.41
1.65,1.60,1.65,1.50
1.50,1.65,1.65,1.50
1.60,1.60,1.60,1.60
1.50,1.60,1.60,1.50
1.50,1.60,1.60,1.50
1.60,1.60,1.60,1.55
1.65,1.61,1.65,1.61
1.61,1.55,1.61,1.55
1.65,1.65,1.65,1.65
1.60,1.60,1.60,1.60
1.66,1.67,1.67,1.55
1.67,1.70,1.70,1.60
1.65,1.65,1.65,1.65
1.70,1.75,1.80,1.70
1.76,1.82,1.82,1.76
1.82,1.76,1.82,1.75
1.76,1.82,1.82,1.76
1.97,1.96,1.97,1.84
1.93,1.93,1.99,1.90
1.90,1.60,1.95,1.51
1.66,1.70,1.70,1.66
1.75,1.60,1.75,1.60
1.60,1.65,1.65,1.50
1.65,1.60,1.67,1.60
1.60,1.63,1.64,1.60
1.65,1.75,1.84,1.65
1.60,1.68,1.75,1.60
1.63,1.68,1.68,1.63
1.70,1.61,1.70,1.60
2.25,3.00,3.32,2.10
3.10,2.61,3.10,2.61
2.52,2.60,2.60,2.50
2.52,2.60,2.60,2.51
2.60,2.62,2.62,2.58
2.62,2.55,2.62,2.52
2.53,2.60,2.60,2.53
2.60,2.60,2.65,2.58
2.60,2.55,2.60,2.50
2.50,2.55,2.60,2.50
2.55,2.62,2.69,2.55
2.65,2.68,2.69,2.62
2.69,2.73,2.75,2.69
2.70,2.70,2.73,2.70
2.70,2.65,2.70,2.65
2.62,2.70,2.70,2.62
2.60,2.70,2.70,2.60
2.62,2.63,2.70,2.62
2.66,2.70,2.70,2.66
2.72,2.74,2.74,2.70
2.74,2.82,2.87,2.74
2.80,2.98,2.99,2.80
2.99,3.05,3.07,2.90
3.07,3.13,3.15,3.07
3.15,3.05,3.20,3.05
3.08,3.35,3.35,3.08
3.33,3.21,3.35,3.21
3.25,3.30,3.48,3.25
3.30,3.30,3.30,3.30
3.30,3.20,3.30,3.20
3.45,3.23,3.45,3.20
3.25,3.25,3.25,3.25
N/A,N/A,N/A,N/A
3.22,3.24,3.25,2.97
3.01,3.20,3.25,2.97
3.02,3.20,3.20,3.02
3.20,3.35,3.48,3.05
3.37,3.50,3.50,3.37
3.50,3.50,3.75,3.40
3.43,3.50,3.50,3.43
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.45,3.70,3.72,3.40
3.70,3.49,3.70,2.98
3.00,3.50,3.50,3.00
3.15,3.41,3.52,3.15
3.45,3.50,3.50,3.45
3.53,3.55,3.56,3.53
3.55,3.60,3.60,3.55
3.60,3.55,3.60,3.55
3.55,3.58,3.58,3.55
3.35,3.70,3.70,3.25
3.26,3.60,3.75,3.26
3.65,3.71,3.72,3.65
3.71,3.80,3.80,3.71
3.35,3.50,3.75,3.15
3.50,3.50,3.50,3.49
3.15,3.45,3.50,3.15
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.49
3.45,3.50,3.53,3.45
3.70,3.65,3.70,3.35
4.00,3.70,4.00,3.65
3.70,3.90,4.00,3.70
3.98,3.80,3.98,3.80
2.95,3.35,3.56,2.95
3.25,3.40,3.50,3.25
3.40,3.40,3.40,3.40
3.60,3.60,3.60,3.55
3.60,3.50,3.60,3.25
3.58,3.49,3.60,3.45
3.27,3.55,3.55,3.27
3.45,3.32,3.45,3.28
3.28,3.45,3.45,3.28
3.53,3.53,3.53,3.53
3.53,3.52,3.60,3.50
3.60,3.60,3.60,3.60
3.59,3.50,3.59,3.50
3.54,3.65,3.75,3.50
3.60,3.65,3.65,3.60
3.26,3.60,3.60,3.26
3.80,3.65,3.80,3.60
3.68,3.63,3.68,3.63
3.25,3.56,3.56,3.25
3.60,3.70,3.72,3.60
3.54,3.70,3.70,3.54
3.65,3.70,3.70,3.60
3.70,3.73,3.73,3.70
3.70,3.99,3.99,3.70
3.75,3.85,3.99,3.75
3.78,3.78,3.78,3.78
3.42,3.80,3.90,3.42
3.90,3.90,3.90,3.80
3.85,3.70,3.90,3.70
3.80,3.65,3.80,3.45
3.70,3.65,3.80,3.45
3.70,3.70,3.75,3.70
3.75,3.71,3.75,3.71
3.75,3.90,3.90,3.75
3.72,3.70,3.80,3.70
3.70,3.68,3.75,3.45
3.75,3.80,3.80,3.72
3.80,3.80,3.85,3.80
3.80,3.81,3.85,3.80
3.85,3.95,3.95,3.85
3.85,3.90,3.90,3.85
3.85,3.75,3.85,3.75
3.76,3.76,3.90,3.76
3.76,3.76,3.76,3.76
