URTY,ProShares UltraPro Russell2000,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
78.76,83.28,83.30,78.73
81.99,85.26,85.26,81.99
88.81,90.34,90.34,86.57
91.94,92.23,92.80,90.96
92.29,94.31,94.31,91.52
93.38,95.07,96.24,93.21
96.61,95.65,96.63,94.90
95.75,92.63,95.75,91.68
93.49,94.59,95.60,93.21
90.97,94.85,94.86,90.12
95.23,93.99,95.25,92.74
96.83,100.19,100.36,96.83
101.46,102.57,103.82,101.34
103.93,103.70,105.75,102.75
105.07,105.10,105.41,103.15
107.11,111.45,112.00,106.25
111.47,112.49,113.05,111.36
111.29,113.33,115.75,111.29
114.41,116.30,118.00,114.05
114.46,117.27,117.77,112.99
117.99,117.04,117.99,115.45
116.92,116.05,117.31,113.43
117.56,119.00,119.00,115.51
119.90,121.21,123.00,119.90
120.99,120.19,122.65,119.44
115.35,115.35,121.11,114.10
113.00,120.28,121.00,112.25
121.25,124.88,125.00,119.13
122.78,120.60,124.18,120.60
124.00,118.48,126.25,118.21
120.07,118.08,122.00,117.00
120.05,120.28,121.25,118.50
121.08,121.02,123.05,118.66
120.24,118.25,123.37,118.25
121.28,121.06,122.71,117.77
122.50,128.12,128.12,121.62
127.08,130.42,131.25,126.40
129.61,129.14,131.50,126.93
127.88,129.46,130.86,125.21
129.72,131.00,131.25,127.23
131.34,132.63,133.56,130.60
131.90,133.57,134.00,129.68
136.21,142.36,142.36,135.47
142.45,143.58,144.50,141.73
143.31,138.09,143.66,134.95
135.60,135.91,139.52,130.25
138.29,141.46,141.53,136.38
142.26,144.43,144.89,140.54
139.81,149.15,149.79,137.75
149.91,154.19,154.20,147.47
154.05,151.65,156.87,151.65
150.39,141.55,154.35,140.75
144.31,141.90,145.16,140.18
145.57,151.24,151.32,143.46
151.23,137.78,151.92,137.77
140.61,147.29,147.41,140.47
140.59,133.40,140.87,130.91
129.85,127.46,133.10,124.57
124.57,114.54,128.86,90.00
110.33,103.47,114.73,99.76
118.45,120.79,120.88,115.67
116.34,123.37,128.16,115.33
125.25,134.67,134.94,124.98
133.71,130.66,137.21,128.88
127.95,122.43,128.01,118.00
125.42,123.58,128.14,113.73
128.65,117.16,129.50,115.57
114.88,112.64,118.66,107.60
103.57,95.38,104.97,95.35
90.75,99.77,101.91,89.54
98.14,95.77,100.93,95.25
89.25,95.02,95.72,84.53
96.79,96.05,103.14,94.70
103.87,108.58,108.58,101.23
107.76,104.51,108.80,102.09
101.22,94.99,105.34,94.71
96.96,102.98,103.00,94.01
103.77,106.96,107.72,102.16
98.16,90.83,101.10,90.00
92.14,83.93,93.15,83.64
84.64,83.59,86.56,78.95
85.65,83.85,89.82,82.50
88.40,92.66,92.66,87.49
89.11,96.73,96.73,88.78
100.29,97.86,102.97,97.42
100.78,105.47,106.28,99.44
103.17,104.44,107.42,102.23
106.13,104.36,106.47,100.81
105.44,104.71,107.31,103.02
109.62,101.47,110.25,99.58
102.79,95.18,105.92,94.78
94.13,94.41,97.14,91.39
91.92,89.72,94.09,89.15
90.76,94.37,95.44,88.36
93.90,92.85,96.75,91.30
88.13,82.26,88.15,80.36
81.30,79.24,85.34,78.80
79.65,77.57,80.15,71.57
78.60,75.02,79.16,73.71
79.11,72.42,81.02,70.94
72.70,79.55,79.86,72.70
82.30,82.96,83.59,79.47
83.17,86.81,86.93,82.35
86.18,84.36,87.78,81.56
87.58,91.83,92.89,86.56
91.23,91.09,92.74,88.89
91.43,88.70,91.43,85.01
86.46,79.11,86.99,78.03
79.55,79.61,80.30,75.26
76.22,83.71,84.18,75.48
85.87,79.40,86.17,78.70
83.02,87.86,88.61,82.86
86.47,94.30,94.66,85.85
95.58,100.72,100.85,94.07
103.30,99.47,104.36,98.54
99.11,94.95,100.37,93.06
97.37,93.99,98.33,89.50
90.14,94.20,96.61,88.95
99.35,98.80,100.73,96.83
98.00,96.76,100.75,94.39
98.31,99.68,100.42,97.25
96.82,96.16,99.22,95.96
91.46,94.50,95.55,88.90
96.62,97.64,98.63,94.71
94.80,92.26,95.57,89.90
86.46,81.95,86.57,80.49
76.36,80.04,81.39,76.03
79.00,77.27,79.53,76.92
75.68,79.05,80.49,74.71
81.73,83.05,85.23,80.44
82.95,84.07,86.34,80.73
83.14,77.23,83.81,76.50
76.17,77.12,77.38,73.47
79.05,74.09,80.12,73.93
70.71,71.56,74.09,68.56
69.71,74.78,75.29,69.03
75.61,73.07,77.45,72.44
75.68,78.99,79.40,71.49
77.71,73.55,78.83,73.54
73.10,73.30,75.82,71.37
77.06,81.74,81.83,76.01
81.73,84.40,85.10,80.91
88.52,88.70,89.74,86.21
88.17,84.02,88.17,83.02
84.74,85.34,87.38,84.50
89.48,85.59,89.63,83.75
86.67,86.02,87.94,84.89
89.29,92.50,93.44,88.90
92.25,91.53,94.05,90.58
90.55,93.25,93.80,88.69
92.34,91.17,93.12,88.85
93.25,92.28,93.63,88.50
93.35,99.85,100.73,91.50
99.88,98.29,101.73,97.77
97.41,94.78,99.47,92.58
92.43,91.41,96.72,90.49
95.32,100.00,100.35,94.97
100.28,99.83,100.86,97.97
99.95,102.23,102.93,94.92
101.84,103.33,104.52,100.80
105.62,102.25,107.01,99.93
105.34,104.03,105.61,101.64
103.33,100.02,105.08,97.75
103.31,108.22,108.98,101.51
108.33,107.36,109.30,105.45
109.35,106.35,109.35,104.41
106.42,110.33,112.16,105.28
110.58,110.82,113.02,109.68
108.76,111.74,112.84,106.30
114.11,116.55,119.38,112.95
116.82,116.46,118.34,113.35
119.54,115.38,119.97,113.24
116.46,116.15,118.81,115.30
113.88,111.15,117.52,108.71
112.89,114.42,116.44,111.55
116.36,112.79,118.75,108.63
113.79,115.04,115.35,112.96
117.63,117.08,122.12,116.60
115.44,116.98,119.08,113.40
114.50,115.75,116.44,111.27
118.52,114.00,118.71,112.32
112.67,114.85,116.51,112.67
116.86,112.50,118.80,110.07
116.83,119.49,119.65,114.93
120.13,121.01,121.27,115.80
127.54,130.01,130.22,126.50
130.65,132.16,133.36,129.92
131.18,131.86,132.60,128.89
133.04,126.65,133.69,124.65
127.18,130.70,130.73,123.60
126.61,129.39,130.70,125.37
125.50,122.90,128.61,122.57
124.72,123.02,127.00,123.00
120.20,115.91,120.87,113.33
116.72,116.80,117.67,114.88
121.02,123.50,125.30,121.01
122.50,124.69,125.55,120.36
123.62,126.67,127.45,121.38
121.98,122.87,123.50,119.81
126.37,131.37,131.37,126.36
129.03,128.79,131.08,128.10
127.08,128.76,130.01,122.25
124.68,126.44,128.62,123.38
133.17,134.65,135.58,132.92
135.01,138.52,139.29,134.50
137.13,141.67,142.81,136.53
141.34,144.20,145.36,140.91
149.71,146.60,150.47,145.87
147.80,146.53,149.10,146.00
149.60,148.17,149.60,146.28
149.28,153.48,154.40,147.91
155.30,151.18,156.02,151.04
153.33,151.11,153.33,150.17
150.52,149.18,155.30,148.67
150.09,153.81,154.61,148.49
154.06,155.04,155.92,150.97
156.61,157.06,159.63,154.64
158.89,162.12,162.58,158.56
163.42,162.00,164.15,161.45
162.75,161.43,163.82,160.76
159.96,162.90,163.73,158.93
163.92,161.64,164.32,160.28
162.46,162.17,163.18,161.64
162.11,161.83,164.38,161.66
161.14,158.33,162.33,157.96
162.98,166.76,169.21,161.65
167.98,159.37,168.55,154.00
158.98,164.65,164.78,157.61
165.12,162.56,165.85,160.54
163.91,159.98,165.28,153.01
158.39,162.54,164.42,154.34
164.94,164.59,166.90,161.81
168.76,168.62,169.68,165.92
168.76,168.08,170.73,166.16
168.14,172.24,173.18,167.00
171.00,172.71,172.74,168.07
173.98,159.40,173.98,158.35
156.86,154.41,159.31,152.03
157.21,151.06,157.61,151.03
151.27,155.06,156.30,150.76
151.96,155.32,155.32,149.85
155.83,162.67,164.08,154.61
162.18,164.25,166.03,160.44
163.91,152.74,164.49,151.51
154.69,154.90,158.31,151.18
159.06,165.58,167.51,157.86
165.13,164.18,168.34,164.00
163.74,165.77,166.54,158.37
165.44,166.74,167.22,163.03
167.97,171.57,175.28,166.92
171.91,175.19,175.24,169.74
173.89,172.72,175.50,170.10
169.69,174.92,175.54,169.00
173.13,180.74,180.74,172.45
181.24,183.56,184.00,180.54
182.20,180.31,182.91,179.29
181.75,184.80,185.57,181.47
183.86,188.49,190.09,183.31
189.98,189.63,191.96,187.08
184.27,174.25,186.92,173.88
175.08,166.08,175.56,162.10
166.29,168.83,171.20,162.83
85.83,90.12,90.12,85.37
91.85,90.56,92.31,88.36
91.69,85.27,91.69,84.17
84.65,86.23,87.47,83.90
88.80,92.02,92.72,88.80
91.95,91.00,92.10,88.26
92.63,86.60,92.63,84.07
86.53,90.88,91.77,84.70
90.13,89.63,91.00,88.58
85.82,82.57,85.95,81.80
80.57,83.20,84.84,80.05
80.46,81.86,83.64,79.60
76.27,79.89,81.54,72.99
78.73,77.22,81.09,76.25
82.22,78.12,82.22,77.96
80.82,80.84,81.28,80.00
84.31,86.38,86.43,83.77
86.95,85.55,87.43,84.59
84.74,85.84,86.68,81.99
88.00,87.73,88.45,85.53
89.02,90.00,92.70,88.00
91.22,89.28,91.69,89.23
89.63,91.80,92.08,88.00
93.27,95.30,95.77,92.71
95.58,96.50,96.81,94.95
98.99,97.51,99.41,96.81
98.68,98.33,99.25,97.96
98.10,99.94,101.86,97.60
101.62,100.36,102.47,99.10
101.05,98.87,102.13,98.06
100.35,95.95,100.60,94.54
95.93,93.25,96.72,92.10
91.65,89.62,92.60,89.30
91.33,89.89,91.70,88.11
87.67,91.22,91.32,87.33
91.23,93.94,93.94,89.94
89.70,89.65,89.86,87.17
90.42,89.52,91.30,88.00
93.88,95.00,95.00,93.17
96.70,97.05,97.17,94.71
96.89,96.70,97.37,94.78
97.34,99.53,101.18,96.97
99.82,101.30,101.59,98.56
101.12,103.08,103.50,100.81
103.24,103.80,104.81,102.26
105.66,100.11,105.66,99.85
99.88,96.56,100.45,94.37
96.78,92.59,96.85,91.00
90.67,91.33,95.29,90.04
94.55,92.73,96.34,91.43
92.57,96.19,96.34,92.21
97.58,100.43,100.44,97.28
99.61,95.12,99.84,93.66
93.30,97.54,98.32,91.71
97.76,93.41,98.46,92.64
91.49,89.28,94.54,89.09
87.16,88.58,89.33,86.42
88.83,92.50,92.57,88.42
94.41,92.94,94.65,90.68
92.47,91.07,92.87,89.29
86.27,86.19,88.00,85.75
86.88,84.89,87.94,84.65
84.18,88.11,88.97,84.18
87.17,91.60,91.65,87.07
92.82,93.45,94.34,92.30
96.74,97.47,97.50,93.94
96.85,88.18,97.06,87.82
88.86,87.99,89.87,86.45
83.83,84.14,86.81,83.54
83.97,80.05,84.61,79.82
81.50,80.55,82.65,80.55
