MDYG,SPDR S&P 400 Mid Cap Growth ETF (based on S&P MidCap 400 Growth Index--symbol: MUV),NASDAQ
59.69,60.28,60.32,59.52
60.32,60.70,60.78,60.32
60.71,60.99,61.04,60.71
61.00,61.19,61.19,60.63
61.24,61.64,61.64,61.22
61.96,61.53,62.06,61.28
61.09,60.54,61.09,60.28
60.79,61.24,61.27,60.23
61.08,61.33,61.35,61.00
61.31,60.48,61.31,60.31
60.77,61.10,61.10,60.77
60.52,60.59,60.59,60.15
60.80,59.57,60.80,59.50
59.50,58.12,59.51,58.02
58.54,58.26,58.68,58.03
58.14,58.34,58.61,57.86
57.96,58.10,58.22,57.52
57.88,57.37,57.88,56.90
57.51,56.28,57.90,56.25
56.27,57.24,57.24,56.27
57.43,58.03,58.14,57.43
57.92,57.79,57.92,57.76
56.59,55.59,56.59,55.59
55.76,55.75,55.76,54.47
55.76,55.49,56.22,55.49
56.22,56.33,56.54,56.22
56.18,56.18,56.42,55.61
56.13,57.15,57.15,55.96
56.41,57.48,57.48,56.27
58.08,58.48,58.48,57.89
58.85,58.90,58.99,58.67
58.85,59.25,59.25,58.85
59.12,59.50,59.59,59.12
59.74,59.38,59.74,59.32
59.23,58.37,59.23,58.27
58.68,58.86,58.88,58.68
57.89,58.96,58.96,57.89
58.83,59.15,59.23,58.83
59.40,60.50,60.51,59.40
60.78,60.98,61.27,60.78
61.30,61.14,61.54,61.06
61.00,61.03,61.10,61.00
61.67,62.18,62.18,61.67
62.22,62.17,62.33,62.08
62.10,62.33,62.64,62.10
62.56,62.90,62.90,62.52
62.57,63.09,63.09,62.57
63.27,63.21,63.29,62.99
63.21,62.98,63.21,62.47
63.27,63.72,63.72,63.27
64.03,64.16,64.39,64.03
64.07,63.74,64.14,63.67
63.02,63.02,63.61,62.96
62.55,63.69,63.83,62.55
63.73,64.39,64.39,63.69
64.08,63.88,64.14,63.84
64.70,63.28,64.87,63.28
63.53,63.31,63.72,62.96
63.56,63.90,63.90,63.56
63.99,63.94,64.04,63.76
63.81,63.58,63.99,63.58
64.07,64.25,64.46,64.01
64.53,65.15,65.15,64.46
65.11,65.40,65.46,65.11
65.34,64.94,65.34,64.61
64.74,64.90,64.90,64.44
65.15,65.61,65.61,65.08
65.70,65.68,65.84,65.63
65.54,65.87,65.88,65.54
66.20,66.76,66.76,66.20
66.95,66.90,67.06,66.72
66.81,65.94,66.81,65.51
65.67,65.57,65.74,64.82
65.90,66.34,66.34,65.90
66.26,66.49,66.49,66.11
65.76,67.12,67.12,65.76
67.22,67.83,67.83,67.06
67.92,67.77,68.16,67.77
67.50,66.05,67.65,66.05
66.30,66.14,66.30,65.75
66.56,66.74,67.10,66.53
67.10,66.12,67.20,66.09
66.13,66.74,66.74,66.13
65.73,64.78,65.73,64.60
64.16,64.03,64.81,63.59
63.72,61.87,63.72,29.00
61.64,60.12,61.99,59.73
62.57,63.22,63.24,62.51
62.40,63.25,64.07,62.32
63.53,64.83,64.94,63.53
64.91,64.47,65.44,64.27
63.95,62.95,63.95,62.45
63.34,62.51,63.46,61.86
63.69,62.07,63.83,61.88
61.65,61.40,62.19,60.81
59.91,58.78,60.08,58.75
57.74,59.67,60.02,57.72
59.56,59.18,60.08,59.18
57.78,59.10,59.15,56.95
60.04,59.39,60.63,59.39
60.82,61.77,61.77,60.56
61.68,61.13,61.87,60.97
60.48,59.69,61.31,59.69
59.96,61.29,61.29,59.71
61.88,62.06,62.06,61.35
61.03,59.54,61.03,59.46
59.66,58.04,59.86,58.04
58.20,58.24,58.24,57.54
59.13,58.53,59.60,58.51
59.79,60.49,60.49,59.79
59.83,61.20,61.20,59.71
61.99,61.42,61.99,61.42
61.78,62.95,62.95,61.74
62.36,62.56,62.89,62.36
62.04,62.34,62.39,62.04
62.60,62.48,62.77,62.44
63.22,61.94,63.52,61.90
61.88,60.80,62.10,60.80
60.89,60.73,60.89,60.73
60.34,59.69,60.34,59.69
59.74,60.37,60.37,59.46
60.38,60.01,60.38,59.89
58.79,58.00,58.79,57.97
57.45,57.58,58.20,57.45
57.07,56.82,57.14,55.56
56.21,56.03,56.21,56.03
57.17,56.00,57.66,56.00
56.96,57.98,57.98,56.96
58.24,58.67,58.67,58.24
58.72,58.93,59.30,58.72
58.70,59.07,59.12,58.70
59.75,60.43,60.48,59.68
60.02,60.25,60.68,60.02
60.00,59.85,60.00,59.85
59.67,58.63,59.67,58.63
58.36,58.73,58.73,58.36
57.84,59.68,59.68,57.84
59.64,59.06,59.64,59.06
60.40,60.52,60.57,60.40
60.76,61.50,61.62,60.69
61.89,62.47,62.47,61.69
63.06,62.07,63.06,61.97
61.89,61.26,61.90,61.26
60.84,60.81,60.84,60.47
60.04,61.17,61.18,60.04
61.87,62.26,62.26,61.87
62.26,61.99,62.29,61.83
62.39,62.65,62.65,62.33
62.29,62.41,62.44,62.25
61.72,61.70,61.73,61.70
62.58,62.73,62.75,62.58
62.20,62.05,62.20,61.63
60.50,59.93,60.52,59.86
58.65,59.68,59.88,58.65
59.77,59.59,59.77,59.55
59.58,59.58,59.58,59.58
60.16,60.60,60.77,60.16
60.35,60.78,60.91,60.24
59.61,59.61,59.61,59.61
59.44,59.52,59.52,59.17
59.91,59.06,59.91,59.06
58.20,58.06,58.45,57.80
57.52,58.17,58.17,57.15
58.57,58.22,58.80,57.92
58.46,59.13,59.13,57.59
58.93,58.27,59.22,58.27
57.97,57.95,58.55,57.71
59.29,60.07,60.09,59.27
60.06,61.08,61.08,60.06
61.97,61.85,62.05,61.72
61.40,61.31,61.40,61.18
61.40,61.56,61.56,61.40
62.30,61.67,62.30,61.67
61.83,61.96,61.97,61.63
62.74,63.00,63.00,62.74
62.81,63.01,63.27,62.60
62.96,63.14,63.14,62.96
63.05,63.12,63.14,62.88
63.29,63.25,63.29,62.90
63.48,64.17,64.17,63.41
64.26,64.12,64.44,64.07
63.76,63.42,63.78,63.42
63.01,63.10,63.79,63.01
63.95,64.70,64.75,63.95
64.78,64.67,64.90,64.67
64.70,64.97,64.97,63.89
64.85,65.26,65.36,64.85
65.59,65.23,65.59,65.23
65.64,65.39,65.64,65.10
64.65,64.64,64.65,64.48
66.05,66.05,66.05,66.05
65.95,65.38,65.95,65.30
65.38,65.38,65.38,65.38
65.51,66.23,66.27,65.44
66.39,66.54,66.64,66.32
66.36,66.85,66.85,66.36
67.14,67.36,67.72,67.14
67.31,66.60,67.31,66.60
67.44,66.86,67.44,66.83
66.98,67.19,67.19,66.98
66.32,65.93,66.79,65.82
66.74,66.76,66.90,66.71
66.51,66.61,66.61,66.51
66.67,67.08,67.15,66.67
68.13,67.99,68.13,67.67
67.83,67.64,67.83,67.64
67.41,67.38,67.41,67.19
67.54,67.54,67.54,67.54
67.72,67.92,67.98,67.69
68.42,67.88,68.55,67.85
68.67,68.64,68.80,68.26
68.76,68.82,68.85,68.35
69.74,70.01,70.01,69.74
70.23,70.40,70.64,70.23
70.58,70.68,70.68,70.58
70.87,69.96,70.87,69.96
70.08,70.45,70.46,70.08
69.77,70.62,70.62,69.77
69.94,69.45,69.94,69.26
69.83,69.40,70.11,69.40
68.75,68.28,68.75,68.07
68.37,68.69,68.88,68.37
69.42,69.63,70.04,69.42
69.93,70.04,70.04,69.93
70.15,70.44,70.44,69.95
69.72,69.64,69.98,69.39
70.64,70.87,70.87,70.64
70.94,70.92,70.94,70.91
70.41,70.50,70.50,70.14
69.78,70.30,70.63,69.78
71.49,71.78,71.78,71.49
71.94,72.83,72.83,71.94
72.70,73.38,73.38,72.70
73.21,73.39,73.57,73.21
74.28,73.61,74.28,73.61
73.67,73.48,73.67,73.15
73.91,73.67,73.91,73.43
73.85,74.35,74.36,73.68
74.90,74.11,74.90,74.11
74.43,74.03,74.46,74.03
74.09,73.97,74.73,73.91
74.00,74.55,74.55,73.70
74.39,74.75,74.76,74.39
73.54,74.82,75.46,73.54
74.92,75.30,75.43,74.92
