NSEC,National Security Group,NASDAQ
11.10,11.10,11.10,11.10
11.29,11.17,12.31,10.51
10.79,11.27,11.69,10.79
11.49,11.60,12.10,11.49
11.88,13.47,13.77,11.88
13.00,13.15,13.49,12.07
12.97,12.71,13.13,12.55
13.11,13.58,15.12,12.90
13.27,13.61,14.64,13.27
13.14,13.58,14.12,13.14
14.04,13.55,14.04,13.55
13.99,14.00,14.25,12.06
13.95,13.69,13.95,13.09
13.95,13.24,13.95,13.24
13.73,12.93,13.73,12.38
13.10,13.40,13.49,13.10
13.85,13.39,13.85,13.39
13.81,13.17,13.81,13.14
13.90,13.80,13.90,13.38
13.52,13.52,13.52,13.52
13.60,13.59,13.60,13.59
13.50,13.37,13.50,13.37
13.37,13.37,13.37,13.37
13.57,12.75,13.60,12.40
12.50,12.75,12.75,12.30
12.04,12.59,12.64,12.04
12.45,12.99,13.34,12.45
12.99,13.05,13.42,12.99
13.05,13.01,13.54,12.84
12.80,13.02,13.18,12.80
12.73,12.92,13.18,12.73
12.80,13.18,13.18,12.80
12.41,12.81,13.87,12.41
13.08,12.80,13.40,12.80
12.80,12.41,13.28,12.41
11.67,11.90,13.46,11.67
11.85,11.54,12.19,10.77
12.99,11.90,12.99,10.94
12.44,13.03,13.21,12.44
12.37,12.97,12.97,11.72
13.45,13.10,13.45,13.00
13.10,13.10,13.10,13.10
13.00,12.83,13.03,12.83
12.57,12.93,12.93,12.57
12.93,12.27,12.93,11.88
12.27,12.27,12.27,12.27
12.60,12.60,12.62,12.60
12.60,12.60,12.60,12.60
12.13,12.80,13.35,12.13
12.71,12.21,12.71,12.20
11.75,12.39,13.55,11.75
12.53,12.53,12.53,12.53
12.17,12.97,13.69,12.17
12.97,12.80,13.00,12.80
13.00,12.99,13.00,12.99
13.00,12.28,13.00,12.00
12.25,13.14,13.55,12.25
13.19,12.31,13.19,12.18
12.31,12.56,12.82,12.31
12.30,12.28,12.30,12.28
12.28,12.28,12.28,12.28
12.28,12.28,12.28,12.28
12.20,12.17,12.85,12.17
12.19,12.08,12.26,12.08
12.35,12.44,12.44,12.35
11.49,11.49,11.49,11.49
11.49,11.49,11.49,11.49
11.55,12.47,12.47,11.32
12.47,12.47,12.47,12.47
12.47,12.47,12.47,12.47
12.47,12.47,12.47,12.47
12.47,12.47,12.47,12.47
12.47,12.47,12.47,12.47
12.40,12.50,12.50,12.25
12.64,13.31,13.31,12.64
13.31,13.31,13.31,13.31
13.55,13.55,13.55,13.55
13.59,13.59,13.59,13.59
13.59,13.59,13.59,13.59
13.48,13.54,13.59,13.48
13.40,13.50,13.50,13.40
13.63,13.63,13.63,13.63
13.70,13.30,13.70,13.28
13.30,13.25,13.30,13.25
13.25,13.25,13.25,13.25
13.50,13.48,13.50,13.48
13.47,13.47,13.47,13.47
12.26,12.20,12.26,12.20
12.20,12.20,12.20,12.20
13.19,12.25,13.65,12.25
12.25,12.25,12.25,12.25
12.45,12.50,12.60,12.45
12.50,12.50,12.50,12.50
12.50,12.95,12.95,12.50
12.50,12.60,12.60,12.50
12.60,12.60,12.60,12.60
12.41,12.70,12.70,12.40
12.31,12.50,12.50,12.30
12.31,12.31,12.31,12.31
13.98,12.26,13.99,12.26
12.26,12.26,12.26,12.26
13.91,12.61,13.91,12.52
12.25,12.25,12.25,12.25
12.61,12.62,12.62,12.61
12.62,12.62,12.62,12.62
12.62,12.62,12.62,12.62
12.62,12.62,12.62,12.62
12.42,12.35,12.80,12.35
12.70,12.74,13.50,12.50
12.66,12.64,12.80,12.35
12.64,12.64,12.64,12.64
12.64,12.64,12.64,12.64
12.55,12.16,12.55,12.16
12.80,12.80,12.80,12.80
12.77,12.80,12.80,12.69
12.31,12.31,12.31,12.31
12.77,12.80,12.80,12.77
12.80,12.77,12.80,12.77
12.77,12.77,12.77,12.77
12.77,12.77,12.77,12.77
12.80,12.80,12.80,12.80
12.80,12.80,12.80,12.80
12.80,12.85,14.38,12.80
12.85,12.46,12.85,12.46
12.94,12.94,12.94,12.94
12.46,13.11,13.11,12.46
13.11,13.11,13.11,13.11
13.11,13.11,13.11,13.11
13.11,13.11,13.11,13.11
13.11,13.11,13.11,13.11
13.11,13.11,13.11,13.11
12.78,12.49,12.78,12.49
13.03,12.80,13.03,12.80
12.80,12.80,12.80,12.80
12.46,12.46,12.46,12.46
12.46,12.46,12.46,12.46
12.46,12.46,12.46,12.46
13.40,13.35,13.40,13.35
13.35,13.35,13.35,13.35
13.35,13.35,13.35,13.35
13.35,13.35,13.35,13.35
13.35,13.35,13.35,13.35
13.35,13.35,13.35,13.35
13.00,13.00,13.00,13.00
12.74,12.74,12.74,12.74
12.74,12.74,12.74,12.74
12.71,13.00,13.00,12.71
13.01,13.06,13.06,13.00
13.06,13.06,13.06,13.06
13.06,13.06,13.06,13.06
13.06,13.06,13.06,13.06
13.06,13.06,13.06,13.06
13.06,13.06,13.06,13.06
12.35,12.20,12.35,12.20
12.20,12.20,12.20,12.20
12.20,12.20,12.20,12.20
12.39,12.30,12.64,12.30
12.25,12.15,12.68,12.15
12.22,12.15,12.39,12.15
12.15,12.15,12.15,12.15
12.17,11.50,12.18,9.90
10.34,10.78,11.00,10.34
10.78,10.78,10.78,10.78
10.79,11.49,11.49,10.04
10.99,10.99,10.99,10.99
10.95,10.33,10.95,10.03
10.94,10.97,10.97,10.50
11.00,11.00,11.00,11.00
10.26,10.55,10.55,10.26
10.25,10.40,10.40,10.25
12.19,12.34,12.34,12.19
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.95,12.24,12.24,11.95
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.77,11.89,11.89,11.77
11.97,11.97,11.97,11.97
11.51,11.51,11.51,11.51
11.53,11.53,11.53,11.53
11.53,11.53,11.53,11.53
11.53,10.00,11.53,10.00
10.70,10.70,11.24,10.53
10.93,10.71,11.36,10.70
11.59,11.44,11.71,11.21
11.44,11.44,11.44,11.44
10.81,11.10,11.10,10.75
11.10,11.10,11.10,11.10
10.99,10.83,11.30,10.83
11.25,11.25,11.25,11.25
10.59,10.00,10.60,10.00
10.60,11.00,11.00,10.60
10.60,10.80,10.80,10.60
