HDSN,Hudson Technologies,NASDAQ
1.44,1.42,1.48,1.38
1.40,1.46,1.46,1.40
1.43,1.43,1.46,1.35
1.40,1.43,1.46,1.40
1.43,1.43,1.46,1.42
1.46,1.46,1.46,1.42
1.45,1.46,1.46,1.40
1.45,1.60,1.65,1.44
1.67,1.84,1.84,1.59
1.84,1.80,1.90,1.70
1.84,1.85,1.86,1.75
1.85,1.85,1.87,1.81
1.85,2.00,2.00,1.82
2.00,2.33,2.56,1.87
2.27,2.41,2.60,2.27
2.40,2.40,2.40,2.06
2.31,2.30,2.55,2.20
2.25,2.21,2.30,2.08
2.29,2.34,2.47,2.15
2.27,2.21,2.33,2.12
2.25,2.17,2.35,2.17
2.17,2.13,2.17,2.03
2.14,1.90,2.14,1.83
1.90,1.99,2.04,1.90
1.93,1.96,2.24,1.93
2.00,2.17,2.17,2.00
2.17,2.20,2.20,2.13
2.15,2.10,2.15,2.10
2.06,2.22,2.22,2.03
2.17,2.16,2.19,2.10
2.14,2.01,2.21,2.00
1.92,2.01,2.09,1.91
2.00,2.04,2.06,1.90
2.00,2.09,2.09,1.95
2.04,2.05,2.06,1.97
2.06,2.02,2.06,2.02
2.05,2.08,2.08,1.98
2.03,2.13,2.15,2.02
2.17,2.10,2.18,2.01
1.96,2.03,2.09,1.91
2.01,2.07,2.08,2.01
2.01,2.19,2.19,2.01
2.17,2.16,2.22,2.11
2.06,2.17,2.22,2.05
2.11,2.35,2.35,2.08
2.38,2.64,2.70,2.30
2.65,2.54,2.65,2.43
2.46,2.54,2.68,2.34
2.54,2.65,2.65,2.46
2.55,2.57,2.65,2.50
2.51,2.48,2.54,2.38
2.45,2.62,2.66,2.45
2.60,2.85,2.97,2.53
2.79,2.89,3.04,2.71
2.86,2.80,2.93,2.77
2.84,2.74,2.84,2.74
2.77,2.74,2.82,2.74
2.74,2.76,2.76,2.71
2.77,2.78,2.83,2.70
2.78,2.75,2.78,2.65
2.67,2.60,2.68,2.59
2.61,2.67,2.72,2.60
2.70,2.78,2.80,2.70
2.80,2.68,2.80,2.66
2.64,2.65,2.69,2.59
2.62,2.62,2.66,2.55
2.68,2.63,2.70,2.58
2.55,2.62,2.72,2.52
2.62,2.65,2.69,2.61
2.61,2.64,2.67,2.56
2.65,2.65,2.67,2.61
2.60,2.60,2.66,2.55
2.53,2.52,2.67,2.51
2.51,2.54,2.67,2.46
2.51,2.36,2.51,2.29
2.33,2.32,2.45,2.28
2.36,2.38,2.38,2.30
2.30,2.27,2.37,2.18
2.25,2.25,2.25,2.12
2.25,2.38,2.39,2.24
2.35,2.39,2.39,2.29
2.40,2.70,2.70,2.40
2.60,2.54,2.60,2.52
2.54,2.53,2.56,2.41
2.42,2.50,2.51,2.33
2.47,2.43,2.48,2.08
2.43,2.26,2.43,2.05
2.26,2.28,2.33,2.24
2.27,2.10,2.27,2.10
2.11,2.12,2.23,2.10
2.11,2.14,2.14,2.10
2.16,2.18,2.18,2.10
2.11,2.09,2.16,2.04
2.10,2.11,2.13,2.04
2.07,1.95,2.07,1.81
1.92,1.86,1.94,1.85
1.86,1.90,2.07,1.86
1.93,2.03,2.04,1.86
2.00,2.05,2.09,1.91
2.00,2.19,2.38,2.00
2.18,2.15,2.22,2.02
2.11,2.10,2.15,2.10
2.12,2.25,2.32,2.12
2.01,2.17,2.21,2.01
2.09,2.09,2.16,2.05
2.01,2.04,2.06,2.00
2.02,2.06,2.06,2.02
2.10,2.07,2.11,2.04
2.25,2.30,2.37,2.10
2.37,2.34,2.38,2.25
2.29,2.24,2.30,2.17
2.12,2.25,2.27,2.12
2.20,2.15,2.20,2.07
2.15,2.28,2.30,2.14
2.28,2.38,2.38,2.28
2.33,2.50,2.50,2.28
2.47,2.40,2.54,2.40
2.50,2.46,2.63,2.40
2.41,2.50,2.60,2.38
2.53,2.47,2.53,2.39
2.32,2.47,2.52,2.31
2.37,2.33,2.46,2.33
2.47,2.15,2.47,2.11
2.10,2.04,2.19,1.99
2.04,1.94,2.04,1.84
1.97,1.94,1.98,1.90
1.94,1.88,2.02,1.75
1.88,1.75,1.89,1.71
1.73,1.70,1.78,1.65
1.67,1.78,1.81,1.61
1.78,2.00,2.06,1.78
2.00,1.98,2.05,1.92
1.97,1.92,2.01,1.88
1.98,1.99,2.20,1.94
1.92,1.83,1.92,1.77
1.86,1.89,1.94,1.85
1.87,1.83,1.97,1.83
1.92,1.89,1.97,1.87
1.89,1.95,1.95,1.85
1.98,1.87,1.98,1.85
1.86,1.86,1.87,1.80
1.81,1.87,1.87,1.81
1.84,1.99,2.07,1.84
2.10,1.94,2.10,1.92
2.00,2.15,2.15,1.92
2.13,1.92,2.13,1.83
1.96,1.94,2.02,1.92
2.00,1.75,2.00,1.75
1.76,1.76,1.83,1.75
1.75,1.70,1.75,1.62
