VAR,Varian Medical Systems,NASDAQ
47.19,47.17,47.43,47.00
47.67,47.84,47.85,47.41
47.95,48.13,48.49,47.75
48.07,47.34,48.07,47.11
47.33,47.39,47.47,47.00
47.54,47.64,48.25,47.52
47.52,48.10,48.15,47.49
48.21,48.96,49.01,48.11
49.01,48.99,49.49,48.70
49.03,48.35,49.03,48.00
48.42,49.31,49.38,48.25
49.35,48.86,49.89,48.75
48.99,47.99,49.20,47.93
47.95,48.50,49.48,47.78
48.77,48.51,48.83,48.12
48.54,49.78,50.05,48.28
49.81,48.97,49.81,48.45
50.44,49.77,50.44,49.11
49.79,50.29,50.74,49.57
50.86,50.12,50.86,49.44
50.28,50.60,50.70,49.56
50.50,49.88,50.55,49.80
49.40,48.41,49.44,48.33
48.30,47.77,48.31,46.96
47.77,47.50,47.89,47.12
47.78,47.88,48.43,47.55
47.80,47.33,47.83,47.05
47.28,47.65,47.86,47.00
47.52,47.58,47.77,47.01
47.60,48.01,48.12,47.55
48.03,48.67,48.74,48.02
48.69,48.68,49.00,48.50
48.58,48.36,48.69,48.10
48.54,48.73,49.00,48.36
48.60,48.34,48.96,48.30
48.60,48.84,48.94,48.41
48.46,48.63,48.80,48.20
48.76,48.97,49.47,48.71
49.06,50.28,50.47,49.00
50.26,50.61,50.85,50.26
50.63,50.38,50.79,50.32
50.51,50.48,50.68,50.28
50.70,52.38,52.38,50.64
52.53,52.47,52.60,52.30
52.36,52.97,53.27,52.33
52.90,53.35,53.55,52.83
53.32,52.79,53.32,52.53
52.96,52.84,52.96,52.46
52.84,53.25,53.32,52.75
53.22,52.79,53.31,52.70
52.98,53.32,53.37,52.74
53.34,53.80,53.86,53.25
53.30,53.30,54.00,53.12
53.08,53.93,54.39,53.08
54.08,54.80,54.89,53.99
54.77,54.75,54.88,54.49
54.90,55.81,56.32,54.90
56.04,55.65,56.04,55.17
55.65,56.15,56.25,55.55
56.26,55.66,56.26,55.48
55.60,55.33,55.63,55.15
55.47,56.38,56.38,55.45
56.55,56.00,56.77,55.78
55.83,55.81,55.91,55.45
55.60,55.28,55.61,54.91
55.28,54.87,55.37,54.67
54.99,55.37,55.66,54.83
55.46,55.26,55.48,55.17
55.50,55.56,55.63,55.08
55.70,55.36,55.70,54.98
55.28,57.46,57.47,55.18
57.41,56.41,57.70,56.31
56.34,56.16,56.60,55.92
56.45,56.74,56.93,56.33
56.80,55.66,56.87,55.47
55.17,55.33,55.43,54.70
55.05,55.44,55.50,54.79
55.60,54.96,55.72,54.73
54.59,54.72,55.21,54.40
54.99,55.82,56.03,54.88
55.65,55.95,56.45,55.00
56.13,56.38,56.75,55.91
56.69,57.27,57.33,56.06
56.91,56.24,56.91,56.00
55.66,55.87,56.30,55.52
55.83,52.90,55.87,35.50
53.22,50.93,53.22,50.05
53.11,53.20,53.49,52.46
53.04,53.49,53.78,52.55
53.70,54.39,54.50,53.68
54.44,54.03,54.55,53.98
