CLB,Core Laboratories N.V. Common Stock,NASDAQ
60.00,61.09,61.09,60.00
61.38,62.04,62.25,61.11
62.29,62.49,63.00,61.95
62.49,62.54,62.84,62.02
62.64,62.63,62.98,62.30
62.34,62.56,63.26,62.26
61.93,61.06,61.98,60.86
60.88,61.09,61.39,60.85
60.74,61.47,61.68,60.74
62.12,61.58,62.12,61.22
61.16,62.36,62.58,61.16
61.69,60.78,61.98,60.54
60.50,60.62,60.81,59.39
60.14,60.06,60.44,59.52
60.64,61.00,61.60,60.44
60.47,60.14,61.46,59.93
60.18,60.36,60.49,59.20
60.58,59.49,60.65,59.28
59.72,58.48,60.04,57.78
58.94,59.42,59.72,58.94
59.46,59.94,60.07,59.26
59.81,60.00,60.26,59.66
59.72,58.30,59.72,58.08
58.16,58.45,58.68,57.38
58.23,59.06,59.42,57.80
59.78,59.74,60.25,59.38
60.15,60.30,60.48,58.86
61.69,61.71,62.00,60.30
61.00,61.02,61.25,60.06
61.82,61.42,62.12,61.39
61.80,61.47,61.94,61.33
61.64,62.03,62.26,61.30
61.50,62.75,63.00,61.50
63.00,62.18,63.15,61.73
62.12,62.10,62.34,61.98
61.91,61.96,62.45,61.32
61.27,62.18,62.30,60.51
62.18,62.02,62.32,61.84
62.14,62.18,62.29,60.92
62.18,62.78,63.50,62.18
63.36,64.11,64.32,62.94
64.50,64.22,64.50,63.51
64.80,65.44,65.72,64.61
65.66,65.56,66.28,65.34
65.35,65.92,66.18,65.35
65.50,66.13,66.22,65.34
66.32,66.16,66.48,65.84
66.16,66.16,66.46,66.02
65.80,65.74,66.09,64.87
65.69,66.20,66.99,65.66
66.50,66.32,66.52,66.10
66.48,65.58,66.48,65.06
65.60,64.86,66.09,64.00
64.32,65.58,65.81,64.04
65.46,65.86,66.04,65.42
65.31,65.70,66.02,65.31
65.98,64.23,66.28,64.12
64.14,63.26,64.70,62.54
63.80,64.46,64.46,63.57
64.61,65.18,65.26,64.48
65.46,65.40,66.12,65.33
66.12,66.56,66.70,66.08
66.77,67.55,67.55,66.77
67.20,68.00,68.10,66.84
68.24,67.52,68.24,66.88
67.19,67.68,67.84,66.51
67.90,67.74,68.08,67.22
68.06,68.01,68.36,67.73
68.03,67.84,68.16,66.92
67.96,68.88,68.89,67.96
69.02,69.42,69.50,68.59
73.84,71.98,73.84,71.40
71.45,70.56,71.58,70.14
71.41,72.22,72.26,70.83
72.86,71.83,72.86,71.66
71.68,74.75,74.78,71.47
74.87,76.23,76.40,74.79
76.41,76.25,76.74,75.92
76.04,74.54,76.19,74.24
74.46,74.79,75.28,74.30
75.50,75.35,76.50,74.23
75.57,74.94,75.84,73.60
75.44,75.94,76.17,74.59
75.38,73.40,75.38,72.94
72.12,72.16,73.12,70.90
72.52,71.27,74.29,63.46
71.63,70.10,72.20,69.06
72.64,71.78,72.91,70.49
71.20,71.50,72.43,70.92
72.09,72.00,72.60,71.20
71.48,70.52,72.42,70.30
69.57,70.26,70.71,69.56
70.86,70.52,71.08,69.42
71.15,70.78,72.87,70.32
70.79,69.96,71.08,69.35
69.02,66.73,69.02,66.59
65.78,66.74,67.50,65.76
66.50,65.26,66.82,65.25
63.68,65.80,65.85,63.00
66.39,67.08,67.43,66.12
68.50,70.18,70.45,68.22
70.00,67.99,70.00,67.78
67.34,64.73,67.34,64.36
65.10,68.06,68.10,65.10
67.78,70.97,71.14,67.78
70.38,68.58,70.38,68.00
68.42,67.66,69.98,67.50
67.43,68.11,68.67,67.05
68.75,69.10,70.84,68.56
69.86,71.87,71.88,69.86
71.06,73.14,73.26,71.06
74.44,72.79,74.46,72.50
73.45,75.00,75.02,73.45
75.22,74.82,76.14,74.41
75.37,76.14,76.31,74.67
76.46,77.50,77.74,76.12
78.95,78.26,78.95,77.66
78.74,76.49,79.40,76.14
76.50,75.46,76.50,75.26
75.00,76.32,76.55,74.44
75.60,75.90,77.51,75.00
76.50,76.84,77.08,76.28
75.89,74.14,75.90,74.05
74.48,73.80,75.03,73.46
73.69,73.77,74.44,72.66
73.86,73.62,74.64,73.14
74.71,75.30,75.30,74.38
76.46,78.12,78.15,75.54
78.12,78.00,79.05,77.52
78.01,78.61,78.76,77.33
78.73,79.23,79.39,77.84
80.00,80.12,80.92,79.55
80.05,80.78,81.03,79.39
80.78,81.10,81.41,79.85
80.82,79.49,80.82,79.25
79.50,81.42,81.51,79.21
80.83,82.50,82.70,80.63
82.85,82.00,83.15,80.76
83.99,77.92,83.99,76.70
78.47,78.15,78.77,77.51
78.68,77.96,78.68,77.62
77.96,77.68,78.28,76.81
76.70,76.69,77.65,75.79
76.72,76.03,77.32,75.77
75.79,77.25,77.26,75.11
77.49,78.67,78.69,77.39
78.47,78.65,79.06,77.38
78.97,78.09,79.09,77.20
77.68,79.47,79.50,77.01
78.48,79.29,79.47,77.77
79.53,79.54,79.79,78.89
78.75,79.15,79.56,78.25
77.50,77.90,78.27,77.15
76.41,77.28,78.16,76.05
77.35,77.62,78.27,77.02
77.36,77.25,77.81,77.05
77.56,79.73,80.31,77.56
79.78,78.75,80.23,78.58
78.39,78.34,79.29,77.86
77.67,78.46,78.71,77.50
78.63,77.38,79.44,77.19
76.27,76.71,78.08,75.76
76.70,76.76,77.02,75.39
76.78,77.41,78.04,76.73
77.82,78.95,79.84,77.31
78.81,79.35,79.90,78.63
79.23,78.93,79.95,78.22
79.61,80.91,81.31,79.61
80.57,82.03,82.14,80.57
82.87,83.78,83.79,82.62
83.54,83.39,83.96,82.99
83.45,83.58,84.27,83.20
83.95,83.39,84.42,82.99
83.17,85.49,86.01,82.97
86.26,87.06,87.46,86.00
87.06,85.31,87.06,85.15
85.17,85.60,85.70,84.25
85.54,86.00,86.12,85.34
86.04,86.15,86.62,85.16
86.21,88.43,88.83,86.03
88.77,88.29,89.11,87.49
88.70,87.35,89.06,87.14
87.16,86.71,87.74,86.27
87.59,87.46,87.61,86.11
87.39,86.67,87.60,86.67
87.19,88.81,88.97,86.00
88.33,89.80,89.84,88.00
89.99,88.04,90.89,86.11
88.83,88.68,90.03,87.98
88.67,86.84,88.67,86.24
87.36,87.00,87.72,86.62
87.04,88.28,89.29,87.00
88.85,86.24,89.06,85.50
86.24,87.10,87.63,86.24
87.29,87.49,87.80,86.96
87.47,88.39,88.80,86.75
88.89,89.51,89.79,88.84
89.33,88.87,89.84,88.65
89.49,89.43,89.72,88.49
89.58,90.03,90.21,88.44
86.48,85.89,88.58,83.35
85.66,84.80,86.35,84.42
84.80,80.67,85.52,79.91
80.91,79.59,81.74,78.97
79.88,79.12,80.79,78.31
78.69,78.80,79.10,78.22
78.09,78.50,78.67,78.00
78.91,78.00,79.05,77.69
77.80,77.77,78.62,77.12
78.26,77.70,78.50,77.39
77.78,78.48,78.50,77.00
78.58,79.65,79.70,78.10
80.39,81.93,82.17,80.00
81.78,81.77,81.88,80.81
81.40,82.08,82.31,81.15
82.35,81.77,82.93,81.18
81.82,83.55,83.63,81.67
83.17,83.71,84.18,83.09
83.06,82.78,83.88,82.10
82.89,82.86,83.55,82.72
82.21,81.88,82.68,79.92
81.98,82.58,82.76,81.98
83.28,84.21,84.37,83.26
84.00,83.93,84.61,83.00
83.69,84.43,84.62,83.43
83.57,83.89,83.90,82.74
84.29,85.75,85.89,84.29
85.07,85.49,86.20,85.07
85.16,86.22,86.44,84.52
85.36,85.60,86.70,85.16
86.93,86.81,88.16,86.59
87.02,87.63,87.85,86.99
87.47,88.81,89.38,87.15
88.78,89.91,90.24,88.33
90.81,90.04,91.32,89.90
90.09,89.30,90.91,88.95
89.61,88.74,89.71,88.17
88.89,88.93,89.06,88.38
89.45,89.03,90.45,88.92
89.20,89.28,90.26,89.08
89.57,88.92,90.40,88.60
88.94,90.19,90.41,88.35
90.13,91.52,91.52,89.52
91.52,91.56,92.10,90.97
91.59,91.37,92.05,90.93
91.34,91.10,91.95,91.00
90.99,90.27,91.15,90.14
89.93,89.00,90.00,88.72
89.10,89.10,89.32,88.69
89.40,90.19,90.94,89.00
90.01,89.63,90.85,89.57
89.71,89.05,89.97,88.94
89.55,89.43,89.96,88.96
89.93,88.92,90.43,88.30
88.50,89.57,89.86,87.49
89.46,87.78,89.84,87.48
87.79,87.28,87.88,86.20
87.00,86.72,87.03,86.10
87.18,89.03,89.10,86.98
89.45,89.49,89.60,88.19
89.60,89.95,90.66,89.09
89.96,90.53,90.55,89.21
90.83,90.75,90.94,90.03
90.57,89.91,91.19,89.75
89.64,86.80,89.67,86.73
87.49,85.29,87.49,85.03
85.10,83.98,85.10,83.01
83.98,84.48,84.67,82.95
84.93,86.74,86.96,84.74
86.90,87.67,88.37,86.90
87.60,88.91,89.24,87.43
89.05,91.26,91.26,88.94
91.57,91.38,92.49,91.23
91.50,91.86,92.97,91.40
92.09,92.76,92.77,90.95
92.46,91.09,92.76,90.56
91.13,91.29,92.80,90.94
91.33,91.40,92.00,89.98
91.10,91.30,92.14,90.52
92.95,95.49,95.64,92.00
95.67,96.55,96.99,95.67
96.70,98.60,98.98,96.01
98.65,99.77,100.24,98.61
100.50,102.25,102.48,99.65
102.35,103.43,104.06,102.21
103.98,102.09,104.00,101.57
102.22,101.02,103.92,100.04
100.75,100.26,102.92,99.66
100.62,99.57,101.73,98.61
100.38,101.91,101.93,100.13
102.21,103.35,103.76,101.99
103.08,100.29,104.40,99.99
100.77,102.51,102.77,99.53
102.85,103.03,103.87,102.78
103.74,102.89,103.74,101.92
103.06,102.99,104.19,101.69
102.53,101.90,103.88,100.58
102.24,101.01,102.76,100.71
100.76,97.53,100.76,97.32
96.89,98.17,98.73,95.58
98.00,98.65,98.82,96.40
96.04,98.23,99.00,95.55
98.01,96.03,99.46,95.71
97.45,98.14,98.60,96.97
99.16,97.07,99.50,96.62
98.19,100.16,100.17,98.09
100.00,99.39,101.14,98.90
99.15,100.25,100.37,98.30
100.38,100.84,101.38,99.34
