CSGP,CoStar Group,NASDAQ
42.38,42.25,42.73,41.87
42.29,42.45,42.55,41.88
42.85,42.50,43.33,42.36
42.59,42.42,42.59,41.64
42.23,42.34,42.57,42.04
42.46,42.36,42.47,41.92
42.08,41.72,42.39,41.63
41.83,41.52,42.18,41.26
41.51,42.49,42.52,41.47
42.64,41.42,42.69,41.19
41.62,41.95,42.00,41.26
41.61,40.93,41.72,40.11
40.93,41.02,41.54,40.09
41.11,40.61,41.47,40.51
40.84,41.04,41.50,40.16
40.99,40.66,41.03,40.47
40.34,41.00,41.20,40.28
40.97,40.62,41.53,40.56
40.69,40.38,41.34,40.36
40.65,40.02,40.92,39.81
40.17,39.04,40.17,39.04
38.77,39.05,40.00,38.47
38.82,38.22,38.94,38.11
38.28,38.50,38.60,37.45
38.59,38.45,38.63,38.10
38.78,38.65,39.00,38.13
38.46,38.77,38.92,38.18
38.53,39.45,39.51,38.13
38.98,39.02,39.28,38.72
39.30,39.50,39.50,38.89
39.74,39.85,39.86,39.47
38.45,40.06,40.36,38.45
40.07,40.18,40.33,40.00
42.11,40.65,42.11,40.11
40.46,39.83,40.92,39.70
39.85,39.82,39.87,39.46
39.11,39.47,39.49,38.63
39.51,39.35,40.22,39.21
39.44,39.63,40.14,39.26
39.66,39.96,40.12,39.66
40.15,41.05,41.11,39.98
41.00,41.11,41.38,40.68
41.51,41.91,42.30,41.51
42.02,41.31,42.15,41.24
41.12,41.37,41.86,41.12
41.29,41.80,41.87,41.29
41.51,41.99,42.01,41.50
42.00,42.29,42.58,41.78
42.34,42.87,43.48,42.34
43.09,42.73,43.09,42.38
42.70,42.50,42.90,42.49
42.22,42.58,42.75,42.22
42.82,42.00,42.82,41.77
41.72,42.62,42.93,41.72
42.57,42.97,43.25,42.43
42.76,42.05,43.24,42.02
42.19,41.56,42.54,41.55
41.84,41.09,41.84,40.79
41.10,41.31,41.43,41.04
41.24,42.03,42.32,41.24
41.73,41.52,42.66,41.50
N/A,N/A,N/A,N/A
41.79,42.79,42.79,41.79
42.69,43.22,43.33,42.64
43.05,43.01,43.34,42.72
42.80,42.80,43.11,42.65
42.92,42.74,42.99,42.60
42.74,42.97,43.04,42.51
42.75,43.29,43.31,42.54
43.42,44.33,44.65,43.35
44.42,45.02,45.19,44.16
45.02,45.31,45.52,44.75
45.26,45.19,45.30,44.44
45.51,45.95,46.00,45.18
45.88,45.73,46.17,45.62
44.77,45.34,45.70,44.60
43.96,45.14,45.36,43.78
45.02,44.90,45.46,44.68
44.59,44.71,45.13,44.26
44.74,44.27,45.08,43.95
44.45,45.00,45.08,43.96
45.14,43.95,45.29,43.95
44.15,44.38,44.43,43.78
43.74,43.63,43.96,43.48
43.23,42.90,43.48,42.82
42.67,42.36,43.31,39.54
42.20,40.81,42.48,40.73
42.65,42.31,42.72,41.62
41.98,42.71,43.11,41.76
42.79,43.83,44.20,42.79
43.49,43.92,44.48,43.49
43.59,44.20,44.23,43.25
44.24,43.90,44.81,43.31
44.47,43.85,44.79,43.76
43.64,43.27,44.18,43.23
42.44,41.76,42.86,41.69
41.26,41.58,42.44,41.04
41.52,40.62,41.65,40.46
39.71,39.91,40.55,39.10
40.08,40.03,40.44,39.30
40.87,41.09,41.11,40.28
41.00,40.77,41.34,40.63
40.56,40.42,41.25,40.27
40.52,41.38,41.38,40.50
41.21,41.94,42.16,40.95
41.60,40.74,41.94,40.65
40.84,39.50,40.84,39.44
39.55,39.28,39.55,38.80
39.69,39.45,40.12,38.97
39.99,40.41,40.41,39.78
39.97,40.64,40.67,39.97
41.05,40.47,41.41,40.44
40.87,41.08,41.25,40.49
40.78,41.00,41.38,40.68
40.97,41.06,41.42,40.81
41.20,41.00,41.37,40.76
41.58,40.59,41.99,40.46
40.85,40.46,41.20,40.31
40.33,40.24,40.64,39.85
39.94,40.17,40.49,39.86
40.41,40.77,41.10,40.04
40.90,40.94,41.30,40.41
40.25,39.25,40.25,38.97
39.29,38.80,39.65,38.77
38.80,38.73,38.91,37.55
39.03,38.15,39.03,38.12
38.82,37.66,39.04,37.50
37.91,38.44,38.46,37.51
38.62,39.10,39.12,38.60
39.11,39.19,39.38,38.54
39.07,38.73,39.45,38.60
39.25,40.13,40.23,38.94
39.89,40.43,40.54,39.68
40.43,40.21,40.50,39.79
39.81,39.33,40.62,39.25
39.34,39.90,39.93,38.83
39.40,40.16,40.29,39.30
40.45,39.73,40.63,39.69
40.40,42.42,42.60,39.41
42.13,44.24,44.31,42.13
44.34,45.19,45.23,44.12
45.37,45.20,45.44,45.01
45.32,44.59,45.50,44.53
44.83,43.51,44.95,43.16
43.00,43.83,44.06,42.92
44.29,44.59,44.79,43.62
44.46,44.08,44.95,43.99
44.22,44.45,44.54,43.94
43.99,43.85,44.76,43.10
43.30,43.76,44.01,42.79
44.11,44.91,44.92,43.91
44.45,44.17,44.72,43.71
43.44,42.74,43.68,42.65
42.47,42.63,42.88,41.91
42.36,42.21,42.62,41.89
41.87,42.28,42.53,41.82
42.48,42.82,43.36,42.48
42.73,42.61,43.00,42.30
42.33,41.81,42.85,41.78
41.74,41.76,42.05,41.54
41.95,41.35,41.95,41.33
41.13,41.62,42.13,40.74
41.39,41.76,41.85,40.84
41.88,41.58,42.21,41.57
42.03,42.99,43.00,41.55
42.80,41.82,43.46,41.80
41.74,41.27,42.11,41.18
41.99,42.77,42.94,41.78
42.79,43.41,43.50,42.64
43.88,44.02,44.37,43.56
43.94,42.78,43.94,42.63
43.00,43.30,43.33,42.87
43.61,43.80,43.97,43.44
43.82,43.88,44.10,43.57
44.34,45.14,45.26,43.61
45.00,45.11,45.44,44.71
44.98,45.19,45.40,44.80
45.12,45.23,45.30,44.38
45.20,45.63,45.79,44.72
45.70,47.52,47.57,45.70
47.53,47.42,47.86,47.30
47.16,46.94,47.51,46.17
46.47,46.33,46.87,46.08
47.00,48.45,48.59,46.78
48.39,48.39,48.48,47.73
48.48,49.19,49.27,47.76
48.81,49.53,49.58,48.81
49.45,48.71,49.81,48.16
49.21,49.35,49.65,48.43
49.00,48.98,49.40,48.67
49.30,49.75,49.76,49.11
49.47,49.21,49.72,48.95
49.51,49.12,49.58,48.95
49.11,49.31,49.66,48.84
49.28,49.06,49.39,48.81
48.83,48.86,49.06,48.40
49.08,50.28,50.45,49.00
50.12,50.74,50.98,50.04
50.85,51.76,52.87,50.80
51.85,51.80,52.28,51.09
51.01,51.06,51.60,50.75
51.47,51.55,51.89,51.22
51.97,50.65,51.97,49.34
50.55,50.04,50.58,49.63
50.34,50.41,50.65,50.00
50.24,50.25,50.48,50.09
49.98,50.05,50.25,49.60
50.55,49.96,50.96,49.84
49.70,49.66,50.89,49.63
49.89,49.18,50.30,48.79
49.50,50.37,50.37,49.26
50.39,50.42,50.49,49.52
51.00,51.82,51.84,50.75
51.95,52.91,53.00,51.95
52.56,53.35,53.50,52.56
53.56,52.65,53.60,52.44
52.59,53.78,53.80,52.40
51.00,52.10,52.96,51.00
51.56,51.94,52.30,51.56
52.16,51.90,52.46,51.84
51.40,51.66,51.83,51.02
51.79,51.29,51.82,51.09
51.91,51.51,52.00,51.36
51.54,51.49,51.74,51.28
52.26,52.28,52.38,51.50
51.76,51.68,52.07,51.00
51.73,53.01,53.01,51.40
52.60,53.06,53.25,52.60
52.57,52.94,53.16,51.96
52.39,52.74,52.99,51.84
53.51,54.34,54.53,52.57
54.34,54.51,55.02,54.29
54.27,54.58,54.63,54.25
54.40,55.37,55.62,54.16
55.87,56.68,57.36,55.67
56.75,55.75,57.03,55.50
56.33,55.43,56.33,54.94
55.75,55.84,56.18,55.37
55.96,55.21,56.38,55.21
55.55,55.07,56.02,54.90
54.87,54.80,55.23,54.57
55.27,54.50,55.27,54.28
54.61,54.86,55.10,54.45
