DRYS,DryShips Inc. - Common Stock,NASDAQ
8895.00,9210.00,9225.00,8880.00
9210.00,9645.00,9690.00,9165.00
9600.00,9540.00,9750.00,9495.00
9495.00,9705.00,9900.00,9465.00
9675.00,10155.00,10275.00,9600.00
10380.00,9930.00,10425.00,9780.00
9750.00,9525.00,9825.00,9465.00
9600.00,9615.00,9720.00,9405.00
9795.00,9645.00,9885.15,9555.00
9555.00,9420.00,9690.00,9330.00
9345.00,9375.00,9480.00,9270.00
9270.00,9180.00,9300.00,9090.00
9240.00,8925.00,9270.00,8910.00
9045.00,8745.00,9135.00,8715.00
9195.00,9075.00,9210.00,8970.00
9000.00,8940.00,9060.00,8850.00
8925.00,8880.00,8955.00,8700.00
8955.00,8715.00,8970.00,8625.00
8760.00,8250.00,8865.00,8205.00
8340.00,8625.00,8625.00,8340.00
8685.00,8730.00,8745.00,8505.00
8625.00,8580.00,8700.00,8565.00
8475.00,8040.00,8475.00,8025.00
8070.00,8040.00,8250.00,7590.00
8040.00,7905.00,8160.00,7800.00
8025.00,8040.00,8160.00,7935.00
7980.00,8010.00,8025.00,7785.00
8025.00,8280.00,8280.00,7920.00
8025.00,8160.00,8160.00,7965.00
8310.00,8460.00,8505.00,8190.00
8490.00,8430.00,8580.00,8235.00
8325.00,8356.95,8400.00,8190.00
8250.00,8430.00,8535.00,8250.00
8475.00,8475.00,8595.00,8445.00
8400.00,8175.00,8445.00,8100.00
8145.00,8100.00,8235.00,8025.00
8010.00,8580.00,8625.00,7995.00
8295.00,8205.00,8490.00,8160.00
8250.00,8115.00,8295.00,7965.00
8160.00,8070.00,8175.00,8025.00
8250.00,8280.00,8400.00,8175.00
8370.00,8355.00,8460.00,8220.00
8460.00,8490.00,8505.00,8370.00
8490.00,9135.00,9255.00,8370.00
9030.00,8925.00,9195.00,8880.00
9105.00,9210.00,9330.00,9090.00
9195.00,9270.00,9450.00,9090.00
9450.00,9255.00,9510.00,9180.00
9075.00,8880.00,9150.00,8715.00
8970.00,8925.00,8985.00,8850.00
8985.00,8880.00,9060.00,8850.00
8880.00,8805.00,8940.00,8775.00
8790.00,8535.00,8805.00,8475.00
8460.00,8625.00,8677.50,8310.00
8670.00,8850.00,8880.00,8670.00
8730.00,8745.00,8835.00,8655.00
8850.00,8497.50,8910.00,8475.00
8550.00,8625.00,8745.00,8535.00
8700.00,8820.00,8895.00,8670.00
8910.00,8865.00,8970.00,8700.00
8760.00,8760.00,8880.00,8700.00
N/A,N/A,N/A,N/A
9150.00,9225.00,9315.00,9030.00
9225.00,9585.00,9720.00,9165.00
9615.00,9390.00,9675.00,9270.00
9270.00,9435.00,9510.00,9150.00
9510.00,9840.00,9885.00,9480.00
9975.00,9780.00,10140.00,9705.00
9720.00,9660.00,9735.00,9525.00
9945.00,9870.00,10050.00,9765.00
9855.00,10005.00,10230.00,9840.00
9900.00,9615.00,9960.00,9450.00
9450.00,9300.00,9495.00,9060.00
9435.00,9735.00,9735.00,9375.00
9360.00,9285.00,9570.00,9120.00
9045.00,9075.00,9135.00,8865.00
9120.00,9225.00,9330.00,9090.00
9300.00,9255.00,9405.00,9240.00
9390.00,8925.00,9450.00,8850.00
9045.00,8895.00,9090.00,8760.00
9060.00,8911.50,9075.00,8805.15
8940.00,8670.00,8970.00,8610.00
8775.00,9120.00,9180.00,8670.00
8940.00,8625.00,8940.00,8565.00
8400.00,8445.00,8730.00,8220.00
8400.00,7815.00,8430.00,7140.00
7890.00,7635.00,8025.00,7515.00
8175.00,8130.00,8205.00,7920.00
7965.00,8085.00,8220.00,7920.00
8265.00,8400.00,8400.00,8175.00
8190.00,8115.00,8430.00,8025.00
7965.00,7800.00,7980.00,7605.00
7725.00,7680.00,7800.00,7470.00
7845.00,7515.00,7920.00,7470.00
7425.00,7455.00,7500.00,7215.00
7125.00,6825.00,7185.00,6765.00
6675.00,7050.00,7140.00,6585.00
7050.00,6990.00,7230.00,6930.00
6645.00,6915.00,6930.00,6555.00
7140.00,6945.00,7245.00,6885.00
7185.00,7260.00,7275.00,7080.00
7305.00,7215.00,7335.00,7110.00
7050.00,6585.00,7110.00,6570.00
6690.00,6825.00,6825.00,6570.00
6870.00,6810.00,6900.00,6690.00
6675.00,6555.00,6720.00,6525.00
6615.00,6270.00,6675.00,6240.00
6330.00,6030.00,6420.00,5835.00
6075.00,5805.00,6195.00,5790.00
5970.00,6090.00,6120.00,5925.00
6045.00,6266.25,6270.00,6015.00
6375.00,6150.00,6435.00,6120.00
6195.00,6405.00,6420.00,6195.00
6375.00,6465.00,6585.00,6345.00
6240.00,6135.00,6315.00,6030.00
6135.00,6000.00,6150.00,5880.00
6105.00,5940.00,6105.00,5880.00
5925.00,5895.00,6000.00,5880.00
5925.00,5925.00,5985.00,5745.00
5865.00,5790.00,5940.00,5730.00
5850.00,5895.00,5910.00,5745.00
5880.00,5805.00,5985.00,5775.00
5685.00,5460.00,5715.00,5370.00
5415.00,5355.00,5550.00,5355.00
5265.00,5130.00,5325.00,4920.00
5130.00,5130.00,5205.00,5055.00
5310.00,5160.00,5445.00,5070.00
5145.00,5385.00,5400.00,5145.00
5520.00,5580.00,5580.00,5400.00
5595.00,5865.00,5865.00,5550.00
5910.00,5670.00,5940.00,5640.00
5820.00,5865.00,5910.00,5745.00
5865.00,6090.00,6180.00,5760.00
6135.00,6075.00,6150.00,5850.00
5955.00,5865.00,6195.00,5835.00
5865.00,6150.00,6150.00,5865.00
6000.00,6240.00,6240.00,5940.00
6315.00,6180.00,6360.00,6105.00
6270.00,6420.00,6420.00,6255.00
6435.00,6855.00,6855.00,6435.00
6990.00,7020.00,7110.00,6840.00
7185.00,6795.00,7185.00,6705.00
6750.00,6750.00,6975.00,6570.00
6990.00,6855.00,7095.00,6570.00
6675.00,6765.00,6855.00,6630.00
6900.00,6900.00,6975.00,6825.00
6825.00,7050.00,7050.00,6765.00
7035.00,7095.00,7170.00,6915.00
6990.00,7245.00,7290.00,6990.00
7170.00,7336.95,7425.00,7095.00
7425.00,7455.00,7485.00,7320.00
7290.00,7290.00,7470.00,7260.00
7050.00,6630.00,7110.00,6570.00
6375.00,6716.25,6780.00,6270.00
6720.00,6675.00,6915.00,6645.00
6630.00,6690.00,6750.00,6570.00
6825.00,6900.00,6930.00,6765.00
6915.00,6780.00,6960.00,6765.00
6750.00,6615.00,6915.00,6540.00
6570.00,6465.00,6615.00,6450.00
6540.00,6390.00,6615.00,6390.00
6210.00,6120.00,6300.00,6000.00
6015.00,6045.00,6075.00,5880.00
6120.00,5940.00,6165.00,5925.00
6075.00,6135.00,6150.00,5880.00
6120.00,6045.00,6270.00,6045.00
6000.00,6045.00,6135.00,5895.00
6180.00,6630.00,6645.00,6165.00
6525.00,6600.00,6675.00,6420.00
6750.00,6630.00,6825.00,6570.00
6450.00,6240.00,6480.00,6150.00
6255.00,6255.00,6435.00,6225.00
6345.00,6270.00,6405.00,6150.00
6195.00,6195.00,6225.00,6045.00
6240.00,6315.00,6330.00,6210.00
6240.00,6060.00,6255.00,6060.00
6045.00,6180.00,6195.00,6030.00
6120.00,6210.00,6240.00,6105.00
6225.00,6105.00,6270.00,6105.00
6225.00,6180.15,6225.00,6120.00
6180.00,6180.00,6360.00,6120.00
6165.00,6255.00,6285.00,6165.00
6165.00,6120.00,6262.50,6090.00
6165.00,6187.50,6225.00,6135.00
6375.00,6705.00,6795.00,6360.00
7200.00,7275.00,7485.00,6900.00
7170.00,7245.00,7335.00,6990.00
7320.00,7215.00,7380.00,7065.00
7275.00,7170.00,7335.00,7095.00
7170.00,6915.00,7230.00,6840.00
7005.00,6990.00,7110.00,6915.00
7050.00,6945.00,7080.00,6855.00
6945.00,6885.00,6975.00,6825.00
6840.00,7005.00,7035.00,6825.00
7065.00,6855.00,7080.00,6855.00
6855.00,6855.00,6900.00,6705.00
7005.15,7095.00,7185.00,6990.00
7057.50,6900.00,7080.00,6840.00
7185.00,6900.00,7215.00,6795.00
6900.00,6750.00,6900.00,6750.00
