BLK,BlackRock,NASDAQ
176.50,175.74,177.85,175.00
175.12,176.50,177.33,175.12
174.75,174.63,176.00,173.00
174.48,169.51,174.93,168.07
169.98,166.26,170.07,165.17
167.35,167.56,170.04,166.92
167.71,168.39,169.63,167.71
167.85,168.62,169.24,167.00
167.72,168.50,168.69,166.21
169.15,168.13,169.85,167.70
168.58,170.99,171.25,168.25
171.74,171.85,174.47,170.16
173.83,173.04,174.34,172.60
166.48,165.66,168.90,164.01
167.49,169.01,169.96,166.70
169.09,173.15,173.96,169.03
171.99,169.09,172.28,168.89
165.61,164.51,167.50,164.34
165.63,168.48,168.95,165.11
168.00,171.20,172.41,166.04
170.32,173.07,173.08,167.50
173.72,173.08,173.75,170.92
170.86,167.28,172.35,165.78
168.25,168.93,170.01,167.04
171.33,169.15,171.92,168.87
169.63,168.98,170.00,166.81
168.56,166.87,169.80,166.26
166.00,163.03,166.07,162.55
165.06,165.89,166.45,164.43
165.14,164.60,165.97,164.01
164.14,163.10,164.43,161.53
162.28,163.00,164.00,162.00
164.50,167.62,167.75,163.75
168.12,171.85,171.88,168.09
170.54,172.35,172.76,168.06
172.69,171.48,172.95,169.95
173.01,171.39,174.47,169.60
171.51,173.70,174.30,171.25
178.13,179.82,179.90,175.13
179.80,183.05,183.11,178.50
184.00,181.88,185.28,181.57
181.94,182.66,184.23,181.34
183.09,180.90,184.13,180.65
181.65,183.11,183.30,178.23
182.72,187.20,189.03,181.25
187.53,188.50,189.00,185.46
189.44,192.51,192.58,188.74
193.39,190.96,193.74,190.31
190.72,188.67,191.74,188.41
188.56,189.26,189.97,187.03
189.20,189.41,190.00,187.35
190.54,190.82,191.47,189.36
189.80,188.02,190.60,187.72
188.30,190.58,190.60,187.36
191.52,190.19,195.00,189.53
191.26,190.04,191.50,188.71
190.03,192.00,192.84,189.25
192.68,189.93,192.79,188.36
191.52,188.36,191.52,185.46
188.11,191.17,191.54,187.43
191.87,193.42,195.68,190.72
194.70,193.84,195.24,191.04
193.84,195.81,196.09,192.49
195.33,199.06,199.10,193.67
199.31,196.52,199.99,193.75
195.76,191.56,196.94,191.00
192.74,190.87,193.01,189.25
192.46,193.07,194.65,191.30
194.23,193.58,194.90,191.31
199.34,198.01,199.86,194.92
199.16,199.96,200.83,196.92
200.76,201.73,202.06,198.75
201.38,194.28,201.47,193.95
194.60,198.02,198.20,194.54
199.23,201.23,202.00,198.50
199.57,197.64,199.99,197.03
197.00,196.82,197.82,194.51
197.10,194.35,197.65,194.06
195.26,196.00,198.50,195.00
196.78,199.37,199.45,195.06
198.27,199.62,200.65,197.26
198.01,200.71,201.59,198.01
200.01,203.42,203.60,199.00
203.50,205.01,206.44,202.59
203.61,205.66,206.00,202.54
206.03,205.34,207.00,204.00
205.02,204.59,205.48,202.80
205.45,206.67,207.47,202.90
203.41,198.41,204.16,197.91
199.00,195.13,199.83,194.38
195.79,201.20,201.44,193.58
202.99,203.92,204.55,201.44
203.11,203.99,205.61,200.51
209.77,201.43,209.77,200.90
200.73,198.85,202.03,198.74
199.37,207.06,207.16,199.21
207.18,201.89,207.44,201.01
202.50,198.24,203.11,196.64
199.08,198.83,200.39,196.85
198.07,196.90,198.78,195.65
194.38,190.38,196.21,188.91
190.75,189.98,191.92,188.32
188.68,188.43,189.18,185.59
183.29,185.70,186.78,180.29
185.20,179.77,186.23,179.52
183.29,183.96,184.54,181.72
185.28,184.55,186.76,183.09
185.01,186.00,187.13,185.00
185.63,185.03,186.34,184.68
184.78,183.70,185.14,181.37
183.95,185.55,186.50,183.95
186.59,188.24,189.02,185.55
189.30,187.47,190.68,187.19
187.26,186.50,187.87,185.20
196.34,198.84,200.10,194.88
198.10,201.01,201.04,198.10
202.05,202.43,204.50,202.00
201.40,200.99,202.80,199.82
200.25,199.48,202.20,198.94
200.74,199.22,200.75,198.70
199.65,197.99,199.79,196.80
199.00,196.10,199.91,195.31
195.85,195.95,197.29,195.52
197.21,194.78,197.21,193.92
196.03,194.68,196.93,193.28
193.16,193.38,194.29,192.15
194.98,193.24,195.09,192.55
191.08,190.55,192.99,189.06
191.32,192.03,192.03,189.35
194.37,193.72,196.48,192.80
195.80,198.88,199.21,194.12
198.77,197.13,199.99,195.90
197.41,198.93,199.50,196.74
199.14,199.90,200.41,196.78
198.90,198.00,199.34,196.53
197.85,195.94,198.27,194.88
196.86,195.53,197.50,195.32
197.61,194.07,197.61,192.01
197.06,194.01,197.85,192.62
193.22,191.47,193.88,190.74
194.09,195.74,197.56,193.89
197.32,196.67,197.32,194.23
197.01,198.00,198.16,195.67
197.15,194.52,197.15,194.17
194.16,195.88,196.00,192.08
196.22,194.24,196.67,193.89
192.26,191.95,195.90,191.73
191.08,190.54,191.95,187.47
190.48,193.25,193.75,189.50
198.03,198.10,199.86,196.03
198.00,197.51,199.99,197.33
195.57,194.74,196.20,193.51
192.54,193.05,194.23,191.52
