CXO,Concho Resources Inc. Common Stock,NASDAQ
45.75,47.39,47.39,45.75
45.91,45.73,46.66,44.66
45.78,45.93,46.01,45.20
45.94,46.04,46.14,44.88
46.04,46.99,47.55,45.39
47.38,46.74,47.64,46.39
46.00,44.96,46.10,44.58
44.76,44.37,44.95,43.66
44.22,44.37,44.92,43.75
44.35,44.06,44.37,43.51
44.10,44.91,45.20,44.08
44.35,44.40,44.67,44.01
44.67,43.87,45.18,43.86
43.41,43.25,43.98,42.60
44.01,44.08,44.56,43.51
42.65,42.86,43.72,42.62
43.74,45.00,45.22,43.64
45.21,44.98,45.60,44.39
45.21,44.87,45.43,44.69
45.01,46.16,46.31,45.01
46.54,47.44,47.57,45.65
47.29,46.38,47.29,46.13
46.00,44.92,46.00,44.75
45.01,44.27,45.20,42.66
44.35,44.59,45.45,43.84
45.15,45.58,46.06,45.15
45.52,45.29,45.76,44.33
45.00,46.00,46.09,44.75
45.15,45.41,45.65,44.53
46.25,46.68,46.81,45.91
46.98,46.96,47.62,46.31
46.92,47.52,47.53,46.63
47.52,47.75,48.31,47.16
47.35,45.76,47.62,45.64
45.69,45.16,45.88,45.05
45.17,45.48,45.91,45.00
45.92,46.79,46.84,45.06
47.16,46.45,47.16,46.33
46.74,48.03,48.13,46.66
48.26,49.05,49.43,48.18
49.51,49.65,49.84,48.97
49.83,48.77,50.26,48.51
49.48,50.04,50.12,49.40
50.14,48.45,50.14,48.00
48.19,49.55,49.90,48.10
49.50,49.53,49.94,49.27
49.59,50.20,50.46,49.34
50.86,50.16,50.86,49.88
50.21,50.14,50.58,49.24
50.29,50.17,50.45,49.83
50.49,51.34,51.62,50.06
51.03,48.37,51.22,48.19
48.40,48.16,48.82,47.22
47.36,48.93,49.24,47.01
49.09,49.76,49.96,48.83
49.42,49.77,49.99,49.04
50.07,48.36,50.50,48.35
48.87,48.26,49.21,48.00
48.64,49.70,49.79,48.31
49.71,49.77,49.96,49.17
49.72,50.36,51.03,49.68
50.61,52.17,52.20,50.61
53.32,53.55,54.07,52.88
53.58,53.19,54.00,52.59
53.19,54.05,54.67,53.11
53.42,53.61,53.83,51.72
53.99,54.64,54.67,53.73
54.74,53.45,54.74,53.20
53.08,53.47,53.89,52.75
54.17,54.57,54.69,53.60
54.68,55.28,55.54,54.27
54.98,53.92,55.41,53.31
53.37,53.39,53.84,52.28
53.96,54.38,54.62,53.54
54.68,53.80,54.68,53.26
53.34,54.57,54.84,52.99
54.65,56.54,56.64,54.48
56.44,56.79,57.70,56.23
56.10,54.45,56.23,53.85
54.74,53.97,54.74,53.21
54.35,54.70,55.12,53.45
54.64,56.82,57.78,54.08
56.99,58.87,59.72,56.88
57.74,57.14,58.21,56.50
55.90,54.48,56.73,54.28
56.10,51.18,56.39,48.52
52.23,49.05,55.44,48.66
51.98,53.73,53.75,51.35
52.57,53.84,54.77,52.17
53.80,55.40,55.78,53.76
55.48,55.71,57.00,54.63
55.02,54.07,55.07,52.96
54.15,51.25,54.36,49.78
51.66,51.59,52.99,51.17
50.65,50.39,51.50,48.72
48.53,46.88,48.96,46.83
46.14,48.00,48.72,44.85
48.17,46.88,48.58,46.79
44.89,47.42,47.54,44.30
48.62,48.80,49.75,48.22
50.31,51.81,51.86,50.20
51.79,52.05,52.83,51.09
51.48,51.92,54.16,51.00
52.01,57.18,57.86,52.01
57.98,59.57,59.68,56.85
57.58,54.25,58.56,53.62
53.76,53.42,55.82,53.08
53.35,54.92,55.14,53.31
55.79,55.10,57.84,54.77
56.72,58.10,58.35,56.72
57.39,58.84,59.05,56.90
59.79,59.70,61.65,59.30
60.49,60.96,61.08,60.11
60.94,60.58,61.29,59.95
61.10,59.61,61.10,58.63
59.43,59.61,59.75,58.70
60.67,58.72,61.15,58.09
58.23,57.28,58.86,56.83
56.98,56.84,57.19,54.98
56.88,56.15,57.45,55.74
56.35,59.10,59.99,56.03
59.53,58.43,59.80,58.36
57.31,55.62,57.71,54.63
55.31,55.33,56.90,55.15
54.88,54.03,55.75,52.64
54.25,53.90,55.14,52.79
54.55,54.00,55.58,53.62
54.38,55.78,55.78,54.27
56.21,55.10,56.38,53.24
54.99,54.64,55.14,54.00
54.37,54.18,55.14,53.64
54.69,55.10,55.73,54.69
54.79,55.19,56.14,54.14
55.20,54.98,55.33,53.65
54.17,53.07,54.56,52.86
53.49,53.29,53.89,52.50
52.47,57.29,57.49,51.51
57.24,57.05,57.82,56.33
57.71,57.70,58.97,57.47
57.95,60.94,61.09,56.94
61.24,61.16,61.98,60.24
61.80,60.04,62.00,59.31
59.86,60.48,61.15,59.35
61.21,60.89,62.22,60.24
59.90,59.98,60.36,59.18
61.25,62.11,62.29,59.10
62.11,62.36,63.18,61.26
63.00,62.25,63.49,61.26
61.50,62.39,62.70,60.60
61.90,63.08,63.12,61.78
63.46,63.19,63.74,62.84
62.58,62.57,62.94,61.58
61.77,59.80,61.77,59.80
59.02,60.53,61.43,58.48
60.70,60.60,61.37,60.22
60.58,60.27,60.92,59.91
60.88,62.38,62.67,60.76
62.04,61.27,62.50,60.86
60.67,60.56,61.49,60.07
60.25,60.56,60.66,59.16
