LNN,Lindsay Corporation Common Stock,NASDAQ
40.51,42.25,42.25,40.30
42.47,42.96,42.96,41.57
42.79,43.83,43.87,42.55
43.81,45.68,45.90,43.17
45.38,45.94,46.99,44.97
46.00,45.94,47.45,45.64
45.70,44.16,45.70,43.53
44.26,43.48,44.50,43.31
43.77,43.95,44.24,42.84
44.13,43.65,44.66,42.85
43.97,44.09,44.75,43.61
43.57,43.18,43.65,42.33
43.12,41.62,43.40,41.55
41.51,40.81,42.74,40.62
41.18,40.96,41.43,40.37
40.61,41.70,41.95,40.29
41.28,42.05,42.15,40.40
42.26,41.57,42.36,41.20
41.86,40.24,42.31,40.20
40.53,40.30,41.34,40.29
40.32,39.77,40.76,39.18
39.59,39.35,40.16,38.87
39.13,36.99,39.25,36.84
37.17,36.61,37.31,35.40
36.54,36.66,37.14,35.96
37.20,38.18,38.68,37.20
37.87,38.23,38.28,36.94
37.95,39.36,39.50,37.74
38.78,39.45,39.45,38.40
40.13,39.08,40.13,38.96
39.09,38.65,39.63,38.53
38.53,39.15,39.55,38.53
39.13,39.15,40.10,38.78
39.23,39.02,39.40,38.40
38.76,37.76,39.50,37.59
37.99,38.03,38.13,37.12
37.74,38.27,38.35,37.03
38.23,36.81,38.41,36.61
37.11,38.59,38.61,37.11
38.73,38.62,39.37,38.43
38.88,39.22,40.49,38.79
39.19,40.84,41.26,38.50
41.07,41.81,42.12,41.07
41.59,41.41,41.78,40.84
41.36,41.75,42.55,41.27
41.63,42.32,42.55,41.56
41.89,42.80,42.87,41.78
42.87,43.47,43.92,42.85
43.48,42.70,43.61,42.37
42.73,42.09,43.00,41.65
42.07,42.10,42.79,41.98
42.01,41.73,42.51,41.31
41.67,41.67,42.70,40.81
41.17,42.08,42.09,40.88
42.22,42.93,43.04,41.85
42.62,42.30,43.13,42.23
42.70,41.71,43.20,41.68
41.85,41.63,42.53,41.21
41.94,41.87,42.28,40.89
42.13,42.66,43.03,41.83
42.15,41.41,43.13,41.14
41.66,40.70,42.13,40.15
40.80,39.28,41.06,38.79
39.24,39.09,39.48,38.57
38.88,39.06,39.11,38.47
39.01,39.09,39.28,38.58
39.25,39.50,40.47,38.91
39.41,39.49,39.67,39.07
39.47,39.82,40.40,39.47
39.99,40.15,40.24,39.67
40.07,40.30,40.62,39.85
40.05,39.75,40.26,39.11
39.65,38.76,39.79,38.32
39.13,39.43,39.71,38.68
39.16,39.77,39.94,39.16
39.30,40.33,40.39,39.10
40.33,40.29,40.40,40.00
40.19,40.04,41.22,40.00
39.72,38.83,40.51,38.70
39.03,39.13,39.56,38.85
39.38,39.34,39.60,38.92
39.46,38.03,39.87,38.03
38.16,38.97,39.02,38.12
38.51,37.77,38.51,37.32
37.24,36.99,37.29,35.00
36.79,36.61,37.85,35.37
36.59,35.92,36.67,35.42
39.47,37.22,39.47,36.52
36.88,36.87,37.39,36.62
36.87,37.73,38.02,36.87
37.71,37.92,38.37,37.53
37.33,37.08,37.43,36.46
37.22,36.45,37.45,35.20
36.75,35.91,37.35,35.72
35.70,35.89,36.33,35.12
35.25,34.51,35.70,34.41
33.92,35.11,35.36,33.61
34.98,34.42,35.07,34.32
34.10,34.52,34.61,33.00
34.55,34.25,35.46,34.02
35.18,35.20,35.37,34.46
35.26,34.17,35.26,33.93
33.70,33.09,34.47,33.09
33.36,33.60,33.65,32.91
34.55,34.53,34.87,33.83
33.92,33.22,34.18,33.10
33.37,32.13,33.49,32.05
32.19,33.01,33.10,31.74
33.18,33.17,34.24,32.86
33.85,34.52,34.53,33.67
34.10,35.20,35.44,34.10
35.44,34.43,35.62,34.26
