SLYG,SPDR S&P 600 Small Cap Growth ETF (based on S&P SmallCap 600 Growth Index --symbol CGK),NASDAQ
87.00,85.99,87.00,84.80
85.93,86.55,86.73,85.91
88.50,86.76,88.50,86.56
86.44,87.15,87.15,86.39
86.72,87.56,87.56,86.71
88.04,87.43,88.11,86.98
86.66,86.13,86.83,85.68
85.89,87.20,87.24,85.61
87.52,87.50,87.53,87.11
87.30,86.20,87.47,85.83
86.30,87.46,87.46,86.30
86.83,86.57,86.87,85.59
86.76,84.77,86.81,84.72
84.66,83.02,84.71,83.02
83.75,83.31,83.86,82.93
82.85,82.80,83.68,82.70
82.42,83.08,83.08,82.12
83.20,81.81,83.20,80.99
82.22,80.63,82.83,80.56
80.95,82.01,82.04,80.95
82.19,83.25,83.38,82.19
82.98,82.68,83.05,82.37
82.10,79.58,82.10,79.58
79.68,79.75,79.75,77.92
79.61,79.08,80.32,79.03
80.25,80.45,80.54,79.50
80.41,80.60,80.73,79.58
80.40,82.04,82.10,80.40
81.07,82.37,82.45,81.01
83.73,84.28,84.28,83.14
84.65,84.76,84.78,84.40
84.67,85.27,85.27,84.63
85.44,85.53,85.70,84.84
85.89,85.41,85.89,85.33
85.24,83.93,85.24,83.85
84.28,84.74,84.88,84.28
83.74,84.41,84.46,83.17
84.53,84.86,84.88,84.33
85.22,86.60,86.64,85.11
86.92,87.42,87.84,86.92
87.85,87.75,88.53,87.67
87.93,88.04,88.08,87.60
88.68,89.66,89.90,88.68
89.77,89.86,90.07,89.75
89.58,90.19,90.86,89.56
90.40,91.04,91.06,90.40
90.60,91.31,91.42,90.60
91.44,91.40,91.53,91.08
91.52,90.96,91.75,90.41
91.51,91.86,91.86,91.01
92.35,92.47,92.90,92.35
92.74,92.06,92.74,91.90
90.70,90.70,92.18,90.59
89.95,92.02,92.14,89.76
92.19,93.16,93.24,91.86
92.85,92.13,93.01,92.13
92.73,91.28,93.19,91.28
91.57,91.20,92.07,91.03
92.00,91.72,92.11,91.42
92.35,92.02,92.35,91.41
91.71,91.44,92.50,91.44
92.62,92.33,92.62,91.63
92.61,94.08,94.08,92.61
93.73,94.53,94.72,93.73
94.32,93.87,94.42,93.36
93.10,93.96,94.22,92.92
94.10,94.43,94.47,93.99
94.69,94.86,95.12,94.66
94.79,95.05,95.06,94.30
95.66,97.01,97.01,95.66
97.14,97.59,97.69,97.14
97.28,96.26,97.30,95.50
95.81,95.47,95.81,94.45
96.17,96.76,96.84,96.17
97.16,97.40,97.47,96.58
96.15,98.42,98.43,96.15
98.55,99.41,99.42,98.12
99.51,99.11,99.98,99.08
98.67,96.75,99.09,96.61
97.14,96.74,97.41,96.17
97.57,98.77,98.77,97.27
98.83,96.34,98.91,96.34
96.88,98.24,98.29,96.88
96.80,95.38,96.80,94.92
94.49,93.91,95.30,93.09
93.38,91.04,94.25,85.26
90.04,87.67,90.71,86.61
88.67,91.92,92.46,88.67
91.75,93.25,94.26,91.65
93.63,95.85,95.87,93.63
95.65,95.12,96.19,94.63
94.47,92.82,94.47,92.06
93.48,92.97,94.10,90.61
93.97,91.38,94.36,91.34
90.81,90.26,91.72,89.00
88.12,86.01,88.13,85.74
84.45,87.05,87.89,83.60
87.19,87.05,87.60,86.71
84.14,86.00,86.00,82.77
86.54,86.36,88.60,86.34
88.68,90.04,90.04,88.17
89.74,88.97,90.00,88.57
88.32,86.46,89.15,86.46
86.68,88.62,88.62,86.17
89.23,89.74,90.03,88.94
88.74,86.04,88.77,85.86
86.26,83.63,86.26,83.63
84.08,83.47,84.35,82.10
84.16,83.67,85.38,83.51
85.74,86.45,86.45,85.19
85.53,87.83,87.83,85.28
88.68,88.24,89.74,88.24
88.87,90.52,90.73,88.78
90.28,90.51,90.86,89.77
90.62,89.94,90.62,89.47
90.53,90.36,90.85,90.22
91.36,89.31,91.97,88.92
89.40,87.45,90.04,87.44
87.14,87.38,88.08,86.39
86.27,85.90,87.04,85.78
85.97,87.22,87.40,85.42
87.41,86.91,87.95,86.63
85.57,83.38,85.57,82.92
84.13,82.71,84.50,82.44
81.22,82.02,82.10,79.91
82.38,81.34,82.58,80.95
82.53,80.45,83.25,79.99
80.09,83.28,83.33,80.09
84.22,84.40,84.40,83.22
84.27,85.39,85.39,84.27
85.02,84.58,85.49,84.26
85.68,87.10,87.20,85.68
87.03,86.74,87.66,86.74
85.72,86.84,86.84,85.72
85.18,83.38,85.18,83.28
82.95,83.69,83.76,82.68
83.11,85.05,85.05,83.11
85.66,83.75,85.66,83.74
84.59,86.51,86.52,84.59
86.34,88.57,88.57,86.34
88.82,90.54,90.55,88.57
90.86,89.89,90.95,89.54
89.03,88.30,89.11,88.24
88.92,88.51,89.09,87.23
86.85,88.28,88.47,86.68
89.62,89.92,89.93,89.45
89.54,89.26,90.06,88.59
89.60,89.98,89.98,89.45
89.23,89.25,89.90,89.21
87.71,88.89,89.28,87.40
89.28,89.74,89.86,89.08
89.26,88.33,89.26,87.54
86.00,84.68,86.23,84.60
83.56,84.27,84.65,83.56
84.14,83.91,84.36,83.85
83.01,83.87,84.52,83.01
85.17,85.96,86.13,85.17
85.51,85.87,86.45,84.78
85.54,83.87,85.54,83.56
82.95,83.88,83.88,82.86
84.34,82.96,84.69,82.96
81.81,81.69,82.44,81.18
81.10,82.64,82.84,80.68
83.28,82.18,83.51,81.99
82.89,84.35,84.35,81.64
84.01,82.64,84.04,82.63
81.83,82.32,83.20,81.83
83.67,85.02,85.02,83.67
85.38,86.62,86.64,85.23
87.82,88.08,88.25,87.30
87.86,86.49,87.86,86.46
87.55,87.16,87.55,87.03
88.32,87.29,88.32,86.95
87.43,87.46,87.87,87.23
88.47,89.73,89.73,88.47
89.56,89.46,90.11,89.02
89.26,89.96,89.99,88.48
89.65,89.36,89.65,88.86
89.85,89.85,89.95,89.15
90.41,91.88,92.00,89.87
92.08,91.44,92.08,91.43
91.09,90.33,91.74,89.90
89.55,89.54,91.02,89.49
90.88,92.40,92.40,90.88
92.80,92.37,92.80,92.06
92.37,93.20,93.22,91.12
93.01,93.49,93.76,92.84
94.17,93.50,94.17,92.57
94.19,93.76,94.19,93.16
92.46,92.44,92.48,92.17
93.47,95.07,95.07,93.23
94.97,94.15,95.05,93.79
94.69,94.20,94.69,93.50
94.07,95.52,95.52,94.00
95.31,95.49,95.98,95.19
95.00,95.94,96.18,94.65
96.42,97.48,97.76,96.42
96.75,96.96,96.96,96.43
97.86,96.99,97.96,96.56
96.91,97.45,97.45,96.74
96.17,95.11,96.64,94.75
95.50,96.18,96.73,95.33
96.66,95.15,97.16,95.15
96.16,96.95,97.04,96.16
98.00,98.14,98.72,98.00
98.36,98.04,98.36,98.04
97.36,97.90,97.91,96.69
98.55,97.72,98.55,97.27
97.52,98.20,98.28,97.52
98.51,97.13,98.67,96.81
98.52,99.10,99.10,97.91
99.20,99.39,99.55,98.16
100.84,101.66,101.66,100.84
102.13,102.21,102.21,101.83
101.78,102.45,102.56,101.78
102.76,101.33,103.00,101.04
101.17,102.11,102.11,101.17
101.46,102.38,102.47,101.18
100.79,100.77,101.13,100.20
101.06,100.37,101.31,100.37
99.11,98.17,99.18,98.17
99.15,99.00,99.34,98.98
101.26,101.39,101.54,101.26
100.33,101.40,101.40,100.33
101.10,102.19,102.28,101.02
100.77,101.16,101.36,100.75
101.96,103.38,103.41,101.92
102.85,103.25,103.43,102.50
102.51,102.83,103.11,101.50
101.50,102.42,102.83,101.50
104.01,104.57,104.86,104.01
104.86,105.97,106.02,104.75
105.66,106.94,106.94,105.43
107.00,107.55,107.64,106.69
108.87,107.85,108.87,107.74
108.39,107.87,108.39,107.74
108.71,108.16,108.73,107.71
108.56,109.43,109.57,108.16
110.45,108.81,110.45,108.81
109.04,108.48,109.10,108.43
108.62,108.24,109.51,108.15
108.41,109.26,109.26,107.98
109.12,109.87,109.95,108.98
105.17,110.00,114.57,104.50
110.46,110.48,110.71,110.04
110.73,110.19,110.73,110.19
110.60,110.42,110.71,110.35
110.21,110.61,110.69,110.10
110.29,110.44,110.44,109.90
110.39,110.47,110.52,110.13
110.14,110.57,110.65,110.14
109.96,109.00,110.01,109.00
110.10,111.26,111.45,110.00
111.41,109.09,111.41,108.52
108.84,110.09,110.11,108.84
110.15,109.95,110.45,109.95
110.14,109.55,110.18,108.16
109.01,109.88,110.08,108.51
110.41,110.06,110.50,109.83
110.77,110.88,111.26,110.56
110.90,110.97,111.40,110.75
110.87,111.60,111.61,110.70
111.50,111.51,111.52,111.18
111.04,109.25,111.04,109.22
108.07,108.51,109.06,107.97
109.06,107.59,109.06,107.59
107.35,108.49,108.49,107.35
107.66,108.27,108.30,107.49
109.00,110.38,110.38,109.00
110.46,111.08,111.29,110.42
111.00,108.90,111.00,108.82
109.13,109.34,109.78,108.30
110.37,111.17,111.64,110.37
111.12,111.19,111.55,110.94
111.12,111.43,111.43,110.01
111.28,111.38,111.76,110.91
111.85,112.66,113.33,111.85
112.83,113.08,113.08,112.29
113.03,112.82,113.25,112.20
111.83,113.47,113.50,111.83
113.07,114.48,114.75,113.07
114.85,115.39,115.39,114.58
115.12,114.21,115.27,114.21
114.32,115.46,115.47,114.32
115.48,116.73,116.73,115.48
116.30,116.13,116.58,116.09
115.36,113.61,115.65,113.46
112.49,111.39,112.49,110.82
110.86,112.18,112.21,110.82
113.07,114.18,114.18,112.99
114.77,113.91,114.88,113.74
114.16,112.38,114.16,112.36
112.34,112.79,113.12,112.16
114.02,115.37,115.60,113.89
115.33,115.17,115.51,114.23
115.70,113.63,115.70,112.89
113.19,115.17,115.62,113.19
114.91,115.04,115.34,114.68
112.62,112.68,113.00,112.00
111.64,113.01,113.22,111.64
111.35,112.24,112.86,111.30
110.47,111.78,111.78,108.43
111.02,110.28,111.62,110.28
111.78,110.46,111.78,110.46
111.37,111.07,111.37,111.04
112.79,113.82,113.90,112.79
114.09,113.41,114.09,113.18
113.51,113.97,114.22,113.51
114.11,114.77,114.97,114.11
115.22,116.05,116.77,115.22
115.95,115.48,116.37,115.48
115.32,116.42,116.58,115.25
116.70,118.11,118.25,116.70
118.44,118.50,118.60,118.18
119.50,118.95,119.89,118.95
119.69,119.42,119.80,119.36
119.72,120.31,121.02,119.72
120.92,120.34,120.92,119.74
120.15,119.71,120.60,119.32
119.65,117.85,119.72,117.63
118.39,117.25,118.42,117.25
116.98,116.29,117.31,116.19
116.89,116.55,116.89,115.72
115.82,117.10,117.24,115.72
117.46,118.09,118.09,117.46
117.26,116.55,117.26,116.14
116.35,116.92,116.92,116.28
119.20,118.95,119.20,118.66
120.00,120.01,120.22,119.82
120.37,119.91,120.37,119.44
120.84,121.47,121.85,120.81
121.68,122.84,122.84,121.57
123.00,123.59,123.59,122.83
123.72,123.96,124.14,123.61
123.17,122.98,123.20,122.72
122.00,120.90,122.47,120.50
121.02,120.07,121.37,119.09
119.01,119.55,120.52,118.79
120.76,120.36,121.09,119.62
119.83,121.33,121.36,119.83
122.25,123.21,123.28,122.25
122.79,121.37,122.79,121.24
120.94,122.71,122.84,120.47
122.93,121.78,122.93,121.46
121.15,119.81,121.15,119.81
119.00,119.32,119.61,118.86
119.65,121.42,121.42,119.65
121.91,121.54,121.91,120.42
