PNRA,Panera Bread Company - Class A Common Stock,NASDAQ
67.17,66.47,67.27,66.00
66.33,65.89,66.45,65.33
65.80,65.74,66.21,64.89
65.53,65.65,66.20,65.17
65.76,66.27,66.32,65.44
67.64,67.53,68.33,66.80
67.26,67.39,68.19,66.83
67.32,67.82,67.94,66.27
68.10,68.82,69.01,67.71
68.94,68.22,68.94,67.90
68.99,68.88,69.12,67.99
68.82,68.39,69.55,68.21
72.00,73.41,73.95,71.77
73.19,72.81,74.00,72.81
73.05,71.64,73.23,71.44
71.38,71.79,72.54,71.07
71.00,72.00,72.26,71.00
72.00,72.01,72.44,71.61
72.32,71.42,73.45,71.42
72.02,73.44,73.57,70.43
73.35,73.72,73.77,72.70
73.61,74.07,74.42,72.70
72.88,71.30,73.68,71.30
71.15,70.60,72.24,70.17
70.99,70.96,71.75,70.38
71.14,72.57,72.82,71.14
72.55,72.37,72.83,71.56
72.40,72.91,73.61,71.79
71.31,73.58,74.50,70.86
74.79,73.87,74.79,73.10
73.54,73.23,73.86,72.93
73.20,73.34,73.57,72.86
73.23,73.84,74.13,73.17
74.13,72.82,74.27,72.73
72.53,72.43,73.43,72.19
72.45,73.04,73.48,72.16
72.51,72.76,72.81,71.85
72.91,72.79,73.41,72.66
73.25,73.15,73.46,72.54
73.08,73.92,74.06,73.08
73.95,74.09,74.58,73.71
73.90,74.04,74.24,73.61
74.21,78.04,78.26,74.09
78.04,78.53,78.91,77.30
78.59,76.81,78.63,76.72
76.60,77.27,77.27,76.09
77.18,79.27,79.47,76.78
79.45,79.15,79.47,78.48
79.23,78.03,79.25,77.86
77.93,78.40,78.65,77.65
78.67,78.27,79.11,78.10
78.64,78.59,78.95,78.08
78.79,78.99,79.74,78.44
78.52,78.70,79.42,78.33
78.53,78.84,78.96,77.81
78.48,78.84,79.64,78.14
79.16,77.29,79.16,77.20
77.08,76.91,77.92,76.53
77.10,76.91,77.24,76.59
76.77,77.17,77.86,76.66
77.00,76.49,77.31,76.49
77.07,76.38,77.78,75.78
76.97,80.28,80.97,76.97
80.48,81.23,81.41,79.39
80.82,81.72,83.05,80.82
81.19,82.67,83.33,81.05
82.98,82.82,82.98,81.61
83.20,82.85,83.73,82.37
82.79,82.80,83.15,82.36
83.27,83.07,83.46,82.53
82.79,83.10,83.47,82.54
82.68,83.74,83.99,82.68
83.66,83.16,84.48,82.75
83.23,83.28,83.78,82.39
83.65,85.16,85.42,83.61
85.07,87.77,88.68,84.70
87.27,87.42,87.87,86.71
86.95,87.39,88.50,86.85
87.72,86.20,88.37,86.06
83.98,79.97,83.98,79.84
80.27,79.58,80.44,78.58
79.93,78.01,80.09,77.89
78.60,78.99,79.78,77.25
78.58,77.60,78.59,77.15
77.16,76.71,78.45,76.50
76.40,75.00,77.76,72.50
74.79,74.31,76.35,73.21
76.64,78.22,78.29,76.10
77.83,77.49,78.96,77.31
77.78,78.68,78.81,77.54
78.91,77.20,78.93,76.95
76.88,75.99,77.08,75.62
75.95,77.37,77.58,75.09
78.13,76.56,78.55,76.52
76.45,76.90,77.22,76.11
75.46,75.34,76.88,75.27
74.85,76.27,76.69,73.67
76.38,77.26,78.33,76.01
75.77,77.55,77.90,74.26
77.95,77.65,78.78,77.51
78.97,80.67,80.72,78.46
80.71,80.83,81.65,80.15
80.68,80.52,81.61,80.15
80.75,82.34,82.34,80.07
82.36,82.54,83.59,82.17
81.88,80.69,82.49,80.50
80.88,78.72,81.00,78.25
79.24,79.77,79.84,77.08
80.70,80.37,81.57,80.03
81.43,82.46,82.50,81.12
82.04,82.99,83.06,81.77
84.21,83.52,84.95,83.40
83.82,84.81,85.00,83.14
84.71,84.41,85.00,84.17
84.78,83.70,85.13,83.60
83.65,84.01,84.78,83.32
84.85,82.41,84.90,82.07
82.57,80.01,83.13,79.95
79.81,80.31,80.92,79.41
79.95,79.16,80.25,78.79
79.19,78.98,79.92,78.68
78.98,78.41,79.64,78.27
77.63,75.54,78.22,75.00
75.23,75.29,76.98,75.02
75.10,76.07,76.27,73.64
76.19,76.09,78.81,75.65
77.18,74.08,78.38,73.90
74.16,73.82,74.72,72.64
73.83,75.30,75.37,73.68
75.13,76.06,76.11,73.98
75.99,75.72,76.24,74.82
76.53,77.70,78.01,76.43
77.64,78.12,78.59,76.60
77.81,78.01,78.28,76.19
77.86,75.43,78.48,75.28
75.81,74.58,76.15,73.90
73.47,75.06,75.26,73.21
75.27,74.17,75.51,74.05
74.90,76.27,76.58,74.88
76.15,76.06,76.86,74.55
76.49,78.27,78.29,76.33
78.90,78.60,79.45,78.22
76.89,78.20,80.00,76.29
78.70,77.13,79.80,76.69
76.91,78.21,78.71,75.80
78.99,77.82,79.41,77.68
77.44,77.99,78.49,76.91
78.00,77.70,79.35,77.54
77.30,75.92,77.30,74.91
75.07,76.95,77.08,74.50
77.19,78.51,78.94,77.19
78.19,77.47,78.20,77.11
75.97,75.80,76.31,74.85
74.50,75.56,76.08,74.25
75.20,74.16,75.29,74.10
73.93,75.66,75.82,72.83
76.26,76.92,78.67,75.81
76.99,78.77,80.56,76.78
78.72,78.65,79.70,78.08
78.54,79.49,79.53,77.93
79.87,79.26,80.20,78.82
78.15,78.34,79.47,77.41
77.85,78.93,79.41,77.55
79.30,79.15,80.05,78.59
79.70,79.81,80.33,78.45
79.65,79.47,80.87,79.02
79.47,79.94,80.00,79.00
80.75,82.95,83.23,80.56
82.75,85.21,85.69,82.75
85.60,85.02,86.72,84.33
86.44,85.66,86.75,84.84
85.62,86.07,86.96,85.20
86.81,85.55,86.81,85.21
85.79,86.14,86.95,85.15
86.85,86.89,87.60,86.57
86.53,87.09,88.72,86.53
86.82,87.34,87.76,86.58
87.03,86.62,87.32,85.85
86.74,86.76,87.84,86.35
86.82,88.28,88.28,86.82
87.95,88.04,88.80,87.50
87.88,86.98,88.45,86.55
86.59,85.69,87.54,85.65
86.70,87.83,87.90,86.70
87.56,89.25,89.73,87.18
89.76,88.69,89.76,87.44
88.79,89.16,89.49,88.16
89.52,88.61,90.17,88.00
89.12,88.34,89.25,87.26
88.34,88.44,88.90,87.08
89.19,91.60,91.77,88.93
91.80,88.66,92.00,88.55
89.14,89.85,90.55,88.14
89.88,89.11,90.00,88.88
89.29,90.14,90.80,88.73
90.01,90.67,90.80,89.06
91.11,90.84,91.40,89.95
90.97,91.74,91.90,90.88
92.00,92.03,92.29,91.18
91.79,91.08,91.81,90.32
90.27,90.46,91.40,90.14
90.80,89.91,90.83,89.60
89.84,89.66,90.62,89.36
90.22,94.40,94.59,90.05
94.59,94.23,95.41,93.75
92.63,94.35,94.63,92.00
90.71,89.52,91.37,89.10
90.20,90.42,90.62,88.75
90.07,89.51,90.65,89.43
89.67,90.54,90.91,89.40
91.31,91.54,92.06,90.90
91.72,91.79,92.66,90.86
92.74,92.84,94.65,92.53
93.13,93.38,94.69,92.95
93.11,92.66,94.15,92.51
92.75,91.82,92.76,91.24
91.92,93.83,93.88,91.40
93.03,95.24,96.07,92.85
94.50,93.85,94.76,93.38
94.03,94.68,95.07,93.70
94.00,93.35,95.01,92.71
94.81,96.30,97.21,94.35
97.21,95.37,97.21,95.10
94.99,97.00,97.24,94.35
97.48,98.06,99.14,97.31
97.54,98.23,98.50,96.60
99.04,99.39,100.36,99.02
98.96,100.25,100.34,98.23
99.90,99.54,100.04,98.39
98.84,100.24,100.39,98.59
101.55,101.90,103.25,101.34
101.77,104.47,104.67,101.50
104.31,102.85,104.31,101.58
103.03,102.51,104.38,101.68
104.87,106.42,106.87,104.60
106.66,104.75,106.77,104.21
105.33,105.76,106.41,103.60
106.20,106.05,106.50,104.95
106.46,103.48,106.87,103.01
104.03,104.30,104.97,102.84
104.32,104.35,106.75,104.01
104.91,105.16,105.48,103.46
105.37,105.75,106.00,104.93
105.61,105.42,105.98,104.87
105.56,105.04,105.81,104.62
105.01,103.80,105.17,103.20
103.96,104.10,104.90,102.88
103.03,102.86,103.69,102.51
102.81,102.11,103.12,101.60
102.42,103.64,105.71,102.34
103.44,102.29,104.24,101.00
101.76,101.21,102.38,100.91
101.97,102.42,103.29,101.44
103.00,100.56,103.00,99.61
100.29,100.54,101.89,99.84
100.72,101.14,101.88,100.45
100.72,101.51,102.77,100.50
101.58,101.56,102.00,100.20
102.46,100.80,102.46,100.04
101.24,100.34,102.19,99.94
100.15,102.11,102.13,100.15
101.63,102.18,102.30,101.45
101.90,101.75,102.68,100.23
101.55,100.43,101.55,100.05
99.97,100.15,102.25,99.78
101.01,99.57,101.15,98.51
97.96,96.96,98.60,96.23
96.68,97.62,98.05,96.52
97.64,96.10,97.64,95.63
96.30,97.14,97.79,95.90
97.09,94.86,97.49,94.78
95.05,95.56,96.67,94.62
96.33,96.96,97.37,95.38
96.78,97.88,98.65,96.31
97.93,98.93,99.70,97.93
99.12,98.87,100.38,98.62
98.73,97.05,99.53,96.86
97.18,97.78,97.92,97.09
98.06,98.50,98.52,96.81
98.18,99.71,100.43,97.79
111.00,116.11,119.49,109.60
116.29,118.15,119.32,115.07
118.04,117.02,118.07,115.36
117.46,117.15,118.47,116.43
117.07,118.18,118.39,116.27
117.96,119.43,119.86,117.59
118.00,116.10,119.23,115.74
115.80,115.65,116.70,112.34
115.31,114.94,115.73,113.00
116.02,116.31,117.09,114.95
115.46,116.75,117.63,115.46
117.36,115.83,117.49,115.38
115.62,116.21,116.42,114.35
116.86,119.56,121.25,116.44
119.47,120.24,121.50,118.76
120.77,119.17,122.10,118.10
118.00,119.31,120.68,118.00
119.34,121.24,121.63,118.25
120.00,121.13,122.30,119.24
120.48,121.98,122.49,119.47
121.05,120.63,121.33,119.77
117.80,119.81,120.57,117.52
119.41,118.47,120.87,118.20
120.11,117.90,120.54,117.71
118.92,118.64,119.13,115.79
120.06,118.85,120.80,118.30
119.13,117.75,119.71,116.65
117.87,119.04,119.61,116.34
119.70,120.84,121.60,119.05
120.85,121.83,123.04,120.45
121.80,122.12,122.78,120.93
120.11,123.47,123.59,119.69
124.10,126.77,126.91,124.09
126.69,127.00,127.41,125.41
127.74,127.87,128.41,126.91
128.82,128.67,129.99,128.00
128.21,128.69,129.46,127.37
129.10,123.90,129.10,122.92
123.44,122.22,124.24,121.58
122.74,120.17,123.04,119.39
120.72,120.50,121.90,119.78
119.83,120.48,122.95,119.83
121.69,123.38,123.77,121.18
123.01,123.42,123.95,120.65
123.91,124.65,124.76,122.94
123.18,121.93,124.07,120.57
122.45,122.66,123.28,121.64
124.14,123.38,124.58,123.10
123.70,122.07,123.83,121.10
122.00,126.88,126.88,121.88
126.66,124.32,128.25,122.75
126.50,122.61,126.90,120.09
121.80,121.29,123.70,121.00
121.56,121.11,121.84,120.08
121.50,118.46,121.50,118.08
117.90,117.20,119.18,116.18
116.84,118.52,119.52,115.51
118.20,120.25,122.21,117.81
121.44,119.39,122.66,119.38
120.15,118.84,120.15,118.71
119.25,121.33,121.70,119.25
121.69,122.58,123.33,120.85
121.92,123.73,124.40,120.75
123.73,123.97,124.73,122.99
123.81,121.91,123.81,121.60
121.25,121.00,121.80,118.42
121.10,122.91,123.36,120.47
123.20,124.82,124.89,122.60
124.94,123.49,124.94,122.40
121.99,124.47,126.50,121.10
125.34,122.75,125.34,122.02
122.14,123.83,124.00,122.00
123.92,125.74,125.78,123.06
125.93,125.97,126.45,125.00
126.50,125.03,127.00,124.00
125.00,121.14,125.24,121.13
121.77,120.70,121.84,119.24
119.49,119.82,122.21,119.01
119.47,118.49,121.28,118.33
118.74,118.59,120.12,118.13
118.15,117.11,119.61,116.61
117.14,117.94,118.19,115.83
117.38,115.86,118.07,115.26
115.58,116.38,117.46,115.12
117.65,119.07,119.73,117.49
117.97,118.01,120.39,117.04
117.91,118.25,119.45,117.43
118.92,117.67,120.05,117.53
117.55,119.85,120.94,117.06
120.14,121.85,121.94,120.14
121.36,121.19,122.98,120.95
119.77,124.29,124.47,119.53
124.45,125.66,126.09,123.76
125.88,126.25,126.68,124.06
127.00,127.94,128.00,126.26
128.79,127.07,128.88,126.00
127.39,125.66,129.28,125.45
126.00,130.28,130.98,126.00
130.56,131.81,132.24,128.53
129.03,130.21,132.12,129.03
131.00,131.96,132.16,130.01
130.52,131.94,132.05,130.12
130.61,130.12,132.98,129.44
129.52,130.21,131.11,129.52
130.53,131.75,132.78,130.36
132.27,130.60,133.43,129.00
131.00,130.24,131.35,129.11
129.89,128.33,130.74,128.03
129.38,131.31,131.41,129.21
130.85,129.19,130.85,128.51
129.30,129.70,130.89,128.24
129.41,130.90,131.76,129.41
130.00,129.14,131.43,128.71
130.09,129.28,130.58,127.62
123.18,116.80,123.20,115.84
116.25,115.69,118.45,115.40
114.69,115.35,116.57,111.54
117.22,114.27,117.71,112.63
113.22,111.48,114.97,110.07
111.69,112.50,113.26,109.11
111.21,105.64,111.21,105.62
106.63,105.60,108.65,102.19
101.01,96.68,103.95,96.68
98.07,102.98,103.14,96.83
100.85,99.30,102.81,99.00
99.96,106.04,107.22,99.50
107.06,107.22,109.47,106.24
108.86,108.85,110.10,106.70
108.14,107.50,108.76,106.70
107.85,106.52,108.20,105.44
103.96,102.11,105.35,100.26
100.67,102.45,105.97,100.63
105.16,103.95,106.37,103.54
105.00,107.85,108.38,103.90
107.61,108.56,109.23,106.00
109.33,107.20,109.33,105.27
106.71,110.95,113.37,105.68
113.02,115.12,115.59,111.38
114.90,115.94,116.87,113.27
116.63,115.15,118.17,113.64
115.16,113.35,115.26,112.19
111.50,110.52,113.25,110.10
108.24,111.28,111.70,106.60
112.33,112.50,113.86,110.14
112.12,111.83,113.80,111.22
110.41,108.97,110.75,107.36
107.22,108.77,110.33,106.00
109.09,109.20,109.79,107.78
110.36,112.23,113.71,108.88
114.08,112.44,114.10,111.69
112.50,112.88,114.74,112.47
110.45,116.15,116.95,110.45
116.49,114.83,120.62,114.78
114.77,112.52,116.50,112.51
109.64,108.26,111.92,107.17
