XRA,Exeter Resource Corporation Ordinary Shares (Canada),NASDAQ
7.36,7.45,7.50,7.22
7.55,7.26,7.55,7.15
7.25,7.52,7.68,7.22
7.43,7.84,7.88,7.30
7.95,8.75,8.75,7.78
9.24,8.55,9.24,8.35
8.30,8.15,8.40,8.02
8.12,8.43,8.43,7.95
8.43,8.27,8.43,8.25
8.33,8.07,8.33,8.03
8.12,8.40,8.55,8.12
8.30,7.99,8.30,7.85
7.95,7.40,8.03,7.40
7.30,7.32,7.64,7.01
7.40,6.99,7.64,6.88
6.94,7.31,7.40,6.72
7.32,6.99,7.39,6.91
7.10,6.58,7.10,6.39
6.49,6.41,6.74,6.38
6.49,7.43,7.43,6.46
7.57,7.88,7.98,7.57
7.95,7.70,7.97,7.65
7.59,6.70,7.59,6.61
6.66,7.48,7.48,6.55
7.50,7.33,7.77,7.16
7.55,7.78,8.04,7.55
7.68,8.08,8.22,7.52
8.12,8.60,8.75,8.12
8.39,8.25,8.40,8.07
8.64,8.65,8.76,8.57
8.71,8.56,8.71,8.31
8.62,8.41,8.62,8.28
8.30,8.11,8.31,8.06
8.30,8.02,8.30,8.00
8.02,7.66,8.02,7.59
7.69,7.68,7.98,7.66
7.34,7.93,7.93,7.25
7.97,8.08,8.13,7.90
8.08,8.10,8.13,7.90
8.12,8.67,8.73,8.12
8.78,8.66,8.92,8.54
8.52,8.63,8.69,8.40
8.69,8.57,8.81,8.47
8.61,8.49,8.70,8.48
8.45,8.29,8.50,8.24
8.28,8.25,8.37,7.92
8.15,8.41,8.46,8.15
8.49,8.17,8.55,8.06
8.28,8.09,8.45,8.03
8.25,8.51,8.51,8.19
8.64,8.61,8.75,8.54
8.43,9.07,9.41,8.33
8.82,8.82,9.17,8.81
8.59,8.83,8.83,8.24
8.88,8.92,9.01,8.75
6.95,6.62,7.19,6.60
6.66,6.43,6.78,6.35
6.56,6.39,6.56,6.23
6.39,6.22,6.45,6.02
6.29,6.06,6.30,5.98
6.05,6.13,6.19,6.03
6.06,6.37,6.37,6.00
6.26,6.66,6.66,6.26
6.67,7.28,7.93,6.57
7.45,7.73,7.80,7.37
7.87,8.06,8.15,7.60
8.06,8.16,8.30,8.06
8.15,7.86,8.22,7.71
7.91,7.58,7.91,7.45
7.78,7.80,7.86,7.67
7.71,7.79,7.88,7.58
7.75,7.58,7.75,7.43
7.39,7.33,7.51,7.21
7.45,7.39,7.62,7.39
7.52,7.49,7.52,7.30
7.43,7.32,7.58,7.28
7.34,7.61,7.66,7.23
7.65,7.71,7.78,7.50
7.65,7.65,7.72,7.51
7.65,7.77,7.88,7.59
7.89,7.82,7.89,7.74
7.82,7.68,7.99,7.58
7.75,7.60,7.80,7.49
7.60,7.15,7.66,7.10
7.00,6.90,7.08,6.75
6.86,6.79,7.10,6.45
6.63,6.50,6.85,6.50
6.64,7.17,7.19,6.60
7.19,7.63,7.66,7.19
7.80,8.07,8.18,7.63
8.08,7.84,8.15,7.84
7.98,7.93,8.04,7.47
7.92,7.43,7.92,7.30
7.32,7.30,7.48,7.12
7.16,6.53,7.24,6.50
6.51,6.10,6.55,6.05
5.96,6.37,6.60,5.85
6.50,6.79,7.00,6.45
6.32,7.42,7.42,6.28
7.40,7.55,7.77,7.40
7.63,7.61,7.77,7.45
