TGC,Tengasco,NASDAQ
0.43,0.43,0.44,0.43
0.43,0.43,0.44,0.41
0.42,0.44,0.44,0.42
0.42,0.42,0.43,0.42
0.43,0.44,0.44,0.41
0.43,0.42,0.43,0.42
0.41,0.41,0.42,0.41
0.41,0.42,0.43,0.41
0.42,0.42,0.43,0.41
0.42,0.42,0.42,0.42
0.41,0.42,0.43,0.41
0.41,0.43,0.43,0.41
0.43,0.45,0.45,0.42
0.45,0.48,0.49,0.45
0.48,0.49,0.50,0.47
0.48,0.53,0.54,0.48
0.53,0.52,0.55,0.51
0.52,0.48,0.53,0.47
0.48,0.52,0.53,0.48
0.53,0.52,0.54,0.50
0.52,0.51,0.52,0.50
0.51,0.48,0.51,0.46
0.47,0.45,0.47,0.44
0.44,0.45,0.47,0.44
0.46,0.45,0.48,0.45
0.46,0.48,0.49,0.45
0.46,0.49,0.49,0.46
0.48,0.48,0.48,0.47
0.47,0.48,0.49,0.47
0.47,0.48,0.48,0.45
0.47,0.48,0.49,0.45
0.48,0.47,0.48,0.46
0.49,0.47,0.49,0.46
0.50,0.51,0.53,0.47
0.51,0.53,0.53,0.51
0.55,0.61,0.65,0.54
0.61,0.65,0.68,0.61
0.66,0.60,0.66,0.58
0.62,0.57,0.62,0.55
0.62,0.63,0.63,0.55
0.64,0.64,0.69,0.63
0.64,0.61,0.64,0.59
0.60,0.58,0.61,0.56
0.57,0.57,0.61,0.56
0.57,0.61,0.61,0.57
0.63,0.63,0.68,0.62
0.64,0.64,0.66,0.62
0.64,0.64,0.66,0.63
0.65,0.65,0.65,0.62
0.65,0.64,0.66,0.63
0.64,0.63,0.64,0.62
0.63,0.62,0.63,0.60
0.60,0.61,0.63,0.60
0.61,0.63,0.64,0.61
0.65,0.66,0.66,0.63
0.67,0.66,0.67,0.63
0.66,0.64,0.66,0.64
0.66,0.61,0.66,0.60
0.61,0.60,0.64,0.60
0.60,0.60,0.63,0.60
0.62,0.62,0.63,0.61
0.64,0.78,0.79,0.64
0.77,0.77,0.80,0.73
0.78,0.72,0.78,0.68
0.80,0.94,1.00,0.72
0.94,0.87,1.00,0.85
0.83,0.88,0.92,0.83
0.90,0.85,0.90,0.83
0.86,0.82,0.86,0.80
0.80,0.79,0.83,0.77
0.79,0.84,0.85,0.75
0.85,0.83,0.85,0.81
0.84,0.84,0.86,0.78
0.85,0.89,0.90,0.84
0.90,0.86,0.92,0.82
