UAA,Under Armour,NASDAQ
27.47,28.08,28.10,27.47
28.03,28.92,28.96,27.73
29.02,29.56,29.59,28.91
29.51,29.21,29.99,28.97
29.22,29.15,29.45,28.73
29.31,29.09,29.47,28.82
29.60,28.96,29.88,28.70
29.30,29.00,29.40,28.84
29.07,28.90,29.15,28.67
28.85,27.99,29.16,27.82
28.11,27.14,28.37,27.01
27.13,26.68,27.20,26.50
27.54,27.34,28.37,26.99
27.28,26.63,27.83,26.50
26.96,26.54,27.05,26.20
26.50,27.42,28.06,26.18
27.32,27.91,28.21,27.32
27.92,26.25,28.08,25.92
26.74,25.40,26.94,25.37
25.80,25.97,26.08,25.15
26.12,26.80,27.32,25.73
26.43,25.88,26.61,25.81
25.70,24.45,25.70,24.37
24.42,24.44,24.52,23.72
24.64,23.94,24.75,23.89
24.35,24.85,25.09,23.89
24.83,24.54,25.12,24.39
24.61,25.33,25.39,24.39
25.40,25.28,25.40,24.99
25.45,25.63,25.64,25.17
25.65,25.82,25.96,25.59
25.85,25.69,25.85,25.44
25.60,25.77,25.85,25.46
25.94,25.94,26.23,25.74
25.94,25.34,26.03,25.16
25.78,25.85,26.36,25.69
25.52,26.09,26.11,25.27
26.17,26.06,26.27,25.78
26.16,26.84,26.85,26.00
27.16,26.96,27.17,26.68
27.00,26.75,27.13,26.55
26.86,26.69,26.99,26.43
26.88,28.14,28.45,26.71
28.19,28.17,28.67,28.13
28.20,28.41,28.89,28.17
28.38,29.00,29.17,28.18
28.86,29.18,29.21,28.13
29.25,28.40,29.28,28.30
28.36,28.18,28.48,27.83
28.32,28.69,28.72,28.15
28.61,28.97,29.19,28.61
29.11,28.34,29.58,28.21
28.74,28.74,28.76,28.05
28.42,30.09,30.39,28.18
30.08,30.80,31.16,30.08
30.25,29.16,30.30,29.06
29.50,30.16,30.84,29.46
30.31,30.60,30.87,30.15
30.76,30.60,30.77,30.22
30.53,30.25,31.00,29.95
30.09,29.41,30.34,29.29
29.75,30.56,30.61,29.64
30.79,30.94,31.20,30.61
31.00,31.36,31.43,30.86
31.41,31.55,31.87,31.19
31.36,31.64,31.99,31.10
31.73,32.28,32.33,31.28
33.38,32.95,34.25,32.79
33.09,32.58,33.42,32.44
32.98,34.63,34.92,32.80
34.55,33.39,34.55,33.19
33.43,33.74,34.06,33.31
33.54,33.65,34.73,32.70
33.90,33.88,34.40,33.67
34.00,34.02,34.40,33.74
34.13,34.82,35.00,33.70
34.72,35.35,35.45,34.50
35.14,35.93,36.22,35.14
34.93,34.20,35.25,33.05
34.52,35.54,36.32,34.50
35.89,35.85,36.49,35.37
35.86,33.75,36.43,33.66
34.00,34.54,35.13,33.75
34.96,33.87,34.96,33.25
33.50,32.91,34.52,32.79
32.80,31.35,32.80,29.16
31.50,30.19,32.18,29.59
32.36,32.77,33.00,31.41
32.39,33.40,34.33,32.13
33.45,34.39,34.97,33.45
34.20,34.01,34.40,33.45
33.50,32.81,33.84,32.02
32.73,32.94,33.25,30.99
33.49,32.21,33.98,31.99
31.40,31.39,31.96,30.50
30.35,30.51,31.24,30.00
29.96,30.98,32.24,29.43
31.43,31.05,31.95,30.92
30.04,31.08,31.18,29.12
33.49,33.56,34.40,32.57
34.00,34.71,35.00,33.87
34.37,33.69,34.87,33.49
33.11,32.52,33.83,32.42
32.71,33.73,33.77,32.21
33.76,34.46,34.52,33.37
33.44,32.69,33.99,32.00
32.73,31.47,33.25,31.31
31.66,32.06,32.24,30.28
32.40,31.92,33.46,31.58
32.62,33.30,33.39,32.13
33.38,34.34,34.66,32.51
34.44,34.73,35.47,34.34
35.29,35.83,35.98,34.60
35.46,36.99,37.83,35.13
37.42,36.86,37.69,36.03
37.04,37.50,37.86,36.50
38.11,36.67,38.87,36.41
36.49,35.90,37.68,35.77
36.35,36.65,37.10,35.67
36.26,35.08,36.38,34.57
35.34,35.94,36.05,34.91
35.51,36.18,36.91,35.47
35.43,33.59,35.43,33.16
