HGSH,China HGS Real Estate,NASDAQ
2.25,2.35,2.40,2.25
2.45,2.46,2.50,2.38
2.50,2.60,2.60,2.50
2.60,2.75,2.75,2.60
2.90,3.50,3.50,2.78
3.75,3.78,4.00,2.00
3.85,3.68,3.88,3.68
3.85,3.85,3.88,3.80
3.85,3.88,3.88,3.68
3.76,3.90,3.90,3.70
3.90,3.87,3.90,3.69
3.85,3.98,3.98,3.80
3.98,4.00,4.00,3.98
4.00,4.00,4.50,3.80
3.80,3.95,4.00,3.80
3.90,4.00,4.00,3.80
3.94,4.00,4.00,3.80
3.98,4.00,4.00,3.87
4.00,3.97,4.00,3.90
3.75,4.00,4.00,3.75
4.00,3.75,4.00,3.75
3.69,3.92,3.92,3.69
3.99,4.05,4.05,3.80
4.00,4.08,4.08,3.95
4.08,4.04,4.08,3.98
4.07,4.10,4.10,4.07
4.10,4.10,4.10,3.86
3.86,4.08,4.10,3.86
4.09,4.08,4.09,4.00
3.86,4.05,4.07,3.86
4.03,4.04,4.04,4.03
4.04,4.04,4.04,3.90
4.00,4.02,4.02,3.90
3.99,3.99,3.99,3.99
3.95,4.00,4.00,3.80
4.00,4.03,4.03,4.00
4.00,4.00,4.02,3.87
4.00,4.05,4.05,3.86
3.92,4.05,4.05,3.92
4.04,4.10,4.10,4.04
4.10,4.18,4.18,4.10
4.18,4.22,4.22,4.18
4.20,4.31,4.32,4.20
4.35,4.43,4.50,4.35
4.43,4.43,4.43,4.42
4.43,4.50,4.50,4.43
4.50,4.52,4.52,4.48
4.51,4.60,4.60,4.24
4.60,4.55,4.60,4.53
4.55,4.54,4.58,4.48
4.58,4.63,4.63,4.58
4.63,4.67,4.70,4.63
4.70,4.71,4.72,4.67
4.71,4.71,4.75,4.69
4.71,4.69,4.80,4.69
4.68,4.80,4.80,4.67
4.80,4.85,4.85,4.79
4.85,4.83,4.85,4.80
4.83,4.86,5.00,4.80
4.85,4.86,4.86,4.82
4.86,4.83,4.88,4.83
