CPT,Camden Property Trust Common Stock,NASDAQ
42.67,41.49,43.18,41.17
41.47,41.40,41.75,41.02
41.40,40.90,41.72,40.71
40.92,40.82,41.04,40.06
40.70,40.20,40.82,40.03
41.40,40.32,41.61,40.26
40.31,39.77,40.79,39.63
40.06,40.91,41.02,39.92
40.65,40.75,40.95,40.29
40.52,40.42,40.85,40.25
40.55,41.38,41.42,40.49
41.86,41.36,41.86,41.10
41.40,40.25,41.78,40.18
40.12,39.05,40.74,39.01
39.73,39.33,39.76,38.53
39.11,38.92,39.49,38.82
38.83,39.21,39.41,38.53
39.28,39.08,39.43,38.69
38.93,38.77,39.77,38.60
39.07,39.17,39.43,38.73
39.16,39.98,40.07,38.70
39.56,38.60,39.56,38.30
38.21,37.60,38.35,37.60
37.67,38.29,38.33,37.40
38.28,37.82,38.60,37.80
38.16,36.77,38.16,36.08
36.77,36.84,37.59,36.27
36.63,36.94,37.00,36.35
36.40,37.42,37.42,36.24
38.20,38.59,38.83,38.16
38.69,38.55,38.84,38.42
38.50,39.23,39.48,37.94
39.07,39.30,39.41,38.85
39.42,39.48,39.60,38.94
39.27,39.52,39.73,39.04
39.47,39.95,39.95,39.19
39.51,39.95,40.05,39.19
39.91,40.05,40.38,39.68
40.25,40.50,40.58,39.97
40.56,40.38,40.87,40.14
40.39,39.69,40.40,39.56
39.71,39.95,40.22,39.61
40.19,40.92,41.00,39.94
40.90,41.35,41.55,40.72
41.17,41.31,41.87,40.89
41.21,41.16,41.47,40.82
40.88,41.14,41.14,40.68
41.24,41.18,41.39,40.65
41.15,40.67,41.32,40.30
40.95,41.87,41.96,40.70
41.97,42.26,42.34,41.65
42.25,42.55,42.60,42.09
42.61,43.87,44.00,42.50
43.49,43.94,44.26,43.42
43.82,43.10,43.99,42.75
42.96,42.72,43.21,42.57
43.03,43.08,43.59,42.82
43.30,42.64,43.39,42.42
42.21,42.30,42.57,42.11
42.43,42.35,42.58,42.14
42.20,41.63,42.26,41.55
41.94,41.90,41.94,41.34
42.24,43.36,43.38,42.09
44.30,44.93,45.20,43.51
44.80,43.94,45.11,43.64
43.70,43.98,44.32,43.66
44.00,45.05,45.06,43.83
44.99,45.19,45.31,44.99
45.21,46.40,46.54,45.07
46.82,45.67,46.86,45.38
45.76,44.35,45.79,44.27
44.21,43.72,44.78,43.60
43.46,43.92,44.19,43.13
44.05,44.14,44.20,43.62
44.11,45.47,46.08,44.05
45.06,46.28,46.39,44.85
46.44,47.39,47.62,45.95
47.42,48.09,48.40,47.00
47.83,46.38,48.33,46.35
46.82,46.71,47.30,46.35
47.22,50.00,50.35,47.17
