WINT,Windtree Therapeutics,NASDAQ
0.64,0.72,0.75,0.62
0.71,0.71,0.73,0.69
0.73,0.68,0.74,0.68
0.69,0.71,0.72,0.66
0.71,0.76,0.81,0.70
0.77,0.78,0.81,0.76
0.78,0.78,0.84,0.76
0.82,0.78,0.82,0.77
0.82,0.79,0.83,0.77
0.79,0.77,0.81,0.77
0.79,0.82,0.82,0.78
0.81,0.80,0.82,0.78
0.80,0.75,0.82,0.75
0.77,0.74,0.77,0.73
0.74,0.71,0.74,0.69
0.70,0.75,0.78,0.69
0.75,0.74,0.78,0.73
0.74,0.70,0.76,0.70
0.73,0.69,0.73,0.68
0.70,0.71,0.71,0.69
0.71,0.69,0.73,0.68
0.69,0.69,0.71,0.68
0.69,0.65,0.70,0.65
0.64,0.69,0.69,0.63
0.67,0.64,0.70,0.64
0.65,0.65,0.68,0.64
0.62,0.65,0.67,0.61
0.64,0.66,0.67,0.64
0.65,0.69,0.70,0.64
0.78,0.74,0.83,0.71
0.72,0.71,0.72,0.68
0.54,0.54,0.57,0.49
0.54,0.54,0.54,0.50
0.54,0.53,0.55,0.53
0.54,0.56,0.58,0.53
0.57,0.55,0.57,0.54
0.55,0.54,0.55,0.53
0.54,0.50,0.54,0.50
0.52,0.53,0.54,0.51
0.54,0.54,0.54,0.52
0.54,0.53,0.54,0.52
0.52,0.53,0.54,0.52
0.53,0.54,0.55,0.52
0.55,0.55,0.55,0.53
0.55,0.56,0.56,0.53
0.53,0.54,0.54,0.53
0.53,0.55,0.55,0.53
0.54,0.54,0.54,0.53
0.54,0.53,0.54,0.52
0.54,0.52,0.54,0.51
0.53,0.52,0.53,0.50
0.51,0.51,0.52,0.50
0.52,0.50,0.52,0.50
0.52,0.50,0.52,0.50
0.51,0.51,0.52,0.50
0.52,0.54,0.54,0.51
0.54,0.52,0.54,0.52
0.53,0.54,0.54,0.52
0.52,0.54,0.54,0.52
0.53,0.51,0.53,0.50
0.50,0.52,0.52,0.50
0.51,0.51,0.53,0.51
0.51,0.53,0.53,0.51
0.53,0.51,0.53,0.51
0.51,0.52,0.53,0.51
0.52,0.51,0.52,0.51
0.51,0.54,0.54,0.51
0.54,0.58,0.62,0.52
0.58,0.57,0.58,0.55
0.58,0.53,0.58,0.53
0.53,0.55,0.56,0.53
0.55,0.55,0.55,0.53
0.55,0.53,0.55,0.52
0.53,0.53,0.53,0.52
0.53,0.53,0.54,0.52
0.53,0.52,0.53,0.52
0.52,0.52,0.53,0.52
0.53,0.52,0.56,0.52
0.54,0.52,0.54,0.52
0.58,0.53,0.59,0.53
0.54,0.51,0.55,0.51
0.52,0.50,0.52,0.50
0.51,0.51,0.52,0.50
0.51,0.51,0.52,0.50
0.53,0.51,0.55,0.51
0.51,0.44,0.52,0.44
0.48,0.47,0.51,0.46
0.50,0.47,0.50,0.47
0.50,0.52,0.54,0.50
0.53,0.56,0.57,0.52
0.56,0.56,0.57,0.54
0.55,0.52,0.56,0.51
0.53,0.50,0.53,0.50
0.52,0.49,0.52,0.49
0.55,0.51,0.55,0.50
0.52,0.49,0.52,0.47
0.48,0.45,0.49,0.44
0.46,0.46,0.49,0.46
0.45,0.45,0.46,0.44
0.46,0.45,0.47,0.45
0.46,0.46,0.47,0.45
0.46,0.43,0.47,0.43
0.43,0.44,0.44,0.43
0.45,0.44,0.45,0.43
0.44,0.45,0.46,0.44
0.44,0.42,0.46,0.42
0.43,0.39,0.44,0.38
0.40,0.40,0.41,0.38
0.40,0.33,0.40,0.30
0.31,0.32,0.35,0.31
0.33,0.34,0.35,0.32
0.35,0.35,0.38,0.34
0.35,0.37,0.37,0.35
0.37,0.36,0.37,0.32
0.25,0.25,0.25,0.23
0.26,0.24,0.26,0.24
0.26,0.24,0.26,0.23
0.24,0.24,0.24,0.23
0.24,0.23,0.24,0.22
0.22,0.22,0.23,0.21
0.22,0.21,0.23,0.18
0.21,0.21,0.22,0.21
0.22,0.19,0.22,0.19
0.19,0.19,0.20,0.19
0.20,0.19,0.20,0.18
0.19,0.18,0.20,0.18
0.20,0.18,0.20,0.17
0.19,0.18,0.19,0.18
0.18,0.19,0.19,0.17
0.20,0.21,0.22,0.18
0.21,0.21,0.21,0.20
0.20,0.22,0.22,0.20
0.22,0.24,0.25,0.21
0.24,0.22,0.24,0.22
0.24,0.21,0.24,0.21
0.22,0.21,0.22,0.21
0.21,0.21,0.21,0.20
0.22,0.21,0.22,0.21
0.22,0.23,0.24,0.21
0.23,0.23,0.24,0.22
0.24,0.25,0.26,0.23
0.26,0.27,0.29,0.25
0.28,0.25,0.28,0.25
0.26,0.26,0.27,0.25
0.28,0.27,0.28,0.25
0.28,0.27,0.28,0.27
0.28,0.31,0.34,0.28
0.29,0.26,0.29,0.25
