HIFS,Hingham Institution for Savings - Common Stock,NASDAQ
30.59,30.56,31.04,30.56
30.65,30.50,30.65,30.50
31.74,32.73,32.73,31.74
32.72,32.73,32.73,30.71
31.21,32.75,32.80,31.21
32.75,31.26,32.75,31.11
30.32,30.50,30.70,30.32
30.50,30.50,30.50,30.50
31.84,32.75,32.75,31.84
32.75,32.75,32.75,32.75
31.99,31.99,31.99,31.99
31.99,31.99,31.99,31.99
32.00,31.96,32.00,31.95
32.00,32.00,32.00,32.00
32.00,32.00,32.00,32.00
32.00,32.00,32.00,32.00
32.03,32.03,32.03,32.01
30.85,32.75,32.75,30.85
32.68,32.75,32.75,32.68
32.75,31.26,33.74,31.26
32.16,32.16,32.16,32.15
33.88,33.00,33.88,33.00
33.00,33.00,33.00,33.00
32.03,32.53,32.53,32.03
32.15,32.90,32.92,32.02
32.90,32.90,32.90,32.90
32.90,32.90,32.90,32.90
32.02,33.85,33.85,32.02
33.78,32.79,33.78,32.79
32.50,32.50,32.50,32.50
32.89,32.89,32.89,32.89
32.89,32.89,32.89,32.89
32.89,32.89,32.89,32.89
33.49,32.70,33.49,32.70
32.70,32.70,32.70,32.70
32.70,32.70,32.70,32.70
32.80,32.75,32.90,32.75
32.71,32.70,32.71,32.70
32.65,32.65,32.65,32.65
32.65,32.65,32.65,32.65
32.65,32.65,32.65,32.65
32.65,31.89,32.65,31.89
33.50,33.50,33.50,33.50
33.49,33.49,33.49,33.49
31.52,33.49,33.49,31.50
33.49,33.49,33.49,33.49
33.49,33.49,33.49,33.49
33.49,33.49,33.49,33.49
32.50,32.50,32.50,32.50
32.04,32.00,32.07,32.00
32.87,32.00,32.94,32.00
32.00,32.00,32.00,32.00
32.47,32.47,32.47,32.47
33.00,33.00,33.00,33.00
32.99,33.00,33.00,32.99
33.00,33.15,33.15,33.00
32.54,31.92,33.00,31.61
33.39,33.36,33.39,33.00
32.49,32.90,32.90,32.49
33.50,34.70,34.70,33.50
34.31,34.67,34.67,34.31
34.40,34.38,34.40,34.35
34.75,34.75,34.75,34.75
34.31,34.05,34.38,34.00
34.29,33.86,34.29,33.86
33.86,33.86,33.86,33.86
34.55,34.26,34.55,34.15
34.75,34.00,34.75,34.00
34.64,34.28,34.64,34.06
34.74,35.00,35.00,34.52
36.92,34.64,37.99,34.64
35.60,35.50,35.60,35.50
37.97,36.00,37.97,35.76
35.60,36.05,36.05,35.25
36.00,36.00,36.00,36.00
36.49,36.25,36.49,36.00
36.00,36.02,36.02,36.00
36.02,36.05,36.05,36.00
36.00,36.00,36.05,36.00
36.00,36.00,36.50,36.00
36.00,36.00,36.00,36.00
36.00,36.01,36.01,36.00
36.00,36.06,36.06,36.00
36.06,36.06,36.06,36.06
36.06,36.33,36.33,36.06
36.15,36.15,36.15,36.15
36.00,35.95,36.00,35.90
36.36,36.36,36.36,36.36
36.50,36.10,36.52,36.10
36.10,36.10,36.10,36.10
36.82,36.10,38.05,36.10
36.00,36.57,37.75,36.00
36.05,36.02,36.05,36.02
36.17,36.86,37.50,36.17
36.86,36.86,36.86,36.86
37.50,37.83,37.97,36.68
36.63,36.63,36.63,36.63
36.63,36.63,36.63,36.63
36.71,36.71,36.71,36.71
37.74,36.76,37.87,36.67
36.76,36.76,36.76,36.76
36.79,37.73,37.73,36.79
37.72,37.72,37.72,37.72
37.72,37.72,37.72,37.72
37.72,38.00,38.00,37.72
36.50,37.66,37.66,36.50
37.00,37.00,37.00,37.00
37.00,37.00,37.00,37.00
37.00,37.00,37.00,37.00
37.00,37.00,37.00,37.00
37.00,37.00,37.00,37.00
37.97,36.56,37.97,36.56
36.70,36.70,36.70,36.70
36.70,36.70,36.70,36.70
36.70,36.70,36.70,36.70
38.00,38.00,38.00,38.00
38.00,38.00,38.00,38.00
38.00,38.00,38.00,38.00
38.00,38.00,38.00,38.00
38.00,38.00,38.00,38.00
37.93,37.93,37.95,37.93
37.90,38.00,38.00,37.90
37.89,36.79,38.00,36.15
37.10,36.93,37.10,36.91
37.93,37.10,37.93,37.10
37.10,37.10,37.10,37.10
35.60,36.15,36.15,35.60
36.15,36.15,36.15,36.15
36.15,36.15,36.15,36.15
36.15,36.15,36.15,36.15
37.80,37.80,37.80,37.80
37.15,37.15,37.15,37.15
36.70,36.70,36.70,36.70
36.70,36.70,36.70,36.70
36.67,36.96,36.96,36.66
37.34,37.40,37.40,37.34
37.40,37.50,37.50,37.40
38.00,37.29,38.00,37.29
37.29,37.29,37.29,37.29
38.50,38.50,38.50,38.50
38.50,38.50,38.50,38.50
38.50,36.72,38.50,36.72
36.73,36.72,36.73,36.72
