APD,Air Products and Chemicals,NASDAQ
82.11,83.16,83.26,81.71
82.90,82.47,83.16,81.90
82.00,81.79,82.68,81.50
81.81,81.32,82.07,80.87
81.14,81.84,82.22,80.95
82.68,83.34,83.55,82.27
82.42,82.28,83.19,81.76
82.38,83.10,83.11,81.76
82.96,82.07,83.80,81.81
82.23,82.77,82.96,81.95
82.95,82.58,83.04,81.99
82.00,81.48,82.00,81.12
81.34,79.86,82.31,79.81
79.86,78.07,80.88,77.97
79.09,80.26,80.94,79.09
79.47,79.58,81.08,79.00
79.58,78.86,80.25,77.73
79.22,77.04,79.48,76.93
77.15,75.96,77.59,75.91
76.65,76.81,77.08,75.33
76.85,76.62,77.64,76.00
76.22,76.19,76.97,75.70
75.52,73.69,75.96,73.66
67.65,68.64,69.17,65.05
68.71,68.35,70.19,68.02
67.89,67.95,68.85,67.47
69.10,68.22,69.10,67.09
68.32,68.40,69.09,67.50
67.67,68.53,69.21,67.00
69.31,70.41,70.57,68.94
70.48,70.18,72.00,69.83
70.30,69.95,70.46,69.66
69.90,69.64,70.00,69.09
69.67,69.92,70.02,69.50
69.81,70.07,70.59,69.66
70.34,69.87,70.34,69.70
69.24,68.98,69.32,68.32
69.06,68.58,69.26,68.46
68.80,69.16,69.21,68.04
69.67,70.67,71.01,69.42
71.19,71.32,71.68,70.52
71.46,71.89,72.04,71.01
72.32,73.50,73.54,72.00
73.55,74.20,74.35,73.55
73.84,74.23,74.62,73.57
74.33,74.40,74.84,73.58
73.97,74.66,74.66,73.33
74.90,74.56,75.10,74.39
74.53,74.12,74.75,73.71
74.41,74.88,74.97,74.27
75.01,74.55,75.30,74.16
74.85,74.76,74.89,74.09
74.90,74.44,75.24,74.12
73.98,75.01,75.27,73.98
74.96,75.54,75.54,74.35
75.16,74.81,75.24,74.40
75.33,73.70,75.44,73.66
73.90,74.32,74.90,73.72
74.57,74.30,75.09,73.43
73.74,74.09,74.25,72.78
74.09,73.95,74.58,73.83
74.44,73.87,74.54,73.51
73.99,74.17,74.33,73.36
73.88,74.63,74.69,73.78
74.10,74.06,74.85,73.85
73.75,74.10,74.18,73.19
74.30,75.36,75.43,73.90
75.36,75.34,75.57,74.96
75.13,74.95,75.34,74.58
75.35,76.01,76.10,75.00
75.63,76.75,77.08,75.44
76.55,76.03,77.25,75.79
75.54,75.85,76.08,74.72
76.48,76.46,76.81,76.08
76.69,76.67,77.00,76.14
76.26,77.32,77.40,75.35
77.25,79.22,79.25,77.25
80.16,79.00,80.24,79.00
78.82,77.42,79.16,77.23
78.08,78.06,78.31,76.40
78.47,78.03,78.89,77.77
78.22,76.78,78.54,76.78
77.30,77.01,77.36,76.45
76.01,74.77,76.46,74.37
74.09,74.14,74.68,73.50
73.61,72.28,74.47,68.59
72.14,70.98,73.25,70.54
72.82,72.59,73.57,71.81
71.97,71.67,72.79,71.57
71.81,72.57,72.60,71.52
72.26,71.47,72.44,71.46
70.76,69.57,70.80,68.79
69.62,70.58,71.15,69.15
71.21,70.05,72.50,69.82
69.78,69.39,69.81,68.62
67.64,66.01,68.28,66.00
64.76,66.94,67.05,64.57
66.50,65.97,67.16,65.94
64.63,67.35,67.42,64.47
67.92,68.58,69.54,67.46
69.83,70.68,70.68,68.48
70.66,69.06,70.66,68.72
68.30,67.42,69.39,67.36
67.62,69.12,69.13,67.45
69.24,68.97,69.37,67.81
67.43,66.55,68.16,66.46
66.82,65.60,67.27,65.54
65.69,66.81,66.86,65.51
67.50,67.50,68.73,67.18
68.49,68.91,69.36,68.15
68.30,69.43,69.43,68.25
69.83,69.02,70.50,68.96
69.70,70.24,70.24,69.28
69.58,70.54,70.80,69.58
70.91,70.65,70.98,69.70
70.89,71.54,72.04,70.83
72.36,71.15,72.94,70.63
71.30,70.22,72.00,70.18
70.11,69.00,70.23,68.39
68.45,67.32,69.81,67.14
67.38,68.58,68.64,66.85
68.79,67.79,69.07,67.54
66.38,65.52,66.48,65.20
65.29,64.81,66.02,64.62
64.54,65.00,65.51,64.54
65.12,64.97,65.59,64.13
65.64,65.74,66.31,65.09
65.82,67.74,67.76,65.63
68.53,68.78,68.91,67.84
69.27,69.74,69.85,69.03
69.21,69.17,69.64,68.76
69.73,70.93,71.38,69.73
70.00,70.26,70.80,69.68
70.25,70.32,70.50,69.36
70.13,69.32,70.17,69.03
69.49,69.32,69.84,68.68
68.64,70.77,70.84,68.54
71.13,70.05,71.35,69.40
71.10,71.60,73.60,70.99
69.89,72.09,72.12,69.89
72.33,72.80,72.81,72.06
73.38,72.37,73.50,72.12
72.15,72.51,72.77,72.01
72.95,72.69,73.99,72.04
72.09,72.58,72.96,71.75
73.58,74.99,75.22,73.41
74.57,75.68,75.74,74.28
75.54,76.70,76.95,75.41
76.33,77.06,77.14,76.06
76.59,76.22,77.22,75.47
76.68,77.00,77.10,76.49
76.17,76.93,77.48,75.84
75.51,75.40,75.63,74.31
74.29,74.70,74.98,73.82
74.31,75.68,75.79,74.15
74.84,75.90,76.57,74.51
76.72,76.72,77.84,76.57
