PLUG,Plug Power,NASDAQ
0.74,0.70,0.76,0.70
0.73,0.70,0.73,0.69
0.69,0.67,0.69,0.66
0.68,0.67,0.68,0.65
0.69,0.68,0.71,0.67
0.70,0.68,0.71,0.68
0.69,0.68,0.70,0.68
0.67,0.66,0.69,0.66
0.67,0.67,0.69,0.66
0.69,0.66,0.69,0.64
0.68,0.65,0.68,0.64
0.66,0.64,0.66,0.64
0.65,0.60,0.66,0.58
0.61,0.57,0.61,0.54
0.58,0.57,0.60,0.57
0.57,0.57,0.60,0.57
0.57,0.58,0.60,0.56
0.58,0.57,0.59,0.56
0.57,0.58,0.59,0.57
0.59,0.58,0.59,0.57
0.57,0.58,0.58,0.56
0.57,0.56,0.58,0.56
0.56,0.56,0.65,0.55
0.56,0.52,0.57,0.50
0.53,0.54,0.55,0.50
0.51,0.52,0.53,0.51
0.50,0.52,0.53,0.50
0.50,0.51,0.53,0.50
0.50,0.53,0.53,0.49
0.54,0.52,0.54,0.51
0.51,0.54,0.55,0.51
0.55,0.55,0.56,0.54
0.57,0.54,0.57,0.50
0.55,0.54,0.56,0.53
0.53,0.53,0.55,0.52
0.52,0.51,0.53,0.51
0.51,0.50,0.53,0.49
0.50,0.53,0.53,0.50
0.54,0.53,0.55,0.53
0.53,0.54,0.54,0.52
0.54,0.53,0.55,0.53
0.55,0.54,0.55,0.53
0.53,0.55,0.55,0.53
0.55,0.56,0.58,0.54
0.58,0.58,0.59,0.55
0.59,0.57,0.59,0.55
0.57,0.59,0.59,0.56
0.61,0.62,0.63,0.59
0.63,0.58,0.65,0.57
0.57,0.59,0.60,0.56
0.61,0.61,0.64,0.60
0.60,0.62,0.63,0.59
0.63,0.58,0.64,0.58
0.58,0.61,0.62,0.58
0.64,0.65,0.70,0.63
0.66,0.71,0.72,0.65
0.72,0.74,0.75,0.71
0.75,0.74,0.75,0.68
0.72,0.65,0.72,0.62
0.65,0.63,0.69,0.59
0.63,0.69,0.69,0.63
0.68,0.66,0.72,0.66
0.67,0.73,0.73,0.66
0.69,0.71,0.73,0.68
0.67,0.72,0.72,0.67
0.68,0.68,0.70,0.68
0.68,0.69,0.70,0.68
0.68,0.65,0.69,0.65
0.65,0.64,0.67,0.63
0.63,0.66,0.67,0.63
0.65,0.64,0.68,0.64
0.65,0.66,0.66,0.62
0.66,0.63,0.67,0.62
0.66,0.66,0.66,0.63
0.65,0.62,0.66,0.62
0.62,0.66,0.66,0.62
0.66,0.65,0.66,0.64
0.66,0.67,0.67,0.65
0.67,0.69,0.69,0.64
0.69,0.68,0.69,0.65
0.66,0.64,0.66,0.63
0.64,0.66,0.66,0.63
0.65,0.64,0.65,0.63
0.63,0.61,0.65,0.60
0.61,0.60,0.61,0.60
0.60,0.57,0.62,0.55
0.57,0.58,0.59,0.55
0.61,0.58,0.61,0.58
0.57,0.55,0.58,0.52
0.55,0.54,0.58,0.53
0.57,0.50,0.57,0.49
0.50,0.52,0.52,0.48
0.52,0.48,0.52,0.48
0.50,0.49,0.53,0.49
0.50,0.48,0.52,0.48
0.49,0.51,0.51,0.47
0.50,0.47,0.51,0.47
0.47,0.46,0.49,0.46
