MJN,Mead Johnson Nutrition Company Common Stock,NASDAQ
43.89,44.99,45.50,43.89
45.04,44.61,45.28,44.15
44.58,45.26,45.28,44.29
45.26,45.96,46.16,45.26
46.00,45.23,46.04,45.02
45.57,45.59,45.66,45.00
45.54,45.49,45.86,45.27
45.40,46.29,46.47,45.27
46.40,46.31,46.65,46.06
46.56,46.81,47.01,46.06
47.19,46.90,47.45,46.61
46.50,46.10,46.82,45.75
46.31,45.12,46.44,45.05
45.00,44.53,45.42,44.30
44.89,43.62,44.96,43.59
43.52,44.15,44.33,43.50
43.92,44.00,44.29,43.50
44.22,45.17,47.86,44.22
45.76,45.23,46.06,45.08
45.43,46.25,46.35,45.25
46.33,45.89,47.08,45.83
45.95,47.00,47.10,45.79
46.74,46.51,46.74,45.89
46.26,46.29,46.48,45.79
46.17,46.05,46.53,45.94
46.34,46.60,47.03,45.92
46.53,46.56,46.85,45.90
46.47,45.30,46.47,45.21
45.30,45.05,45.60,44.92
45.40,45.40,45.48,44.32
45.42,46.43,46.47,45.28
46.45,46.47,46.50,45.78
46.39,46.78,46.78,46.24
46.76,46.68,47.00,46.34
46.78,46.21,46.94,46.00
46.45,46.30,46.85,45.96
45.96,46.88,47.12,45.96
47.06,47.30,47.52,46.66
47.43,47.83,48.24,47.15
47.83,48.00,48.40,47.75
48.09,48.39,48.50,47.79
48.42,48.50,48.51,48.13
48.86,49.91,49.94,48.50
49.93,49.96,50.05,49.30
49.86,50.68,50.85,49.75
50.61,50.94,50.97,50.54
50.80,51.71,51.86,50.75
51.96,51.99,52.29,51.65
52.04,51.77,52.16,51.57
51.80,51.11,51.80,50.93
51.54,51.41,51.55,50.53
51.40,51.73,52.07,51.35
51.39,51.39,52.25,51.08
51.08,51.47,51.54,51.08
51.44,52.33,52.48,50.90
52.32,51.87,52.68,51.74
52.18,51.52,52.40,51.49
51.76,51.83,51.91,51.50
51.98,52.35,52.44,51.76
52.85,52.20,52.87,52.19
52.24,52.03,52.67,51.89
52.30,52.90,52.91,51.95
52.95,52.31,53.00,52.19
52.29,52.29,52.64,51.59
52.35,51.84,52.55,51.81
51.80,51.96,52.01,51.69
51.98,52.09,52.15,51.75
51.97,52.25,52.74,51.80
52.20,52.32,52.87,51.76
52.31,52.09,52.75,51.76
51.85,51.59,52.05,51.52
51.65,51.40,52.25,50.96
51.49,51.44,51.54,51.02
51.51,51.64,51.73,51.06
51.77,51.76,52.45,51.61
51.76,52.91,52.93,51.36
52.93,53.94,53.99,52.47
54.14,52.53,54.35,52.51
52.57,49.53,52.57,49.46
49.72,50.42,51.06,49.64
51.70,53.58,53.64,51.50
52.76,51.61,53.11,51.59
51.60,51.27,51.95,50.86
50.92,50.26,51.09,50.14
50.00,49.78,50.34,48.74
49.75,48.20,49.75,47.01
48.17,48.31,48.50,46.75
49.95,51.03,51.51,49.95
50.44,51.25,51.79,50.00
51.42,52.42,52.42,51.30
52.47,51.74,52.75,51.72
51.53,50.32,51.74,49.95
50.31,51.15,51.62,50.31
51.45,51.04,52.24,50.85
51.13,51.50,51.61,50.50
50.73,47.61,50.73,47.59
47.19,49.09,49.09,46.45
50.61,48.13,50.61,47.88
46.83,47.99,48.08,46.17
48.27,48.55,48.89,47.46
49.43,49.84,49.85,48.93
50.14,49.32,50.14,49.25
48.90,48.89,49.88,48.60
49.30,49.28,49.59,48.44
49.99,50.02,50.13,49.19
49.34,49.59,50.27,49.06
49.54,48.22,49.57,48.10
48.35,48.75,49.39,47.27
48.97,49.56,50.49,48.51
50.28,51.57,51.60,50.00
51.24,51.90,52.02,51.02
52.60,52.75,53.44,52.39
52.98,53.34,53.39,52.68
52.82,53.93,54.18,52.66
54.22,54.19,54.22,53.55
54.19,54.39,54.57,53.69
54.89,53.44,55.24,53.12
53.52,52.95,54.16,52.83
52.81,52.55,53.12,52.21
52.21,51.90,52.87,51.76
51.86,51.41,51.98,51.12
51.44,52.23,52.43,51.25
51.66,50.57,51.75,50.44
50.41,50.12,51.00,49.84
50.33,50.53,50.63,49.55
50.57,51.17,51.50,50.43
51.75,51.78,52.58,51.20
51.92,53.73,53.79,51.84
54.08,53.79,54.20,52.97
53.90,53.88,54.01,53.30
53.91,53.93,54.20,53.59
54.27,54.12,54.27,53.80
53.94,54.07,54.21,53.46
54.02,54.38,54.39,53.51
54.05,53.02,54.11,52.55
53.14,53.60,53.66,52.82
52.97,53.84,53.89,52.54
53.94,53.20,53.97,53.06
53.73,53.92,54.04,53.27
53.92,54.55,54.65,53.70
54.54,54.28,54.72,54.02
54.59,54.55,54.90,54.22
54.36,52.99,54.55,52.86
52.10,52.28,53.43,50.96
51.87,53.14,53.83,51.56
54.26,53.99,54.66,53.60
54.00,53.30,54.03,53.25
53.49,54.35,54.36,53.27
53.80,53.10,53.80,52.94
52.66,53.33,53.47,52.42
53.46,52.93,53.46,52.91
52.54,53.07,53.33,52.28
51.83,51.21,52.43,51.20
50.53,51.56,51.70,50.51
51.31,52.58,52.86,51.16
52.34,52.45,52.58,52.01
52.89,53.77,53.91,52.69
53.63,53.91,54.30,53.39
53.58,52.94,53.93,52.53
52.47,53.41,53.56,52.23
53.55,52.68,53.88,52.65
52.31,52.48,52.64,52.16
52.15,52.15,52.50,51.70
52.46,52.24,52.71,52.04
52.47,52.46,52.50,51.40
52.49,51.55,52.49,51.55
51.17,52.19,52.39,51.14
53.60,54.03,55.16,53.37
54.31,55.37,55.75,54.21
55.78,55.14,56.00,54.48
55.03,54.63,55.30,54.58
54.76,54.88,55.22,54.65
55.27,55.85,56.35,55.26
55.89,56.70,56.81,55.66
57.02,56.15,57.14,55.70
55.93,55.62,56.32,55.09
55.49,56.08,56.19,55.45
55.75,56.15,56.34,55.75
56.25,55.10,56.25,55.08
55.30,55.65,56.36,55.02
55.78,55.94,56.01,55.23
55.74,56.67,57.07,55.60
56.15,56.01,57.17,55.99
56.57,57.12,58.04,56.54
57.10,56.50,57.11,56.27
56.50,56.66,57.06,55.92
56.67,56.75,56.81,56.09
56.94,56.91,57.17,56.08
56.99,56.25,57.25,55.79
56.11,55.95,56.23,55.60
56.46,56.25,56.72,56.20
56.27,56.00,56.41,55.69
56.13,56.19,56.28,55.58
56.70,56.50,56.82,55.94
56.52,57.91,57.97,56.51
57.85,58.30,58.53,57.45
58.41,58.24,58.97,57.86
58.25,57.77,58.39,57.68
58.39,57.82,58.44,57.41
57.94,58.09,58.36,57.71
57.46,57.40,57.87,57.09
57.47,57.92,58.32,57.47
58.21,58.20,59.46,58.03
58.22,59.04,59.30,58.22
59.27,58.38,59.86,58.31
58.30,57.10,58.51,56.75
56.28,57.28,57.42,56.28
57.85,58.73,59.68,57.85
58.51,58.82,59.30,58.11
59.15,59.15,59.85,58.81
59.50,59.45,59.75,59.21
59.45,59.47,59.63,58.86
59.89,59.45,60.40,59.38
59.69,59.44,59.90,59.34
59.24,59.23,59.31,58.34
59.45,59.58,60.63,59.25
