PESI,Perma-Fix Environmental Services,NASDAQ
2.26,2.32,2.33,2.22
2.31,2.22,2.33,2.19
2.22,2.13,2.30,2.10
2.13,2.22,2.22,2.13
2.21,2.13,2.21,2.10
2.14,2.11,2.17,2.10
2.10,2.05,2.14,2.02
2.06,2.15,2.17,2.06
2.17,2.18,2.18,2.17
2.19,2.05,2.19,2.03
2.11,2.04,2.13,2.00
2.03,1.98,2.03,1.98
2.05,2.00,2.09,2.00
2.01,1.97,2.04,1.95
1.97,1.92,1.98,1.90
1.91,1.92,1.95,1.90
1.91,1.85,1.96,1.81
1.86,1.88,1.90,1.80
1.90,1.84,1.99,1.81
1.85,1.94,1.96,1.79
1.94,1.85,2.00,1.85
1.85,1.81,1.92,1.81
1.80,1.75,1.86,1.75
1.79,1.81,1.84,1.76
1.81,1.80,1.83,1.76
1.82,1.86,1.93,1.75
1.86,1.82,1.86,1.80
1.81,1.95,1.96,1.72
1.99,1.89,1.99,1.86
1.90,1.87,1.93,1.85
1.87,1.91,1.92,1.85
1.94,1.92,1.94,1.89
1.92,1.90,1.97,1.89
1.90,1.94,1.95,1.88
1.93,1.99,2.00,1.93
1.98,2.00,2.00,1.97
1.97,1.95,1.99,1.91
1.95,1.93,2.00,1.92
1.95,2.00,2.00,1.95
2.01,2.10,2.10,1.99
2.14,2.14,2.19,2.10
2.15,2.10,2.15,2.02
2.11,2.09,2.12,2.06
2.10,2.13,2.14,2.07
2.13,2.16,2.16,2.10
2.25,2.34,2.51,2.24
2.35,2.34,2.39,2.28
2.36,2.29,2.37,2.21
2.34,2.36,2.36,2.22
2.38,2.37,2.38,2.33
2.38,2.38,2.38,2.30
2.38,2.37,2.40,2.35
2.38,2.38,2.39,2.35
2.38,2.45,2.47,2.36
2.44,2.43,2.45,2.40
2.41,2.37,2.42,2.33
2.39,2.35,2.44,2.33
2.35,2.37,2.39,2.32
2.36,2.29,2.36,2.28
2.29,2.24,2.30,2.21
2.23,2.24,2.27,2.20
2.26,2.24,2.28,2.20
2.26,2.28,2.28,2.24
2.26,2.27,2.27,2.18
2.24,2.15,2.27,2.13
2.14,2.10,2.16,2.01
2.13,2.11,2.15,2.10
2.11,2.12,2.16,2.11
2.12,2.13,2.16,2.10
2.14,2.21,2.23,2.12
2.21,2.25,2.25,2.19
2.26,2.30,2.32,2.26
2.30,2.33,2.33,2.30
2.37,2.31,2.38,2.25
2.33,2.24,2.37,2.21
2.23,2.24,2.28,2.23
2.25,2.24,2.25,2.22
2.24,2.24,2.25,2.21
2.24,2.23,2.25,2.19
2.23,2.20,2.23,2.15
2.20,2.24,2.24,2.17
2.24,2.14,2.25,2.13
2.14,2.25,2.25,2.12
2.25,2.20,2.25,2.16
2.23,2.23,2.25,2.18
2.23,2.01,2.24,2.00
2.01,1.96,2.10,1.96
1.98,1.99,2.07,1.94
1.98,2.05,2.05,1.86
2.05,2.08,2.09,1.99
2.12,2.07,2.13,2.03
2.05,1.94,2.05,1.93
1.96,1.88,1.99,1.85
1.85,1.84,1.91,1.82
1.84,1.72,1.84,1.72
1.72,1.76,1.83,1.72
1.74,1.76,1.81,1.72
1.78,1.75,1.80,1.74
1.74,1.66,1.76,1.65
1.67,1.64,1.75,1.64
1.67,1.83,1.83,1.67
1.83,1.77,1.88,1.76
1.76,1.65,1.78,1.65
1.66,1.77,1.78,1.66
1.77,1.78,1.81,1.75
1.75,1.64,1.78,1.64
1.71,1.59,1.72,1.58
1.61,1.59,1.65,1.59
1.61,1.52,1.68,1.51
1.55,1.57,1.62,1.51
1.57,1.65,1.65,1.55
1.66,1.60,1.73,1.59
1.64,1.60,1.67,1.58
1.60,1.63,1.66,1.58
1.65,1.75,1.77,1.65
1.77,1.97,2.06,1.76
2.00,1.81,2.05,1.74
1.83,1.83,1.90,1.81
1.84,1.87,1.88,1.81
1.86,1.81,1.87,1.81
1.83,1.70,1.85,1.68
1.72,1.70,1.85,1.66
1.71,1.65,1.71,1.60
1.63,1.61,1.69,1.59
1.60,1.66,1.76,1.60
1.70,1.60,1.72,1.60
1.62,1.61,1.74,1.60
1.65,1.47,1.65,1.43
1.54,1.59,1.59,1.50
1.61,1.72,1.72,1.55
1.68,1.70,1.72,1.60
1.72,1.83,1.84,1.66
1.84,1.80,1.90,1.77
1.77,1.78,1.80,1.71
1.76,1.79,1.90,1.73
1.83,1.73,1.83,1.66
1.73,1.80,1.84,1.71
1.80,1.79,1.85,1.76
1.78,1.80,1.84,1.75
1.81,1.77,1.83,1.77
1.77,1.76,1.80,1.72
1.75,1.67,1.76,1.67
1.69,1.87,1.87,1.66
1.88,1.81,1.88,1.76
1.83,1.80,1.84,1.77
1.83,1.85,1.86,1.79
1.82,1.78,1.82,1.78
1.82,1.85,1.87,1.82
1.89,1.82,1.92,1.79
1.79,1.87,1.87,1.75
1.89,1.87,1.90,1.80
1.84,1.78,1.85,1.76
1.78,1.76,1.79,1.71
1.75,1.68,1.79,1.65
1.70,1.71,1.72,1.67
1.74,1.76,1.82,1.71
1.76,1.70,1.78,1.66
1.73,1.68,1.73,1.67
1.70,1.68,1.70,1.65
1.68,1.72,1.72,1.66
1.69,1.69,1.70,1.65
1.66,1.71,1.76,1.55
1.67,1.69,1.69,1.61
1.70,1.66,1.71,1.64
1.66,1.63,1.70,1.62
1.65,1.67,1.68,1.65
1.65,1.69,1.69,1.64
1.69,1.67,1.69,1.65
1.66,1.68,1.68,1.65
1.66,1.65,1.69,1.65
1.65,1.65,1.66,1.60
1.65,1.65,1.69,1.64
1.69,1.69,1.75,1.67
1.69,1.67,1.75,1.65
1.67,1.67,1.72,1.65
1.73,1.65,1.73,1.65
1.66,1.65,1.67,1.65
1.65,1.68,1.68,1.65
1.67,1.69,1.69,1.65
1.69,1.64,1.69,1.64
1.64,1.64,1.67,1.64
1.64,1.62,1.67,1.60
1.63,1.65,1.66,1.62
