SGA,Saga Communications,NASDAQ
12.50,12.68,12.82,12.46
12.78,13.36,13.36,12.77
13.25,13.06,13.25,13.04
13.15,13.10,13.15,13.10
13.00,12.68,13.00,12.68
12.97,13.01,13.50,12.97
13.01,13.01,13.01,13.01
12.79,13.00,13.06,12.79
13.03,13.03,13.03,13.03
12.80,12.36,13.09,12.36
12.10,11.90,12.36,10.82
12.23,12.05,12.23,11.70
12.00,12.50,12.50,11.95
12.45,12.31,12.60,12.26
12.55,12.80,12.80,12.00
12.80,13.04,13.04,12.80
13.21,13.01,13.45,13.01
13.01,13.01,13.01,13.01
13.05,13.09,13.10,13.01
13.33,13.16,13.50,13.16
13.18,13.28,13.32,13.18
13.75,13.86,14.00,13.50
13.87,13.64,13.87,13.53
13.66,13.40,13.76,13.40
13.61,13.35,13.63,13.35
13.35,13.35,13.35,13.35
13.20,13.07,13.20,13.00
13.07,13.07,13.07,13.07
13.10,13.01,13.10,13.01
13.55,13.70,13.70,13.25
14.13,14.13,14.13,14.13
13.25,13.29,13.29,13.25
14.00,14.10,14.20,14.00
14.82,14.51,14.82,14.36
14.48,14.26,14.48,14.26
14.26,14.26,14.26,14.26
14.50,14.40,14.50,14.40
14.20,14.46,14.46,14.20
14.37,14.25,14.51,14.25
14.23,14.61,14.71,14.23
14.58,14.98,15.46,14.56
14.96,17.26,17.66,14.50
17.15,16.04,17.15,14.33
16.40,18.15,18.35,16.40
18.80,18.55,18.80,18.32
19.91,21.60,21.60,19.14
21.03,21.10,21.25,20.60
20.75,22.16,22.16,20.75
21.42,21.70,22.21,21.41
21.70,23.76,23.99,21.67
25.00,24.15,25.00,24.00
24.50,26.00,26.00,24.50
22.00,22.00,27.47,22.00
22.37,21.37,22.37,20.85
21.38,21.04,21.38,20.25
20.60,21.86,21.86,20.60
21.50,21.53,22.00,21.40
21.10,21.20,21.45,20.96
21.80,22.67,22.70,21.80
22.66,22.60,22.66,22.60
22.61,22.64,22.64,22.11
22.25,22.60,22.60,22.25
22.80,22.38,22.94,22.38
22.38,22.38,22.38,22.38
22.38,21.65,22.45,21.65
22.05,21.70,22.05,21.70
22.45,22.45,22.45,22.45
22.50,22.35,22.50,22.33
22.49,22.77,22.77,22.20
22.80,22.69,22.80,22.50
22.95,22.98,22.98,22.75
22.38,22.78,22.79,22.30
22.98,23.40,23.40,22.28
23.00,23.00,23.00,23.00
22.53,23.00,23.00,22.53
23.54,24.61,25.92,23.51
24.57,25.46,25.46,24.53
25.55,26.59,27.40,25.55
25.93,26.57,27.40,25.93
26.57,26.57,26.57,26.57
26.57,26.46,27.00,26.46
26.99,27.55,29.00,26.58
27.29,27.68,27.68,27.29
27.50,27.55,28.05,26.30
27.05,27.05,27.55,27.05
26.55,26.00,26.55,24.27
25.40,24.11,25.40,24.11
24.38,24.10,24.60,24.01
24.40,25.50,25.51,24.40
25.50,25.74,25.91,25.50
25.99,25.05,25.99,25.04
24.84,23.71,24.84,23.10
24.20,24.50,24.50,23.96
24.25,24.97,24.97,24.01
24.97,24.97,24.97,24.97
24.05,24.00,24.35,24.00
23.55,23.95,24.13,23.50
24.20,24.65,24.77,23.96
24.05,24.00,24.28,23.67
24.00,24.00,24.00,24.00
24.00,24.25,24.49,24.00
24.74,25.34,25.34,24.31
25.40,27.80,27.80,24.55
28.33,27.10,28.40,26.80
27.30,27.90,28.20,27.30
27.94,27.50,28.28,27.20
28.00,26.44,28.49,26.25
26.44,25.39,26.44,25.39
25.70,25.20,25.75,24.80
24.80,24.70,24.80,24.50
24.72,24.58,24.72,24.25
24.26,24.75,24.99,24.26
25.00,26.01,26.01,24.52
26.27,26.67,26.67,26.01
27.38,26.43,27.38,26.40
26.40,25.90,26.40,25.90
26.38,26.33,26.38,25.85
26.80,26.21,26.80,26.20
26.23,25.95,26.23,25.90
26.87,25.31,26.87,24.99
25.27,24.07,25.31,24.07
24.70,24.10,24.70,23.70
23.50,23.20,23.55,23.00
23.60,23.88,23.88,23.52
23.43,22.68,23.49,22.50
22.50,22.40,22.50,22.40
22.40,22.75,22.75,22.30
22.75,22.75,22.75,22.75
22.35,22.10,22.35,22.10
22.24,21.90,22.44,21.90
21.90,21.95,21.95,21.80
22.40,22.50,22.65,22.38
22.50,22.25,22.50,22.20
22.52,22.50,22.54,22.30
22.21,22.20,22.23,22.20
22.40,22.20,22.40,22.20
22.20,22.20,22.20,22.20
22.20,22.39,22.44,22.20
22.15,22.16,22.38,22.10
22.21,22.21,22.40,22.10
22.25,22.41,22.45,22.25
22.41,22.37,22.60,22.11
22.29,22.45,22.73,22.29
22.30,22.40,22.42,22.10
22.40,22.40,22.40,22.40
22.15,22.63,23.19,22.15
22.50,22.40,22.55,22.40
22.40,22.40,22.51,22.25
22.40,22.40,22.40,22.40
22.29,22.30,22.90,22.29
22.50,22.49,22.50,22.49
22.15,22.40,22.42,22.15
22.25,22.21,22.30,22.21
22.00,22.00,22.16,21.95
21.90,20.55,22.00,20.55
21.50,20.10,21.50,20.00
20.40,20.50,20.50,20.40
20.35,20.35,20.50,20.01
19.87,20.50,20.50,19.50
19.77,19.86,20.19,19.68
20.60,19.00,20.60,19.00
18.90,17.37,18.90,17.29
17.37,17.35,17.37,17.33
17.37,16.97,17.50,16.97
17.00,16.89,17.30,16.89
16.53,16.77,16.85,16.53
17.00,17.50,17.50,17.00
17.10,18.61,18.61,17.10
18.12,18.50,18.50,18.12
19.10,18.90,19.23,18.83
18.89,18.60,18.89,17.56
18.41,18.48,18.96,18.41
18.48,18.75,18.75,18.48
18.00,18.56,18.90,17.94
18.96,19.75,19.80,18.58
19.14,19.75,19.80,18.71
19.90,19.30,19.90,19.30
18.55,19.17,19.17,18.55
18.40,19.41,19.41,18.40
19.70,19.60,19.70,19.60
19.69,19.81,20.19,19.58
20.20,20.20,20.20,20.15
20.20,20.00,20.20,19.73
19.50,20.00,20.20,19.38
20.00,20.30,20.65,19.98
20.30,20.30,20.30,20.30
20.30,20.30,20.30,20.30
20.30,20.30,20.30,20.27
20.50,20.05,20.50,19.50
20.45,20.28,20.45,20.20
20.15,20.28,20.28,19.99
20.28,19.87,20.28,19.81
19.87,20.30,20.30,19.87
20.30,20.50,20.50,20.28
20.62,20.51,20.62,20.12
19.75,20.33,20.53,19.75
20.65,20.87,20.95,20.59
20.97,22.95,22.95,20.97
22.20,22.29,22.29,22.10
22.29,22.15,22.60,22.00
21.91,21.68,21.91,21.52
21.51,21.26,21.51,21.26
21.14,20.87,21.14,20.87
21.18,20.97,21.18,20.85
20.85,20.85,21.23,20.85
21.50,20.16,21.50,20.16
20.00,20.14,20.14,20.00
20.14,20.40,20.40,20.14
20.38,20.03,20.53,20.03
20.00,20.25,20.33,19.50
20.97,21.56,21.56,20.97
21.56,21.56,21.56,21.56
21.99,21.99,21.99,21.99
22.10,22.14,22.26,21.63
22.15,21.68,22.89,21.68
21.83,21.58,21.95,21.36
21.58,21.58,21.58,21.58
21.40,21.52,21.52,21.40
21.50,21.15,21.50,21.15
21.49,21.80,21.95,21.49
21.95,21.33,21.95,20.95
21.33,21.33,21.33,21.33
20.83,20.99,20.99,20.83
20.75,20.92,21.22,20.75
20.76,21.00,21.00,20.66
21.25,21.16,21.50,21.01
21.91,22.10,22.10,21.41
21.63,21.60,22.10,21.60
21.60,21.60,21.60,21.60
22.17,21.51,22.17,21.51
22.00,22.00,22.50,21.99
22.32,23.50,24.07,22.30
23.70,24.42,24.45,23.23
24.50,24.10,24.50,24.10
24.19,24.17,24.19,24.17
24.17,24.17,24.17,24.17
24.11,23.90,24.11,23.37
24.11,24.03,24.11,24.00
25.95,25.72,26.44,25.59
25.19,24.75,25.19,24.75
25.50,24.40,25.50,24.40
24.40,24.40,24.40,24.40
25.13,25.50,25.50,24.67
25.15,25.50,26.31,25.15
25.50,26.19,26.19,25.02
26.00,26.00,26.03,26.00
26.67,26.31,26.70,26.31
26.01,26.04,26.04,26.01
26.04,26.04,26.04,26.04
26.05,26.05,26.05,26.05
26.05,25.96,26.05,25.96
26.72,26.00,26.72,25.60
26.74,25.15,26.74,25.15
25.70,25.11,26.19,24.13
24.32,24.70,24.94,24.29
24.48,24.60,24.89,24.46
24.43,24.43,24.43,24.43
24.25,24.40,24.40,24.22
24.04,24.60,24.60,24.04
25.30,25.30,25.79,25.27
26.05,26.51,26.51,26.05
26.75,26.20,26.75,26.20
26.20,26.75,26.75,26.20
26.00,25.47,26.00,25.47
25.47,26.19,26.19,25.47
26.20,26.30,26.66,25.60
25.16,25.16,25.16,25.16
26.40,26.63,26.66,26.00
26.66,26.25,26.66,26.25
26.72,26.75,26.75,26.72
26.00,25.45,26.00,25.00
25.85,25.85,25.85,25.72
26.90,26.02,26.90,26.02
26.02,26.02,26.02,25.52
26.02,26.71,26.71,26.02
26.99,26.99,27.00,26.95
27.75,27.80,27.80,26.95
27.80,27.80,27.80,27.80
27.25,27.22,27.25,27.22
27.97,27.63,28.00,27.63
27.75,27.76,27.76,27.75
27.90,29.28,29.28,27.90
29.64,29.64,29.64,29.64
29.90,29.66,29.90,29.66
29.95,30.59,30.59,29.95
29.99,30.00,30.52,29.74
30.00,29.66,30.00,29.66
29.11,30.00,30.00,29.11
29.48,29.45,29.48,29.45
29.45,29.45,29.45,29.45
28.75,29.00,30.00,28.20
29.50,28.95,29.75,28.69
29.00,29.00,29.55,29.00
29.00,28.50,29.00,28.50
28.50,29.00,29.01,28.50
30.00,29.20,30.00,28.93
29.20,29.20,29.20,29.20
29.20,29.20,29.20,29.20
29.20,29.31,29.97,27.60
28.91,33.00,33.00,28.91
33.97,32.12,33.98,31.50
32.22,32.90,33.90,32.22
32.19,32.14,32.19,32.14
32.72,33.18,33.18,32.11
33.69,33.63,33.75,33.44
34.00,33.66,34.00,33.66
34.00,33.45,34.00,33.02
33.40,33.50,33.50,33.01
33.33,33.39,33.45,33.24
33.20,33.39,33.40,33.06
33.40,33.49,33.49,33.04
33.34,33.63,33.63,33.34
33.16,34.80,34.80,33.00
34.27,34.73,34.80,33.84
34.95,34.84,34.95,34.20
34.81,34.80,35.50,34.80
35.00,34.99,35.33,34.71
35.25,35.50,35.50,35.10
35.28,36.58,36.58,35.28
36.69,36.72,36.99,36.69
36.72,37.09,37.20,36.51
37.05,37.35,37.38,37.05
38.25,38.50,38.50,38.11
38.96,38.96,38.96,38.12
39.00,38.73,39.00,38.50
38.73,38.73,39.25,38.41
38.02,36.89,39.40,36.89
37.65,37.87,37.98,37.53
38.00,35.76,38.06,35.76
37.15,34.61,37.15,33.81
34.79,34.80,34.95,34.09
35.25,35.42,35.53,35.22
34.61,35.50,36.00,34.61
36.06,35.91,36.71,35.91
34.00,35.25,35.42,34.00
35.49,35.74,35.74,35.49
35.19,36.00,36.00,34.64
35.40,35.47,35.47,34.74
36.00,35.72,36.06,34.97
35.01,34.67,35.67,34.27
33.70,31.75,34.88,31.00
31.70,33.00,33.36,31.70
33.53,32.87,33.53,32.47
33.04,33.50,33.54,32.35
33.81,35.68,35.68,33.10
36.37,36.00,36.37,35.16
36.53,37.75,37.95,36.02
38.77,35.15,39.51,35.15
35.66,35.33,35.95,34.90
35.34,33.80,35.34,32.57
33.81,35.14,35.16,33.80
34.86,34.24,35.10,34.09
34.76,33.98,34.81,33.98
33.98,33.98,33.98,33.98
35.20,36.75,37.25,34.74
36.85,34.37,36.85,33.54
34.49,35.59,35.59,33.77
35.15,34.24,35.15,34.00
33.96,33.89,34.38,32.26
34.20,36.70,36.70,33.61
37.19,37.44,37.75,36.02
37.89,37.50,37.89,36.70
36.94,35.97,37.75,34.97
35.49,35.40,36.23,34.72
35.92,36.81,37.49,35.73
36.81,35.83,37.50,33.96
35.44,36.66,37.10,34.26
36.76,34.86,37.46,33.90
33.85,35.21,36.60,33.16
35.62,37.06,37.70,35.50
37.60,37.24,37.70,37.02
37.19,37.80,37.98,36.03
38.00,37.00,38.74,36.52
37.21,38.15,38.15,35.00
37.72,39.23,40.45,37.72
39.23,36.27,39.37,35.22
36.70,37.00,37.23,36.70
37.05,38.69,38.74,37.04
38.96,39.30,39.48,37.89
39.60,37.88,39.60,36.54
38.02,38.57,38.75,37.73
37.88,37.06,37.88,35.53
37.05,36.24,37.53,36.13
36.33,37.50,37.69,36.33
37.09,36.44,37.50,36.05
36.95,35.81,36.95,35.45
36.19,36.65,36.88,35.59
36.48,35.94,36.48,35.32
36.55,37.40,37.53,36.15
37.60,37.69,37.69,37.60
38.49,38.49,38.49,38.49
38.53,38.50,38.53,37.77
38.21,38.01,38.27,37.79
37.91,37.43,37.91,37.10
37.47,34.55,37.88,34.55
34.50,33.24,35.01,33.13
32.52,32.52,32.52,32.52
33.23,30.86,33.23,30.03
30.60,30.38,31.14,30.31
30.00,30.06,31.05,30.00
29.97,29.99,30.49,29.97
30.31,29.38,30.47,29.00
28.71,29.00,32.10,28.71
28.36,33.65,33.65,28.00
32.85,29.53,34.16,29.52
29.66,29.81,30.48,28.27
29.92,29.48,30.50,29.01
29.48,29.46,29.48,28.79
28.80,28.70,28.80,27.77
28.68,30.25,30.47,28.68
29.99,29.61,30.40,29.61
29.34,28.95,30.03,28.53
28.93,29.15,29.51,28.89
29.50,29.50,29.50,29.50
29.67,29.93,29.93,29.67
30.33,29.43,30.33,29.43
29.30,30.17,30.17,29.30
30.66,31.30,31.30,30.65
30.94,30.87,31.10,30.49
30.87,31.25,31.60,30.52
30.94,28.43,31.62,28.43
28.44,27.35,28.44,27.35
27.35,27.42,27.99,27.05
28.00,29.64,29.88,28.00
29.02,29.62,30.16,29.02
29.10,27.25,29.10,27.07
27.13,26.90,27.29,26.90
27.03,27.04,27.60,26.85
27.40,27.54,27.88,26.92
27.98,28.00,28.67,27.34
28.26,28.74,28.91,28.07
28.04,28.00,28.66,28.00
28.00,27.99,28.63,27.99
28.00,27.80,28.00,27.80
27.70,27.69,28.39,27.69
27.89,27.90,28.55,27.84
28.59,28.64,28.65,28.39
29.58,30.84,30.85,28.07
30.54,29.22,31.70,28.30
29.64,29.98,29.98,27.90
29.70,29.51,29.70,29.16
29.32,26.80,29.32,26.80
26.91,28.71,29.67,26.65
28.90,29.04,29.04,28.10
29.12,29.49,29.50,28.52
29.44,29.00,29.50,27.30
29.26,29.46,29.80,28.05
29.49,30.24,30.60,29.42
30.54,32.80,32.80,30.54
31.91,34.90,34.90,31.91
35.45,35.97,36.10,33.20
35.61,36.01,36.45,35.61
35.29,37.72,38.50,35.29
37.99,37.13,38.49,37.02
37.17,36.66,37.17,36.00
37.52,37.03,38.00,36.23
40.08,38.00,40.08,37.24
37.76,36.25,38.00,35.45
36.97,37.25,37.93,33.80
38.25,37.75,38.25,37.38
37.50,37.84,38.44,37.25
37.58,37.50,38.02,37.11
33.44,36.30,37.64,33.35
36.62,36.13,36.91,33.87
35.50,37.79,37.79,35.50
38.45,36.76,38.45,36.74
36.76,37.19,37.60,36.01
37.39,37.15,37.46,36.15
36.36,34.60,37.80,34.60
34.93,35.00,36.10,33.10
35.00,36.00,36.00,34.57
35.77,35.72,37.73,35.16
35.49,35.70,37.70,35.00
35.34,35.45,35.98,35.21
37.00,34.59,37.00,34.59
34.63,36.30,37.68,34.63
35.57,34.72,35.57,34.65
35.04,35.45,37.00,34.30
34.45,32.97,35.52,32.97
32.79,29.25,32.79,29.25
31.11,31.24,32.00,30.42
31.17,30.98,33.00,30.60
32.06,35.30,35.30,31.44
35.19,34.89,37.25,34.59
34.97,35.94,35.94,34.97
36.37,37.35,37.50,35.81
36.99,37.51,38.00,35.30
37.52,36.74,37.60,36.05
36.83,35.60,37.73,35.16
33.53,37.00,37.25,33.53
36.55,36.72,37.58,34.90
36.80,36.44,37.00,36.02
36.88,36.90,38.54,35.57
37.42,36.82,37.42,35.70
37.40,36.33,37.40,36.02
36.56,35.30,36.56,34.80
36.30,37.10,37.10,35.89
37.34,36.18,37.73,34.55
36.56,37.13,37.40,33.65
37.08,37.61,37.78,36.61
37.28,36.80,37.28,36.03
36.79,36.01,38.35,36.01
36.36,37.86,38.10,36.25
37.49,37.38,38.00,36.62
38.30,38.14,38.38,36.50
37.67,38.37,38.37,37.61
38.12,37.72,38.12,37.03
37.51,36.95,37.80,36.92
37.25,38.04,38.04,36.62
38.32,37.99,38.32,37.29
37.89,37.70,38.24,37.22
38.04,38.39,38.39,37.56
37.66,37.50,37.75,37.50
37.90,37.98,38.15,37.53
38.08,38.50,38.50,37.93
38.43,38.43,38.50,38.01
38.50,38.38,38.50,38.03
38.48,38.50,38.50,37.31
38.00,38.56,38.56,38.00
38.50,39.00,39.00,38.50
39.00,40.00,40.00,38.88
39.58,41.05,41.05,39.58
40.24,40.96,41.45,40.24
41.54,41.25,41.97,41.08
41.72,45.10,45.10,41.58
45.20,45.46,46.11,44.14
46.00,47.40,47.98,45.52
47.79,46.09,47.86,46.09
46.00,45.90,46.52,45.60
45.85,45.69,45.85,45.69
46.04,44.83,46.04,44.83
44.50,43.84,45.25,43.74
44.00,43.70,44.98,43.55
43.23,43.24,43.94,43.02
43.24,42.89,43.34,42.51
43.15,42.32,43.31,41.04
42.51,42.37,43.49,42.37
42.96,42.04,42.96,42.02
41.69,40.78,42.24,40.64
40.80,40.83,40.83,40.05
41.00,40.08,41.00,40.08
39.71,39.71,39.84,38.02
39.10,39.29,39.29,39.10
39.19,37.52,39.19,37.52
37.85,36.40,37.88,36.15
36.40,36.00,37.06,35.75
36.00,35.60,36.05,35.52
35.50,35.42,35.73,35.25
35.67,36.20,36.34,35.67
36.19,36.48,36.48,35.68
36.69,38.00,38.00,36.69
37.96,38.81,38.98,37.96
39.23,41.40,41.40,39.23
41.23,40.73,41.23,40.73
41.09,41.00,41.24,40.50
40.83,40.45,40.99,40.08
40.27,40.91,40.91,39.40
40.25,39.99,40.26,39.00
40.36,40.38,40.79,40.36
39.67,39.80,39.80,39.67
39.79,40.01,40.25,39.79
40.38,40.94,40.94,39.35
40.72,36.50,40.97,35.34
36.49,35.79,37.45,35.78
35.73,35.81,36.15,35.37
36.43,35.80,36.73,35.80
35.98,35.49,35.98,35.10
35.62,35.34,35.72,35.34
35.10,35.22,35.90,35.10
35.30,35.36,35.83,35.30
35.05,35.15,35.62,35.05
35.37,34.75,35.98,34.74
35.34,35.68,35.98,35.34
35.82,36.88,36.96,35.82
36.92,35.86,36.92,35.86
36.20,36.40,36.71,36.00
36.73,36.82,36.82,36.28
36.37,35.89,36.40,35.89
35.89,35.07,35.89,34.87
35.72,36.23,36.34,35.21
35.36,35.01,35.73,35.01
35.05,35.95,36.02,35.05
35.95,36.49,36.49,35.95
36.36,37.32,37.32,36.36
37.34,37.74,37.98,37.07
37.34,37.66,37.66,36.53
37.09,37.54,38.56,36.69
37.47,37.10,37.47,36.10
37.01,36.05,37.01,36.05
35.96,35.09,35.96,34.55
34.86,34.71,35.08,34.65
34.70,35.31,35.60,34.70
34.92,35.08,35.49,34.84
35.43,35.68,35.68,35.43
35.30,34.78,35.30,34.55
34.65,34.68,34.77,34.65
34.79,35.26,35.55,34.75
35.00,34.50,35.38,34.50
34.62,34.26,34.62,34.26
34.20,34.50,35.20,34.20
34.59,34.89,34.94,34.59
35.00,34.50,35.00,34.50
34.50,34.99,34.99,34.39
35.04,34.74,35.06,34.51
34.97,34.47,34.97,34.47
34.93,34.88,34.93,34.74
34.68,34.35,34.72,34.35
34.37,34.90,34.91,34.31
34.18,34.14,34.79,34.14
34.51,34.60,34.94,34.51
34.54,34.91,35.00,34.53
35.00,34.81,35.00,34.14
34.74,34.45,35.00,34.12
34.17,34.37,34.54,34.16
34.83,34.12,34.99,34.12
34.37,34.74,34.75,34.18
34.75,34.09,34.75,34.09
34.43,34.90,34.90,34.36
34.88,35.10,35.28,34.62
34.97,35.41,35.77,34.07
35.63,35.98,35.98,35.07
35.94,34.78,35.95,34.63
35.05,34.56,35.50,34.31
35.05,37.50,37.50,34.28
36.48,37.20,37.80,35.75
37.26,37.18,37.26,36.80
37.07,37.35,37.35,37.07
37.18,36.82,37.18,36.51
37.75,37.11,37.75,36.82
37.40,37.71,37.71,36.79
37.71,36.73,37.71,36.47
36.89,36.73,36.89,36.36
36.50,36.11,36.90,36.11
36.42,36.59,36.90,36.20
37.07,36.60,37.07,36.56
36.87,36.20,36.98,35.71
35.98,35.99,36.20,35.88
36.15,36.11,36.29,36.00
35.45,35.62,35.62,35.45
35.66,35.96,35.96,35.65
35.90,36.15,36.15,35.35
36.24,35.93,36.43,35.53
35.65,35.65,35.86,35.10
35.84,35.29,35.85,35.06
35.38,34.46,35.38,34.09
34.69,34.16,35.00,34.16
34.82,34.37,35.43,34.05
34.27,34.75,34.85,34.27
34.47,35.03,35.25,34.15
34.84,33.90,35.17,33.90
34.30,33.75,34.48,33.75
33.90,33.75,34.14,33.75
34.40,34.89,34.89,33.85
34.82,35.14,35.14,34.44
35.40,35.96,35.96,35.02
35.35,35.15,35.65,34.80
35.28,35.25,35.94,35.15
34.84,35.40,35.60,34.61
35.60,35.75,35.76,35.04
35.78,35.91,36.40,35.72
35.99,36.39,36.48,35.96
36.56,36.72,36.72,36.18
36.58,38.25,38.25,36.58
38.25,39.29,39.58,38.25
39.68,39.50,40.00,39.41
39.42,39.01,39.50,38.36
38.76,38.76,38.76,38.76
38.76,39.75,39.82,38.76
39.93,40.05,40.37,39.29
39.84,40.08,40.08,39.80
39.95,40.48,40.48,39.95
39.85,38.60,39.85,38.60
39.32,40.80,40.80,39.32
40.10,41.67,41.67,40.10
41.98,40.75,41.98,40.67
41.20,41.70,41.79,41.06
41.25,41.21,41.51,41.09
40.97,41.16,41.37,40.97
41.39,41.56,41.56,40.90
41.47,41.43,41.73,41.05
41.57,42.39,42.69,41.04
42.40,42.81,42.81,41.62
42.29,41.84,42.29,41.75
42.00,41.34,42.42,40.75
41.36,39.14,41.36,38.95
38.76,38.51,38.95,38.51
39.48,38.40,40.40,38.40
38.83,39.15,39.84,38.61
39.49,38.43,39.50,38.43
38.48,38.48,38.48,37.63
38.83,39.98,39.98,38.83
39.81,40.52,40.93,39.55
40.52,41.75,41.75,40.48
41.82,40.85,42.00,39.96
40.85,42.15,42.57,40.85
42.44,43.11,43.92,42.22
43.42,43.75,43.75,43.00
43.75,43.37,43.76,43.00
43.53,42.82,43.53,42.80
42.70,42.73,42.97,42.07
43.30,43.80,43.82,43.20
43.70,43.62,43.90,43.62
43.62,43.51,43.68,43.19
43.45,43.25,43.70,42.97
43.39,43.38,44.23,43.15
43.66,43.62,43.66,43.25
43.08,42.52,43.25,42.52
42.55,42.43,42.79,42.43
42.44,40.70,42.65,40.22
40.78,41.28,42.15,40.78
41.88,41.70,41.93,41.08
41.74,41.10,42.05,41.10
41.17,42.42,42.42,41.17
42.36,43.42,44.24,42.36
43.72,43.98,44.43,43.72
44.33,44.68,44.81,44.02
44.79,44.79,45.31,44.72
44.25,42.52,44.35,42.52
43.33,41.68,43.33,41.68
41.65,41.92,41.97,41.61
41.92,42.28,42.50,41.92
40.85,40.68,41.49,40.14
40.64,38.25,40.68,38.25
38.30,37.13,38.44,36.85
37.23,37.76,38.04,36.85
37.78,39.92,39.92,37.78
39.80,41.68,42.19,39.80
41.64,42.83,42.99,41.46
43.05,44.03,44.70,43.05
44.00,44.07,44.56,43.80
44.83,43.50,44.83,43.05
43.76,44.38,45.00,43.46
44.84,45.34,45.57,44.27
45.27,45.35,45.66,45.08
45.79,45.27,45.79,45.05
45.50,45.10,45.79,44.50
44.86,45.45,45.45,44.59
45.02,45.01,45.24,45.01
45.00,45.34,45.36,44.81
