UBFO,United Security Bancshares - Common Stock,NASDAQ
4.49,4.50,4.68,4.26
4.50,4.76,4.95,4.35
4.86,4.77,4.86,4.71
4.86,4.75,4.90,4.70
4.67,4.83,4.84,4.67
4.95,4.99,4.99,4.71
4.81,4.89,4.99,4.61
4.71,4.73,4.96,4.70
4.89,4.82,4.95,4.75
4.92,4.78,4.99,4.78
4.73,4.76,4.91,4.62
4.95,4.75,4.95,4.70
4.92,4.75,4.92,4.72
4.83,4.85,4.85,4.80
4.90,4.95,4.98,4.85
4.95,4.93,5.12,4.90
5.11,4.95,5.11,4.90
5.02,5.01,5.05,5.00
5.05,5.05,5.06,5.04
5.07,5.22,5.22,5.05
5.20,5.23,5.39,5.17
5.29,5.24,5.29,5.24
5.29,5.39,5.40,5.17
5.28,4.75,5.39,4.73
5.10,4.78,5.10,4.73
4.91,4.55,4.91,4.51
4.50,4.81,4.86,4.50
4.81,4.81,4.81,4.81
4.86,5.00,5.00,4.86
4.68,5.15,5.15,4.68
5.15,5.14,5.15,5.00
4.88,5.00,5.12,4.88
5.11,5.10,5.11,4.96
5.00,5.00,5.00,5.00
5.12,4.96,5.12,4.96
4.95,4.75,5.12,4.72
4.59,4.61,5.08,4.59
4.95,4.77,4.96,4.77
4.68,4.99,4.99,4.68
4.81,4.98,4.98,4.81
4.92,4.83,4.97,4.61
4.98,4.96,5.12,4.69
4.90,4.75,5.00,4.75
4.83,5.12,5.12,4.76
5.09,4.78,5.09,4.75
4.95,5.23,5.25,4.94
5.23,4.79,5.23,4.75
4.91,5.20,5.21,4.88
5.06,4.80,5.17,4.80
5.08,5.22,5.22,4.90
4.80,4.95,5.25,4.80
5.10,5.36,5.36,5.08
5.07,5.30,5.30,5.01
5.10,5.09,5.24,4.96
5.24,5.24,5.25,4.90
5.06,5.17,5.17,5.06
5.19,4.83,5.19,4.65
4.80,4.65,4.82,4.65
4.55,4.72,4.90,4.07
4.60,5.00,5.20,4.60
5.00,4.95,5.00,4.87
5.00,4.53,5.06,4.49
4.93,4.50,5.08,4.50
4.56,4.65,4.88,4.54
4.80,4.55,4.83,4.55
4.76,4.59,4.76,4.55
4.80,4.59,4.90,4.57
4.84,4.68,4.90,4.40
4.80,4.65,4.89,4.53
4.66,4.71,4.71,4.65
4.66,4.70,4.95,4.66
4.67,4.70,4.95,4.67
4.86,4.74,4.86,4.74
4.70,4.70,4.76,4.70
4.67,4.78,4.86,4.67
4.73,4.70,4.78,4.62
4.74,4.71,5.00,4.61
4.97,4.80,4.97,4.80
4.86,4.86,5.01,4.71
4.82,4.82,4.83,4.70
4.76,4.77,4.82,4.76
4.74,4.70,4.76,4.62
4.82,4.97,5.10,4.67
4.82,4.87,4.99,4.79
4.80,4.80,4.80,4.65
4.99,4.75,5.02,4.75
4.97,4.74,4.97,4.74
4.85,4.85,4.85,4.70
4.67,4.77,4.77,4.66
4.61,4.67,4.74,4.60
4.70,4.70,4.70,4.70
4.65,4.70,4.71,4.65
4.55,4.71,4.80,4.55
4.56,4.69,4.80,4.56
4.70,4.70,4.70,4.70
4.60,4.70,4.74,4.60
4.68,4.84,5.25,4.68
4.80,4.49,4.89,3.92
4.28,4.76,4.76,4.25
4.79,4.96,4.96,4.75
4.91,4.80,4.91,4.80
4.80,4.75,4.80,4.52
4.75,4.52,4.75,4.30
4.48,4.31,4.52,4.31
4.42,4.53,4.62,4.42
4.51,4.50,4.51,4.50
4.50,4.50,4.50,4.50
4.47,4.16,4.47,4.16
4.10,4.36,4.40,4.06
4.36,4.40,4.50,4.35
4.15,4.32,4.32,4.15
4.32,4.32,4.32,4.32
4.02,4.21,4.35,4.02
4.25,4.39,4.50,4.25
4.22,4.39,4.43,4.09
4.30,4.31,4.49,4.20
4.25,4.87,4.90,4.16
4.78,4.30,4.78,4.24
4.39,4.81,4.86,4.39
4.83,4.69,4.83,4.62
4.66,4.63,4.66,4.53
4.63,4.63,4.63,4.63
4.63,4.27,4.63,4.26
4.35,3.64,4.50,3.58
3.70,3.65,3.78,3.50
3.54,3.79,4.45,3.41
3.90,4.20,4.21,3.90
3.98,4.24,4.30,3.98
4.31,4.50,4.55,4.31
4.44,4.35,4.48,4.10
4.22,4.38,4.39,4.22
4.29,4.09,4.30,4.05
4.19,4.31,4.32,3.97
4.29,4.14,4.29,4.13
4.29,4.21,4.35,4.21
4.09,4.26,4.29,4.09
4.26,4.26,4.26,4.26
4.09,4.06,4.23,4.06
4.26,4.47,4.55,4.25
4.49,4.43,4.57,4.38
4.49,4.11,4.56,4.05
4.48,4.39,4.65,4.12
4.62,4.52,4.62,4.33
4.63,4.47,4.63,4.43
4.57,4.20,4.60,4.12
4.31,4.37,4.43,4.22
4.38,4.43,4.48,4.38
4.50,4.25,4.50,4.24
4.29,4.31,4.35,4.29
4.32,4.20,4.36,4.15
4.25,4.15,4.31,4.15
4.22,4.17,4.22,4.15
4.25,4.20,4.25,3.97
4.27,4.26,4.27,4.23
4.25,4.21,4.25,4.21
4.25,4.29,4.48,4.20
4.38,4.42,4.42,4.38
4.42,4.43,4.43,4.39
4.40,4.41,4.41,4.37
4.46,4.45,4.49,4.39
4.30,4.35,4.35,4.30
4.25,4.30,4.30,4.25
4.25,4.37,4.49,4.25
4.31,4.26,4.31,4.24
4.31,4.53,4.55,4.22
4.37,4.30,4.41,4.30
4.44,4.54,4.59,4.44
4.49,4.30,4.49,4.12
4.34,4.30,4.34,4.30
4.30,4.35,4.56,4.30
4.41,4.30,4.52,4.16
4.30,4.30,4.30,4.30
4.32,4.30,4.32,4.30
4.30,4.50,4.53,4.30
4.44,4.51,4.58,4.20
4.33,4.20,4.40,4.20
4.44,4.36,4.46,4.36
4.30,4.30,4.30,4.30
4.30,4.50,4.50,4.30
4.36,4.30,4.38,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.49,4.32,4.50,4.30
4.49,4.49,4.49,4.49
4.36,4.60,4.60,4.35
4.50,4.54,4.55,4.37
4.49,4.43,4.56,4.38
4.53,4.53,4.60,4.32
4.56,4.46,4.66,4.40
4.61,4.57,4.61,4.37
4.38,4.50,4.60,4.38
4.62,4.55,4.62,4.35
4.66,4.42,4.66,4.42
4.43,4.43,4.43,4.43
4.64,4.60,4.66,4.46
4.44,4.75,4.75,4.44
4.74,4.74,4.75,4.65
4.84,4.96,5.00,4.82
4.90,4.90,5.00,4.70
4.71,4.86,4.86,4.71
4.86,4.92,5.00,4.85
4.90,4.91,4.92,4.73
4.81,4.66,5.00,4.66
4.70,4.80,4.89,4.51
4.79,4.69,4.83,4.67
4.76,4.78,4.86,4.67
4.85,4.90,4.90,4.85
4.90,4.90,4.90,4.90
4.89,4.56,4.89,4.56
4.56,4.89,4.98,4.56
4.90,4.69,4.95,4.60
4.70,4.90,4.90,4.70
4.71,4.65,4.71,4.65
4.80,4.78,4.90,4.60
4.83,4.78,4.83,4.78
4.72,4.80,4.84,4.61
4.71,4.77,4.83,4.45
4.71,4.20,4.71,3.92
4.25,3.95,4.26,3.91
4.00,4.10,4.25,4.00
4.12,4.13,4.14,4.12
4.12,3.95,4.12,3.82
4.00,3.85,4.00,3.66
3.90,4.05,4.05,3.85
4.15,4.15,4.16,4.15
4.20,4.10,4.20,4.10
4.01,4.10,4.10,4.01
4.02,3.90,4.05,3.90
3.90,3.68,3.92,3.67
3.75,3.90,4.22,3.75
4.00,3.76,4.00,3.76
3.78,3.79,3.82,3.76
3.90,3.79,3.90,3.79
3.82,3.75,3.83,3.75
3.77,3.68,3.83,3.68
3.60,3.59,3.62,3.52
3.58,3.54,3.58,3.40
3.55,3.55,3.65,3.43
3.50,3.48,3.60,3.45
3.63,3.67,3.67,3.55
3.65,3.77,3.90,3.60
3.74,3.76,3.84,3.65
3.69,3.75,3.78,3.67
3.73,3.75,3.75,3.67
3.72,3.78,3.84,3.65
3.80,3.89,3.98,3.80
3.96,3.81,3.98,3.81
3.85,3.85,3.90,3.74
3.79,3.89,4.00,3.73
3.82,3.76,3.83,3.75
3.75,3.84,3.91,3.75
3.82,3.78,3.84,3.76
3.70,3.76,3.90,3.70
3.69,3.80,3.82,3.69
3.81,3.79,3.85,3.78
3.75,3.85,3.85,3.75
3.71,3.74,3.74,3.58
3.60,3.70,3.70,3.60
3.61,3.60,3.65,3.60
3.59,3.59,3.59,3.59
3.58,3.65,3.74,3.58
3.61,3.53,3.61,3.53
3.64,3.53,3.65,3.53
3.53,3.45,3.53,3.45
3.45,3.50,3.50,3.45
3.45,3.47,3.60,3.45
3.53,3.55,3.55,3.48
3.48,3.50,3.90,3.40
3.50,3.50,3.50,3.50
3.55,3.50,3.56,3.50
3.40,3.18,3.40,3.03
3.14,3.00,3.18,3.00
3.13,3.00,3.13,2.92
3.12,2.87,3.12,2.79
2.88,3.10,3.22,2.88
3.19,3.07,3.19,3.07
3.28,3.15,3.28,3.08
3.15,3.08,3.22,3.06
3.25,3.17,3.25,3.07
3.16,3.15,3.16,3.10
3.16,3.13,3.16,3.10
3.15,3.14,3.15,3.02
3.11,3.14,3.14,3.11
3.11,3.18,3.25,3.11
3.11,3.15,3.15,3.11
3.12,3.11,3.12,3.01
3.10,3.09,3.11,3.08
3.05,3.06,3.10,3.00
3.15,3.14,3.17,3.10
3.14,3.21,3.26,3.14
3.26,3.20,3.26,3.10
3.16,3.20,3.20,3.16
3.21,3.20,3.22,3.15
3.19,3.20,3.26,3.17
3.18,3.18,3.20,3.18
3.21,3.20,3.24,3.17
3.21,3.26,3.26,3.16
3.28,3.33,3.33,3.19
3.28,3.17,3.28,3.17
3.19,3.26,3.36,3.19
3.26,3.19,3.32,3.19
3.21,3.21,3.23,3.21
3.22,3.35,3.35,3.22
3.35,3.33,3.35,3.33
3.33,3.29,3.33,3.26
3.33,3.36,3.36,3.31
3.37,3.36,3.37,3.36
3.31,3.34,3.35,3.31
3.39,3.42,3.55,3.36
3.53,3.64,3.65,3.53
3.65,3.64,3.65,3.62
3.62,3.65,3.65,3.61
3.63,3.63,3.64,3.63
3.63,3.61,3.64,3.61
3.61,3.61,3.63,3.61
3.52,3.54,3.54,3.41
3.54,3.54,3.54,3.54
3.43,3.37,3.59,3.17
3.53,3.56,3.66,3.49
3.54,3.58,3.64,3.30
3.68,3.30,3.68,3.21
3.33,3.45,3.69,3.33
3.49,3.70,3.70,3.49
3.68,3.25,3.70,3.20
3.31,3.40,3.69,3.31
3.60,3.40,3.60,3.33
3.33,3.29,3.40,3.29
3.39,3.33,3.40,3.25
3.29,3.28,3.29,3.28
3.24,3.24,3.40,3.24
3.26,3.22,3.26,3.20
3.21,3.29,3.30,3.21
3.30,3.25,3.30,3.22
3.21,3.25,3.25,3.21
3.25,3.50,3.50,3.25
3.46,3.65,3.65,3.46
3.62,3.58,3.62,3.40
3.55,3.50,3.55,3.50
3.50,3.40,3.50,3.40
3.45,3.45,3.50,3.45
3.45,3.45,3.45,3.45
3.45,3.41,3.46,3.36
3.40,3.34,3.42,3.25
3.36,3.36,3.42,3.36
3.40,3.46,3.46,3.38
3.46,3.46,3.46,3.46
3.47,3.38,3.55,3.38
3.31,3.30,3.44,3.20
3.53,3.33,3.53,3.33
3.31,3.12,3.36,3.10
3.20,3.30,3.39,3.12
3.28,3.26,3.28,3.07
3.21,3.06,3.39,3.06
3.10,3.10,3.17,3.00
3.10,3.16,3.19,3.10
3.12,3.16,3.18,3.12
3.18,3.25,3.25,3.18
3.15,3.01,3.25,3.01
3.05,3.05,3.05,3.05
3.03,3.05,3.12,2.80
3.09,3.11,3.20,3.07
3.05,2.99,3.11,2.98
3.04,2.99,3.05,2.89
3.17,2.96,3.20,2.92
3.01,3.12,3.15,3.01
3.10,3.16,3.18,3.08
3.19,3.01,3.19,3.01
3.06,3.05,3.06,3.05
3.05,3.05,3.05,3.05
3.17,3.07,3.17,3.02
3.02,3.16,3.16,3.02
3.14,3.03,3.14,3.03
3.07,3.05,3.07,3.05
3.19,3.07,3.19,3.07
3.17,3.11,3.17,3.11
3.14,3.09,3.14,3.09
3.16,3.16,3.16,3.10
3.14,3.25,3.30,3.10
3.28,3.12,3.28,3.12
3.15,3.24,3.24,3.12
3.22,3.14,3.24,3.10
3.18,3.24,3.28,3.13
3.24,3.21,3.28,3.11
3.18,3.07,3.24,3.06
3.11,3.13,3.22,3.10
3.14,3.08,3.16,3.06
3.08,3.21,3.21,3.08
3.17,3.15,3.20,3.02
3.17,3.20,3.20,3.13
3.10,3.19,3.20,3.10
3.17,3.16,3.20,3.08
3.13,3.20,3.20,3.13
3.15,3.21,3.24,3.14
3.22,3.01,3.27,3.00
