JLL,Jones Lang LaSalle Incorporated Common Stock,NASDAQ
61.09,61.53,61.97,60.72
61.38,63.04,63.16,61.03
62.92,63.44,64.00,62.83
63.01,63.67,64.06,62.86
63.53,63.83,64.45,63.06
64.13,62.85,64.33,61.81
62.22,60.46,62.57,59.61
60.96,59.99,60.96,59.67
59.92,59.12,59.96,58.81
59.11,58.31,59.37,58.09
58.28,59.00,59.49,58.28
58.25,59.29,59.50,58.00
59.23,58.44,59.53,58.40
58.40,57.65,59.74,57.37
58.27,58.20,58.81,57.10
58.05,58.88,59.59,57.82
58.76,59.50,59.84,58.18
59.93,59.28,60.00,58.11
59.67,57.01,60.21,56.77
57.22,58.26,58.45,57.22
58.36,57.99,58.75,57.66
58.56,62.00,62.36,58.56
61.16,59.17,61.41,59.07
59.43,59.99,60.61,58.17
59.98,59.30,61.16,59.10
60.33,60.26,60.67,58.80
59.98,60.16,61.37,58.95
59.94,61.92,61.98,59.65
60.92,62.31,62.33,60.51
62.65,63.92,64.00,62.64
64.00,64.07,64.23,63.56
64.07,64.76,64.99,63.88
64.53,64.51,64.84,64.10
64.69,64.64,64.92,64.12
64.32,63.42,64.84,63.16
63.52,63.72,64.13,63.11
62.56,63.54,63.66,62.09
63.42,63.69,63.92,62.67
64.11,64.95,65.77,63.93
65.05,65.59,65.76,64.80
65.63,66.31,66.92,65.04
66.37,66.68,67.00,65.89
67.06,66.92,67.06,66.33
66.75,67.44,67.63,66.22
67.07,67.06,67.81,66.61
66.84,66.80,67.10,65.93
66.37,66.71,67.00,66.04
67.10,67.82,68.09,66.92
67.83,66.40,67.93,66.07
66.49,68.82,68.98,65.63
68.87,70.39,70.95,68.85
70.61,70.08,70.74,69.67
69.58,69.58,70.32,69.14
68.90,69.51,70.04,68.47
69.45,70.36,70.68,69.01
69.88,69.24,70.27,69.17
69.96,69.77,70.72,69.38
70.01,71.67,72.11,69.69
72.18,74.10,74.58,72.18
74.43,73.43,74.59,73.33
73.32,72.89,74.08,72.78
73.56,74.43,74.67,72.94
74.71,75.07,75.31,74.54
74.45,74.90,75.08,74.11
74.59,72.61,74.72,72.12
72.28,74.06,74.32,71.67
73.96,77.43,77.46,73.90
77.56,76.37,77.56,76.19
76.33,77.82,77.92,76.28
78.28,78.13,78.87,77.94
77.69,78.30,79.05,77.48
77.59,75.69,78.40,75.47
75.13,75.75,76.61,73.94
76.20,76.83,77.24,75.62
76.57,78.74,79.09,76.56
77.79,79.76,80.00,77.63
79.98,81.66,82.10,79.40
81.25,81.50,82.62,81.15
80.47,79.04,81.99,78.88
80.02,80.51,84.49,79.53
81.35,81.28,82.13,80.33
81.21,78.88,81.49,78.81
79.30,81.74,82.70,79.19
80.46,80.39,81.17,79.16
79.18,79.73,81.08,78.78
79.02,75.89,80.47,69.74
75.89,72.78,77.35,72.62
77.19,78.97,79.08,74.65
77.86,79.32,80.56,76.91
79.44,80.18,80.59,79.41
79.71,79.92,81.27,79.55
79.42,75.90,79.42,75.22
76.37,76.70,77.02,73.57
77.76,75.30,78.39,75.17
74.70,74.16,76.05,73.31
71.59,69.29,73.15,69.28
69.00,71.59,72.32,67.67
71.33,72.16,74.19,70.97
71.40,72.07,72.20,68.24
72.62,71.59,74.84,71.20
73.68,75.90,75.96,73.03
75.84,74.62,76.00,74.16
73.15,72.07,74.68,71.90
72.79,75.80,75.83,71.76
75.24,75.22,77.20,74.77
73.06,69.74,74.49,69.52
70.36,66.60,71.05,66.54
67.15,66.53,67.67,64.93
66.99,68.13,70.31,66.83
69.08,70.61,70.72,68.84
69.36,70.44,70.94,69.24
71.25,71.44,73.35,70.92
71.67,73.95,74.36,71.29
73.04,73.50,74.51,73.03
73.92,73.25,74.18,71.91
73.50,73.37,73.70,72.30
75.24,72.62,75.24,72.20
72.94,70.26,73.24,70.09
70.17,70.55,71.59,69.12
69.71,68.48,70.20,68.22
68.29,71.16,71.25,67.70
70.99,70.19,71.42,69.63
68.62,66.42,68.82,66.11
66.34,65.64,67.64,65.40
65.59,65.09,66.78,64.00
65.78,63.36,65.78,62.92
64.61,62.21,65.53,61.83
62.58,66.62,66.78,62.31
66.97,66.52,68.37,64.89
66.19,67.71,67.75,66.19
67.12,67.25,68.15,66.21
68.33,69.14,69.56,67.69
68.43,68.77,69.41,68.07
68.67,68.47,68.78,67.73
67.66,65.76,68.13,65.69
66.19,65.17,66.19,63.89
64.02,65.61,65.98,63.42
66.37,64.74,66.98,64.64
66.04,68.23,68.35,65.13
67.92,70.00,70.02,67.27
69.84,74.65,74.74,69.38
74.76,74.67,75.87,73.48
76.41,79.24,81.50,76.19
80.00,77.28,80.14,75.66
75.74,77.46,78.76,75.74
79.11,80.03,80.10,78.13
79.72,79.70,80.50,78.90
80.18,80.06,80.79,79.70
79.44,79.72,80.71,79.21
78.43,80.03,80.29,78.43
80.25,81.39,81.52,79.66
80.10,79.31,80.88,78.85
77.20,76.18,78.20,75.73
74.55,75.15,75.75,74.33
74.99,75.60,76.00,74.76
75.09,76.01,76.72,74.83
77.04,78.36,78.73,76.63
78.23,79.23,79.99,77.06
78.67,77.38,78.79,77.23
76.80,78.54,78.73,75.92
79.04,77.28,79.45,77.25
75.80,75.62,76.80,74.49
74.96,77.49,77.84,74.96
77.93,74.84,78.43,74.80
75.60,77.11,77.18,74.05
76.61,74.37,76.90,74.33
74.23,75.51,75.89,73.52
77.08,78.20,78.48,76.50
78.52,79.67,79.74,77.99
80.00,81.05,81.69,79.83
79.92,81.36,81.94,79.92
81.30,82.34,82.46,81.05
83.71,80.35,83.71,79.78
80.45,79.94,80.84,79.83
81.42,81.63,82.03,81.12
81.42,80.63,82.00,80.59
80.13,80.13,80.47,79.51
79.71,81.62,82.06,79.40
82.08,81.46,82.32,80.86
81.65,82.47,82.50,81.38
82.25,83.10,83.75,81.59
82.95,82.05,83.82,81.63
81.50,81.46,83.35,80.58
82.92,85.51,85.61,82.92
85.17,86.88,87.42,85.15
86.75,87.36,88.08,85.76
87.12,86.45,87.12,86.11
86.95,86.27,87.71,85.38
87.18,86.06,87.37,85.66
85.78,84.31,86.10,84.20
84.71,84.50,85.35,84.15
84.44,85.00,85.59,84.10
85.41,83.06,85.41,82.79
83.04,85.04,85.55,82.45
85.00,85.35,85.81,84.25
85.00,86.08,86.25,83.81
86.75,88.51,89.75,86.75
88.34,86.45,88.55,86.00
87.32,85.00,87.74,84.92
85.01,85.01,85.38,84.00
83.59,83.23,85.74,82.77
83.52,84.45,84.76,82.73
84.57,84.54,86.09,83.75
84.59,84.41,84.77,83.92
84.90,85.94,86.47,84.41
85.19,85.37,86.48,84.90
