CACC,Credit Acceptance Corporation - Common Stock,NASDAQ
42.83,43.84,44.42,42.83
43.92,43.80,44.99,43.80
43.65,43.90,44.11,43.43
43.81,43.98,44.15,43.50
43.99,43.98,44.28,43.66
46.49,47.96,49.30,45.98
47.96,48.20,48.31,47.76
48.31,46.88,48.88,45.60
46.64,48.00,48.50,46.64
48.21,47.42,48.38,46.71
47.99,48.49,49.05,47.57
48.59,49.00,49.09,47.90
49.20,49.49,50.96,48.85
49.61,49.08,49.66,48.99
49.64,49.15,49.67,48.58
49.23,49.47,50.13,49.00
49.43,52.64,53.25,49.43
53.45,53.12,53.50,52.66
53.50,53.22,53.50,52.79
53.92,53.18,53.97,53.05
53.00,51.26,53.00,51.17
51.35,45.49,51.59,45.47
44.60,44.00,44.99,43.50
44.05,42.79,45.31,41.49
42.61,41.80,42.66,41.55
42.05,40.90,42.05,39.83
40.83,39.00,40.96,38.57
39.08,40.19,40.32,39.06
40.00,39.89,40.15,39.61
40.09,40.37,40.41,39.30
40.50,40.33,40.79,39.81
40.45,40.53,40.60,39.91
40.54,40.36,40.54,39.96
40.33,40.15,40.50,39.98
40.22,40.16,40.46,40.01
40.37,41.32,42.10,39.95
41.12,40.54,41.80,40.16
40.68,40.17,41.25,40.11
40.96,42.41,42.66,40.65
42.60,44.54,45.17,42.60
44.90,43.73,45.48,43.68
43.56,43.09,43.74,42.50
43.38,43.47,44.06,42.50
43.59,44.31,44.59,43.08
44.08,44.25,44.98,43.38
44.21,43.95,44.72,43.66
43.95,43.95,44.68,43.63
43.99,43.61,44.41,43.00
43.61,43.00,43.61,41.56
42.99,43.05,43.05,41.71
42.74,43.32,44.26,42.74
43.55,43.39,43.96,42.78
43.70,42.41,43.70,42.18
42.15,42.35,42.59,41.54
42.23,41.75,42.40,41.15
41.62,41.94,42.19,40.85
42.11,42.28,42.83,41.50
42.27,42.05,42.82,42.00
42.26,42.38,42.74,42.01
42.30,42.26,42.65,42.00
42.26,41.24,42.56,41.00
N/A,N/A,N/A,N/A
42.96,44.78,45.29,42.93
44.71,44.17,45.25,43.85
44.06,43.74,44.47,43.05
43.74,43.97,44.20,43.12
44.09,42.76,44.09,42.12
42.27,41.99,42.76,41.32
41.87,42.14,42.33,41.72
42.20,42.94,43.13,42.10
43.04,43.52,43.54,42.87
43.40,42.79,43.51,42.71
42.77,42.40,42.80,42.12
42.68,43.10,43.12,42.56
43.23,44.64,45.28,43.23
44.23,45.77,45.82,44.23
45.72,46.21,46.97,45.40
47.64,46.99,48.38,46.14
47.06,45.38,47.47,44.57
45.49,45.14,45.58,44.96
45.56,46.75,46.93,45.11
46.75,45.10,46.75,45.00
44.52,45.44,45.94,44.52
44.77,45.21,45.42,44.50
44.66,44.48,45.10,44.44
44.48,42.74,44.79,42.14
42.34,42.16,42.71,41.51
44.64,45.05,45.32,43.00
44.51,44.92,45.44,44.00
44.90,46.60,46.70,43.59
46.62,45.43,46.63,44.86
45.20,45.58,45.94,44.11
45.62,46.26,46.75,45.62
46.00,47.35,47.55,46.00
47.38,46.94,47.43,45.94
45.53,45.86,46.38,44.29
45.19,46.22,47.49,44.32
46.42,46.19,47.65,45.41
45.49,45.93,46.24,44.69
46.07,46.50,47.30,45.77
46.91,47.90,48.17,46.39
47.93,47.67,48.22,47.45
47.59,46.67,48.29,46.67
47.58,47.89,48.18,46.13
47.14,47.55,48.14,46.72
46.61,45.46,47.45,45.32
45.77,45.39,46.99,45.38
45.45,45.49,45.53,44.14
45.90,44.07,47.00,43.39
44.51,45.48,45.76,43.06
45.16,46.40,46.40,44.96
46.86,45.42,46.86,44.89
45.56,46.93,46.94,45.33
46.73,46.75,47.34,46.64
47.26,47.29,47.73,46.33
47.65,48.50,48.92,47.65
49.45,49.00,49.65,48.73
49.28,48.61,49.46,48.54
