TRT,Trio-Tech International Common Stock,NASDAQ
3.24,3.12,3.24,3.10
3.15,3.11,3.15,3.10
3.19,3.30,3.39,3.19
3.34,3.35,3.35,3.34
3.40,3.85,4.10,3.40
3.81,3.96,4.01,3.81
4.01,4.01,4.01,3.70
4.08,4.37,4.49,4.07
4.44,4.19,4.44,4.05
4.17,4.10,4.17,4.07
4.10,4.24,4.24,4.06
4.20,4.09,4.20,4.05
3.99,4.14,4.15,3.99
4.04,3.90,4.04,3.90
3.80,3.80,3.95,3.60
3.78,3.82,3.92,3.72
3.90,4.00,4.00,3.90
3.91,3.90,3.91,3.90
3.85,3.99,3.99,3.75
3.99,4.08,4.08,3.90
4.02,3.95,4.03,3.92
4.00,4.12,4.12,4.00
3.95,4.04,4.04,3.92
3.95,3.96,3.97,3.90
3.87,3.99,3.99,3.87
3.96,3.96,3.96,3.96
3.99,3.99,3.99,3.99
3.98,4.00,4.05,3.98
4.00,4.00,4.00,4.00
3.85,3.87,3.98,3.64
3.90,3.80,3.90,3.75
3.80,3.80,3.80,3.80
3.80,3.80,3.94,3.78
3.72,3.80,3.89,3.70
3.76,4.00,4.04,3.70
3.90,4.02,4.02,3.90
3.87,4.02,4.02,3.77
3.94,4.05,4.08,3.94
3.98,4.10,4.14,3.98
3.95,4.05,4.10,3.80
4.15,4.04,4.15,3.96
4.04,4.10,4.10,4.04
4.00,4.00,4.00,4.00
4.00,4.13,4.15,4.00
4.14,4.05,4.14,3.88
3.96,4.00,4.05,3.96
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
3.99,3.99,3.99,3.99
3.71,4.00,4.03,3.71
4.00,3.95,4.00,3.95
4.10,4.02,4.10,3.97
4.09,4.09,4.09,3.90
3.94,4.09,4.09,3.94
3.95,4.05,4.05,3.90
3.90,4.08,4.08,3.80
4.11,4.09,4.11,3.99
4.11,4.11,4.11,4.11
3.96,3.96,3.96,3.96
3.82,3.84,3.84,3.82
3.84,3.84,3.84,3.84
3.80,3.86,3.86,3.80
3.80,3.90,3.90,3.80
3.90,3.90,3.90,3.90
3.80,4.10,4.10,3.80
4.00,4.00,4.00,4.00
3.93,3.99,3.99,3.93
3.99,4.11,4.11,3.99
4.09,4.15,4.15,4.09
4.09,4.00,4.14,4.00
4.00,4.00,4.00,3.94
3.98,4.08,4.14,3.98
4.16,4.08,4.17,3.88
4.00,4.08,4.15,3.85
4.12,4.12,4.12,4.12
4.14,4.14,4.14,4.14
4.16,4.19,4.19,4.10
4.19,4.14,4.20,4.14
4.18,4.18,4.18,4.18
4.16,4.16,4.16,4.16
4.05,4.13,4.16,4.03
4.00,4.14,4.15,4.00
4.18,4.20,4.20,3.85
4.13,4.18,4.18,4.13
4.05,3.96,4.13,3.94
3.96,3.89,3.96,3.80
3.80,4.00,4.00,3.78
4.13,4.09,4.13,3.85
3.93,4.35,4.40,3.93
4.21,4.35,4.39,4.21
4.26,4.34,4.35,4.12
4.34,4.35,4.35,4.00
4.23,4.35,4.35,3.97
4.26,4.19,4.28,4.13
4.04,4.19,4.27,4.04
4.19,4.11,4.20,3.99
4.10,4.20,4.20,3.90
4.20,4.20,4.20,4.06
4.20,4.12,4.20,3.97
4.12,4.10,4.12,3.86
4.14,4.19,4.19,3.97
4.15,4.18,4.19,4.03
4.16,4.18,4.19,3.89
4.17,4.17,4.17,4.02
4.02,4.14,4.15,4.02
4.06,4.12,4.15,3.91
4.16,4.09,4.16,3.87
4.14,4.14,4.15,3.99
4.04,4.10,4.16,4.04
4.04,4.10,4.10,4.03
4.15,4.15,4.15,4.00
4.15,4.19,4.19,4.15
4.05,4.19,4.19,4.01
4.17,4.19,4.19,4.14
4.10,4.19,4.19,4.04
4.09,4.19,4.19,4.05
4.16,4.08,4.19,4.08
4.11,4.13,4.17,3.96
4.17,4.17,4.17,4.06
4.02,4.13,4.19,4.02
4.05,3.95,4.05,3.95
3.98,4.02,4.02,3.98
4.02,4.02,4.02,4.02
3.87,3.84,3.97,3.83
3.83,3.81,3.95,3.80
3.86,3.86,3.86,3.86
3.90,3.90,3.90,3.90
3.89,3.90,3.90,3.86
3.90,3.86,3.90,3.86
3.85,3.85,3.85,3.85
3.86,3.87,3.87,3.86
3.88,4.00,4.00,3.88
4.01,3.90,4.01,3.90
4.00,4.02,4.02,4.00
3.95,3.87,3.95,3.87
4.00,4.00,4.05,3.99
4.02,3.95,4.05,3.87
3.88,3.86,3.88,3.86
3.86,3.86,3.86,3.86
3.86,3.86,3.86,3.86
4.01,4.01,4.01,4.01
4.01,4.01,4.01,4.01
3.90,3.82,3.90,3.82
3.88,4.01,4.07,3.88
4.01,4.01,4.01,4.01
4.01,4.00,4.01,4.00
4.00,4.00,4.00,4.00
3.86,4.00,4.00,3.86
4.01,4.15,4.20,4.01
4.11,4.06,4.11,4.06
4.01,4.01,4.01,4.01
4.01,4.01,4.01,4.01
3.95,3.94,3.95,3.94
3.83,3.83,3.90,3.76
3.80,3.90,3.90,3.80
3.90,3.90,3.90,3.90
3.87,3.84,3.87,3.80
3.84,3.84,3.84,3.84
3.82,3.82,3.82,3.82
3.80,3.80,3.80,3.80
3.80,3.84,3.84,3.80
3.84,3.84,3.84,3.84
3.72,3.70,3.75,3.70
3.70,3.70,3.70,3.70
3.61,3.52,3.61,3.36
3.60,3.61,3.61,3.60
3.53,3.52,3.55,3.52
3.55,3.56,3.68,3.55
3.58,3.58,3.58,3.58
3.58,3.58,3.58,3.58
3.58,3.58,3.58,3.58
3.58,3.50,3.58,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.51,3.50
3.58,3.62,3.63,3.58
3.62,3.62,3.62,3.62
3.58,3.58,3.58,3.58
3.50,3.50,3.50,3.50
3.59,3.59,3.59,3.59
3.59,3.59,3.59,3.59
3.59,3.59,3.59,3.59
3.51,3.50,3.51,3.49
3.49,3.50,3.50,3.49
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.59,3.81,3.50
3.73,4.72,5.50,3.73
4.97,5.20,5.64,4.75
