TNH,Terra Nitrogen Company,NASDAQ
105.24,106.30,107.00,105.14
108.00,111.85,112.00,106.76
111.40,107.35,111.68,107.16
107.12,108.40,109.50,107.12
109.38,108.95,109.38,108.00
109.94,108.26,109.94,107.75
107.19,107.52,108.26,106.04
107.01,107.40,108.78,106.00
107.02,107.04,108.00,105.49
107.00,107.31,107.33,106.02
106.01,106.75,107.35,106.01
106.75,107.31,107.57,105.65
108.47,105.58,108.47,105.00
107.94,103.30,107.94,102.00
103.56,103.09,106.50,102.30
102.14,102.62,103.49,102.00
102.02,102.89,102.89,101.72
102.86,102.86,103.94,101.82
104.68,101.25,104.68,101.03
102.75,102.35,102.75,101.03
102.96,102.50,102.96,101.84
102.99,104.22,104.67,102.70
102.80,102.22,103.93,102.11
102.22,101.87,102.25,100.05
102.35,101.67,102.35,101.13
101.89,101.96,102.22,101.00
101.60,102.94,103.51,101.50
103.49,104.05,104.37,103.49
103.51,104.51,104.51,102.49
104.75,106.00,106.25,104.73
107.00,107.25,107.43,106.00
103.30,105.70,106.88,103.00
103.51,103.54,105.00,102.00
103.00,103.48,103.58,102.15
102.01,101.85,102.78,101.56
101.85,100.76,101.85,100.50
100.50,100.30,100.92,100.05
100.86,100.35,100.86,100.25
100.42,97.61,100.93,97.27
97.80,96.50,99.24,95.19
95.62,95.69,98.22,95.37
95.51,91.56,96.20,90.58
91.57,87.73,92.00,82.28
85.99,92.46,92.95,85.00
92.50,91.38,94.27,90.00
93.35,91.00,93.37,90.00
90.09,89.49,90.67,88.77
90.68,92.00,92.88,90.00
91.99,90.42,92.30,90.00
91.04,90.02,91.04,89.76
89.75,87.45,90.00,87.30
87.30,85.87,87.75,85.55
82.93,82.93,85.87,82.00
82.51,82.37,82.51,80.76
82.43,82.01,83.39,81.69
81.64,81.45,82.05,80.88
82.04,80.86,82.04,80.86
80.75,78.20,81.26,77.48
77.77,78.16,79.03,77.30
77.82,77.20,77.94,77.06
77.20,75.78,77.62,75.25
75.51,79.34,79.39,75.51
80.88,80.92,81.00,79.45
80.90,80.10,81.00,79.97
80.10,81.94,82.62,79.75
82.12,84.35,84.46,81.57
86.21,84.13,86.21,83.75
85.59,84.23,85.59,83.75
85.00,84.99,85.17,84.00
85.05,86.50,86.75,85.05
86.50,87.00,87.04,85.76
86.78,87.50,87.57,86.65
86.40,87.55,87.56,86.40
87.53,87.23,87.57,86.46
86.46,87.40,87.48,85.77
86.63,86.60,87.15,86.11
87.50,87.05,87.50,86.15
87.47,86.40,87.47,86.35
86.20,86.20,87.30,86.00
86.30,86.86,86.90,85.72
86.05,83.45,86.52,83.11
84.01,83.21,84.01,83.00
83.08,81.31,83.28,80.48
80.66,80.00,80.98,79.70
79.05,80.00,80.23,77.25
78.41,77.05,79.21,75.41
75.67,74.32,76.84,72.16
78.49,79.97,80.00,76.00
78.30,78.45,81.75,76.31
77.96,79.77,80.20,77.96
79.99,79.37,80.94,78.79
78.36,76.70,78.36,75.00
76.80,76.63,76.80,73.73
77.13,73.57,77.13,73.50
72.54,73.15,73.24,70.26
71.93,70.00,72.00,68.11
68.31,71.10,72.42,68.24
71.25,72.24,72.50,71.00
71.50,71.70,71.88,70.10
72.45,72.80,72.89,72.00
72.89,73.40,73.85,72.86
73.01,72.30,73.25,72.04
71.73,68.95,71.73,68.95
68.73,67.66,70.40,66.80
67.87,68.39,71.52,67.66
68.00,67.79,69.29,67.40
68.00,67.07,68.30,67.00
67.03,66.89,68.00,66.38
67.01,67.57,69.25,67.01
69.50,68.72,69.99,67.87
68.50,70.00,70.00,68.50
70.00,68.51,70.00,68.16
69.13,72.29,73.49,68.80
71.86,72.90,76.53,71.50
72.63,72.40,73.01,71.89
73.25,72.30,73.25,71.40
72.50,72.21,72.60,71.89
72.24,71.65,73.22,71.65
71.25,71.35,72.02,71.25
71.50,69.16,71.50,69.16
70.25,70.46,71.42,69.61
70.48,70.43,71.27,70.15
69.80,68.33,69.80,68.00
68.30,67.97,70.57,67.56
67.27,67.62,68.70,67.01
68.12,69.96,70.72,67.03
69.95,67.80,70.00,67.78
67.79,69.00,69.00,67.79
69.00,69.60,70.23,68.05
70.10,71.96,72.88,69.01
71.96,71.22,72.05,70.00
72.01,72.00,72.80,71.60
71.99,72.03,72.50,71.99
72.60,73.20,74.45,71.21
72.07,72.50,73.20,72.07
72.40,72.74,73.00,72.39
71.76,73.00,73.00,71.76
72.39,72.75,73.39,72.39
73.40,73.21,73.40,72.77
72.56,72.97,72.97,72.50
72.63,73.32,73.65,72.63
73.23,71.79,73.48,71.42
71.21,78.50,81.20,71.21
79.04,81.78,82.40,79.01
82.55,82.84,83.14,81.70
83.25,86.20,86.96,82.84
87.01,87.00,87.46,84.50
88.20,90.29,90.29,87.00
91.25,92.52,93.87,90.63
93.81,94.88,95.00,92.31
96.02,94.11,96.43,93.31
93.26,91.12,93.26,90.07
88.31,89.22,89.29,85.22
88.06,91.20,91.48,87.01
91.19,91.10,92.35,91.09
90.10,90.77,91.99,87.55
93.75,92.55,94.14,92.00
92.51,94.15,95.89,92.26
94.03,92.79,94.03,91.50
91.19,90.81,92.72,90.35
91.02,88.70,91.73,86.60
87.41,86.52,87.45,86.16
85.99,86.34,86.46,82.34
86.50,87.39,88.80,85.48
87.49,88.25,88.99,86.17
88.25,88.17,88.99,88.00
88.09,88.50,88.86,87.62
89.99,89.61,90.82,87.80
89.61,90.00,90.29,88.01
90.94,92.04,92.19,90.24
92.05,92.60,93.92,92.05
93.53,93.25,93.67,92.75
93.73,92.14,94.00,92.10
92.39,92.12,92.55,92.07
93.19,92.01,93.19,92.00
91.97,91.31,91.97,90.05
90.85,92.35,92.73,90.74
92.49,92.82,93.30,92.14
94.01,95.24,95.25,93.29
95.46,97.68,99.50,95.27
97.68,97.15,99.00,96.07
97.58,98.11,98.13,97.29
98.80,98.45,99.00,98.00
99.80,100.14,100.49,98.97
100.98,103.17,104.85,100.54
103.51,99.50,105.00,98.00
99.00,95.41,100.00,95.31
95.75,90.67,96.40,90.00
91.54,93.97,94.12,91.12
94.50,93.83,94.70,92.15
94.89,96.58,96.98,94.50
97.31,99.85,100.00,96.96
100.60,99.47,100.74,97.82
100.82,103.40,103.89,100.31
105.00,106.52,107.59,104.19
106.01,108.18,108.94,103.04
109.00,110.63,111.99,108.63
110.50,109.15,111.00,108.34
110.54,110.15,110.88,108.43
110.10,106.97,110.29,106.12
106.12,104.07,106.69,103.77
104.99,108.52,109.44,104.97
109.50,108.77,109.60,107.45
108.78,108.11,108.98,107.45
109.99,111.04,112.00,108.88
110.85,114.79,114.79,110.25
113.51,113.04,113.76,110.31
113.50,113.43,113.97,111.00
113.00,114.88,115.00,113.00
114.46,114.39,115.98,114.11
114.00,116.76,117.00,114.00
116.76,113.73,117.95,111.00
115.85,115.55,117.00,114.00
111.99,112.34,114.00,111.00
112.66,113.03,113.48,111.57
114.00,115.24,115.99,113.75
114.13,114.13,115.57,113.75
113.91,114.10,114.56,113.50
112.40,112.20,113.80,110.00
112.50,108.19,112.50,107.79
106.40,102.95,107.00,101.00
103.15,104.71,105.99,102.26
106.05,105.53,106.63,105.50
105.24,104.98,106.34,104.75
102.55,104.98,105.17,102.55
103.92,103.61,104.85,103.00
103.64,105.39,106.46,103.01
104.12,102.49,105.29,101.75
102.42,100.70,102.49,99.52
100.56,96.92,100.56,96.08
98.61,97.75,99.07,97.00
98.48,98.00,98.50,97.75
98.24,103.21,103.51,98.24
104.82,101.93,105.28,101.92
102.77,99.84,103.99,99.50
99.72,99.11,99.72,98.20
99.16,99.36,100.40,98.61
100.02,100.68,101.27,99.51
100.68,100.38,102.00,100.06
100.00,99.05,100.29,98.18
98.86,98.87,100.98,98.85
99.39,100.28,100.57,98.52
99.00,100.88,100.91,99.00
102.00,102.17,102.71,100.75
102.65,103.24,103.50,102.36
103.70,104.47,104.75,103.11
104.98,105.13,105.37,103.77
104.63,104.00,105.12,103.38
103.87,105.00,105.00,103.67
104.57,107.00,107.39,104.57
107.25,108.55,109.50,106.85
108.80,108.11,109.99,108.10
109.00,109.30,111.00,108.62
109.30,107.15,109.46,105.00
108.53,109.19,110.62,107.28
109.10,109.48,110.00,108.11
110.89,106.97,110.89,106.50
106.11,105.32,106.81,104.13
105.43,106.70,107.80,105.43
108.38,109.26,110.00,107.95
110.00,110.00,110.50,109.51
110.50,112.17,112.55,110.06
112.72,113.45,114.49,112.00
113.95,109.51,113.95,108.00
108.59,107.31,109.00,104.10
107.66,106.03,109.01,106.02
106.03,107.31,108.93,106.03
106.95,106.71,107.30,105.50
110.75,107.94,110.75,107.00
110.00,111.92,111.92,108.55
111.07,109.16,111.52,108.55
108.49,108.49,110.24,108.28
109.00,108.51,111.55,108.25
109.00,110.08,110.39,108.50
110.08,110.91,111.73,108.50
110.48,111.39,111.88,110.07
112.00,113.17,113.42,111.45
113.80,111.70,113.80,111.07
110.79,112.34,113.72,110.79
111.95,115.91,116.24,110.26
116.24,117.11,117.50,115.02
117.75,117.56,119.49,117.18
117.75,117.80,118.73,117.02
118.17,120.00,120.00,118.00
119.80,122.51,123.00,119.31
126.27,121.27,126.27,120.45
120.02,112.25,120.02,112.25
113.50,114.17,115.55,109.11
114.17,115.41,116.41,113.26
116.50,117.11,118.50,116.00
118.44,119.48,119.75,117.80
119.87,115.88,119.87,115.18
115.88,116.85,118.00,114.76
118.23,117.95,118.43,116.63
117.88,116.79,118.86,116.24
116.10,115.23,118.81,112.00
115.00,113.67,115.41,113.05
113.05,110.44,113.67,110.33
109.15,105.60,109.18,104.34
104.00,108.46,108.50,104.00
104.45,108.24,109.25,104.45
101.50,106.65,107.62,101.21
107.93,107.28,109.90,106.50
109.99,108.19,109.99,106.86
109.50,106.00,109.50,106.00
108.89,109.60,109.75,106.88
109.69,109.70,110.10,109.00
109.65,110.04,111.49,109.50
110.49,111.07,111.07,110.21
111.65,112.93,113.89,111.59
113.37,112.86,113.92,112.37
112.12,113.19,113.50,112.12
114.34,114.63,114.99,113.99
115.74,116.90,116.96,115.20
117.06,118.00,118.33,117.01
118.33,117.26,118.85,115.81
117.08,116.83,117.08,114.54
118.78,116.80,118.79,115.95
116.49,115.10,116.93,114.79
115.51,113.85,116.18,112.47
113.50,112.20,114.00,112.20
111.98,108.10,111.98,107.90
109.00,109.97,110.00,108.83
108.62,109.05,110.10,108.62
108.99,108.67,109.15,108.25
108.20,107.53,108.20,106.19
107.60,109.40,109.51,107.60
111.23,110.83,111.49,109.82
111.55,112.20,113.16,110.00
112.46,112.43,112.46,111.14
113.27,112.90,113.88,112.31
113.00,113.11,113.19,110.59
112.89,112.66,113.49,112.44
112.89,114.01,114.29,111.95
114.30,112.43,115.00,112.43
112.40,110.93,112.40,110.13
110.24,107.90,110.95,106.68
107.00,108.71,109.00,107.00
112.25,118.10,118.20,112.25
118.32,120.21,120.87,118.32
120.65,119.79,122.22,118.70
119.85,118.33,120.75,115.05
113.55,113.66,114.13,111.93
113.50,113.45,113.89,112.85
116.73,114.10,116.73,113.50
114.00,112.95,114.00,112.51
113.20,115.29,115.38,112.76
115.91,115.91,116.81,115.43
116.13,118.00,118.42,115.07
117.00,120.02,120.56,115.00
121.49,120.18,121.49,119.90
121.50,123.40,124.50,120.34
124.15,124.30,124.77,122.00
124.83,124.70,125.40,123.33
126.02,126.80,126.80,123.85
126.60,122.72,126.60,122.31
123.05,124.52,125.49,122.02
122.00,123.32,124.44,121.15
123.29,122.42,124.06,121.85
122.99,122.91,123.90,121.22
122.54,122.81,123.41,121.86
123.09,125.76,126.47,123.09
126.26,126.48,127.38,123.95
126.50,128.86,129.00,126.45
129.75,132.98,133.92,129.14
131.80,132.30,132.30,128.80
132.00,122.75,132.00,122.28
125.77,119.68,125.77,115.90
119.71,124.83,124.90,119.71
126.00,130.55,132.50,125.66
130.29,128.99,130.44,126.80
127.20,131.17,131.59,125.52
131.57,133.98,134.80,131.20
134.31,136.95,137.50,134.00
138.05,139.90,140.50,138.05
142.17,141.88,143.50,140.10
139.50,137.51,140.05,132.75
136.47,134.48,136.67,132.01
138.50,138.60,141.00,136.05
140.00,139.98,142.00,138.51
141.33,141.00,141.82,139.55
139.31,142.02,142.48,138.55
141.30,142.00,142.00,138.77
141.23,140.19,142.49,139.50
141.10,139.87,141.49,139.80
140.88,140.54,141.50,139.12
141.43,141.76,142.00,140.43
141.80,145.90,146.97,140.02
148.25,150.50,150.76,147.40
153.39,155.33,157.00,150.97
156.58,153.60,157.00,152.51
155.00,156.29,156.30,153.18
155.11,160.04,161.96,154.30
160.23,160.83,163.54,157.01
159.73,154.60,161.84,153.75
156.00,156.67,160.01,155.30
155.09,154.01,156.36,150.24
161.00,163.89,166.97,160.36
163.83,164.93,167.00,162.79
166.55,166.67,167.83,160.05
160.78,151.44,164.47,150.23
164.00,160.50,164.70,132.61
153.63,150.00,155.95,145.03
155.00,158.83,162.38,152.52
159.00,162.01,167.77,156.36
158.20,163.68,166.50,158.20
166.49,169.60,172.00,164.23
170.78,171.56,176.47,168.74
168.78,168.35,171.00,166.13
169.12,172.79,172.79,168.37
168.79,165.25,168.79,161.03
161.01,159.39,168.94,159.01
164.00,158.84,164.87,158.39
160.20,165.85,166.42,159.00
166.00,173.00,174.45,164.01
174.40,174.44,177.50,169.09
173.00,178.24,178.48,170.90
182.10,188.51,189.30,180.01
188.75,195.03,197.69,186.33
197.73,183.38,199.50,181.45
183.00,182.03,186.00,174.61
177.00,182.00,182.64,176.18
175.21,187.67,188.52,175.21
192.40,186.30,192.99,185.02
184.80,183.40,188.25,182.52
183.41,187.08,187.08,183.03
185.64,187.17,189.99,183.71
187.21,189.75,189.82,185.05
190.82,189.74,192.18,186.52
191.26,189.08,192.43,187.51
189.04,187.07,189.75,184.01
185.84,183.48,186.38,182.19
184.56,170.06,186.79,160.42
168.72,139.00,168.97,139.00
136.54,145.85,152.98,128.50
144.19,139.51,147.71,135.26
139.60,141.32,144.00,133.77
147.87,151.21,155.62,145.30
155.70,144.63,155.70,142.00
146.89,144.46,150.00,142.10
140.11,144.44,147.88,139.00
140.36,130.00,143.35,128.00
127.31,133.04,133.77,125.03
135.00,141.69,143.95,134.25
145.17,152.76,156.86,143.50
156.00,149.94,156.77,145.00
152.00,156.66,160.00,152.00
156.66,157.98,159.85,154.64
159.50,156.15,160.89,154.71
155.24,156.10,156.70,151.14
158.00,157.32,158.89,154.55
158.98,153.48,158.98,152.02
153.48,158.25,159.74,150.87
158.43,156.56,159.74,154.60
156.00,156.99,158.23,154.00
158.00,157.68,160.50,156.82
157.99,162.68,163.49,157.99
162.36,166.50,166.98,160.50
168.00,170.00,170.00,163.09
172.00,171.70,175.98,170.66
171.43,174.54,175.96,169.71
173.00,170.39,174.37,170.00
165.00,164.12,166.95,157.00
168.75,174.52,175.50,167.01
176.10,175.85,177.98,172.94
177.25,177.19,179.83,173.20
178.98,179.30,181.99,177.03
182.00,185.50,188.12,180.79
178.13,176.82,179.92,175.05
177.03,173.49,179.58,168.02
175.63,175.22,178.49,174.00
174.95,174.74,176.95,174.00
172.03,169.02,173.46,168.39
168.22,167.50,171.50,166.04
167.50,162.21,169.90,158.56
162.51,159.05,164.93,158.50
156.23,153.75,156.23,148.22
155.00,154.64,157.35,152.94
153.68,159.09,160.02,151.69
163.49,159.28,164.32,159.10
165.00,159.35,166.00,158.71
161.17,155.61,162.12,151.42
162.99,160.09,162.99,157.00
160.40,160.59,162.64,160.29
162.75,157.16,162.75,156.67
159.61,155.10,160.00,155.04
155.42,157.12,158.85,155.42
156.00,155.58,157.40,154.20
155.52,151.75,155.80,151.72
152.56,155.72,159.22,152.25
155.69,157.91,158.48,155.12
160.99,161.49,161.50,157.56
160.95,157.61,160.97,156.05
159.00,155.34,159.00,154.82
155.82,155.68,157.35,154.54
157.00,155.52,158.75,154.37
157.79,156.60,158.49,156.28
157.00,154.65,157.00,154.01
156.47,157.14,158.84,156.20
159.00,159.31,159.31,158.36
158.02,166.25,167.15,158.02
167.60,168.89,169.47,165.11
165.25,163.70,169.48,162.03
164.00,167.92,168.56,164.00
170.45,172.82,173.53,170.45
173.70,179.74,179.99,173.50
179.65,179.48,181.50,176.00
181.50,182.76,184.75,179.01
184.73,187.77,188.01,180.56
189.99,183.00,194.00,182.10
179.70,176.35,179.70,172.06
177.97,179.50,180.76,173.64
179.91,184.23,185.88,179.53
184.52,189.73,191.00,184.52
190.95,192.00,193.00,188.24
192.00,191.00,193.37,190.24
191.00,188.52,191.00,185.01
190.00,186.06,190.00,185.40
186.00,189.00,189.63,185.01
