CNTF,China TechFaith Wireless Communication Technology Limited - American Depositary Shares,NASDAQ
15.50,16.75,16.90,15.40
17.00,17.25,17.45,16.80
17.00,17.25,17.75,16.50
17.10,16.60,17.15,16.55
16.55,16.85,16.95,16.50
17.15,16.75,17.15,16.75
16.75,16.90,17.10,16.35
17.20,17.50,17.85,16.40
17.45,17.30,18.00,17.00
17.25,17.25,17.50,16.75
17.80,18.10,18.25,17.44
18.05,17.90,18.05,17.40
17.90,17.40,18.15,17.00
17.40,17.05,17.65,16.95
17.25,17.20,17.40,16.90
17.15,16.75,17.30,16.75
16.80,16.60,16.80,15.90
16.65,16.30,16.65,15.75
16.30,16.10,16.55,15.75
16.15,15.90,16.25,15.60
16.00,15.95,16.20,15.70
16.05,15.90,16.15,15.70
15.80,15.00,15.80,14.90
15.00,15.20,15.20,14.25
15.65,14.70,15.65,14.55
14.51,14.80,15.00,14.40
14.70,14.60,14.95,14.25
14.55,14.50,14.60,14.05
14.40,14.50,14.55,14.30
14.85,14.90,15.05,14.35
14.90,14.95,15.15,14.50
14.80,14.70,14.95,14.70
14.70,14.92,14.92,14.50
15.00,15.20,15.65,14.80
15.20,14.70,15.25,14.55
14.65,14.55,14.95,14.50
14.50,14.15,14.60,12.90
14.15,14.05,14.25,13.75
14.40,14.75,15.00,13.80
14.95,15.40,16.25,14.95
15.70,15.20,15.80,15.05
15.20,15.40,15.75,15.05
15.60,15.70,15.70,15.00
15.75,15.95,16.05,15.75
16.05,16.35,16.85,15.60
16.50,16.30,16.65,16.05
16.00,16.20,16.35,15.80
16.25,16.25,16.30,15.90
16.50,16.30,16.85,15.55
15.95,15.20,16.10,14.95
15.05,15.10,15.65,15.00
15.05,14.65,15.05,14.55
15.00,13.80,15.15,13.75
13.80,13.95,14.25,13.60
14.20,14.20,15.00,13.90
14.25,13.85,14.25,13.85
14.00,13.75,14.10,13.75
13.70,13.40,13.90,13.40
13.50,13.75,13.80,13.40
13.90,13.65,13.90,13.50
13.50,13.45,13.68,13.45
N/A,N/A,N/A,N/A
13.30,13.50,13.70,12.55
13.50,13.05,13.75,13.00
13.00,13.00,13.25,12.95
12.95,12.95,13.15,12.80
12.85,13.00,13.50,12.85
13.20,13.15,13.50,13.00
13.30,13.00,13.45,13.00
13.20,13.10,13.40,13.00
13.05,13.05,13.40,12.95
13.05,13.00,13.25,12.90
13.00,12.80,13.10,12.50
13.20,12.85,13.40,12.85
12.65,12.95,13.15,12.65
13.05,12.85,13.10,12.65
12.80,12.85,12.95,12.55
12.80,12.70,12.95,12.60
12.70,12.15,12.70,12.05
12.15,12.10,12.45,12.00
12.10,12.00,12.30,11.90
12.15,11.90,12.20,11.75
11.90,11.80,12.00,11.60
11.75,11.25,11.80,11.15
11.25,11.00,11.35,10.80
10.90,10.40,11.50,10.00
10.65,10.15,10.75,9.55
10.70,10.75,10.85,10.40
10.70,10.75,11.00,10.50
10.75,11.30,11.45,10.75
11.15,11.85,12.15,10.90
11.60,11.70,12.20,11.00
11.60,11.55,11.85,10.75
11.90,11.50,11.90,11.35
11.60,11.30,11.60,10.90
12.50,13.75,14.90,12.50
13.55,13.45,13.85,12.50
13.75,12.80,13.75,12.50
12.50,12.85,13.05,12.15
13.10,13.20,13.45,12.60
13.25,13.45,13.70,12.95
13.30,13.25,13.50,12.90
13.25,12.90,13.55,12.65
12.80,13.40,13.40,12.65
13.55,14.25,14.85,13.15
13.55,13.05,14.10,12.95
13.30,12.60,13.40,12.60
12.80,12.40,12.90,12.25
12.50,11.80,13.05,11.70
12.35,12.10,12.35,11.90
12.10,12.95,12.95,12.10
12.90,13.00,13.25,12.60
13.35,13.15,13.40,12.75
13.20,13.70,13.85,12.95
13.65,13.60,13.65,13.40
13.55,13.55,13.75,13.30
13.65,13.60,14.10,13.45
13.60,14.10,14.25,13.60
14.25,13.85,14.65,13.80
13.60,13.65,14.00,13.55
13.55,13.85,13.85,13.45
13.85,13.85,14.15,13.65
13.45,13.65,13.90,13.30
13.50,13.05,13.60,13.05
12.90,12.65,13.20,12.45
12.85,12.55,12.85,12.55
12.65,12.70,13.20,12.50
12.85,13.00,13.25,12.75
13.00,13.90,13.90,13.00
13.70,14.05,14.25,13.70
14.05,14.25,14.50,13.65
14.20,15.10,15.25,14.20
15.20,14.85,15.25,14.10
14.95,15.00,15.00,14.25
15.00,14.30,15.00,14.20
14.20,14.30,14.50,14.05
14.10,14.20,14.50,14.00
14.60,14.45,14.80,14.10
14.50,14.75,15.15,14.50
14.85,15.20,15.25,14.65
15.25,15.25,15.25,14.80
15.15,15.70,15.80,15.00
15.70,15.25,15.70,15.10
15.25,15.20,15.55,14.70
15.20,14.75,15.20,13.95
14.80,15.20,15.40,14.80
15.00,15.45,15.45,14.50
15.40,14.95,15.40,14.50
14.80,15.15,15.25,14.80
15.30,14.75,15.30,14.60
14.70,14.60,14.80,14.40
14.50,14.40,14.55,14.30
14.25,14.20,14.90,14.00
13.80,14.15,14.35,13.70
14.05,14.75,14.75,13.90
14.80,15.35,15.50,14.55
15.60,16.05,16.20,15.35
16.75,16.70,17.20,15.85
16.70,16.65,16.85,16.10
16.25,16.85,17.15,16.25
16.85,16.55,17.25,16.45
16.45,16.50,16.50,15.95
16.55,16.40,16.55,16.00
16.35,15.75,16.40,15.75
15.75,16.25,16.25,15.50
15.65,15.60,16.20,15.60
15.65,16.10,16.25,15.65
16.25,16.50,16.55,16.00
16.60,17.95,18.35,16.60
18.25,17.55,18.50,17.25
17.55,17.55,17.55,17.00
17.55,17.50,17.75,17.20
17.60,17.75,17.75,17.15
17.75,17.60,17.80,17.35
18.00,17.80,18.25,17.60
17.65,17.50,17.95,17.20
17.60,17.25,17.60,16.85
17.05,17.05,17.15,16.70
17.00,17.30,17.45,16.86
17.50,17.35,17.50,16.95
17.40,17.10,17.40,16.80
17.00,17.25,17.45,16.95
17.05,17.30,17.70,16.96
17.45,17.50,17.60,17.35
17.35,17.40,17.70,16.95
17.25,17.35,17.50,16.80
17.15,17.45,17.60,16.95
17.40,17.55,17.70,17.20
17.65,17.80,18.25,17.50
17.95,17.40,17.95,17.30
17.60,18.40,18.75,17.50
18.55,18.30,18.60,17.94
18.50,18.25,18.50,18.10
18.00,18.65,18.65,18.00
18.50,19.00,19.06,18.50
19.10,18.95,19.35,18.75
18.95,19.35,19.40,18.95
19.40,19.65,20.00,19.15
19.65,20.20,20.50,19.40
20.70,20.30,20.70,19.80
19.95,19.20,20.00,19.00
19.10,19.75,20.00,18.80
20.40,20.00,20.50,19.45
19.90,19.80,20.45,19.25
20.00,19.75,20.00,19.30
19.45,19.30,19.90,19.25
19.25,19.40,19.55,19.00
19.35,19.35,19.40,19.05
19.40,19.25,19.70,18.85
19.30,19.40,19.60,19.00
19.00,19.35,19.60,19.00
19.50,19.75,19.95,19.25
20.00,20.35,20.50,19.75
20.35,20.10,20.35,19.95
20.25,20.00,20.25,19.95
19.95,19.95,20.35,19.85
20.00,20.00,20.10,19.30
20.15,20.90,20.90,19.75
20.85,20.30,20.95,20.15
20.30,20.75,21.10,20.30
20.35,20.10,20.45,19.55
19.95,20.20,20.65,19.55
20.25,20.10,20.70,20.10
20.15,19.60,20.15,19.50
19.55,19.60,19.95,19.40
20.25,20.75,21.70,20.15
21.05,20.95,21.10,20.50
20.75,20.55,20.95,20.50
20.70,19.85,20.70,19.65
19.75,19.60,20.35,19.40
19.85,19.55,19.90,19.30
19.55,19.85,20.05,19.45
19.85,19.75,20.20,19.55
19.65,19.90,19.90,19.60
20.35,19.60,20.35,19.55
19.35,19.50,19.75,19.25
19.75,19.40,19.85,19.25
19.65,19.30,19.75,19.25
19.65,18.65,19.65,18.45
18.80,18.60,18.85,18.30
19.00,18.95,19.10,18.65
19.20,19.40,19.40,18.80
19.35,19.20,19.40,18.95
19.10,19.15,19.25,19.03
19.15,19.20,19.20,18.85
19.20,19.25,19.30,18.90
19.25,19.25,19.30,19.10
19.30,19.85,20.00,18.95
19.70,20.40,20.85,19.65
20.50,21.20,21.50,20.50
21.50,21.05,21.50,21.00
21.10,21.00,21.35,20.95
21.15,21.45,21.85,21.00
21.60,21.35,21.75,21.05
21.35,21.15,21.40,21.14
21.30,21.90,23.45,21.30
22.30,21.05,22.30,20.80
21.25,21.20,22.00,20.95
21.15,21.00,21.55,20.80
21.35,21.20,21.65,20.90
21.40,21.63,22.65,21.05
21.80,21.65,21.95,21.60
22.60,21.55,22.60,21.35
21.50,21.25,21.50,21.05
21.25,20.75,21.25,20.60
20.75,20.36,20.85,20.30
20.35,20.30,20.70,20.15
20.60,20.15,20.95,20.10
20.45,20.60,20.75,20.20
20.75,20.65,20.75,20.50
20.65,20.05,20.65,20.00
20.25,20.10,20.40,19.95
20.75,20.75,21.45,20.50
20.95,20.98,21.10,20.40
20.95,20.60,21.00,20.40
20.50,20.80,20.85,20.45
20.95,20.90,21.35,20.85
20.80,21.17,21.25,20.80
21.05,20.95,21.15,20.90
20.75,21.00,21.05,20.70
20.90,21.00,21.15,20.80
21.00,20.70,21.05,20.65
20.65,20.95,21.05,20.50
20.85,21.40,21.50,20.70
20.85,21.70,21.75,20.85
21.75,21.55,21.85,21.50
21.60,21.50,22.35,21.25
21.00,21.00,21.75,20.65
20.75,20.20,20.80,19.25
20.10,20.40,20.70,20.05
20.30,21.15,21.25,20.30
21.20,21.50,21.75,20.85
23.25,23.00,23.75,22.30
23.85,22.75,23.90,22.45
22.95,22.25,22.95,21.50
22.25,21.80,22.25,21.00
22.00,22.10,22.45,21.80
22.10,21.95,22.20,21.80
21.95,21.30,22.00,21.05
21.30,21.05,21.35,20.75
21.05,20.70,21.05,20.55
20.05,20.55,20.60,19.75
20.65,20.00,20.65,19.95
20.05,20.55,20.60,20.05
20.85,21.10,21.45,20.35
21.75,21.25,21.75,21.10
21.40,20.75,21.55,20.65
20.90,21.45,21.55,20.80
21.65,21.90,22.25,21.35
22.15,22.50,23.45,21.95
22.80,22.50,22.85,22.40
22.50,22.25,22.50,21.55
22.50,22.60,22.75,21.95
22.50,22.00,22.55,21.95
21.95,21.60,22.20,21.30
22.00,22.05,22.30,21.35
22.20,21.95,22.25,21.55
22.25,22.00,22.35,21.50
22.00,22.05,22.25,21.75
22.45,21.75,22.45,21.60
21.55,21.20,21.75,21.05
21.00,20.65,21.05,20.55
