TMO,Thermo Fisher Scientific Inc Common Stock,NASDAQ
48.03,47.50,48.03,47.45
47.61,47.66,47.75,47.25
47.78,48.11,48.44,47.62
48.12,48.11,48.20,47.76
48.12,48.92,48.92,47.88
49.37,49.50,49.67,49.00
49.38,48.68,49.38,48.44
48.67,48.70,48.97,48.11
48.78,48.42,48.89,48.27
48.40,47.75,48.41,47.35
47.98,48.97,48.99,47.78
48.91,48.77,49.35,48.20
48.69,47.77,49.18,47.67
47.70,47.04,47.94,47.03
47.34,47.10,47.64,47.04
46.91,46.49,46.91,46.23
46.31,46.46,46.58,46.02
46.70,46.30,47.13,46.22
46.67,46.15,46.90,46.14
46.11,46.92,46.96,46.00
46.95,47.60,47.70,46.73
49.50,48.41,49.69,48.16
48.17,47.26,48.18,47.22
47.15,47.00,47.27,46.03
46.95,46.79,47.32,46.61
47.08,47.68,47.95,47.03
47.52,47.13,47.78,46.94
46.96,47.31,47.48,46.71
47.02,47.26,47.30,46.55
47.51,48.21,48.21,47.32
48.21,48.71,48.86,48.17
48.80,49.32,49.52,48.55
49.13,49.22,49.49,48.91
49.40,48.10,49.57,45.37
47.78,49.67,49.94,47.76
49.45,48.39,49.58,48.04
48.00,49.28,49.33,47.56
49.07,48.77,49.19,48.24
48.85,48.65,49.25,48.27
48.84,49.42,49.61,48.74
49.42,49.14,49.47,48.89
49.25,48.62,49.50,48.51
48.71,49.49,49.72,48.63
49.33,49.93,50.19,49.17
49.84,50.23,50.68,49.67
50.14,50.41,50.55,49.94
50.40,50.84,50.85,50.14
50.85,50.16,50.85,49.94
50.11,49.94,50.25,49.48
50.05,49.51,50.05,49.37
49.46,49.97,50.13,49.46
49.99,49.86,50.25,49.64
49.88,49.88,50.19,49.56
49.85,50.80,50.88,49.56
50.82,50.85,50.97,50.15
50.85,50.73,50.85,50.38
50.94,50.40,51.33,50.35
50.56,50.01,50.56,49.71
50.18,50.51,50.51,49.91
50.54,51.66,52.39,50.40
51.44,51.44,51.58,51.19
51.58,51.77,52.94,51.35
51.81,51.87,52.16,51.63
51.61,51.70,51.85,51.43
51.85,51.58,51.85,51.30
51.42,51.43,51.46,50.87
51.40,52.28,52.28,51.24
52.38,52.14,52.40,51.87
51.93,52.31,52.41,51.51
52.18,53.68,53.70,51.66
53.50,54.13,54.15,53.13
53.98,53.26,53.98,52.66
53.25,53.41,53.55,52.81
53.82,54.20,54.94,53.81
54.14,53.56,54.55,53.14
53.47,53.42,53.48,52.56
53.41,53.70,53.74,53.15
54.87,54.01,55.00,53.83
53.61,53.68,55.00,53.59
57.03,55.93,57.40,54.82
56.11,55.94,56.78,55.39
56.06,55.28,56.50,55.23
55.50,55.48,55.52,54.69
55.01,54.49,55.01,53.70
54.08,54.83,54.89,53.93
54.74,53.33,54.85,49.04
52.95,51.41,53.20,51.01
52.40,54.20,54.34,52.40
53.73,53.75,54.19,53.24
53.76,54.85,55.06,53.61
54.59,53.76,54.87,53.61
53.75,52.51,54.14,52.00
52.70,52.81,53.15,51.99
53.29,52.39,53.62,52.12
52.00,51.81,52.68,51.38
51.15,49.83,51.24,49.82
49.27,50.86,51.11,49.14
50.73,50.97,51.67,50.18
49.93,50.67,50.72,49.66
50.78,50.92,51.63,50.68
51.82,52.73,52.73,51.71
52.61,52.06,52.71,51.54
51.57,50.94,51.93,50.93
51.02,51.92,51.92,50.16
52.15,52.12,52.45,51.79
51.21,49.53,51.32,49.37
49.83,49.72,50.44,49.50
49.49,49.59,50.29,48.97
49.90,49.72,50.60,49.57
50.56,51.72,51.79,50.31
51.20,51.95,51.98,51.00
52.17,52.16,52.76,52.14
52.59,53.48,53.48,52.55
53.03,53.43,53.68,52.68
53.33,53.44,53.56,52.65
53.48,53.66,53.86,53.33
54.10,53.63,54.87,53.37
53.80,52.41,53.89,52.33
52.38,52.35,52.69,51.82
