XOM,Exxon Mobil Corporation Common Stock,NASDAQ
68.72,69.15,69.26,68.19
69.19,69.42,69.45,68.80
69.45,70.02,70.60,69.34
69.90,69.80,70.06,69.42
69.69,69.52,69.75,69.22
69.94,70.30,70.52,69.65
69.72,69.95,69.99,69.52
69.96,69.67,70.04,69.26
69.54,69.68,69.74,69.35
69.65,69.11,69.69,68.65
68.74,69.27,69.35,68.42
68.56,68.03,68.66,67.93
68.12,66.70,68.15,66.50
66.52,66.10,67.14,66.00
66.55,65.85,66.76,65.69
65.64,65.92,66.74,65.50
65.66,65.54,66.06,65.00
65.85,64.96,65.85,64.57
65.15,64.43,65.82,64.02
65.77,66.18,66.41,65.35
66.73,66.96,67.12,66.47
66.88,66.60,67.23,66.56
66.27,64.72,66.35,64.68
64.70,64.80,64.90,63.56
64.91,64.35,65.49,64.34
65.11,65.20,65.71,64.56
65.08,64.85,65.22,64.16
64.69,65.24,65.48,64.41
64.62,64.80,65.14,64.28
65.44,66.28,66.38,65.08
66.34,65.76,66.45,65.57
65.80,65.96,66.09,65.35
65.59,65.87,66.24,65.43
66.10,65.40,66.12,65.25
65.26,64.94,65.56,64.15
65.01,65.55,65.87,64.77
64.61,65.14,65.17,64.37
65.26,65.00,65.40,64.92
65.36,65.40,65.54,65.09
65.66,65.49,65.79,65.15
65.77,65.43,65.97,65.38
65.35,65.40,65.63,65.08
65.96,66.47,66.52,65.78
66.77,66.48,66.79,66.23
66.32,66.78,67.19,66.22
67.16,67.22,67.42,66.78
67.39,67.22,67.56,66.98
67.58,66.80,67.58,66.50
66.67,66.30,66.69,65.90
66.55,66.57,66.68,66.00
66.91,67.36,67.79,66.80
67.50,67.39,67.74,67.01
67.04,67.04,67.89,66.43
66.49,66.97,67.20,66.32
66.94,66.95,66.98,66.45
66.57,66.50,66.86,66.23
66.81,66.30,66.92,66.24
66.44,66.54,66.88,66.17
66.66,67.30,67.48,66.59
67.19,67.05,67.30,66.79
66.94,66.98,67.19,66.60
67.27,67.61,67.80,67.19
67.84,68.19,68.36,67.72
67.99,67.90,68.35,67.80
67.83,67.34,67.85,66.97
67.01,67.86,68.22,66.85
68.11,68.76,68.98,68.07
68.80,68.71,69.05,68.58
68.47,68.66,68.76,68.07
68.72,68.61,68.82,68.36
68.50,68.26,68.72,68.15
68.12,67.93,68.70,67.71
67.75,68.23,68.44,67.57
68.62,68.97,69.22,68.50
69.00,68.92,69.43,68.57
68.52,68.56,68.73,68.22
68.50,69.24,69.27,68.18
69.03,69.29,69.53,68.93
69.01,68.27,70.00,68.20
68.87,69.19,69.54,68.61
68.45,68.66,69.66,68.24
68.90,67.77,69.31,67.73
68.11,67.84,68.22,67.18
67.15,66.47,67.26,66.00
65.94,66.17,66.94,65.83
65.79,63.89,66.23,58.46
64.50,63.70,64.92,63.23
65.42,65.23,65.75,64.52
64.62,64.46,65.00,64.23
64.64,64.91,65.34,64.50
64.87,64.74,65.27,64.32
64.50,63.60,64.73,62.91
63.74,63.27,63.88,62.26
64.05,62.79,64.27,62.42
62.46,62.45,62.94,62.00
61.47,60.33,61.68,60.21
59.16,60.88,60.95,59.16
60.74,60.19,61.00,60.13
58.99,59.71,59.78,58.46
60.08,59.31,60.46,59.12
60.50,61.46,61.55,60.10
61.21,60.46,61.67,60.28
60.38,59.25,60.86,59.14
59.51,60.77,60.80,59.23
61.23,61.56,62.01,60.60
60.74,59.53,61.05,59.29
59.98,59.30,60.41,59.20
59.62,61.24,61.44,59.38
61.58,60.03,61.60,59.82
61.50,61.89,62.00,61.16
61.68,61.86,61.92,61.18
62.06,61.37,62.46,61.32
61.89,62.51,62.57,61.49
61.97,62.51,62.62,61.90
62.42,62.60,62.70,61.95
62.78,63.10,63.37,62.40
64.10,63.13,64.50,62.85
63.13,61.94,63.20,61.79
61.71,61.10,62.26,60.90
60.82,60.07,61.20,59.87
60.15,59.10,60.24,59.10
59.31,58.47,59.39,58.47
58.00,57.29,58.09,57.00
57.33,57.07,57.73,56.92
56.98,56.61,57.27,56.17
56.85,56.57,56.99,55.94
57.17,57.46,57.59,56.77
57.37,58.43,58.45,57.26
59.13,58.81,59.20,58.13
58.76,58.78,59.01,58.30
58.29,58.94,58.94,58.20
59.60,59.42,59.72,59.04
59.22,59.26,59.34,58.62
59.36,59.27,59.49,58.59
58.84,57.96,59.11,57.81
58.33,58.43,58.74,58.10
57.68,58.95,58.99,57.67
59.13,58.17,59.13,57.60
58.71,59.38,59.79,58.66
59.26,59.72,59.81,58.80
59.70,60.39,60.44,59.63
60.62,60.81,60.90,60.39
60.73,60.91,61.27,60.73
61.42,60.34,61.88,60.29
60.15,59.68,60.51,59.60
60.64,61.94,62.04,60.61
61.98,62.72,62.99,61.88
62.86,62.72,62.89,62.27
62.28,62.71,62.71,61.85
61.92,61.97,62.50,61.25
62.56,62.45,62.67,62.18
61.85,61.93,62.17,61.45
60.55,60.39,60.66,60.20
59.70,60.23,60.56,59.56
59.96,59.91,60.45,59.80
59.60,59.88,60.25,59.25
60.49,60.82,61.16,60.14
60.67,60.15,60.72,59.63
59.93,59.29,60.06,58.90
59.02,58.89,59.07,58.55
58.97,59.50,60.05,58.90
58.96,58.94,59.45,58.79
58.69,58.91,59.40,58.42
59.36,58.48,59.50,58.33
58.72,59.80,59.96,58.05
59.56,59.00,59.90,58.96
58.75,59.11,59.54,58.50
60.04,60.91,60.96,59.72
60.49,61.06,61.06,60.37
61.20,61.32,61.60,60.75
60.89,60.55,61.07,60.45
60.66,60.75,61.26,60.63
61.50,61.05,61.59,60.91
61.38,61.20,61.48,60.95
61.39,61.00,61.52,60.54
60.84,61.01,61.34,60.75
60.76,61.00,61.03,60.36
60.85,60.97,60.99,60.45
61.19,60.78,61.30,60.63
61.04,61.55,61.82,60.95
61.65,61.54,61.90,61.25
61.56,61.45,62.00,61.41
60.99,61.15,61.57,60.90
61.51,61.75,62.13,61.36
61.99,61.71,62.08,61.68
61.63,62.06,62.26,61.27
61.77,61.59,62.02,61.27
61.95,61.79,62.44,61.47
62.32,62.54,62.58,61.80
62.52,62.19,62.73,61.84
62.59,63.26,63.40,62.43
63.18,63.94,63.94,63.18
63.96,63.85,64.00,63.37
63.81,64.38,64.53,63.63
64.36,64.55,64.81,64.31
64.31,64.70,64.89,63.93
64.84,65.04,65.29,64.57
65.05,65.30,65.45,64.87
65.64,65.19,65.65,64.82
65.19,66.28,66.54,65.03
65.59,65.12,66.04,64.59
65.47,66.01,66.39,65.35
66.29,66.32,66.80,65.65
66.51,66.34,66.55,66.13
66.68,66.20,66.81,66.16
65.96,66.53,66.57,65.81
65.95,65.67,65.99,65.09
66.43,66.22,66.70,66.05
66.10,66.49,66.56,65.99
66.72,66.95,67.21,66.63
67.32,67.84,68.25,67.21
68.23,67.97,68.27,67.32
68.40,69.38,69.60,68.29
69.44,70.00,70.00,69.40
69.49,70.32,70.42,69.46
70.29,70.63,71.11,70.10
70.96,71.13,71.16,70.15
71.00,71.83,71.90,70.73
71.38,70.99,71.40,70.43
71.01,70.48,71.22,70.44
69.62,68.94,69.82,68.56
68.84,69.01,69.38,68.56
69.65,70.31,70.39,69.64
70.20,70.54,70.59,69.36
70.10,70.19,70.30,68.79
68.80,68.98,69.15,68.32
69.25,69.88,70.00,69.19
69.30,69.23,69.43,68.90
68.86,69.45,69.64,68.30
68.55,69.56,69.75,68.32
70.38,71.33,71.55,70.38
71.19,71.48,71.66,70.95
71.01,71.19,71.30,70.89
71.20,71.31,71.60,71.06
71.91,71.46,72.18,71.42
71.87,71.85,72.22,71.48
72.05,72.00,72.14,71.33
72.18,72.18,72.18,71.62
72.41,72.36,72.75,72.07
72.23,72.18,72.50,71.93
71.87,71.85,72.31,71.79
71.92,72.22,72.33,71.57
72.11,72.17,72.39,71.78
72.24,72.22,72.50,71.88
72.43,72.72,72.97,72.23
72.94,72.80,73.00,72.65
72.94,73.20,73.20,72.83
72.81,73.01,73.30,72.81
73.20,73.42,73.56,72.96
73.41,73.37,73.69,73.34
73.29,73.36,73.51,73.05
73.16,73.12,73.51,73.02
73.72,74.55,74.79,73.64
74.71,74.90,74.95,74.42
74.67,74.70,74.87,74.14
74.90,75.18,75.43,74.67
75.21,75.59,75.90,75.09
75.13,75.13,75.27,74.58
75.02,75.69,75.86,75.02
75.94,76.58,76.62,75.67
76.65,76.71,76.82,75.98
76.67,77.84,78.00,76.50
77.79,78.71,78.85,77.72
78.63,78.24,78.93,78.13
77.98,77.75,78.16,76.77
