CWEI,Clayton Williams Energy,NASDAQ
60.14,58.02,60.14,57.69
58.02,59.10,59.51,57.41
58.13,56.47,58.88,55.45
57.60,59.39,59.73,57.22
59.95,60.66,60.79,59.25
61.00,60.32,61.00,59.50
60.91,61.39,62.70,60.91
60.76,60.52,61.35,60.19
59.92,59.88,60.45,57.53
60.33,59.03,60.65,58.60
58.50,59.72,59.97,57.68
60.00,59.64,61.59,59.32
60.50,62.50,63.61,58.64
62.49,64.58,65.10,62.15
65.91,66.81,67.30,65.08
66.76,68.99,69.09,66.76
68.44,71.09,72.36,68.44
71.01,70.67,72.18,69.63
71.27,73.51,73.73,70.41
72.56,73.76,74.00,71.54
73.00,71.45,73.00,71.12
71.76,71.01,72.60,70.78
70.00,69.35,70.28,68.70
69.65,70.12,70.48,68.99
71.28,72.98,73.37,71.00
73.04,74.24,74.49,70.81
72.92,75.95,75.98,72.92
74.49,73.77,75.00,71.99
74.48,75.75,75.85,73.66
74.87,75.66,75.68,74.87
74.83,75.50,75.85,72.98
74.81,75.16,76.77,73.95
76.26,80.03,80.92,75.80
80.41,80.00,80.63,78.23
79.11,79.36,79.72,78.00
78.96,81.17,81.72,75.91
82.60,81.02,83.42,80.78
81.07,79.68,82.25,78.60
80.59,80.47,81.48,79.92
80.86,81.43,81.78,79.66
81.82,80.18,82.34,80.12
80.78,77.85,80.98,77.50
77.54,79.11,80.57,76.14
79.20,80.00,80.81,77.94
80.00,78.77,80.32,78.75
78.83,79.03,79.71,77.14
79.56,81.10,81.50,78.80
81.03,80.85,81.03,78.01
80.93,82.39,83.49,80.93
82.27,82.81,84.76,81.50
82.89,83.62,84.27,81.97
83.00,83.65,84.15,82.35
83.79,82.91,84.29,82.82
82.95,83.97,84.77,82.30
84.99,82.63,85.09,82.26
83.21,80.92,84.64,80.01
80.92,82.43,83.08,80.92
83.43,81.82,83.43,80.15
81.09,81.93,83.53,79.54
81.86,83.18,83.42,81.01
83.52,84.73,84.80,82.74
85.42,86.21,86.23,82.54
85.87,87.32,88.03,85.18
87.05,87.39,87.79,86.20
87.50,87.17,88.07,86.35
86.88,83.32,87.32,82.23
82.56,79.35,82.56,77.72
79.84,81.20,81.34,79.84
81.40,79.68,82.81,79.21
79.10,79.43,79.82,75.55
80.09,84.99,86.10,78.84
85.10,84.59,85.57,81.19
84.37,85.06,87.83,84.37
85.90,88.65,89.26,84.21
89.22,89.95,92.13,87.95
89.78,90.05,92.00,89.57
90.13,90.38,90.66,87.26
89.96,88.69,90.83,87.36
88.98,88.72,91.65,88.66
88.98,90.64,90.75,87.01
89.95,90.69,91.62,88.59
90.23,90.94,91.83,89.26
91.00,91.90,92.93,90.50
91.73,94.16,94.37,91.05
94.07,96.81,97.82,94.07
97.60,99.61,100.82,96.61
99.19,100.44,101.14,98.81
101.13,102.33,103.61,99.28
101.18,101.32,105.00,99.81
101.34,102.12,103.25,100.85
100.99,96.33,102.85,94.40
96.31,101.47,101.70,96.31
102.70,106.08,106.19,102.70
105.80,102.40,106.20,100.80
101.87,102.01,103.29,99.73
103.23,99.82,103.81,99.09
100.20,105.20,105.42,99.03
105.92,101.66,105.92,100.06
101.80,94.53,101.80,94.32
94.76,93.00,95.50,92.48
91.64,87.39,92.76,86.40
86.50,90.06,91.31,84.02
88.86,89.64,90.51,85.45
84.52,86.24,88.54,82.16
85.64,86.33,89.46,83.72
87.72,91.44,91.92,87.49
92.19,92.65,94.24,91.21
94.37,96.97,98.71,93.19
97.11,96.66,97.30,94.91
96.33,95.92,97.13,93.60
96.83,98.36,98.96,95.13
98.98,102.57,103.73,98.68
103.07,101.15,104.01,100.79
101.27,101.97,103.65,100.45
102.84,104.09,104.95,101.66
104.01,105.70,106.60,104.01
106.70,106.97,109.45,106.15
107.71,105.92,108.45,105.48
105.60,104.90,107.00,102.85
105.97,103.71,106.35,102.27
103.52,101.99,105.13,101.11
103.25,102.33,104.99,100.52
102.72,98.88,102.72,98.77
97.79,91.92,97.79,91.34
93.06,93.39,94.93,91.19
92.66,95.61,96.04,91.87
95.75,93.73,95.93,92.27
91.17,91.73,92.10,89.81
91.93,92.17,92.77,90.94
94.37,94.18,94.37,92.45
94.61,94.99,94.99,92.38
95.00,93.12,95.00,91.85
93.68,92.10,93.68,91.59
92.15,89.56,92.15,87.58
89.49,90.51,92.50,88.16
90.80,90.57,92.27,88.96
90.64,84.31,91.86,83.48
83.91,81.96,85.04,78.02
81.76,81.17,84.46,80.16
79.76,78.83,80.77,76.46
80.49,79.37,81.30,78.50
79.87,81.74,82.87,79.24
81.97,81.99,83.30,80.15
81.31,75.40,82.25,74.28
74.68,76.41,77.20,73.00
76.42,74.15,77.95,73.79
73.41,72.33,76.53,71.77
71.44,70.92,72.89,69.62
71.41,74.01,74.74,71.33
74.50,73.36,74.74,71.40
72.30,72.12,72.68,70.05
70.32,69.93,70.32,68.14
70.83,72.41,73.36,70.30
72.27,73.77,74.54,72.14
73.51,74.64,75.47,73.12
75.10,75.46,77.24,74.71
76.87,74.99,76.87,72.87
74.39,68.54,76.19,68.28
68.84,71.57,73.48,68.84
70.03,69.41,71.27,68.55
68.81,66.41,70.86,66.41
67.48,67.55,68.08,65.69
67.48,66.75,69.28,66.23
67.23,66.96,68.12,65.51
66.05,64.16,66.81,63.25
64.13,60.05,64.13,57.95
60.64,60.89,62.76,59.86
59.99,57.75,60.19,56.75
57.90,59.25,59.94,57.00
59.85,57.89,60.48,57.61
57.58,57.14,58.65,56.18
